gene ID,log2_foldChange,p_value,adjusted p_value,rotein ID,locus tag,Annotation,,
gene-M8001_RS02030,0.612748997,0.041659455,0.283414647,WP_010951732.1,PP_0383,FAD-dependent oxidoreductase,,
gene-M8001_RS02035,-0.191203467,0.60840691,0.875046101,WP_010951733.1,PP_0384,Lrp/AsnC family transcriptional regulator,,
gene-M8001_RS02055,0.155528253,0.627560384,0.882406382,WP_010951734.1,PP_0386,bifunctional diguanylate cyclase/phosphodiesterase,,
gene-M8001_RS02065,-0.11706652,0.722481531,0.916962197,WP_010951735.1,PP_0388,DNA primase,,
gene-M8001_RS02075,-0.711836095,0.037462191,0.268987018,WP_010951736.1,PP_0390,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,,
gene-M8001_RS02080,-0.002245291,0.975815567,0.999693753,WP_010951737.1,PP_0391,glycerol-3-phosphate 1-O-acyltransferase PlsY,,
gene-M8001_RS02090,0.057898778,0.845528797,0.962014327,WP_010951738.1,PP_0393,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,,
gene-M8001_RS02095,0.09585661,0.755829097,0.928840491,WP_010951739.1,PP_0394,CCA tRNA nucleotidyltransferase,,
gene-M8001_RS02100,-0.256020306,0.536404963,0.841612207,WP_010951740.1,PP_0395,SpoVR family protein,,
gene-M8001_RS02115,0.484225739,0.098745168,0.42130195,WP_010951742.1,PP_0398,thiosulfate sulfurtransferase GlpE,,
gene-M8001_RS02150,0.040543303,0.905069079,0.977698456,WP_010951744.1,PP_0405,phosphotransferase,,
gene-M8001_RS02155,0.280693438,0.352171912,0.722056204,WP_010951745.1,PP_0406,nucleotidyltransferase family protein,,
gene-M8001_RS02160,0.118870132,0.686843992,0.904672871,WP_010951746.1,PP_0407,TerB family tellurite resistance protein,,
gene-M8001_RS02165,-0.032813889,0.897882716,0.977698456,WP_010951747.1,PP_0408,alpha/beta hydrolase family protein,,
gene-M8001_RS02170,0.289381066,0.345558965,0.716300815,WP_010951748.1,PP_0409,sensor histidine kinase,,
gene-M8001_RS02185,1.030338693,0.0432139,0.286883117,WP_010951750.1,PP_0412,ABC transporter substrate-binding protein,,
gene-M8001_RS02190,0.848852252,0.060763689,0.338383065,WP_010951751.1,PP_0413,ABC transporter permease,,
gene-M8001_RS02205,-0.357802424,0.338235019,0.711835108,WP_010951753.1,PP_0416,phosphoglycolate phosphatase,,
gene-M8001_RS02210,-0.154252601,0.663443283,0.897130899,WP_010951754.1,PP_0417,anthranilate synthase component I,,
gene-M8001_RS02215,-0.294194362,0.346822443,0.717080126,WP_010951755.1,PP_0418,autotransporter domain-containing SGNH/GDSL hydrolase family protein,,
gene-M8001_RS02225,0.114809576,0.728417079,0.919257,WP_010951756.1,PP_0421,anthranilate phosphoribosyltransferase,,
gene-M8001_RS02230,0.279022258,0.384443795,0.747910182,WP_010951757.1,PP_0422,indole-3-glycerol phosphate synthase TrpC,,
gene-M8001_RS02235,-0.337793321,0.289894703,0.667297095,WP_010951758.1,PP_0423,lipoate--protein ligase family protein,,
gene-M8001_RS02240,-0.059055709,0.826274267,0.955285914,WP_010951759.1,PP_0424,cAMP-activated global transcriptional regulator CRP,,
gene-M8001_RS02250,-0.104575308,0.714432107,0.913254957,WP_010951760.1,PP_0426,DUF2157 domain-containing protein,,
gene-M8001_RS02255,0.05282268,0.884279044,0.97143609,WP_010951761.1,PP_0427,2-polyprenyl-3-methyl-6-methoxy-1%2C4-benzoquinone monooxygenase,,
gene-M8001_RS02265,-0.129796487,0.705830764,0.909172866,WP_010951762.1,PP_0429,SDR family oxidoreductase,,
gene-M8001_RS02270,0.339441206,0.230878809,0.604478488,WP_010951763.1,PP_0430,nitronate monooxygenase family protein,,
gene-M8001_RS02275,0.197865181,0.574742174,0.860922104,WP_010951764.1,PP_0431,protoporphyrinogen oxidase HemJ,,
gene-M8001_RS02280,0.183877291,0.572816433,0.860345203,WP_010951765.1,PP_0432,N-acetyl-gamma-glutamyl-phosphate reductase,,
gene-M8001_RS02290,-0.619681182,0.045902754,0.295151932,WP_010951767.1,PP_0434,anhydro-N-acetylmuramic acid kinase,,
gene-M8001_RS02300,-0.495633138,0.180284515,0.551699538,WP_010951769.1,PP_0436,tyrosine--tRNA ligase,,
gene-M8001_RS02320,-0.579415768,0.067524238,0.357707081,WP_010951770.1,PP_0437,bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA,,
gene-M8001_RS02325,-0.437624627,0.143674282,0.504503635,WP_010951771.1,PP_0438,pantothenate kinase,,
gene-M8001_RS02360,-0.571780469,0.117229251,0.456030976,WP_010951773.1,PP_0441,preprotein translocase subunit SecE,,
gene-M8001_RS02395,0.677760901,0.17011266,0.542032643,WP_010951774.1,PP_0448,DNA-directed RNA polymerase subunit beta',,
gene-M8001_RS02415,0.467288027,0.312786002,0.689090787,WP_010951775.1,PP_0452,elongation factor Tu,,
gene-M8001_RS02525,0.207627691,0.645106323,0.888491867,WP_010951776.1,PP_0474,preprotein translocase subunit SecY,,
gene-M8001_RS02560,-0.010033764,0.969165583,0.997019452,WP_010951777.1,PP_0481,catalase,,
gene-M8001_RS02570,-0.199882166,0.556716838,0.855379434,WP_010951778.1,PP_0483,excinuclease ABC subunit UvrA,,
gene-M8001_RS02575,0.011415122,0.973518633,0.999374429,WP_010951779.1,PP_0484,MFS transporter,,
gene-M8001_RS02595,1.33757709,0.000108709,0.004170921,WP_010951782.1,PP_0488,SDR family NAD(P)-dependent oxidoreductase,,
gene-M8001_RS02610,-0.0452806,0.908791466,0.978419433,WP_010951783.1,PP_0491,formate dehydrogenase subunit gamma,,
gene-M8001_RS02620,0.791920044,0.013751927,0.142376102,WP_010951785.1,PP_0493,L-seryl-tRNA(Sec) selenium transferase,,
gene-M8001_RS02625,0.101991926,0.758317648,0.929185792,WP_010951786.1,PP_0494,selenocysteine-specific translation elongation factor,,
gene-M8001_RS02640,-0.642975142,0.060280916,0.337660392,WP_010951788.1,PP_0496,alanine:cation symporter family protein,,
gene-M8001_RS02670,-0.462989169,0.124299409,0.470468778,WP_010951790.1,PP_0501,NAD-dependent epimerase/dehydratase family protein,,
gene-M8001_RS02675,0.214584255,0.586058187,0.866181989,WP_010951791.1,PP_0502,helix-turn-helix transcriptional regulator,,
gene-M8001_RS02680,0.336937101,0.315758427,0.691822201,WP_010951792.1,PP_0503,MFS transporter,,
gene-M8001_RS02685,-1.531195466,0.038065057,0.270604181,WP_010951793.1,PP_0504,outer membrane beta-barrel protein,,
gene-M8001_RS02695,-0.514759039,0.134199555,0.485010511,WP_010951795.1,PP_0506,ABC transporter permease,,
gene-M8001_RS02700,-0.963598436,0.001910073,0.037896431,WP_010951796.1,PP_0507,ABC transporter ATP-binding protein,,
gene-M8001_RS02705,-0.574306662,0.050454612,0.310829003,WP_010951797.1,PP_0508,DUF2796 domain-containing protein,,
gene-M8001_RS02710,-0.151032878,0.692631444,0.905575263,WP_010951798.1,PP_0509,hypothetical protein,,
gene-M8001_RS02715,0.233397755,0.414365708,0.769725976,WP_010951799.1,PP_0510,thioredoxin,,
gene-M8001_RS02760,-0.51855195,0.163545805,0.534310294,WP_010951802.1,PP_0519,thiamine-phosphate kinase,,
gene-M8001_RS02765,-0.557431164,0.089995269,0.405873219,WP_010951803.1,PP_0520,phosphatidylglycerophosphatase A,,
gene-M8001_RS02770,-0.296532133,0.356711658,0.72379097,WP_010951804.1,PP_0521,transporter substrate-binding domain-containing protein,,
gene-M8001_RS02780,-0.301836858,0.296070454,0.671444221,WP_010951805.1,PP_0523,hypothetical protein,,
gene-M8001_RS02785,-0.328949704,0.278337662,0.657137896,WP_010951806.1,PP_0524,cobalamin-binding protein,,
gene-M8001_RS02800,-0.628306212,0.08221417,0.390064718,WP_010951809.1,PP_0527,1-deoxy-D-xylulose-5-phosphate synthase,,
gene-M8001_RS02805,-0.49854043,0.109867643,0.443462468,WP_010951810.1,PP_0528,(2E%2C6E)-farnesyl diphosphate synthase,,
gene-M8001_RS02815,0.133447432,0.692270774,0.905557508,WP_010951811.1,PP_0530,3%2C4-dihydroxy-2-butanone-4-phosphate synthase,,
gene-M8001_RS02825,-0.327639926,0.386411438,0.749143079,WP_010951813.1,PP_0532,alpha/beta hydrolase,,
gene-M8001_RS02830,0.217529038,0.533700079,0.839062071,WP_010951814.1,PP_0533,sensor histidine kinase,,
gene-M8001_RS02835,0.042860054,0.93140103,0.985811476,WP_010951815.1,PP_0534,response regulator transcription factor,,
gene-M8001_RS02840,0.422461505,0.235787007,0.612412445,WP_010951816.1,PP_0535,TonB-dependent siderophore receptor,,
gene-M8001_RS02845,1.495857384,0.001297372,0.028685122,WP_010951817.1,PP_0536,hemerythrin domain-containing protein,,
gene-M8001_RS02860,-0.187755903,0.545473742,0.846662074,WP_010951819.1,PP_0539,zinc-dependent peptidase,,
gene-M8001_RS02875,0.479472569,0.136939422,0.49028743,WP_010951820.1,PP_0542,ethanolamine ammonia-lyase subunit EutC,,
gene-M8001_RS02880,0.546348808,0.162397783,0.532985474,WP_010951821.1,PP_0543,ethanolamine ammonia-lyase subunit EutB,,
gene-M8001_RS02890,0.626853807,0.106115414,0.437322281,WP_010951822.1,PP_0545,aldehyde dehydrogenase,,
gene-M8001_RS02900,-0.073358637,0.826677562,0.955285914,WP_010951824.1,PP_0547,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase,,
gene-M8001_RS02915,1.080856169,0.003766865,0.061607504,WP_010951825.1,PP_0550,oxidoreductase,,
gene-M8001_RS02930,-1.271000898,0.006301878,0.087449165,WP_010951828.1,PP_0553,acetoin dehydrogenase dihydrolipoyllysine-residue acetyltransferase subunit,,
gene-M8001_RS02935,-1.153347226,0.016276616,0.160854889,WP_010951829.1,PP_0554,alpha-ketoacid dehydrogenase subunit beta,,
gene-M8001_RS02940,-0.695291462,0.07570994,0.375303462,WP_010951830.1,PP_0555,thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha,,
gene-M8001_RS02945,-0.111229551,0.792928659,0.941451852,WP_010951831.1,PP_0556,NAD(+)/NADH kinase,,
gene-M8001_RS02950,0.413491433,0.327141121,0.701645317,WP_010951832.1,PP_0557,sigma-54-dependent Fis family transcriptional regulator,,
gene-M8001_RS02960,-1.006129503,0.04245086,0.285273069,WP_010951833.1,PP_0559,acetyl-CoA carboxylase biotin carboxyl carrier protein,,
gene-M8001_RS02965,-1.195896555,0.004702465,0.071518071,WP_010951834.1,PP_0560,type II 3-dehydroquinate dehydratase,,
gene-M8001_RS02970,-0.455856087,0.154778366,0.523578763,WP_010951835.1,PP_0561,protein-disulfide reductase DsbD,,
gene-M8001_RS02975,0.072723769,0.804781826,0.944524666,WP_010951836.1,PP_0562,methyl-accepting chemotaxis protein,,
gene-M8001_RS02980,-0.266692736,0.418112119,0.772550654,WP_010951837.1,PP_0563,diguanylate cyclase,,
gene-M8001_RS02990,0.101329554,0.728041826,0.919257,WP_010951839.1,PP_0565,NUDIX hydrolase,,
gene-M8001_RS03000,0.064331244,0.847840379,0.962638576,WP_010951840.1,PP_0567,arginine decarboxylase,,
gene-M8001_RS03005,0.360472769,0.392968664,0.752767923,WP_010951841.1,PP_0568,transposase,,
gene-M8001_RS03010,-0.315737165,0.343117188,0.715685807,WP_010951842.1,PP_0569,MATE family efflux transporter,,
gene-M8001_RS03015,-0.251307136,0.479985,0.810537777,WP_010951843.1,PP_0570,alpha-2-macroglobulin family protein,,
gene-M8001_RS03025,-0.133550918,0.679319519,0.903744344,WP_010951845.1,PP_0572,peptidoglycan glycosyltransferase PbpC,,
gene-M8001_RS03035,0.848987017,0.012391295,0.134144766,WP_010951847.1,PP_0574,response regulator transcription factor,,
gene-M8001_RS03040,0.905453765,0.013254148,0.14000029,WP_010951848.1,PP_0575,A24 family peptidase,,
gene-M8001_RS03045,0.712600987,0.050115923,0.310829003,WP_010951849.1,PP_0576,DUF4136 domain-containing protein,,
gene-M8001_RS03055,0.130937473,0.683287876,0.904672871,WP_010951851.1,PP_0578,methyltransferase domain-containing protein,,
gene-M8001_RS03065,0.016043711,0.962868659,0.995215899,WP_010951853.1,PP_0580,MaoC/PaaZ C-terminal domain-containing protein,,
gene-M8001_RS03075,0.565295003,0.069246193,0.361688321,WP_010951855.1,PP_0582,acetyl-CoA C-acetyltransferase,,
gene-M8001_RS03080,0.316072932,0.291387415,0.668358175,WP_010951856.1,PP_0583,helix-turn-helix transcriptional regulator,,
gene-M8001_RS03085,0.867775017,0.017841346,0.1688303,WP_010951857.1,PP_0584,methyl-accepting chemotaxis protein,,
gene-M8001_RS03095,0.9502449,0.001549927,0.032610966,WP_010951858.1,PP_0586,heavy metal translocating P-type ATPase,,
gene-M8001_RS03100,-0.007410853,1,1,WP_010951859.1,PP_0587,hypothetical protein,,
gene-M8001_RS03105,2.371548179,4.08137E-10,6.86986E-08,WP_010951860.1,PP_0588,cation transporter,,
gene-M8001_RS03120,0.288971557,0.362192528,0.728618102,WP_010951861.1,PP_0590,ArsR family transcriptional regulator,,
gene-M8001_RS03125,0.054830293,0.864360326,0.966497491,WP_010951862.1,PP_0591,adenosine deaminase,,
gene-M8001_RS03130,0.369367946,0.269406276,0.648978214,WP_010951863.1,PP_0592,SDR family oxidoreductase,,
gene-M8001_RS03135,-0.063535169,0.898512087,0.977698456,WP_010951864.1,PP_0593,IMPACT family protein,,
gene-M8001_RS03150,1.785332426,0.000204828,0.006851234,WP_010951866.1,PP_0596,aspartate aminotransferase family protein,,
gene-M8001_RS03195,0.153504426,0.616985195,0.87698958,WP_010951867.1,PP_0599,MlaD family protein,,
gene-M8001_RS03210,-0.195601505,0.518573951,0.832613787,WP_010951868.1,PP_0602,bifunctional riboflavin kinase/FAD synthetase,,
gene-M8001_RS03215,0.02663827,0.946347641,0.989849998,WP_010951869.1,PP_0603,isoleucine--tRNA ligase,,
gene-M8001_RS03225,0.174636971,0.618274659,0.878021377,WP_010951871.1,PP_0605,FKBP-type peptidyl-prolyl cis-trans isomerase,,
gene-M8001_RS03230,0.207561204,0.602161986,0.87294789,WP_010951872.1,PP_0606,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,,
gene-M8001_RS03235,0.477175091,0.468936852,0.805046664,WP_010951873.1,PP_0607,GspH/FimT family pseudopilin,,
gene-M8001_RS03245,0.424126132,0.22776993,0.602365446,WP_010951875.1,PP_0609,prepilin-type N-terminal cleavage/methylation domain-containing protein,,
gene-M8001_RS03250,0.490218709,0.163289694,0.534310294,WP_010951876.1,PP_0610,hypothetical protein,,
gene-M8001_RS03255,-0.477849718,0.112558153,0.44629821,WP_010951877.1,PP_0611,prepilin-type N-terminal cleavage/methylation domain-containing protein,,
gene-M8001_RS03260,0.032179837,0.904818158,0.977698456,WP_010951878.1,PP_0612,glycine oxidase ThiO,,
gene-M8001_RS03265,-0.170416518,0.626926396,0.882303486,WP_010951879.1,PP_0613,amidase,,
gene-M8001_RS03270,-0.358675438,0.37018685,0.735574436,WP_010951880.1,PP_0614,Zn-dependent hydrolase,,
gene-M8001_RS03275,-0.006588955,0.976604196,0.999693753,WP_010951881.1,PP_0615,ABC transporter ATP-binding protein,,
gene-M8001_RS03280,-0.297789801,0.48365002,0.813567312,WP_010951882.1,PP_0616,ABC transporter ATP-binding protein,,
gene-M8001_RS03295,0.260122966,0.489186951,0.816564009,WP_010951883.1,PP_0619,ABC transporter substrate-binding protein,,
gene-M8001_RS03300,0.117130279,0.733603432,0.921669287,WP_010951884.1,PP_0620,FCD domain-containing protein,,
gene-M8001_RS03320,-0.297130716,0.392614432,0.752767923,WP_010951886.1,PP_0624,peptidoglycan editing factor PgeF,,
gene-M8001_RS03325,1.010553501,0.011172709,0.125644814,WP_010951887.1,PP_0625,ATP-dependent chaperone ClpB,,
gene-M8001_RS03380,-0.187287607,0.545057367,0.846662074,WP_010951889.1,PP_0630,DNA gyrase inhibitor YacG,,
gene-M8001_RS03390,0.220213463,0.479142258,0.810497016,WP_010951890.1,PP_0632,A24 family peptidase,,
gene-M8001_RS03395,0.908241337,0.00988197,0.116561916,WP_010951891.1,PP_0633,type II secretion system F family protein,,
gene-M8001_RS03400,-0.030817225,0.942957856,0.988610666,WP_010951892.1,PP_0634,pilin,,
gene-M8001_RS03415,-0.169943943,0.667522491,0.898651427,WP_010951894.1,PP_0636,cold shock domain-containing protein,,
gene-M8001_RS21110,-0.346663273,0.514049901,0.830209031,WP_010951895.1,PP_0637 PP_4025 PP_4745,IS66-like element ISPpu15 family transposase,,
gene-M8001_RS03425,0.344710124,0.31243794,0.689053749,WP_010951895.1,PP_0637 PP_4025 PP_4745,IS66-like element ISPpu15 family transposase,,
gene-M8001_RS24980,-0.108217427,0.79918972,0.94336846,WP_010951895.1,PP_0637 PP_4025 PP_4745,IS66-like element ISPpu15 family transposase,,
gene-M8001_RS21105,-0.340331635,0.48556325,0.814946619,WP_010951896.1,PP_0638,IS66 family insertion sequence element accessory protein TnpB,,
gene-M8001_RS03440,-0.089941756,0.759198263,0.929608378,WP_010951897.1,PP_0639,DUF4276 family protein,,
gene-M8001_RS03445,0.092653851,0.779712665,0.936373,WP_010951898.1,PP_0640,ATP-binding protein,,
gene-M8001_RS03450,0.483926258,0.165405602,0.536384174,WP_010951899.1,PP_0641,helix-turn-helix domain-containing protein,,
gene-M8001_RS03460,0.604582376,0.176591587,0.548697631,WP_010951900.1,PP_0642,YitT family protein,,
gene-M8001_RS03465,-0.086418885,0.86375975,0.966497491,WP_010951901.1,PP_0643,hypothetical protein,,
gene-M8001_RS03475,0.033664612,0.959380798,0.993485106,WP_010951904.1,PP_0646,PAAR domain-containing protein,,
gene-M8001_RS03480,-0.323955493,0.333674004,0.708275744,WP_010951905.1,PP_0647,hypothetical protein,,
gene-M8001_RS03485,-0.274386528,0.455843806,0.797390893,WP_010951906.1,PP_0648,GFA family protein,,
gene-M8001_RS03490,-0.291531352,0.377282567,0.742890731,WP_010951907.1,PP_0649,NUDIX domain-containing protein,,
gene-M8001_RS03500,0.307608299,0.321408204,0.697632282,WP_010951909.1,PP_0651,GNAT family N-acetyltransferase,,
gene-M8001_RS03510,0.283166986,0.609909224,0.875854122,WP_010951910.1,PP_0652,gluconate:H+ symporter,,
gene-M8001_RS03530,-0.185683481,0.6231961,0.880064208,WP_010951914.1,PP_0656,amino acid ABC transporter permease,,
gene-M8001_RS03545,0.115104841,0.775911528,0.935165116,WP_010951917.1,PP_0659,cystathionine gamma-synthase family protein,,
gene-M8001_RS03550,0.245711097,0.552138163,0.852583899,WP_010951918.1,PP_0660,amino acid permease,,
gene-M8001_RS03555,0.086178237,0.771311722,0.934022874,WP_010951919.1,PP_0661,LysR substrate-binding domain-containing protein,,
gene-M8001_RS03560,0.311551353,0.344377289,0.715929732,WP_010951920.1,PP_0662,threonine synthase,,
gene-M8001_RS03565,0.191546878,0.634691342,0.88479844,WP_010951921.1,PP_0663,Lrp/AsnC family transcriptional regulator,,
gene-M8001_RS03570,0.603621232,0.166758855,0.53745998,WP_010951922.1,PP_0664,homoserine dehydrogenase,,
gene-M8001_RS03575,0.724252391,0.031207089,0.242503345,WP_010951923.1,PP_0665,aldehyde dehydrogenase family protein,,
gene-M8001_RS03585,0.536656756,0.140944768,0.498621852,WP_010951925.1,PP_0667,sigma-70 family RNA polymerase sigma factor,,
gene-M8001_RS03590,-0.013922916,0.969517304,0.997019452,WP_010951926.1,PP_0668,FecR family protein,,
gene-M8001_RS03595,0.313455287,0.307326081,0.682572403,WP_010951927.1,PP_0669,TonB-dependent receptor,,
gene-M8001_RS03600,-0.600401487,0.125153022,0.471515142,WP_010951928.1,PP_0670,bile acid:sodium symporter,,
gene-M8001_RS03610,-0.35580463,0.293367976,0.670628761,WP_010951929.1,PP_0672,EAL domain-containing protein,,
gene-M8001_RS03620,0.159358851,0.663523539,0.897130899,WP_010951931.1,PP_0674,energy-dependent translational throttle protein EttA,,
gene-M8001_RS03630,0.497522974,0.182835139,0.553063048,WP_010951933.1,PP_0676,GreA/GreB family elongation factor,,
gene-M8001_RS03655,0.400828841,0.195118566,0.567980788,WP_010951936.1,PP_0681,hypothetical protein,,
gene-M8001_RS03675,0.003985339,0.992254905,1,WP_010951938.1,PP_0685,hypothetical protein,,
gene-M8001_RS03680,-0.08089276,0.827811483,0.955285914,WP_010951939.1,PP_0686,zinc ribbon domain-containing protein YjdM,,
gene-M8001_RS03685,-0.768626821,0.043501454,0.288059122,WP_010951940.1,PP_0687,polyprenyl synthetase family protein,,
gene-M8001_RS03710,0.197095698,0.494021877,0.820957374,WP_010951941.1,PP_0692,CreA family protein,,
gene-M8001_RS03715,0.071555627,0.858933819,0.965441721,WP_010951942.1,PP_0693,Mks condensin complex protein MksF,,
gene-M8001_RS03735,-0.471451174,0.096773951,0.416006251,WP_010951945.1,PP_0697,ribosomal protein S18-alanine N-acetyltransferase,,
gene-M8001_RS03745,0.309933969,0.4236736,0.774335847,WP_010951946.1,PP_0698,LysR substrate-binding domain-containing protein,,
gene-M8001_RS03750,-0.000657381,1,1,WP_010951947.1,PP_0699,LysE family transporter,,
gene-M8001_RS03765,-0.047957214,0.866692136,0.96774563,WP_010951949.1,PP_0701,MFS transporter,,
gene-M8001_RS03775,0.287695002,0.5245327,0.834210627,WP_010951950.1,PP_0702,MFS transporter,,
gene-M8001_RS03785,-0.144118457,0.669257891,0.899246343,WP_010951952.1,PP_0704,sigma-70 family RNA polymerase sigma factor,,
gene-M8001_RS03790,0.335577629,0.28096338,0.658695447,WP_010951953.1,PP_0705,DNA-3-methyladenine glycosylase,,
gene-M8001_RS03795,0.054870418,0.894214743,0.976569427,WP_010951954.1,PP_0706,bifunctional DNA-binding transcriptional regulator/O6-methylguanine-DNA methyltransferase Ada,,
gene-M8001_RS03805,0.114855189,0.747777986,0.92572656,WP_010951956.1,PP_0708,aldehyde dehydrogenase family protein,,
gene-M8001_RS03810,0.719928851,0.09335187,0.413317396,WP_010951957.1,PP_0709,cytosine permease,,
gene-M8001_RS03820,1.111943793,0.001208898,0.027476783,WP_010951959.1,PP_0711,hydrolase,,
gene-M8001_RS03825,1.001021995,0.005479736,0.079646969,WP_010951960.1,PP_0712,polyphosphate kinase 2,,
gene-M8001_RS03830,0.654966832,0.082491363,0.390244727,WP_010951961.1,PP_0713,monovalent cation:proton antiporter-2 (CPA2) family protein,,
gene-M8001_RS03835,0.171918289,0.635162397,0.88479844,WP_010951962.1,PP_0714,AI-2E family transporter,,
gene-M8001_RS03840,-0.195512105,0.650920826,0.8907697,WP_010951963.1,PP_0715,TolC family protein,,
gene-M8001_RS03845,-0.65933673,0.15603553,0.526301718,WP_010951964.1,PP_0716,HlyD family secretion protein,,
gene-M8001_RS03850,-0.014162251,1,1,WP_010951965.1,PP_0717,DUF2955 domain-containing protein,,
gene-M8001_RS03855,0.618171421,0.076109622,0.375368625,WP_010951966.1,PP_0718,sulfate permease,,
gene-M8001_RS03885,-0.582822516,0.092069989,0.410484383,WP_010951968.1,PP_0723,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,,
gene-M8001_RS03890,-0.542657748,0.058266103,0.334101676,WP_010951969.1,PP_0724,lipoprotein insertase outer membrane protein LolB,,
gene-M8001_RS03895,-0.214401984,0.496205808,0.821708,WP_010951970.1,PP_0725,tetratricopeptide repeat protein,,
gene-M8001_RS03905,-0.140203526,0.67198729,0.899409896,WP_010951971.1,PP_0726,phosphocholine cytidylyltransferase family protein,,
gene-M8001_RS03910,-0.878065036,0.009895923,0.116561916,WP_010951972.1,PP_0727,type 1 glutamine amidotransferase,,
gene-M8001_RS03915,-0.24338825,0.462395615,0.800258812,WP_010951973.1,PP_0728,PEP-utilizing enzyme,,
gene-M8001_RS03920,-0.272467904,0.367586266,0.732645201,WP_010951974.1,PP_0729,phosphoenolpyruvate synthase,,
gene-M8001_RS03925,-0.047768992,0.908282107,0.978419433,WP_010951975.1,PP_0730,ATP-grasp domain-containing protein,,
gene-M8001_RS03935,-0.30635318,0.293767677,0.670838493,WP_010951977.1,PP_0732,glutamyl-tRNA reductase,,
gene-M8001_RS03940,-0.426446941,0.183788139,0.554254422,WP_010951978.1,PP_0733,peptide chain release factor 1,,
gene-M8001_RS03945,-0.246780543,0.421820716,0.774283178,WP_010951979.1,PP_0734,peptide chain release factor N(5)-glutamine methyltransferase,,
gene-M8001_RS03950,-0.268482522,0.364268504,0.730202397,WP_010951980.1,PP_0735,molybdopterin-synthase adenylyltransferase MoeB,,
gene-M8001_RS03955,-0.147827521,0.624778978,0.880869146,WP_010951981.1,PP_0736,glutamate racemase,,
gene-M8001_RS03965,1.889745073,4.95001E-06,0.00037984,WP_010951983.1,PP_0738,SDR family oxidoreductase,,
gene-M8001_RS03970,2.348637131,5.46011E-09,7.49759E-07,WP_010951984.1,PP_0739,deoxyribodipyrimidine photo-lyase,,
gene-M8001_RS03975,3.288862407,1.42766E-13,4.96634E-11,WP_010951985.1,PP_0740,MerR family transcriptional regulator,,
gene-M8001_RS03980,3.169906631,1.67235E-09,2.64434E-07,WP_010951986.1,PP_0741,DUF523 and DUF1722 domain-containing protein,,
gene-M8001_RS03985,2.280034226,3.48766E-08,3.714E-06,WP_010951987.1,PP_0742,NAD(P)/FAD-dependent oxidoreductase,,
gene-M8001_RS03990,2.10129743,1.2324E-08,1.42904E-06,WP_010951988.1,PP_0743,TIGR01777 family oxidoreductase,,
gene-M8001_RS03995,1.243602542,2.71073E-05,0.001370754,WP_010951989.1,PP_0744,ferrochelatase,,
gene-M8001_RS04010,-0.080959559,0.772422345,0.93436022,WP_010951990.1,PP_0747,hypoxanthine-guanine phosphoribosyltransferase,,
gene-M8001_RS04015,-0.180961347,0.597420971,0.871626879,WP_010951991.1,PP_0748,WbuC family cupin fold metalloprotein,,
gene-M8001_RS04030,-0.686135953,0.057745109,0.332943624,WP_010951993.1,PP_0751,malate dehydrogenase (quinone),,
gene-M8001_RS04040,0.114365561,0.704402835,0.909172866,WP_010951995.1,PP_0753,YajG family lipoprotein,,
gene-M8001_RS04060,1.249738968,0.002469529,0.046186397,WP_010951999.1,PP_0757,CPXCG motif-containing cysteine-rich protein,,
gene-M8001_RS04070,-0.017838721,0.960136317,0.993485106,WP_010952000.1,PP_0758,SOS response-associated peptidase,,
gene-M8001_RS04085,-0.644220749,0.039188244,0.27447551,WP_010952002.1,PP_0761,class I SAM-dependent methyltransferase,,
gene-M8001_RS04090,0.108011948,0.721826641,0.916962197,WP_010952003.1,PP_0762,2-hydroxyacid dehydrogenase,,
gene-M8001_RS04095,0.996884071,0.007497763,0.097808324,WP_010952004.1,PP_0763,fatty acid--CoA ligase,,
gene-M8001_RS04100,0.453550692,0.211132283,0.584443984,WP_010952006.1,PP_0765,DUF1302 domain-containing protein,,
gene-M8001_RS04105,-0.203296709,0.56648251,0.859035107,WP_010952007.1,PP_0766,DUF1329 domain-containing protein,,
gene-M8001_RS04110,0.868520521,0.046946723,0.298377592,WP_010952008.1,PP_0767,LuxR C-terminal-related transcriptional regulator,,
gene-M8001_RS04120,0.461659702,0.173594057,0.545342438,WP_010952009.1,PP_0769,HAMP domain-containing histidine kinase,,
gene-M8001_RS04130,0.274805984,0.403970852,0.761446816,WP_010952011.1,PP_0771,type II toxin-antitoxin system ChpB family toxin,,
gene-M8001_RS04135,0.469710785,0.161977509,0.532912133,WP_010952012.1,PP_0772,MBL fold metallo-hydrolase,,
gene-M8001_RS04145,-0.015487288,0.955851729,0.993485106,WP_010952014.1,PP_0774,phosphate acetyltransferase,,
gene-M8001_RS04150,0.099852424,0.735770043,0.921961393,WP_010952015.1,PP_0775,DUF3565 domain-containing protein,,
gene-M8001_RS04165,0.421362314,0.211515609,0.584580747,WP_010952016.1,PP_0778,glycosyltransferase family 1 protein,,
