Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1.1,Light 3.1,Light 5.1,Light Glu nM 1.1,Light Glu nM 3.1,Light Glu nM 4.1,Light Glu mM 1.1,Light Glu mM 3.1,Light Glu mM 4.1,Darkness 1.1,Darkness 3.1,Darkness 5.1,Darkness Glu nM 1.1,Darkness Glu nM 3.1,Darkness Glu nM 5.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Alteromonas_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,t.test G nM/L,FC G nM/L,t.test G mM/L,FC GmM/L,t.test G nM/O,FC G nM/D,t.test G mM/O,FC G mM/D,Alteromonas_SS120.1,locus_tag_deh24,log2_FC_light_low_glucose,log2_FC_light_high_glucose,log2_FC_dark_low_glucose,log2_FC_dark_high_glucose,t_test_light_low_glucose,t_test_light_high_glucose,t_test_dark_low_glucose,t_test_dark_high_glucose,resolved_locus_tag,resolution_method
A0A359K020,2,2,6.92573,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1,214966.7,279748.7,813307.9,242735.0,1103966.0,270592.7,1227203.0,568518.3,1728395.0,9907670.0,11923184.0,17624462.0,11432744.0,204170.9,491356.8,112223.9,318305.9,478784.4,536944.9,399051.8,575063.3,291203.3,986021.8,494231.7,20338452.0,4322985.0,2286359.0,0.000393,0.000641,0.001013,0.000403,0.000691,0.00051,0.007739,0.004068,0.007084,0.000272,0.000298,0.001167,0.000645,0.000473,0.000497,0.011339,0.008886,0.005193,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1,0.000682,0.000535,0.006297,0.000579,0.004103,0.00492,0.247,0.78,0.02,9.23,0.456,7.09,0.031,8.5,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1,DEH24_02300,-0.3584539709124763,3.2063306478710496,2.8257856274647914,3.0874628412503395,0.247,0.02,0.456,0.031,,unresolved
A0A359K825,3,3,10.00101,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1,2868542.0,2552896.0,3832432.0,2735077.0,1944146.0,2905936.0,2375710.0,3642323.0,3344473.0,8396046.0,9850656.0,26396881.0,5075735.0,437369.3,4201295.0,996709.5,1221497.0,1596733.0,3761335.0,2855081.0,3563568.0,475601.8,4169260.0,3289818.0,2493619.0,5113513.0,3682585.0,0.005248,0.00302,0.001783,0.004328,0.004425,0.000988,0.006559,0.006093,0.003145,0.000582,0.002646,0.003891,0.004617,0.000773,0.00331,0.00139,0.010511,0.008364,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1,0.003351,0.003247,0.005265,0.002373,0.001825,0.007409,0.452,0.97,0.04,1.57,0.398,0.77,0.082,3.12,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1,DEH24_15900,-0.043943347587597,0.6507645591169023,-0.3770696490798233,1.6415460290875237,0.452,0.04,0.398,0.082,,unresolved
A0A359K126,3,3,10.14949,Adenylyl-sulfate kinase OS=Alteromonas sp. OX=232 GN=cysC PE=3 SV=1,542554.4,584459.3,210397.6,91814.9,222364.1,200084.3,920175.1,379866.9,736269.9,1476882.0,1255919.0,6983586.0,1159960.0,99530.54,594034.1,289357.6,261481.5,92492.59,2969266.0,261394.1,328407.9,245260.9,778723.6,227115.1,2933479.0,448949.7,793664.5,0.000993,0.000166,0.000204,0.000298,0.000462,0.000217,0.001154,0.001612,0.000719,0.000132,0.000768,0.000225,0.000423,0.000399,0.000229,0.001635,0.000923,0.001803,Adenylyl-sulfate kinase OS=Alteromonas sp. OX=232 GN=cysC PE=3 SV=1,0.000454,0.000326,0.001161,0.000375,0.000754,0.00106,0.353,0.72,0.103,2.56,0.453,2.01,0.072,2.82,Adenylyl-sulfate kinase OS=Alteromonas sp. OX=232 GN=cysC PE=3 SV=1,,-0.4739311883324124,1.3561438102252754,1.0071955014042038,1.4956951626240689,0.353,0.103,0.453,0.072,,empty
A0A359K3R5,2,2,16.78872,Alanine dehydrogenase OS=Alteromonas sp. OX=232 GN=ald PE=3 SV=1,63665.23,76810.66,200223.3,59708.27,154182.4,109002.0,243939.2,150043.9,219870.5,1785273.0,534128.5,5386416.0,162354.7,25383.1,100778.3,25192.67,57911.93,54301.05,342958.9,89287.34,187800.9,76748.53,142229.1,105140.2,744048.3,86737.74,35724.98,0.000116,0.000158,0.000141,0.000162,0.000182,6.49e-05,0.001395,0.001243,0.000101,3.38e-05,6.69e-05,0.000132,0.000144,0.000125,0.000106,0.000415,0.000178,8.11e-05,Alanine dehydrogenase OS=Alteromonas sp. OX=232 GN=ald PE=3 SV=1,0.000139,0.000137,0.000913,7.77e-05,0.000215,0.000133,0.481,0.99,0.1,6.59,0.179,2.77,0.182,1.71,Alanine dehydrogenase OS=Alteromonas sp. OX=232 GN=ald PE=3 SV=1,,-0.014499569695115,2.720278465233327,1.4698859762744636,0.7739963251111731,0.481,0.1,0.179,0.182,,empty
A0A359K3B3,4,4,19.32809,Alanine--tRNA ligase OS=Alteromonas sp. OX=232 GN=alaS PE=3 SV=1,111806.9,235746.7,230553.5,84004.64,315530.1,533381.5,427803.5,80296.5,621197.5,1315380.0,3223364.0,7607339.0,3150704.0,90525.19,370914.1,64149.3,130684.6,49659.24,1964295.0,212081.1,1377116.0,116381.4,462497.2,226924.0,3296360.0,1018787.0,673877.5,0.000205,0.000182,0.000289,0.000794,9.76e-05,0.000183,0.001028,0.001756,0.001952,0.00012,0.00017,0.000121,0.000343,0.000189,0.000228,0.001838,0.002094,0.001531,Alanine--tRNA ligase OS=Alteromonas sp. OX=232 GN=alaS PE=3 SV=1,0.000225,0.000358,0.001579,0.000137,0.000752,0.001283,0.309,1.59,0.018,7.01,0.094,5.48,0.004,9.35,Alanine--tRNA ligase OS=Alteromonas sp. OX=232 GN=alaS PE=3 SV=1,,0.6690267655096307,2.8094144442358986,2.454175893185802,3.2249663650002742,0.309,0.018,0.094,0.004,,empty
A0A359K159,5,5,26.88243,Alkyl hydroperoxide reductase C OS=Alteromonas sp. OX=232 GN=DEH24_01620 PE=3 SV=1,463684.9,299424.5,289294.4,170477.7,638460.7,551179.2,501730.4,976897.8,728891.1,13442171.0,30927441.0,71407473.0,27899061.0,125486.5,748809.6,87097.14,158671.7,382154.9,1557660.0,226021.2,456924.3,113708.3,209202.3,460466.3,10330325.0,8659260.0,8131757.0,0.000848,0.000228,0.000586,0.000821,0.001187,0.000215,0.0105,0.016482,0.017287,0.000167,0.000231,0.000931,0.000365,0.000185,0.000463,0.005759,0.0178,0.01847,Alkyl hydroperoxide reductase C OS=Alteromonas sp. OX=232 GN=DEH24_01620 PE=3 SV=1,0.000554,0.000741,0.014756,0.000443,0.002136,0.012274,0.343,1.34,0.012,26.64,0.321,4.82,0.038,27.7,Alkyl hydroperoxide reductase C OS=Alteromonas sp. OX=232 GN=DEH24_01620 PE=3 SV=1,DEH24_01620,0.4222330006830478,4.735522177296538,2.269033146455237,4.791814071161826,0.343,0.012,0.321,0.038,,unresolved
A0A359K7Z8,2,2,5.855048,Aminotransferase OS=Alteromonas sp. OX=232 GN=DEH24_16445 PE=3 SV=1,200752.2,70664.65,266776.6,124145.4,571435.0,235458.6,689667.6,206946.6,812786.2,793526.9,2554398.0,3826745.0,3062798.0,183733.0,697100.6,83856.17,212553.5,140929.3,643053.3,200574.0,274443.4,169040.7,270762.5,328162.2,3182913.0,768903.4,308152.9,0.000367,0.00021,0.000524,0.000351,0.000251,0.00024,0.00062,0.000883,0.001898,0.000244,0.000223,0.000343,0.000324,0.000275,0.00033,0.001774,0.001581,0.0007,Aminotransferase OS=Alteromonas sp. OX=232 GN=DEH24_16445 PE=3 SV=1,0.000367,0.000281,0.001134,0.00027,0.000793,0.000883,0.239,0.76,0.072,3.09,0.144,2.94,0.049,3.27,Aminotransferase OS=Alteromonas sp. OX=232 GN=DEH24_16445 PE=3 SV=1,DEH24_16445,-0.3959286763311392,1.6276068381296498,1.5558161550616396,1.709290635723358,0.239,0.072,0.144,0.049,,unresolved
A0A359JZQ6,3,3,10.53684,Arginine--tRNA ligase OS=Alteromonas sp. OX=232 GN=argS PE=3 SV=1,269129.7,70615.61,525419.2,251152.2,886373.3,338799.2,412560.0,268246.2,1386482.0,2150441.0,1728119.0,3318491.0,2111045.0,122234.7,107639.8,144888.6,63917.76,162426.0,448368.0,592925.4,979956.0,52623.08,118377.3,434008.1,2803945.0,490592.8,2703853.0,0.000492,0.000414,0.000813,0.000505,0.000326,0.000409,0.00168,0.000766,0.001308,0.000163,0.000385,0.000396,0.000959,8.55e-05,0.000437,0.001563,0.001008,0.006141,Arginine--tRNA ligase OS=Alteromonas sp. OX=232 GN=argS PE=3 SV=1,0.000573,0.000413,0.001251,0.000314,0.000695,0.002574,0.165,0.72,0.06,2.18,0.318,2.21,0.123,8.19,Arginine--tRNA ligase OS=Alteromonas sp. OX=232 GN=argS PE=3 SV=1,,-0.4739311883324124,1.124328135002202,1.144046369616707,3.033863451866284,0.165,0.06,0.318,0.123,,empty
A0A359K7X4,3,3,24.08812,Asparagine--tRNA ligase OS=Alteromonas sp. OX=232 GN=asnS PE=3 SV=1,88225.8,229298.7,773957.1,248466.1,672057.5,882194.7,419122.8,211680.8,812891.6,3307416.0,4303731.0,7830280.0,3576607.0,150614.8,448443.3,54941.8,65638.6,89780.05,868036.0,486684.5,155875.5,292061.1,678000.3,270777.1,4935100.0,390493.1,142823.2,0.000161,0.00061,0.000616,0.001314,0.000257,0.00024,0.002584,0.001807,0.002216,0.0002,0.000146,0.000219,0.000787,0.000475,0.000272,0.002751,0.000803,0.000324,Asparagine--tRNA ligase OS=Alteromonas sp. OX=232 GN=asnS PE=3 SV=1,0.000463,0.000604,0.002202,0.000188,0.001166,0.00053,0.403,1.3,0.02,4.76,0.085,6.19,0.137,2.81,Asparagine--tRNA ligase OS=Alteromonas sp. OX=232 GN=asnS PE=3 SV=1,,0.3785116232537298,2.250961573533219,2.62993940943954,1.4905701304462011,0.403,0.02,0.085,0.137,,empty
A0A359K499,2,2,8.88261,Aspartate transcarbamylase OS=Alteromonas sp. OX=232 GN=DEH24_08800 PE=3 SV=1,15853.51,15741.64,54687.04,6640.108,38087.27,12426.0,75588.36,19484.47,113990.8,7769.469,673235.4,1185587.0,424998.3,4415.23,13571.94,2958.602,21056.33,4452.337,46426.78,18589.39,45499.46,11137.88,15300.11,31425.82,788626.7,90439.63,23326.46,2.9e-05,4.31e-05,3.49e-05,1.85e-05,2.37e-05,3.37e-05,6.07e-06,0.000274,0.000263,5.87e-06,7.85e-06,1.09e-05,3.01e-05,1.81e-05,3.16e-05,0.00044,0.000186,5.3e-05,Aspartate transcarbamylase OS=Alteromonas sp. OX=232 GN=DEH24_08800 PE=3 SV=1,3.57e-05,2.53e-05,0.000181,8.19e-06,0.000163,9.15e-05,0.093,0.71,0.113,5.07,0.024,19.91,0.099,11.17,Aspartate transcarbamylase OS=Alteromonas sp. OX=232 GN=DEH24_08800 PE=3 SV=1,DEH24_08800,-0.4941090702700427,2.341985747228616,4.315421315945778,3.48155728070859,0.093,0.113,0.024,0.099,,unresolved
A0A359K070,2,2,7.373565,Aspartate-semialdehyde dehydrogenase OS=Alteromonas sp. OX=232 GN=asd PE=3 SV=1,215714.7,353667.3,693303.9,231357.4,938291.2,719830.2,2581942.0,368483.9,1625825.0,9967067.0,8384785.0,31691303.0,10117414.0,286065.0,900758.4,195401.3,539341.7,264010.4,8041998.0,349696.0,1797415.0,302260.2,444881.6,525089.6,6909705.0,1884647.0,3483111.0,0.000395,0.000546,0.000861,0.001072,0.000448,0.00048,0.007786,0.007315,0.006269,0.000381,0.000519,0.000643,0.000565,0.000491,0.000528,0.003852,0.003874,0.007911,Aspartate-semialdehyde dehydrogenase OS=Alteromonas sp. OX=232 GN=asd PE=3 SV=1,0.000601,0.000667,0.007123,0.000514,0.001624,0.004129,0.427,1.11,0.004,11.86,0.444,3.16,0.034,8.03,Aspartate-semialdehyde dehydrogenase OS=Alteromonas sp. OX=232 GN=asd PE=3 SV=1,,0.1505596765753813,3.568032104771279,1.6599245584023783,3.0053999877425897,0.427,0.004,0.444,0.034,,empty
A0A359K568,7,7,50.25216,ATP synthase subunit beta OS=Alteromonas sp. OX=232 GN=atpD PE=3 SV=1,34029948.0,49555293.0,82852562.0,36142471.0,126000000.0,56099254.0,291000000.0,63884083.0,374000000.0,14523775.0,10391007.0,47498102.0,6175196.0,30792436.0,103000000.0,14639076.0,50691531.0,26351374.0,191000000.0,40995323.0,193000000.0,39562874.0,159000000.0,68150946.0,29976346.0,2381237.0,2855513.0,0.062259,0.065296,0.115598,0.083547,0.077613,0.110379,0.011345,0.010963,0.003826,0.040971,0.038862,0.06422,0.06629,0.064302,0.068576,0.016712,0.004895,0.006486,ATP synthase subunit beta OS=Alteromonas sp. OX=232 GN=atpD PE=3 SV=1,0.081051,0.090513,0.008712,0.048018,0.049863,0.030811,0.174,1.12,0.034,0.11,0.06,1.04,0.03,0.64,ATP synthase subunit beta OS=Alteromonas sp. OX=232 GN=atpD PE=3 SV=1,,0.1634987322828795,-3.1844245711374275,0.0565835283663675,-0.6438561897747247,0.174,0.034,0.06,0.03,,empty
A0A359K7E3,5,5,21.16425,ATP-sulfurylase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11560 PE=3 SV=1,694815.4,698833.4,1110220.0,474263.2,2112090.0,497413.2,2446753.0,1080108.0,3668821.0,8204612.0,6491901.0,9638061.0,5809319.0,343309.3,2493292.0,153602.6,561237.6,309650.8,1256940.0,752248.3,760117.4,367044.2,485942.6,718945.5,7418179.0,3293647.0,1056655.0,0.001271,0.000875,0.001937,0.000741,0.001312,0.001083,0.006409,0.002225,0.0036,0.000457,0.000408,0.000755,0.001216,0.000597,0.000723,0.004136,0.00677,0.0024,ATP-sulfurylase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11560 PE=3 SV=1,0.001361,0.001045,0.004078,0.00054,0.001819,0.00351,0.251,0.77,0.077,3.0,0.162,3.37,0.052,6.5,ATP-sulfurylase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11560 PE=3 SV=1,DEH24_11560,-0.3770696490798233,1.584962500721156,1.752748591407134,2.700439718141092,0.251,0.077,0.162,0.052,,unresolved
A0A359K1I4,2,2,9.002324,Beta sliding clamp OS=Alteromonas sp. OX=232 GN=DEH24_01275 PE=3 SV=1,14364.69,7706.973,11345.1,2656.733,8586.95,13661.32,18205.55,3448.01,17633.17,1529825.0,1525597.0,2040154.0,1105181.0,4288.272,8864.351,2155.615,5648.146,2107.547,178882.2,17503.11,123359.5,1790.719,13767.28,4832.722,1771160.0,173148.9,73952.6,2.63e-05,8.94e-06,7.88e-06,2.03e-05,4.19e-06,5.21e-06,0.001195,0.000471,0.000685,5.71e-06,5.72e-06,5.14e-06,2.83e-05,2.91e-06,4.86e-06,0.000987,0.000356,0.000168,Beta sliding clamp OS=Alteromonas sp. OX=232 GN=DEH24_01275 PE=3 SV=1,1.44e-05,9.91e-06,0.000784,5.52e-06,0.000332,0.000179,0.022,0.69,0.033,54.54,0.253,60.08,0.091,32.49,Beta sliding clamp OS=Alteromonas sp. OX=232 GN=DEH24_01275 PE=3 SV=1,DEH24_01275,-0.5353317329965558,5.7692427951405385,5.908812907739547,5.021923838554759,0.022,0.033,0.253,0.091,,unresolved
A0A359K934,2,2,6.468307,Beta-ketoacyl-ACP synthase I OS=Alteromonas sp. OX=232 GN=DEH24_18145 PE=3 SV=1,91197.57,72517.63,114906.0,43612.41,379257.9,65907.3,786034.7,70795.58,2148043.0,2025474.0,3036867.0,6667625.0,870783.8,28164.73,136590.3,30812.78,138292.9,81975.68,805199.4,108390.7,133673.7,94135.17,1328173.0,132395.1,2111685.0,801128.4,414793.7,0.000167,9.06e-05,0.000348,9.82e-05,8.6e-05,0.000634,0.001582,0.001539,0.00054,3.75e-05,8.18e-05,0.0002,0.000175,0.000153,0.000133,0.001177,0.001647,0.000942,Beta-ketoacyl-ACP synthase I OS=Alteromonas sp. OX=232 GN=DEH24_18145 PE=3 SV=1,0.000202,0.000273,0.00122,0.000106,0.000488,0.00093,0.291,1.35,0.066,6.05,0.256,4.59,0.02,8.75,Beta-ketoacyl-ACP synthase I OS=Alteromonas sp. OX=232 GN=DEH24_18145 PE=3 SV=1,DEH24_18145,0.4329594072761062,2.596935142387232,2.1984941536390834,3.1292830169449664,0.291,0.066,0.256,0.02,,unresolved
A0A359K2G9,2,2,6.939432,Bifunctional aspartokinase/homoserine dehydrogenase OS=Alteromonas sp. OX=232 GN=DEH24_06550 PE=3 SV=1,119379.4,81840.58,169353.7,35388.86,167013.7,133704.8,460932.5,73097.34,274893.9,230528.5,973729.3,3465625.0,1470641.0,48238.22,205344.7,36147.26,52638.44,34970.02,280142.7,215254.9,83628.25,44602.61,63913.44,76836.46,731565.7,208037.5,567865.5,0.000218,0.000133,0.000153,0.000199,8.88e-05,8.12e-05,0.00018,0.0008,0.000911,6.42e-05,9.6e-05,8.52e-05,0.000348,7.25e-05,7.73e-05,0.000408,0.000428,0.00129,Bifunctional aspartokinase/homoserine dehydrogenase OS=Alteromonas sp. OX=232 GN=DEH24_06550 PE=3 SV=1,0.000168,0.000123,0.00063,8.18e-05,0.000186,0.000629,0.048,0.73,0.104,3.74,0.244,2.27,0.081,7.69,Bifunctional aspartokinase/homoserine dehydrogenase OS=Alteromonas sp. OX=232 GN=DEH24_06550 PE=3 SV=1,DEH24_06550,-0.4540316308947075,1.903038270112912,1.1826922975161902,2.942983598187102,0.048,0.104,0.244,0.081,,unresolved
A0A359K6K3,5,5,32.93282,Bifunctional purine biosynthesis protein PurH OS=Alteromonas sp. OX=232 GN=purH PE=3 SV=1,5543361.0,3443743.0,8889937.0,3191964.0,11060912.0,5651076.0,14639541.0,6829841.0,15196489.0,5955071.0,6979800.0,25384424.0,4797048.0,4428825.0,2062417.0,1824798.0,3577760.0,2315573.0,7913539.0,7069068.0,4290014.0,5347213.0,6200570.0,5466511.0,10673286.0,1169044.0,2191633.0,0.010142,0.007006,0.010145,0.008416,0.008298,0.004487,0.004652,0.005859,0.002972,0.005893,0.004844,0.005643,0.011431,0.008691,0.005501,0.00595,0.002403,0.004978,Bifunctional purine biosynthesis protein PurH OS=Alteromonas sp. OX=232 GN=purH PE=3 SV=1,0.009098,0.007067,0.004494,0.00546,0.006714,0.005493,0.21,0.78,0.062,0.49,0.104,1.23,0.152,1.01,Bifunctional purine biosynthesis protein PurH OS=Alteromonas sp. OX=232 GN=purH PE=3 SV=1,,-0.3584539709124763,-1.0291463456595165,0.2986583155645151,0.01435529297707,0.21,0.062,0.104,0.152,,empty
A0A359JZP2,15,15,86.88854,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,1594515.0,3101393.0,4413342.0,946194.7,4421412.0,1780737.0,14165318.0,1944107.0,10594386.0,49538982.0,30080092.0,114000000.0,44329207.0,1427284.0,5753416.0,626299.9,2497954.0,1244864.0,7819607.0,2351255.0,11897138.0,1460740.0,19413932.0,2363876.0,61538451.0,8919685.0,5224449.0,0.002917,0.003478,0.004055,0.002652,0.002362,0.003128,0.038698,0.026342,0.027467,0.001899,0.001663,0.003034,0.003802,0.002374,0.002379,0.034308,0.018335,0.011866,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,0.003484,0.002714,0.030836,0.002198,0.01302,0.011228,0.048,0.78,0.011,8.85,0.235,5.92,0.054,5.11,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,,-0.3584539709124763,3.145677455195635,2.565597175854225,2.3533232911628965,0.048,0.011,0.235,0.054,,empty
A0A359K737,3,3,17.88126,Chemotaxis protein CheW OS=Alteromonas sp. OX=232 GN=DEH24_14130 PE=4 SV=1,438800.8,442753.8,876895.8,326497.6,602758.3,209113.7,947650.9,146986.8,818295.2,11639611.0,5984567.0,20185048.0,8396773.0,120261.7,326693.4,53981.03,200244.1,139953.9,3163484.0,229582.9,1048969.0,76543.57,578776.9,600315.4,7968355.0,2427215.0,1078582.0,0.000803,0.000691,0.000553,0.000311,0.000179,0.000242,0.009092,0.004659,0.005203,0.00016,0.000143,0.000341,0.000371,0.000124,0.000604,0.004442,0.004989,0.00245,Chemotaxis protein CheW OS=Alteromonas sp. OX=232 GN=DEH24_14130 PE=4 SV=1,0.000682,0.000244,0.006318,0.000215,0.001724,0.002707,0.01,0.36,0.026,9.26,0.111,8.02,0.023,12.6,Chemotaxis protein CheW OS=Alteromonas sp. OX=232 GN=DEH24_14130 PE=4 SV=1,DEH24_14130,-1.4739311883324124,3.211012193485512,3.0036022366801958,3.655351828612554,0.01,0.026,0.111,0.023,,unresolved
A0A359K8X0,2,2,7.494473,Chemotaxis protein CheY OS=Alteromonas sp. OX=232 GN=DEH24_17180 PE=4 SV=1,109.0605,98.0812,1779.208,211.2385,411.6364,3455.501,12831.95,231.2034,406.7875,4764.689,68510.12,1323461.0,175133.4,336.4371,1662.749,256.2953,517.3355,359.1946,18588.24,1012.906,3925.782,969.1679,0.0,0.0,254144.3,10696.85,127566.6,2e-07,1.4e-06,3.78e-07,5.15e-06,2.81e-07,1.2e-07,3.72e-06,0.000305,0.000109,4.48e-07,6.8e-07,8.75e-07,1.64e-06,1.58e-06,0.0,0.000142,2.2e-05,0.00029,Chemotaxis protein CheY OS=Alteromonas sp. OX=232 GN=DEH24_17180 PE=4 SV=1,6.6e-07,1.85e-06,0.000139,6.68e-07,4.78e-05,0.000104,0.297,2.8,0.128,211.04,0.298,71.51,0.096,155.93,Chemotaxis protein CheY OS=Alteromonas sp. OX=232 GN=DEH24_17180 PE=4 SV=1,DEH24_17180,1.4854268271702418,7.72137265947682,6.160073098199723,7.284754710417678,0.297,0.128,0.298,0.096,,unresolved
A0A359K1Y4,4,4,30.09138,Citrate synthase OS=Alteromonas sp. OX=232 GN=gltA PE=3 SV=1,819925.3,849502.5,594798.4,449742.3,882447.7,968070.9,2523594.0,206276.3,1529653.0,958203.9,5510771.0,10841604.0,11703672.0,269777.4,416330.4,382130.1,779632.5,448162.7,798495.1,431170.8,732390.3,478325.4,895704.5,586427.6,7586297.0,2456975.0,1756858.0,0.0015,0.000469,0.000809,0.001442,0.000251,0.000452,0.000749,0.002502,0.007252,0.000359,0.001014,0.001092,0.000697,0.000777,0.00059,0.004229,0.00505,0.00399,Citrate synthase OS=Alteromonas sp. OX=232 GN=gltA PE=3 SV=1,0.000926,0.000715,0.003501,0.000822,0.001866,0.003322,0.067,0.77,0.172,3.78,0.322,2.27,0.005,4.04,Citrate synthase OS=Alteromonas sp. OX=232 GN=gltA PE=3 SV=1,,-0.3770696490798233,1.918386234446348,1.1826922975161902,2.01435529297707,0.067,0.172,0.322,0.005,,empty
A0A359JZ44,2,2,7.405205,Clp R domain-containing protein (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_00190 PE=3 SV=1,3857090.0,7966422.0,17016634.0,7013372.0,27874455.0,5307440.0,46486797.0,11416075.0,45194533.0,2140055.0,1578111.0,6483750.0,1809000.0,5253337.0,14472355.0,2232261.0,7908352.0,4204034.0,13363227.0,6290794.0,21630890.0,5633795.0,24886317.0,10374990.0,896106.8,617047.3,985999.6,0.007057,0.013411,0.025566,0.007904,0.013869,0.013345,0.001672,0.001497,0.001121,0.00699,0.005926,0.010245,0.010172,0.009157,0.01044,0.0005,0.001268,0.002239,Clp R domain-containing protein (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_00190 PE=3 SV=1,0.015345,0.011706,0.00143,0.00772,0.006699,0.006284,0.243,0.76,0.065,0.09,0.08,0.87,0.011,0.81,Clp R domain-containing protein (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_00190 PE=3 SV=1,DEH24_00190,-0.3959286763311392,-3.473931188332412,-0.2009126939259964,-0.3040061868900999,0.243,0.065,0.08,0.011,,unresolved
A0A359K805,2,2,8.182242,Competence protein ComFB OS=Alteromonas sp. OX=232 GN=DEH24_13535 PE=4 SV=1,8419.249,10871.21,28168.9,2071.602,30347.25,17545.31,104397.4,22133.49,11730.41,730995.2,31934.79,1097254.0,37119.34,1369.29,22287.8,3851.884,10782.07,7592.994,55328.06,10639.96,14187.37,17947.74,46475.72,7283.281,106864.9,57154.26,42647.06,1.54e-05,2.22e-05,2.78e-05,2.61e-05,2.69e-05,3.46e-06,0.000571,0.000253,2.3e-05,1.82e-06,1.02e-05,1.85e-05,1.72e-05,2.92e-05,7.33e-06,5.96e-05,0.000117,9.69e-05,Competence protein ComFB OS=Alteromonas sp. OX=232 GN=DEH24_13535 PE=4 SV=1,2.18e-05,1.88e-05,0.000282,1.02e-05,3.2e-05,7.87e-05,0.404,0.86,0.125,12.95,0.251,3.14,0.015,7.73,Competence protein ComFB OS=Alteromonas sp. OX=232 GN=DEH24_13535 PE=4 SV=1,DEH24_13535,-0.2175914350726268,3.694880192799192,1.6507645591169025,2.950468414150123,0.404,0.125,0.251,0.015,,unresolved
A0A359K053,4,4,24.25716,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1,8568214.0,9039949.0,20278652.0,11787138.0,40564583.0,11925602.0,43057933.0,17173175.0,55484826.0,19213391.0,15359907.0,54391160.0,13748767.0,7736234.0,23847597.0,4174870.0,8900135.0,7632191.0,30057622.0,12491947.0,15400712.0,11554861.0,23087910.0,17065330.0,20740834.0,4938573.0,4638378.0,0.015676,0.015982,0.037205,0.01776,0.020864,0.016383,0.015009,0.012554,0.008519,0.010293,0.011083,0.0186,0.0202,0.01878,0.017172,0.011563,0.010151,0.010535,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1,0.022954,0.018336,0.012027,0.013325,0.015838,0.014547,0.314,0.8,0.173,0.52,0.13,1.19,0.229,1.09,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1,,-0.3219280948873623,-0.9434164716336324,0.2509615735332187,0.1243281350022017,0.314,0.173,0.13,0.229,,empty
