gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,position_merge_note,ec_numbers
nuoH,nuoH,BL107_RS00425,BL107_05239,Protein Homology,78442.0,79560.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_126985484.1,NADH-quinone oxidoreductase subunit NuoH,WP_198002347.1,,,,,BL107_05239,78442.0,79563.0,-,CK_Syn_BL107_05239,ndhA,"GO:0055114,GO:0042773,GO:0050136,GO:0048038,GO:0016655,GO:0016491,GO:0016021,GO:0042651",CK_00000240,"G.2,J.6","Electron transport,NADH dehydrogenase","COG1005,bactNOG01830,cyaNOG01512","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",1.6.99.5,Transferred to 1.6.5.11,"oxidation-reduction process,ATP synthesis coupled electron transport,oxidation-reduction process,ATP synthesis coupled electron transport,NADH dehydrogenase (quinone) activity,quinone binding,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor,oxidoreductase activity,oxidation-reduction process,ATP synthesis coupled electron transport,NADH dehydrogenase (quinone) activity,quinone binding,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor,oxidoreductase activity,integral component of membrane,thylakoid membrane",NADH dehydrogenase I subunit NdhA (chain 1 or H),"PF00146,PS00667,PS00668,IPR018086,IPR001694","NADH dehydrogenase,Respiratory-chain NADH dehydrogenase subunit 1 signature 1.,Respiratory-chain NADH dehydrogenase subunit 1 signature 2.,NADH:ubiquinone oxidoreductase%2C subunit 1%2C conserved site,NADH:ubiquinone oxidoreductase%2C subunit 1/F420H2 oxidoreductase subunit H","112,164","Energy metabolism / Electron transport,Energy metabolism / Photosynthesis",,1.6.5.9
BL107_RS00430,,BL107_RS00430,BL107_05244,Protein Homology,79588.0,80778.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788276.1,citrate synthase,WP_009788276.1,,,,,BL107_05244,79588.0,80778.0,-,CK_Syn_BL107_05244,gltA,"GO:0006099,GO:0004108",CK_00000241,G.9,TCA cycle,"COG0372,bactNOG00499,cyaNOG00831","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",2.3.3.1,citrate (Si)-synthase%3B (R)-citric synthase%3B citrate oxaloacetate-lyase [(pro-3S)-CH2COO-->acetyl-CoA],"tricarboxylic acid cycle,tricarboxylic acid cycle,citrate (Si)-synthase activity",citrate synthase,"TIGR01800,PF00285,IPR002020,IPR011278","2-methylcitrate synthase/citrate synthase II,Citrate synthase%2C C-terminal domain,Citrate synthase,2-methylcitrate synthase/citrate synthase type I",120,Energy metabolism / TCA cycle,,
murJ,murJ,BL107_RS00435,BL107_05249,Protein Homology,80890.0,82497.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788277.1,murein biosynthesis integral membrane protein MurJ,WP_009788277.1,"GO:0009252,GO:0034204",,,"peptidoglycan biosynthetic process|0009252||IEA,lipid translocation|0034204||IEA",BL107_05249,80890.0,82497.0,-,CK_Syn_BL107_05249,murJ,,CK_00000242,C.2,Murein sacculus and peptidoglycan,"COG0728,bactNOG98392,bactNOG88290,bactNOG00151,cyaNOG01869","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,peptidoglycan lipid II flippase,"TIGR01695,PF03023,IPR004268","murein biosynthesis integral membrane protein MurJ,Lipid II flippase MurJ,Peptidoglycan biosynthesis protein MurJ",89,Cell envelope / Biosynthesis and degradation of murein sacculus and peptidoglycan,,
sfsA,sfsA,BL107_RS00440,BL107_05254,Protein Homology,82566.0,83339.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788278.1,DNA/RNA nuclease SfsA,WP_009788278.1,GO:0003677,,DNA binding|0003677||IEA,,BL107_05254,82566.0,83339.0,+,CK_Syn_BL107_05254,sfsA,"GO:0000023,GO:0003677",CK_00000243,,,"COG1489,bactNOG18430,cyaNOG05368,cyaNOG01417","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,"maltose metabolic process,maltose metabolic process,DNA binding",sugar fermentation stimulation protein,"TIGR00230,PF03749,IPR005224","sugar fermentation stimulation protein,Sugar fermentation stimulation protein RE domain,Sugar fermentation stimulation protein","119,129","Energy metabolism / Sugars,Regulatory functions / Other",,
BL107_RS00445,,BL107_RS00445,BL107_05259,Protein Homology,83435.0,84904.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011359109.1,ammonium transporter,WP_009788279.1,"GO:0072488,GO:0008519,GO:0016020",membrane|0016020||IEA,ammonium channel activity|0008519||IEA,ammonium transmembrane transport|0072488||IEA,BL107_05259,83435.0,84904.0,+,CK_Syn_BL107_05259,amt1,"GO:0015696,GO:0072488,GO:0008519,GO:0016020",CK_00000244,"E.4,Q.4","Nitrogen metabolism,Cations and iron carrying compounds","COG0004,bactNOG82620,cyaNOG05851,cyaNOG00913","COG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: METABOLISM [P] Inorganic ion transport and metabolism,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism",,,"ammonium transport,ammonium transmembrane transport,ammonium transport,ammonium transmembrane transport,ammonium transmembrane transporter activity,ammonium transport,ammonium transmembrane transport,ammonium transmembrane transporter activity,membrane",ammonium transporter,"TIGR00836,PF00909,PS01219,IPR018047,IPR024041,IPR001905","ammonium transporter,Ammonium Transporter Family,Ammonium transporters signature.,Ammonium transporter%2C conserved site,Ammonium transporter AmtB-like domain,Ammonium transporter",145,Transport and binding proteins / Cations and iron carrying compounds,,
BL107_RS00450,,BL107_RS00450,BL107_05264,Protein Homology,85007.0,86206.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011363276.1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,WP_009788280.1,,,,,BL107_05264,85007.0,86206.0,+,CK_Syn_BL107_05264,lytB,"GO:0009240,GO:0015968,GO:0046677,GO:0019288,GO:0050992,GO:0051745,GO:0046872,GO:0051745",CK_00000245,B.11,Other,"COG0761,bactNOG01565,cyaNOG00975","COG: IM,bactNOG: METABOLISM [I] Lipid transport and metabolism,cyaNOG: METABOLISM [C] Energy production and conversion","1.17.1.2,1.17.7.4","Transferred to 1.17.7.4,Transferred to 1.17.7.4","isopentenyl diphosphate biosynthetic process,stringent response,response to antibiotic,isopentenyl diphosphate biosynthetic process%2C methylerythritol 4-phosphate pathway,dimethylallyl diphosphate biosynthetic process,isopentenyl diphosphate biosynthetic process,stringent response,response to antibiotic,isopentenyl diphosphate biosynthetic process%2C methylerythritol 4-phosphate pathway,dimethylallyl diphosphate biosynthetic process,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity,metal ion binding,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity",4-hydroxy-3-methylbut-2-enyl diphosphate reductase,"TIGR00216,PF02401,IPR003451","4-hydroxy-3-methylbut-2-enyl diphosphate reductase,LytB protein,4-hydroxy-3-methylbut-2-enyl diphosphate reductase",76,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Other,,1.17.7.4
BL107_RS00455,,BL107_RS00455,BL107_05269,Protein Homology,86267.0,86908.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788281.1,DUF1997 domain-containing protein,WP_009788281.1,,,,,BL107_05269,86267.0,86908.0,+,CK_Syn_BL107_05269,BL107_05269,,CK_00001326,,,"COG1472,NOG12051,COG0422,bactNOG29170,cyaNOG02791","COG: METABOLISM [G] Carbohydrate transport and metabolism,COG: POORLY CHARACTERIZED [S] Function unknown,COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,"PF09366,IPR018971","Protein of unknown function (DUF1997),Protein of unknown function DUF1997",156,Hypothetical proteins / Conserved,,
BL107_RS00460,,BL107_RS00460,BL107_05274,Protein Homology,86942.0,87400.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788282.1,DUF4079 domain-containing protein,WP_009788282.1,,,,,BL107_05274,86942.0,87400.0,-,CK_Syn_BL107_05274,BL107_05274,,CK_00001537,,,"COG0477,NOG08010,COG0841,bactNOG29423,cyaNOG03096","COG: GEPR,COG: POORLY CHARACTERIZED [S] Function unknown,COG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,Uncharacterized conserved membrane protein,"PF13301,IPR025067","Protein of unknown function (DUF4079),Protein of unknown function DUF4079",156,Hypothetical proteins / Conserved,,
purH,purH,BL107_RS00465,BL107_05279,Protein Homology,87454.0,89016.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011359105.1,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,WP_009788283.1,"GO:0006164,GO:0006189,GO:0003824,GO:0003937,GO:0004643",,"catalytic activity|0003824||IEA,IMP cyclohydrolase activity|0003937||IEA,phosphoribosylaminoimidazolecarboxamide formyltransferase activity|0004643||IEA","purine nucleotide biosynthetic process|0006164||IEA,'de novo' IMP biosynthetic process|0006189||IEA",BL107_05279,87454.0,89016.0,-,CK_Syn_BL107_05279,purH,"GO:0006164,GO:0006189,GO:0015949,GO:0003937,GO:0004643,GO:0005829",CK_00000246,M.3,Purine ribonucleotide biosynthesis,"COG0138,bactNOG00229,cyaNOG01491","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",3.5.4.10,IMP cyclohydrolase%3B inosinicase%3B inosinate cyclohydrolase%3B IMP 1%2C2-hydrolase (decyclizing),"purine nucleotide biosynthetic process,'de novo' IMP biosynthetic process,nucleobase-containing small molecule interconversion,purine nucleotide biosynthetic process,'de novo' IMP biosynthetic process,nucleobase-containing small molecule interconversion,IMP cyclohydrolase activity,phosphoribosylaminoimidazolecarboxamide formyltransferase activity,purine nucleotide biosynthetic process,'de novo' IMP biosynthetic process,nucleobase-containing small molecule interconversion,IMP cyclohydrolase activity,phosphoribosylaminoimidazolecarboxamide formyltransferase activity,cytosol",bifunctional purine biosynthesis protein (AICAR transformylase/IMP cyclohydrolase),"TIGR00355,PF01808,PF02142,IPR002695,IPR011607","phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,AICARFT/IMPCHase bienzyme,MGS-like domain,Bifunctional purine biosynthesis protein PurH-like,Methylglyoxal synthase-like domain",125,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Purine ribonucleotide biosynthesis,,"2.1.2.3,3.5.4.10"
BL107_RS00470,,BL107_RS00470,BL107_05284,Protein Homology,89073.0,89642.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788284.1,alpha/beta hydrolase,WP_009788284.1,,,,,BL107_05284,89073.0,89642.0,+,CK_Syn_BL107_05284,BL107_05284,GO:0016787,CK_00000247,R.3,Enzymes of unknown specificity,"COG0400,bactNOG22780,bactNOG19445,bactNOG29261,cyaNOG05186,cyaNOG02938","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,hydrolase activity,phospholipase/carboxylesterase,"PF02230,IPR003140","Phospholipase/Carboxylesterase,Phospholipase/carboxylesterase/thioesterase",703,Unknown function / Enzymes of unknown specificity,,
BL107_RS00475,,BL107_RS00475,BL107_05289,Protein Homology,89643.0,90011.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788285.1,DUF3155 domain-containing protein,WP_009788285.1,,,,,BL107_05289,89643.0,90011.0,-,CK_Syn_BL107_05289,BL107_05289,,CK_00000248,R.2,Conserved hypothetical proteins,"NOG24999,COG0617,bactNOG33612,cyaNOG03320","COG: POORLY CHARACTERIZED [S] Function unknown,COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,uncharacterized conserved secreted protein (DUF3155),"PF11352,IPR021498","Protein of unknown function (DUF3155),Protein of unknown function DUF3155",156,Hypothetical proteins / Conserved,,
BL107_RS00480,,BL107_RS00480,BL107_05294,Protein Homology,90403.0,91527.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788286.1,HAMP domain-containing sensor histidine kinase,WP_009788286.1,,,,,BL107_05294,90403.0,91527.0,+,CK_Syn_BL107_05294,BL107_05294,"GO:0007165,GO:0000155,GO:0004871,GO:0016020",CK_00000249,O.1.1, Histidine kinase (HK),"COG0642,COG2205,NOG267903,NOG285993,bactNOG13612,cyaNOG00383","COG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,COG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,cyaNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms",,,"signal transduction,signal transduction,phosphorelay sensor kinase activity,obsolete signal transducer activity,signal transduction,phosphorelay sensor kinase activity,obsolete signal transducer activity,membrane",two-component sensor histidine kinase,"PF00512,PF02518,PS50109,IPR003661,IPR003594,IPR005467","His Kinase A (phospho-acceptor) domain,Histidine kinase-%2C DNA gyrase B-%2C and HSP90-like ATPase,Histidine kinase domain profile.,Signal transduction histidine kinase%2C dimerisation/phosphoacceptor domain,Histidine kinase/HSP90-like ATPase,Histidine kinase domain",699,Signal transduction / Two-component systems,,
BL107_RS00485,,BL107_RS00485,BL107_05299,Protein Homology,91487.0,92242.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006173504.1,adenosylcobinamide-GDP ribazoletransferase,WP_006173504.1,"GO:0009236,GO:0008818,GO:0051073",,"cobalamin 5'-phosphate synthase activity|0008818||IEA,adenosylcobinamide-GDP ribazoletransferase activity|0051073||IEA",cobalamin biosynthetic process|0009236||IEA,BL107_05299,91487.0,92089.0,-,CK_Syn_BL107_05299,cobS,"GO:0009236,GO:0008818,GO:0051073,GO:0016020",CK_00000250,B.10.2,Cobalamin (b12),"COG0368,NOG299856,NOG317822,bactNOG99946,bactNOG30773,bactNOG29822,cyaNOG00463","COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,cyaNOG: METABOLISM [H] Coenzyme transport and metabolism",2.7.8.26,adenosylcobinamide-GDP ribazoletransferase%3B CobS%3B cobalamin synthase%3B cobalamin-5'-phosphate synthase%3B cobalamin (5'-phosphate) synthase,"cobalamin biosynthetic process,cobalamin biosynthetic process,cobalamin 5'-phosphate synthase activity,adenosylcobinamide-GDP ribazoletransferase activity,cobalamin biosynthetic process,cobalamin 5'-phosphate synthase activity,adenosylcobinamide-GDP ribazoletransferase activity,membrane",adenosylcobinamide-GDP ribazoletransferase,"PF02654,IPR003805","Cobalamin-5-phosphate synthase,Adenosylcobinamide-GDP ribazoletransferase",79,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Heme%2C porphyrin%2C and cobalamin,,2.7.8.26
tgt,tgt,BL107_RS00490,BL107_05309,Protein Homology,92329.0,93447.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011827070.1,tRNA guanosine(34) transglycosylase Tgt,WP_009788289.1,"GO:0006400,GO:0008479,GO:0005737",cytoplasm|0005737||IEA,tRNA-guanosine(34) queuine transglycosylase activity|0008479||IEA,tRNA modification|0006400||IEA,BL107_05309,92329.0,93447.0,+,CK_Syn_BL107_05309,tgt,"GO:0006400,GO:0008033,GO:0008616,GO:0006400,GO:0008479,GO:0005737",CK_00000251,,,"COG0343,bactNOG01058,cyaNOG00386","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",2.4.2.29,tRNA-guanosine34 transglycosylase%3B guanine insertion enzyme (ambiguous)%3B tRNA transglycosylase (ambiguous)%3B Q-insertase (ambiguous)%3B queuine34 transfer ribonucleate ribosyltransferase%3B transfer ribonucleate glycosyltransferase (ambiguous)%3B tRNA guanine34 transglycosidase%3B queuine tRNA-ribosyltransferase (ambiguous)%3B TGT%3B [tRNA]-guanine34:queuine tRNA-D-ribosyltransferase%3B transfer ribonucleic acid guanine34 transglycosylase,"tRNA modification,tRNA processing,queuosine biosynthetic process,tRNA modification,tRNA modification,tRNA processing,queuosine biosynthetic process,tRNA modification,queuine tRNA-ribosyltransferase activity,tRNA modification,tRNA processing,queuosine biosynthetic process,tRNA modification,queuine tRNA-ribosyltransferase activity,cytoplasm",queuine tRNA-ribosyltransferase,"TIGR00430,TIGR00449,PF01702,IPR004803,IPR002616","tRNA-guanine transglycosylase,tRNA-guanine family transglycosylase,Queuine tRNA-ribosyltransferase,tRNA-guanine transglycosylase,tRNA-guanine(15) transglycosylase-like",168,Protein synthesis / tRNA and rRNA base modification,,2.4.2.29
BL107_RS00495,,BL107_RS00495,BL107_05314,Protein Homology,93480.0,93623.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006042358.1,photosystem II reaction center protein K,WP_037987809.1,,,,,BL107_05314,93480.0,93623.0,+,CK_Syn_BL107_05314,psbK,"GO:0015979,GO:0009523",CK_00000252,J.8,Photosystem II,"NOG296491,NOG09651,NOG270809,bactNOG75574,bactNOG47442,cyaNOG04224","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"photosynthesis,photosynthesis,photosystem II",photosystem II reaction center protein PsbK,"PF02533,IPR003687","Photosystem II 4 kDa reaction centre component,Photosystem II PsbK",164,Energy metabolism / Photosynthesis,,
BL107_RS00500,,BL107_RS00500,BL107_05319,Protein Homology,93628.0,94362.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011359099.1,WecB/TagA/CpsF family glycosyltransferase,WP_037988609.1,,,,,BL107_05319,93628.0,94368.0,-,CK_Syn_BL107_05319,tagA,"GO:0009058,GO:0016740,GO:0047244",CK_00001327,"C.3,D.1.7","Surface polysaccharides and lipopolysaccharides,Trace metals","COG1922,bactNOG15369,bactNOG20075,cyaNOG01811","COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",2.4.1.187,N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase%3B uridine diphosphoacetyl-mannosamineacetylglucosaminylpyrophosphorylundecaprenol acetylmannosaminyltransferase%3B N-acetylmannosaminyltransferase%3B UDP-N-acetylmannosamine:N-acetylglucosaminyl diphosphorylundecaprenol N-acetylmannosaminyltransferase%3B UDP-N-acetyl-D-mannosamine:N-acetyl-beta-D-glucosaminyldiphosphoundecaprenol beta-1%2C4-N-acetylmannosaminyltransferase%3B UDP-N-acetyl-D-mannosamine:N-acetyl-beta-D-glucosaminyldiphosphoundecaprenol 4-beta-N-acetylmannosaminyltransferase%3B tagA (gene name)%3B tarA (gene name)%3B UDP-N-acetyl-alpha-D-mannosamine:N-acetyl-beta-D-glucosaminyl-diphospho-ditrans%2Coctacis-undecaprenol 4-beta-N-acetylmannosaminyltransferase,"biosynthetic process,biosynthetic process,transferase activity,N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase activity",N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase,"TIGR00696,PF03808,IPR004629","glycosyltransferase%2C WecB/TagA/CpsF family,Glycosyl transferase WecB/TagA/CpsF family,Glycosyl transferase WecB/TagA/CpsF",90,Cell envelope / Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,
BL107_RS00505,,BL107_RS00505,BL107_05324,Protein Homology,94411.0,97593.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011359098.1,glycoside hydrolase family 15 protein,WP_037988611.1,,,,,BL107_05324,94393.0,97593.0,+,CK_Syn_BL107_05324,phkA,"GO:0005976,GO:0005977,GO:0004553,GO:0005516",CK_00051921,G.4,Glycolysis/gluconeogenesis,"NOG82518,bactNOG10756,cyaNOG02019","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,cyaNOG: METABOLISM [G] Carbohydrate transport and metabolism",,,"polysaccharide metabolic process,glycogen metabolic process,polysaccharide metabolic process,glycogen metabolic process,hydrolase activity%2C hydrolyzing O-glycosyl compounds,calmodulin binding",phosphorylase kinase alpha subunit,"PF00723,IPR008734,IPR008928,IPR011613,IPR012341","Glycosyl hydrolases family 15,Phosphorylase kinase alpha/beta subunit,Six-hairpin glycosidase superfamily,GH15-like domain,Six-hairpin glycosidase-like superfamily",116,Energy metabolism / Glycolysis/gluconeogenesis,,
BL107_RS00510,,BL107_RS00510,BL107_05329,Protein Homology,97615.0,98622.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788293.1,Gfo/Idh/MocA family protein,WP_009788293.1,"GO:0000166,GO:0016491",,"nucleotide binding|0000166||IEA,oxidoreductase activity|0016491||IEA",,BL107_05329,97615.0,98622.0,-,CK_Syn_BL107_05329,BL107_05329,"GO:0008152,GO:0055114,GO:0016491",CK_00000253,R.3,Enzymes of unknown specificity,"COG0673,bactNOG08255,bactNOG03717,bactNOG07153,cyaNOG02067,cyaNOG02442","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,"metabolic process,oxidation-reduction process,metabolic process,oxidation-reduction process,oxidoreductase activity",NAD(P)-binding oxidoreductase,"PF02894,PF01408,IPR004104,IPR000683,IPR036291","Oxidoreductase family%2C C-terminal alpha/beta domain,Oxidoreductase family%2C NAD-binding Rossmann fold,Oxidoreductase%2C C-terminal,Oxidoreductase%2C N-terminal,NAD(P)-binding domain superfamily",703,Unknown function / Enzymes of unknown specificity,,
BL107_RS00515,,BL107_RS00515,BL107_05334,Protein Homology,98660.0,99943.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011827073.1,hemolysin family protein,WP_037987810.1,GO:0016020,membrane|0016020||IEA,,,BL107_05334,98660.0,99919.0,-,CK_Syn_BL107_05334,BL107_05334,"GO:0050660,GO:0016020",CK_00000254,Q.8,Other,"COG1253,bactNOG00120,cyaNOG00852","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: METABOLISM [P] Inorganic ion transport and metabolism,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism",,,"flavin adenine dinucleotide binding,flavin adenine dinucleotide binding,membrane",CNNM domain-containing protein,"PF01595,PF00571,PF03471,PS51371,IPR002550,IPR000644,IPR005170,IPR016169,IPR036318","Cyclin M transmembrane N-terminal domain,CBS domain,Transporter associated domain,CBS domain profile.,CNNM%2C transmembrane domain,CBS domain,Transporter-associated domain,FAD-binding%2C type PCMH%2C subdomain 2,FAD-binding%2C type PCMH-like superfamily",147,Transport and binding proteins / Other,,
BL107_RS00525,,BL107_RS00525,BL107_05339,Protein Homology,100042.0,100527.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011363263.1,hypothetical protein,WP_232192708.1,,,,,BL107_05339,100042.0,100578.0,-,CK_Syn_BL107_05339,BL107_05339,,CK_00001538,R.2,Conserved hypothetical proteins,"NOG76650,bactNOG64285,cyaNOG06753","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,uncharacterized conserved secreted protein,,,156,Hypothetical proteins / Conserved,,
pyrE,pyrE,BL107_RS00530,BL107_05344,Protein Homology,100630.0,101214.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011359094.1,orotate phosphoribosyltransferase,WP_009788296.1,"GO:0009220,GO:0004588",,orotate phosphoribosyltransferase activity|0004588||IEA,pyrimidine ribonucleotide biosynthetic process|0009220||IEA,BL107_05344,100630.0,101214.0,+,CK_Syn_BL107_05344,pyrE,"GO:0009220,GO:0009116,GO:0004588",CK_00000255,M.4,Pyrimidine ribonucleotide biosynthesis,"COG0461,bactNOG27364,bactNOG28506,bactNOG04343,bactNOG32932,cyaNOG01779,cyaNOG06545","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",2.4.2.10,orotate phosphoribosyltransferase%3B orotidylic acid phosphorylase%3B orotidine-5'-phosphate pyrophosphorylase%3B OPRTase%3B orotate phosphoribosyl pyrophosphate transferase%3B orotic acid phosphoribosyltransferase%3B orotidine 5'-monophosphate pyrophosphorylase%3B orotidine monophosphate pyrophosphorylase%3B orotidine phosphoribosyltransferase%3B orotidylate phosphoribosyltransferase%3B orotidylate pyrophosphorylase%3B orotidylic acid pyrophosphorylase%3B orotidylic phosphorylase%3B orotidylic pyrophosphorylase,"pyrimidine ribonucleotide biosynthetic process,nucleoside metabolic process,pyrimidine ribonucleotide biosynthetic process,nucleoside metabolic process,orotate phosphoribosyltransferase activity",orotate phosphoribosyltransferase,"TIGR00336,PF00156,IPR004467,IPR000836","orotate phosphoribosyltransferase,Phosphoribosyl transferase domain,Orotate phosphoribosyl transferase domain,Phosphoribosyltransferase domain",126,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Pyrimidine ribonucleotide biosynthesis,,2.4.2.10
