RAST annotation gene number,Locus ID,RAST RegionID (Chromosome_start_stop),RAST Annotation,"Periodic in co-cultured, L:D cultures","Periodic in co-cultured, extended darkness cultures",periodicity_cluster
1861,MIT1002_1843 ,contig00017_14165_12699,Betaine aldehyde dehydrogenase (EC 1.2.1.8),Y,,coculture_LD
1876,MIT1002_1858 ,contig00017_27821_28450,Uracil phosphoribosyltransferase (EC 2.4.2.9),Y,,coculture_LD
1884,MIT1002_1866 ,contig00017_43368_41119,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",Y,,coculture_LD
1886,MIT1002_1868 ,contig00017_44439_44696,hypothetical protein,Y,,coculture_LD
1891,MIT1002_1873 ,contig00017_49847_50752,hypothetical protein,Y,,coculture_LD
1907,MIT1002_1889 ,contig00017_68620_68417,hypothetical protein,Y,,coculture_LD
1924,MIT1002_1906 ,contig00018_8169_7906,hypothetical protein,Y,,coculture_LD
1927,MIT1002_1909 ,contig00018_10971_9796,Saccharopine dehydrogenase,Y,,coculture_LD
1940,MIT1002_1922 ,contig00018_22667_23074,FIG00968909: hypothetical protein,Y,,coculture_LD
1965,MIT1002_1946 ,contig00018_45902_45243,FIG001196: putative membrane protein,Y,,coculture_LD
1966,MIT1002_1947 ,contig00018_47007_46000,Putative sulfite oxidase subunit YedY,Y,,coculture_LD
1970,MIT1002_1951 ,contig00018_50674_51468,"Putative cytochrome c oxidase, subunit I",Y,,coculture_LD
1982,MIT1002_1963 ,contig00018_65931_67937,Methyl-accepting chemotaxis protein I (serine chemoreceptor protein),Y,,coculture_LD
1987,MIT1002_1968 ,contig00018_71962_70313,Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1),Y,,coculture_LD
2012,MIT1002_1993 ,contig00019_17910_15136,TPR domain protein,Y,,coculture_LD
2013,MIT1002_1994 ,contig00019_18216_20006,Cold-shock DEAD-box protein A,Y,,coculture_LD
2032,MIT1002_2013 ,contig00019_45011_42693,"FIG001592: Phosphocarrier protein kinase/phosphorylase, nitrogen regulation associated",Y,,coculture_LD
2033,MIT1002_2014 ,contig00019_45596_45108,Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-),Y,,coculture_LD
2036,MIT1002_2017 ,contig00019_49134_47629,Adenylate cyclase (EC 4.6.1.1),Y,,coculture_LD
2043,MIT1002_2024 ,contig00019_62290_58493,Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12),Y,,coculture_LD
2055,MIT1002_2036 ,contig00019_72220_72104,Lipoprotein NlpD,Y,,coculture_LD
2057,MIT1002_2037 ,contig00019_73026_74021,RNA polymerase sigma factor RpoS,Y,,coculture_LD
2079,MIT1002_2059 ,contig00020_8712_8527,hypothetical protein,Y,,coculture_LD
2103,MIT1002_2083 ,contig00020_30270_27796,FIG01036808: hypothetical protein,Y,,coculture_LD
2104,MIT1002_2084 ,contig00020_30718_32283,Ferredoxin reductase,Y,,coculture_LD
2105,MIT1002_2085 ,contig00020_33196_32393,hypothetical protein,Y,,coculture_LD
2107,MIT1002_2087 ,contig00020_36032_33525,Cytochrome c oxidase polypeptide I (EC 1.9.3.1) / Cytochrome c oxidase polypeptide III (EC 1.9.3.1),Y,,coculture_LD
2108,MIT1002_2088 ,contig00020_36727_36029,Cytochrome c oxidase polypeptide II (EC 1.9.3.1),Y,,coculture_LD
2110,MIT1002_2090 ,contig00020_37691_37245,hypothetical protein,Y,,coculture_LD
2114,MIT1002_2094 ,contig00020_42851_42729,hypothetical protein,Y,,coculture_LD
2143,MIT1002_2122 ,contig00020_72007_74568,sensory box histidine kinase/response regulator,Y,,coculture_LD
2144,MIT1002_2123 ,contig00020_74584_77526,two-component hybrid sensor and regulator,Y,,coculture_LD
2168,MIT1002_2148 ,contig00021_25703_24522,Probable Co/Zn/Cd efflux system membrane fusion protein,Y,,coculture_LD
2169,MIT1002_2149 ,contig00021_26986_25706,"Heavy metal RND efflux outer membrane protein, CzcC family",Y,,coculture_LD
2195,MIT1002_2175 ,contig00021_52031_50103,Flavodoxin reductases (ferredoxin-NADPH reductases) family 1,Y,,coculture_LD
2198,MIT1002_2179 ,contig00021_53768_53337,hypothetical protein,Y,,coculture_LD
2215,MIT1002_2197 ,contig00021_69293_69415,hypothetical protein,Y,,coculture_LD
2216,MIT1002_2198 ,contig00021_69741_70424,Copper-sensing two-component system response regulator CusR,Y,,coculture_LD
2245,MIT1002_2228 ,contig00022_25665_28109,diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s),,Y,coculture_darkness
2252,MIT1002_2235 ,contig00022_32991_33848,4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.-),Y,Y,coculture_LD+coculture_darkness
2260,MIT1002_2243 ,contig00022_43135_44904,putative choline-glycine betaine transporter,Y,,coculture_LD
2282,MIT1002_2264 ,contig00022_68755_67583,Homolog of E. coli HemX protein,Y,,coculture_LD
2283,MIT1002_2265 ,contig00022_69487_68756,Uroporphyrinogen-III synthase (EC 4.2.1.75),Y,,coculture_LD
2287,MIT1002_2269 ,contig00023_519_1118,Conserved domain protein,Y,,coculture_LD
2292,MIT1002_2274 ,contig00023_6046_4610,Pyruvate kinase (EC 2.7.1.40),Y,,coculture_LD
2306,MIT1002_2287 ,contig00023_24085_24513,Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12),Y,,coculture_LD
2307,MIT1002_2288 ,contig00023_25567_24686,hypothetical protein,Y,,coculture_LD
2308,MIT1002_2289 ,contig00023_25763_27208,NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13),Y,,coculture_LD
2314,MIT1002_2294 ,contig00023_31217_34102,hypothetical protein,Y,,coculture_LD
2317,MIT1002_2297 ,contig00023_34818_34642,protein of unknown function DUF1328,Y,,coculture_LD
2319,MIT1002_2299 ,contig00023_36913_36335,hypothetical protein,Y,,coculture_LD
2320,MIT1002_2300 ,contig00023_37195_36938,hypothetical protein,Y,,coculture_LD
2321,MIT1002_2301 ,contig00023_37787_37248,hypothetical protein,Y,,coculture_LD
2322,MIT1002_2302 ,contig00023_38121_37792,hypothetical protein,Y,,coculture_LD
2323,MIT1002_2303 ,contig00023_40436_38352,Signal transduction histidine kinase,Y,,coculture_LD
2324,MIT1002_2304 ,contig00023_40977_40525,response regulator receiver protein,Y,,coculture_LD
2325,MIT1002_2305 ,contig00023_42481_40967,"Phytochrome, two-component sensor histidine kinase (EC 2.7.3.-); cyanobacterial phytochrome 1",Y,,coculture_LD
2327,MIT1002_2307 ,contig00023_44058_42727,Response regulator of zinc sigma-54-dependent two-component system,Y,,coculture_LD
2329,MIT1002_2308 ,contig00023_44602_45207,"Exopolysaccharide synthesis, ExoD",Y,,coculture_LD
2332,MIT1002_2311 ,contig00023_46767_47042,"transcriptional regulator, ArsR family protein",Y,,coculture_LD
2333,MIT1002_2312 ,contig00023_47888_47139,hypothetical protein,Y,,coculture_LD
2338,MIT1002_2317 ,contig00023_50508_50741,hypothetical protein,Y,,coculture_LD
2339,MIT1002_2318 ,contig00023_50810_52198,"Metallo-beta-lactamase family protein, RNA-specific",Y,,coculture_LD
2352,MIT1002_2331 ,contig00023_72024_71857,DNA-3-methyladenine glycosylase II (EC 3.2.2.21),Y,,coculture_LD
2352,MIT1002_2352,contig00023_72024_71857,DNA-3-methyladenine glycosylase II (EC 3.2.2.21),Y,,coculture_LD
2353,MIT1002_2333 ,contig00023_72271_72053,hypothetical protein,Y,,coculture_LD
2355,MIT1002_2335 ,contig00024_3374_2487,Transcriptional activator MetR,Y,,coculture_LD
2376,MIT1002_2355 ,contig00024_29288_28167,Psp operon transcriptional activator,Y,,coculture_LD
2380,MIT1002_2359 ,contig00024_31110_30949,hypothetical protein,Y,,coculture_LD
2397,MIT1002_2377 ,contig00024_52938_53699,TonB system biopolymer transport component; Chromosome segregation ATPase,Y,,coculture_LD
2398,MIT1002_2378 ,contig00024_53706_55064,MotA/TolQ/ExbB proton channel family protein,Y,,coculture_LD
2399,MIT1002_2379 ,contig00024_55066_55590,MotA/TolQ/ExbB proton channel family protein,Y,,coculture_LD
2400,MIT1002_2380 ,contig00024_55602_56000,Biopolymer transport protein ExbD/TolR,Y,,coculture_LD
2402,MIT1002_2382 ,contig00024_56616_57881,"TPR domain protein, putative component of TonB system",Y,,coculture_LD
2422,MIT1002_2404 ,contig00025_6052_5246,EAL domain protein,Y,,coculture_LD
2426,MIT1002_2408 ,contig00025_9689_9982,hypothetical protein,Y,,coculture_LD
2428,MIT1002_2410 ,contig00025_11078_11917,"hydrolase, alpha/beta fold family",Y,,coculture_LD
2475,MIT1002_2457 ,contig00025_65207_63144,5-methylaminomethyl-2-thiouridine-forming enzyme mnmC,Y,,coculture_LD
2479,MIT1002_2461 ,contig00025_68568_69782,"3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)",Y,,coculture_LD
2481,MIT1002_2465 ,contig00026_2343_988,NADP-specific glutamate dehydrogenase (EC 1.4.1.4),Y,,coculture_LD
2482,MIT1002_2466 ,contig00026_3979_2351,Methylglyoxal synthase (EC 4.2.3.3),Y,,coculture_LD
2483,MIT1002_2467 ,contig00026_4226_4660,hypothetical protein,Y,,coculture_LD
2484,MIT1002_2468 ,contig00026_4681_5385,20-beta-hydroxysteroid dehydrogenase,Y,,coculture_LD
2487,MIT1002_2471 ,contig00026_7642_8688,"Hypothetical protein PA2244 (similar to DNA topoisomerase IB, but possibly involved in glycosyl-transfer)",Y,,coculture_LD
2489,MIT1002_2473 ,contig00026_10586_11695,Glutamate 5-kinase (EC 2.7.2.11),Y,,coculture_LD
2490,MIT1002_2474 ,contig00026_11692_12939,Gamma-glutamyl phosphate reductase (EC 1.2.1.41),Y,,coculture_LD
2495,MIT1002_2479 ,contig00026_17193_17486,protein of unknown function DUF1244,Y,,coculture_LD
2528,MIT1002_2512 ,contig00026_39797_39324,Cytidine deaminase (EC 3.5.4.5),Y,,coculture_LD
2533,MIT1002_2517 ,contig00026_47030_48607,Cell division protein ZipA,Y,,coculture_LD
2534,MIT1002_2518 ,contig00026_48899_50935,DNA ligase (EC 6.5.1.2),Y,,coculture_LD
2536,MIT1002_2520 ,contig00026_51687_51160,FIG00950806: hypothetical protein,Y,,coculture_LD
2537,MIT1002_2521 ,contig00026_51649_54492,"Predicted hydrolase of the metallo-beta-lactamase superfamily, clustered with KDO2-Lipid A biosynthesis genes",Y,,coculture_LD
2542,MIT1002_2526 ,contig00026_58600_59259,Short-chain dehydrogenase/reductase SDR,Y,,coculture_LD
2548,MIT1002_2532 ,contig00026_64236_65201,"Glutathione S-transferase, omega (EC 2.5.1.18)",Y,,coculture_LD
2549,MIT1002_2533 ,contig00026_65286_66149,Pirin-related protein,Y,,coculture_LD
2552,MIT1002_2536 ,contig00027_615_64,hypothetical protein,Y,,coculture_LD
2553,MIT1002_2537 ,contig00027_1694_633,hypothetical protein,Y,,coculture_LD
2554,MIT1002_2538 ,contig00027_1947_2522,hypothetical protein,Y,,coculture_LD
2556,MIT1002_2540 ,contig00027_3527_5512,Adenylate cyclase (EC 4.6.1.1),Y,,coculture_LD
2561,MIT1002_2545 ,contig00027_12539_11991,Lactoylglutathione lyase (EC 4.4.1.5),Y,,coculture_LD
2563,MIT1002_2547 ,contig00027_13603_14112,"Periplasmic aromatic aldehyde oxidoreductase, iron-sulfur subunit YagT",Y,,coculture_LD
2564,MIT1002_2548 ,contig00027_14220_15137,"Periplasmic aromatic aldehyde oxidoreductase, FAD binding subunit YagS",Y,,coculture_LD
2565,MIT1002_2549 ,contig00027_15124_17337,"Periplasmic aromatic aldehyde oxidoreductase, molybdenum binding subunit YagR",Y,,coculture_LD
2574,MIT1002_2558 ,contig00027_25530_26483,Ribonuclease BN (EC 3.1.-.-),Y,,coculture_LD
2598,MIT1002_2582 ,contig00027_54504_51850,"Phytochrome, two-component sensor histidine kinase (EC 2.7.3.-)",Y,,coculture_LD
2599,MIT1002_2583 ,contig00027_55889_54693,"PQQ-dependent oxidoreductase, gdhB family",Y,,coculture_LD
2613,MIT1002_2597 ,contig00028_3760_4971,FIG137776: Glycosyltransferase,Y,,coculture_LD
2623,MIT1002_2607 ,contig00028_15608_16516,HPr kinase,Y,,coculture_LD
2631,MIT1002_2615 ,contig00028_26731_28209,Alkaline phosphatase (EC 3.1.3.1),Y,,coculture_LD
2633,MIT1002_2617 ,contig00028_30625_29261,AttH component of AttEFGH ABC transport system,Y,,coculture_LD
2634,MIT1002_2618 ,contig00028_33480_30622,AttF component of AttEFGH ABC transport system / AttG component of AttEFGH ABC transport system,Y,,coculture_LD
2636,MIT1002_2620 ,contig00028_34352_33630,AttE component of AttEFGH ABC transport system,Y,,coculture_LD
2638,MIT1002_2622 ,contig00028_35977_35438,hypothetical protein,Y,,coculture_LD
2659,MIT1002_2643 ,contig00028_55711_56196,Iron-sulfur cluster regulator IscR,Y,,coculture_LD
2660,MIT1002_2644 ,contig00028_56215_57381,Cysteine desulfurase (EC 2.8.1.7),Y,,coculture_LD
2661,MIT1002_2645 ,contig00028_57775_59211,Iron-sulfur cluster assembly protein SufB,Y,,coculture_LD
2662,MIT1002_2646 ,contig00028_59245_59976,Iron-sulfur cluster assembly ATPase protein SufC,Y,,coculture_LD
2664,MIT1002_2648 ,contig00028_61226_62443,"Cysteine desulfurase (EC 2.8.1.7), SufS subfamily",Y,,coculture_LD
2705,MIT1002_2688 ,contig00029_38686_39687,"UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)",Y,,coculture_LD
2706,MIT1002_2689 ,contig00029_39684_40880,Bacillosamine/Legionaminic acid biosynthesis aminotransferase PglE; 4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase,Y,,coculture_LD
2749,MIT1002_2732 ,contig00030_27507_27911,putative phage shock protein E,Y,,coculture_LD
2751,MIT1002_2734 ,contig00030_28446_29051,"Acetyltransferase, GNAT family",Y,,coculture_LD
2756,MIT1002_2738 ,contig00030_32462_33787,"Peptidase, M23/M37 family",Y,,coculture_LD
2761,MIT1002_2744 ,contig00030_39947_41068,xenobiotic reductase B,Y,,coculture_LD
2771,MIT1002_2754 ,contig00030_50696_49323,Fumarate hydratase class II (EC 4.2.1.2),Y,,coculture_LD
2772,MIT1002_2755 ,contig00030_51188_50850,hypothetical protein,Y,,coculture_LD
2773,MIT1002_2756 ,contig00030_51379_51828,Azurin,Y,,coculture_LD
2774,MIT1002_2757 ,contig00030_51905_53140,"Predicted manganese transporter, 11 TMS",Y,,coculture_LD
2778,MIT1002_2761 ,contig00030_56316_56507,hypothetical protein,Y,,coculture_LD
2801,MIT1002_2786 ,contig00031_21391_22401,Alcohol dehydrogenase (EC 1.1.1.1),Y,,coculture_LD
2806,MIT1002_2790 ,contig00031_28209_27049,transport protein,Y,,coculture_LD
2808,MIT1002_2791 ,contig00031_28868_29956,Glucose-fructose oxidoreductase,Y,,coculture_LD
2809,MIT1002_2792 ,contig00031_31114_30041,hypothetical protein,Y,,coculture_LD
2821,MIT1002_2804 ,contig00031_43274_43393,hypothetical protein,Y,,coculture_LD
2822,MIT1002_2805 ,contig00031_43648_44280,Cobalt-zinc-cadmium resistance protein,Y,,coculture_LD
2823,MIT1002_2806 ,contig00031_44484_45293,PROBABLE INTEGRAL MEMBRANE PROTEIN,Y,,coculture_LD
2825,MIT1002_2808 ,contig00031_46477_47772,Mobile element protein,Y,,coculture_LD
2839,MIT1002_2823 ,contig00032_5818_6168,hypothetical protein,Y,,coculture_LD
2843,MIT1002_2827 ,contig00032_9501_7870,Ferredoxin-dependent glutamate synthase (EC 1.4.7.1),Y,,coculture_LD
2848,MIT1002_2832 ,contig00032_13324_14757,Cytochrome c oxidase subunit CcoN (EC 1.9.3.1),Y,,coculture_LD
2869,MIT1002_2852 ,contig00032_33688_31871,Excinuclease ABC subunit C,Y,,coculture_LD
2873,MIT1002_2856 ,contig00032_37834_37082,Conserved domain protein,Y,,coculture_LD
2877,MIT1002_2859 ,contig00032_42358_41909,"Membrane protein, distant similarity to thiosulphate:quinone oxidoreductase DoxD",Y,,coculture_LD
2885,MIT1002_2867 ,contig00032_47998_48435,hypothetical protein,Y,,coculture_LD
2888,MIT1002_2870 ,contig00033_1380_205,Putative aminotransferase,Y,,coculture_LD
2890,MIT1002_2872 ,contig00033_4215_2383,GTP-binding protein TypA/BipA,Y,,coculture_LD
2897,MIT1002_2879 ,contig00033_10972_11697,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),Y,,coculture_LD
2910,MIT1002_2892 ,contig00033_26559_28634,"Outer membrane receptor proteins, mostly Fe transport",Y,,coculture_LD
2966,MIT1002_2949 ,contig00034_35196_36077,"protein of unknown function, Spy-related",Y,,coculture_LD
2975,MIT1002_2958 ,contig00034_42188_43099,Ornithine carbamoyltransferase (EC 2.1.3.3),Y,,coculture_LD
2979,MIT1002_2962 ,contig00034_47378_47250,hypothetical protein,Y,,coculture_LD
2982,MIT1002_2964 ,contig00034_48642_48385,FIG00952173: hypothetical protein,Y,,coculture_LD
2995,MIT1002_2977 ,contig00035_10741_9467,Na+/H+ antiporter NhaA type,Y,,coculture_LD
2999,MIT1002_2981 ,contig00035_13582_14055,Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1),Y,,coculture_LD
3008,MIT1002_2990 ,contig00035_23894_25300,Aldehyde dehydrogenase (EC 1.2.1.3),Y,,coculture_LD
3019,MIT1002_3001 ,contig00035_36552_37628,Alanine racemase (EC 5.1.1.1),Y,,coculture_LD
3022,MIT1002_3004 ,contig00035_39313_39002,hypothetical protein,Y,,coculture_LD
3025,MIT1002_3007 ,contig00035_40440_41558,hypothetical protein,Y,,coculture_LD
3026,MIT1002_3008 ,contig00035_41578_42375,"probable ABC transporter, periplasmic substrate-binding",Y,,coculture_LD
3027,MIT1002_3009 ,contig00035_42759_43955,FIG01200038: hypothetical protein,Y,,coculture_LD
3035,MIT1002_3017 ,contig00035_49104_48670,TonB family protein,Y,,coculture_LD
3058,MIT1002_3041 ,contig00036_27638_26595,Rod shape-determining protein MreB,Y,,coculture_LD
3105,MIT1002_3090 ,contig00037_33576_32377,Polysaccharide deacetylase family protein,Y,,coculture_LD
3118,MIT1002_3103 ,contig00037_49009_46661,Transcription accessory protein (S1 RNA-binding domain),Y,,coculture_LD
3121,MIT1002_3106 ,contig00037_49866_50117,hypothetical protein,Y,,coculture_LD
3156,MIT1002_3143 ,contig00038_43960_41264,FIG01125695: hypothetical protein,Y,,coculture_LD
3167,MIT1002_3156 ,contig00039_7850_9181,Xaa-Pro dipeptidase PepQ (EC 3.4.13.9),Y,,coculture_LD
3168,MIT1002_3157 ,contig00039_9462_10178,ZIP zinc transporter family protein,Y,,coculture_LD
3225,MIT1002_3212 ,contig00040_25175_26992,Sodium/hydrogen exchanger family protein,Y,,coculture_LD
3241,MIT1002_3228 ,contig00040_40583_37866,Aconitate hydratase (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99),Y,,coculture_LD
3260,MIT1002_3247 ,contig00041_12731_13366,glutathione S-transferase-like protein,Y,,coculture_LD
3280,MIT1002_3267 ,contig00041_35141_35254,hypothetical protein,Y,,coculture_LD
3287,MIT1002_3273 ,contig00041_41879_40575,predicted membrane protein,Y,,coculture_LD
3293,MIT1002_3280 ,contig00042_5996_7027,"Transcriptional regulator of maltose utilization, LacI family",Y,,coculture_LD
3300,MIT1002_3287 ,contig00042_17648_16788,hypothetical protein,Y,,coculture_LD
3315,MIT1002_3301 ,contig00042_42371_42793,hypothetical protein,Y,,coculture_LD
3326,MIT1002_3312 ,contig00043_10027_10974,conserved protein of unknown function,Y,,coculture_LD
3328,MIT1002_3314 ,contig00043_11820_13742,Chaperone protein HtpG,Y,,coculture_LD
3336,MIT1002_3322 ,contig00043_22980_23825,putative transporter (formate/nitrite transporter family) protein,Y,,coculture_LD
3337,MIT1002_3323 ,contig00043_23917_24777,IroE protein,Y,,coculture_LD
3342,MIT1002_3328 ,contig00043_27709_27080,Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-),Y,,coculture_LD
3347,MIT1002_3333 ,contig00043_32544_32714,hypothetical protein,Y,,coculture_LD
3350,MIT1002_3336 ,contig00043_33972_33400,putative lipoprotein,Y,,coculture_LD
3351,MIT1002_3337 ,contig00043_34398_34153,hypothetical protein,Y,,coculture_LD
3352,MIT1002_3338 ,contig00043_35021_34539,hypothetical protein,Y,,coculture_LD
3354,MIT1002_3340 ,contig00043_36197_37501,Maltodextrin glucosidase (EC 3.2.1.20),Y,,coculture_LD
3355,MIT1002_3341 ,contig00043_37587_37805,putative orphan protein,Y,,coculture_LD
3356,MIT1002_3342 ,contig00043_38071_38934,Mobile element protein,Y,,coculture_LD
3361,MIT1002_3348 ,contig00044_2549_2085,"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",Y,,coculture_LD
3372,MIT1002_3359 ,contig00044_13188_12451,Short-chain dehydrogenase/reductase SDR,Y,,coculture_LD
3379,MIT1002_3366 ,contig00044_18719_21433,DNA gyrase subunit A (EC 5.99.1.3),Y,,coculture_LD
3380,MIT1002_3367 ,contig00044_21564_22664,Phosphoserine aminotransferase (EC 2.6.1.52),Y,,coculture_LD
3387,MIT1002_3374 ,contig00044_29896_31065,"Heat shock (predicted periplasmic) protein YciM, precursor",Y,,coculture_LD
3411,MIT1002_3398 ,contig00045_18574_18212,hypothetical protein,Y,,coculture_LD
3418,MIT1002_3406 ,contig00045_24160_24831,hypothetical protein,Y,,coculture_LD
3432,MIT1002_3421 ,contig00046_2647_3096,hypothetical protein,Y,,coculture_LD
3437,MIT1002_3426 ,contig00046_6750_7301,Protein ydjA,Y,,coculture_LD
3445,MIT1002_3434 ,contig00046_13998_12976,Rare lipoprotein A precursor,Y,,coculture_LD
3457,MIT1002_3446 ,contig00046_28045_28749,hypothetical protein,Y,,coculture_LD
3460,MIT1002_3449 ,contig00046_30097_30726,Cell division protein FtsJ / Ribosomal RNA large subunit methyltransferase J (EC 2.1.1.-),Y,,coculture_LD
3467,MIT1002_3456 ,contig00046_39376_39534,hypothetical protein,Y,,coculture_LD
3478,MIT1002_3467 ,contig00047_10795_11418,Oxidoreductase (EC 1.1.1.-),Y,,coculture_LD
3479,MIT1002_3468 ,contig00047_11559_12377,tRNA (adenine37-N(6)-)-methyltransferase TrmN6,Y,,coculture_LD
3495,MIT1002_3483 ,contig00047_29427_29822,Cell division inhibitor,Y,,coculture_LD
3496,MIT1002_3484 ,contig00047_29833_30537,Short-chain dehydrogenase/reductase SDR,Y,,coculture_LD
3504,MIT1002_3492 ,contig00047_38067_38909,S-formylglutathione hydrolase (EC 3.1.2.12),Y,,coculture_LD
3505,MIT1002_3493 ,contig00048_1771_173,sensor histidine kinase,Y,,coculture_LD
3515,MIT1002_3503 ,contig00048_11673_12638,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)",Y,,coculture_LD
3520,MIT1002_3508 ,contig00048_16381_17232,Aminodeoxychorismate lyase (EC 4.1.3.38),Y,,coculture_LD
3524,MIT1002_3512 ,contig00048_20050_20832,Putative deoxyribonuclease YcfH,Y,,coculture_LD
3525,MIT1002_3513 ,contig00048_20869_21426,"Pyridoxamine 5'-phosphate oxidase-related, FMN-binding protein",Y,,coculture_LD
3526,MIT1002_3514 ,contig00048_22244_21612,NAD-dependent epimerase/dehydratase,Y,,coculture_LD
3534,MIT1002_3522 ,contig00048_31275_33398,Enoyl-CoA hydratase (EC 4.2.1.17) / Delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase (EC 5.3.3.8) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3),Y,,coculture_LD
3535,MIT1002_3523 ,contig00048_33559_34740,3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9),Y,,coculture_LD
3542,MIT1002_3532 ,contig00049_8018_3846,DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6),Y,,coculture_LD
3543,MIT1002_3533 ,contig00049_12128_8100,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6),Y,,coculture_LD
3561,MIT1002_3551 ,contig00049_27622_27080,lipoprotein Blc,Y,,coculture_LD
3562,MIT1002_3552 ,contig00049_27878_28828,"oxidoreductase, aldo/keto reductase family",Y,,coculture_LD
3563,MIT1002_3553 ,contig00049_28852_29235,Hypothetical protein YaeR with similarity to glyoxylase family,Y,,coculture_LD
3569,MIT1002_3559 ,contig00049_35216_35923,FolM Alternative dihydrofolate reductase 1,Y,,coculture_LD
3608,MIT1002_3599 ,contig00051_14181_11134,Acriflavin resistance protein,Y,,coculture_LD
3609,MIT1002_3600 ,contig00051_15318_14185,Probable Co/Zn/Cd efflux system membrane fusion protein,Y,,coculture_LD
3623,MIT1002_3614 ,contig00051_29886_28441,"Xanthine dehydrogenase, iron-sulfur cluster and FAD-binding subunit A (1.17.1.4)",Y,,coculture_LD
3625,MIT1002_3616 ,contig00051_30294_30938,Transcriptional regulator RutR of pyrimidine catabolism (TetR family),Y,,coculture_LD
3645,MIT1002_3636 ,contig00052_18832_16796,High-affinity choline uptake protein BetT,Y,,coculture_LD
3648,MIT1002_3639 ,contig00052_23040_21307,D-Lactate dehydrogenase (EC 1.1.2.5),Y,,coculture_LD
3676,MIT1002_3667 ,contig00053_20151_21404,Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,Y,,coculture_LD
3677,MIT1002_3668 ,contig00053_22739_21558,hypothetical protein,Y,,coculture_LD
3678,MIT1002_3669 ,contig00053_23485_22736,FolM Alternative dihydrofolate reductase 1,Y,,coculture_LD
3680,MIT1002_3671 ,contig00053_24939_26855,Threonyl-tRNA synthetase (EC 6.1.1.3),Y,,coculture_LD
3685,MIT1002_3676 ,contig00053_30244_28805,"Capsular polysaccharide synthesis enzyme CpsA, sugar transferase",Y,,coculture_LD
3686,MIT1002_3678 ,contig00054_419_303,hypothetical protein,Y,,coculture_LD
3687,MIT1002_3679 ,contig00054_630_448,hypothetical protein,Y,,coculture_LD
3688,MIT1002_3680 ,contig00054_879_1049,hypothetical protein,Y,,coculture_LD
3700,MIT1002_3692 ,contig00054_13970_12969,Alcohol dehydrogenase (EC 1.1.1.1),Y,,coculture_LD
3720,MIT1002_3713 ,contig00055_2454_1489,Cysteine synthase (EC 2.5.1.47),Y,,coculture_LD
3721,MIT1002_3714 ,contig00055_2726_3562,"ATPase associated with various cellular activities, AAA_5",Y,,coculture_LD
3722,MIT1002_3715 ,contig00055_3562_4743,hypothetical protein,Y,,coculture_LD
3748,MIT1002_3742 ,contig00056_876_1847,hypothetical protein,Y,,coculture_LD
3754,MIT1002_3748 ,contig00056_10051_8813,hypothetical protein,Y,,coculture_LD
3758,MIT1002_3752 ,contig00056_14582_15463,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24),Y,,coculture_LD
3791,MIT1002_3785 ,contig00057_24725_23700,"Transcriptional regulator of trehalose utilization, LacI family",Y,,coculture_LD
3793,MIT1002_3787 ,contig00057_25042_27300,Trehalose-regulated TonB-dependent outer membrane receptor,Y,,coculture_LD
3798,MIT1002_3794 ,contig00058_5422_6264,Metal-dependent hydrolases of the beta-lactamase superfamily I,Y,,coculture_LD
3800,MIT1002_3796 ,contig00058_8300_7398,Histone deacetylase/AcuC/AphA family protein,Y,,coculture_LD
3830,MIT1002_3824 ,contig00059_18698_16482,Phospholipase D/Transphosphatidylase,Y,,coculture_LD
3840,MIT1002_3834 ,contig00060_5055_5690,Acyltransferase family protein,Y,,coculture_LD
