Synonym,Product,Expression  9313 t=20+0.01,Expression  9313+ diluted 1a3 T=20  +0.01,q Value,log 2 fold change coculture/axenic
PMT0019,PilT1 protein,87.01,127.01,0.003578276,0.545688967
PMT0464,hypothetical protein,2051.01,2992.01,0.105694653,0.544780471
PMT0113,"dTDP-4-dehydrorhamnose 3,5-epimerase",85.01,124.01,7.50E-04,0.544751997
PMT0100,imidazole glycerol phosphate synthase subunit HisF,33.01,48.01,0.004330638,0.540431797
PMT2097,hypothetical protein,29.01,42.01,0.006826741,0.53418249
PMT1827,hypothetical protein,108.01,156.01,0.001933336,0.530473617
PMT0234,Phage integrase,27.01,39.01,0.003720377,0.530350359
PMT1038,hypothetical protein,9.01,13.01,0.040398667,0.530021951
PMT0901,hypothetical protein,59.01,85.01,0.001026299,0.526673102
PMT1087,major facilitator transporter,16.01,23.01,0.009801029,0.523287676
PMT1245,ribosome recycling factor,171.01,245.01,0.004327687,0.518759943
PMT1033,Ets-domain-containing protein,28.01,40.01,0.021232512,0.514418645
PMT2254,NAD binding site:D-amino acid oxidase,21.01,30.01,0.008565549,0.514367157
PMT0144,hypothetical protein,7.01,10.01,1,0.513955625
PMT1271,primosomal protein N',7.01,10.01,1,0.513955625
PMT1870,nuclease (RecB family),7.01,10.01,1,0.513955625
PMT2058,O-succinylbenzoate synthase,7.01,10.01,1,0.513955625
PMT1351,hypothetical protein,54.01,77.01,0.003537762,0.511819248
PMT2179,hypothetical protein,26.01,37.01,0.015932821,0.508848736
PMT0871,short-chain dehydrogenase/reductase,45.01,64.01,0.001437672,0.508051744
PMT0546,periplasmic protein,133.01,189.01,0.003666234,0.506927851
PMT0087,glycosyltransferase,38.01,54.01,0.006612721,0.506847523
PMT0911,hypothetical protein,19.01,27.01,0.040505943,0.506735108
PMT0735,hypothetical protein,288.01,409.01,0.142227606,0.506017212
PMT1900,5'-methylthioadenosine phosphorylase,53.01,75.01,0.00135567,0.500818402
PMT1272,RNA polymerase sigma factor RpoD,735.01,1039.01,0.113060612,0.499373756
PMT1960,hypothetical protein,17.01,24.01,0.03733924,0.497252263
PMT0259,hypothetical protein,39.01,55.01,0.00598078,0.495849905
PMT1043,hypothetical protein,166.01,234.01,0.004462997,0.495300034
PMT0357,hypothetical protein,22.01,31.01,0.023282894,0.494574381
PMT1575,membrane permease or ABC transporter component,20.01,28.01,0.008988817,0.485220816
PMT1923,hypothetical protein,20.01,28.01,0.02519379,0.485220816
PMT1465,hypothetical protein,15.01,21.01,0.051108016,0.485152185
PMT0240,hypothetical protein,10.01,14.01,0.036292738,0.485014982
PMT0914,hypothetical protein,10.01,14.01,0.056746345,0.485014982
PMT1554,pentapeptide repeat-containing protein,5.01,7.01,1,0.484603841
PMT0446,hypothetical protein,196.01,274.01,0.003516121,0.483301286
PMT1919,hypothetical protein,78.01,109.01,0.002878372,0.482729508
PMT0434,lipase family protein,61.01,85.01,0.004969765,0.478586829
PMT0552,glycine-sarcosine methyltransferase,686.01,953.01,0.130974284,0.474261746
PMT1212,hypothetical protein,156.01,216.01,0.002704151,0.469459596
PMT1555,Serine/threonine specific protein phosphatase,65.01,90.01,0.001520827,0.469423638
PMT0884,hypothetical protein,52.01,72.01,0.023317722,0.469408229
PMT2060,isochorismate synthase,53.01,73.01,0.006808362,0.461829539
PMT1544,GTPase ObgE,16.01,22.01,0.023934101,0.459185837
PMT0772,methionyl-tRNA formyltransferase,27.01,37.01,0.007251771,0.454421496
PMT0555,glycine betaine/proline ABC transporter substrate-binding protein,109.01,149.01,0.006281464,0.450948666
PMT0268,tRNA/rRNA methyltransferase SpoU,30.01,41.01,0.013463609,0.450532425
PMT0627,hypothetical protein,214.01,292.01,0.007399547,0.448339565
PMT1423,hypothetical protein,11.01,15.01,0.033505867,0.447109508
PMT0003,phosphoribosylformylglycinamidine synthase II,25.01,34.01,0.001642691,0.443453949
PMT1357,two-component response regulator,56.01,76.01,0.005060444,0.440504806
PMT0658,ABC transporter ATP-binding protein,14.01,19.01,0.024530279,0.440301576
PMT0980,Outer membrane efflux protein,87.01,118.01,0.004000442,0.439655993
PMT2242,hypothetical protein,68.01,92.01,0.007314062,0.436043776
PMT0769,hypothetical protein,120.01,162.01,0.001898746,0.43292824
PMT1013,phytochelatin synthase,20.01,27.01,0.025415113,0.432772473
PMT2123,hypothetical protein,20.01,27.01,0.038546281,0.432772473
PMT0496,light-harvesting complex protein,55.01,74.01,0.002120989,0.428026313
PMT0423,endolysin,29.01,39.01,0.016670502,0.427293703
PMT0713,DnaB-like helicase,35.01,47.01,0.008891476,0.425200619
PMT1712,hypothetical protein,41.01,55.01,0.002952639,0.423718159
PMT0744,hypothetical protein,65.01,87.01,0.007951753,0.420519564
PMT1675,hypothetical protein,24.01,32.01,0.032375564,0.414887273
PMT1715,recombination protein F,18.01,24.01,0.01701614,0.414837222
PMT2041,dockerin repeat-containing protein,12.01,16.01,0.043995582,0.414737157
PMT0222,amino acid permease,9.01,12.01,0.030678953,0.41463714
PMT0042,hypothetical protein,88.01,117.01,0.019905984,0.41089247
PMT0405,naphthoate synthase,37.01,49.01,0.00845297,0.405161011
PMT0651,hypothetical protein,53.01,70.01,0.018340687,0.401296466
PMT1528,translation initiation factor IF-2,375.01,495.01,0.154547183,0.400528603
PMT0553,glycine betaine/proline ABC transporter ATP-binding protein,25.01,33.01,0.008236771,0.400398081
PMT1367,hypothetical protein,482.01,636.01,0.016355334,0.399986372
PMT1974,CPA1 family Na+/H+ antiporter,47.01,62.01,0.002580142,0.399533209
PMT2270,excinuclease ABC subunit A,19.01,25.01,0.002772662,0.395746526
PMT2077,small mechanosensitive ion channel,143.01,188.01,0.004839792,0.394693368
PMT2036,hypothetical protein,32.01,42.01,0.00718905,0.392210109
PMT0666,hypothetical protein,16.01,21.01,0.024149093,0.392102854
PMT1570,hypothetical protein,158.01,207.01,0.00558746,0.389684596
PMT2247,hypothetical protein,94.01,123.01,0.002770976,0.387889471
PMT1664,ferredoxin,240.01,312.01,0.011992392,0.378497752
PMT0105,hypothetical protein,30.01,39.01,0.005311617,0.378400679
PMT1763,alanine racemase,20.01,26.01,0.014314347,0.378345232
PMT0102,"surface polysaccharide biosynthesis protein, cytidylyltransferase",57.01,74.01,0.00459298,0.376505215
PMT1254,Signal peptidase I,47.01,61.01,0.010095735,0.37607805
PMT0550,hypothetical protein,37.01,48.01,0.028065583,0.3754198
PMT0101,acetyltransferase,44.01,57.01,0.017961648,0.37338363
PMT0185,sugar aldolase,17.01,22.01,0.034229077,0.371776004
PMT0481,hypothetical protein,17.01,22.01,0.034305397,0.371776004
PMT1264,precorrin-6x reductase CbiJ/CobK,17.01,22.01,0.029594535,0.371776004
PMT1834,hypothetical protein,79.01,102.01,0.023899674,0.368603419
PMT1235,hypothetical protein,45.01,58.01,0.009001333,0.366056055
PMT1550,FAD-dependent thymidylate synthase,73.01,94.01,0.005299654,0.364720147
PMT0832,UBA/TS-N domain-containing protein,432.01,556.01,0.009330868,0.364046123
PMT0787,hypothetical protein,28.01,36.01,0.045262151,0.362455616
PMT1024,VIC family potassium channel protein,28.01,36.01,0.019996665,0.362455616
PMT0661,quinolinate synthetase,21.01,27.01,0.027061137,0.362417478
PMT0792,hypothetical protein,14.01,18.01,0.05264076,0.362341225
PMT0664,endolysin,214.01,275.01,0.005925508,0.361805869
PMT1612,hypothetical protein,110.01,141.01,0.006400981,0.358162806
PMT1788,ribonuclease HII,32.01,41.01,0.023383424,0.357453067
PMT1162,hypothetical protein,22.01,28.01,0.039708447,0.347782838
PMT1920,group 1 glycosyl transferase,22.01,28.01,0.011247194,0.347782838
PMT1965,TPR repeat-containing glycosyl transferase,70.01,89.01,0.014386444,0.346406421
PMT1220,photosystem I reaction centre subunit XII (PsaM),921.01,1169.01,0.012494661,0.343998545
PMT1404,hypothetical protein,78.01,99.01,0.018312344,0.343915172
PMT1796,hypothetical protein,903.01,1143.01,0.181468932,0.340024156
PMT0323,(dimethylallyl)adenosine tRNA methylthiotransferase,72.01,91.01,0.01359344,0.337827808
PMT2165,flavodoxin:flavin reductase-like domain-containing protein,72.01,91.01,0.008091981,0.337827808
PMT0955,zeta-carotene desaturase,57.01,72.01,0.016379844,0.336982265
PMT0562,hypothetical protein,23.01,29.01,0.03799518,0.334289312
PMT0662,transcripton factor,27.01,34.01,0.024709544,0.332465366
PMT1493,diaminopelargonic acid synthase,27.01,34.01,0.013270969,0.332465366
PMT2156,PA-phosphatase-like phosphoesterase,35.01,44.01,0.041950918,0.33006431
PMT2173,hypothetical protein,35.01,44.01,0.016683155,0.33006431
PMT0926,hypothetical protein,55.01,69.01,0.047118319,0.32711153
PMT1362,hypothetical protein,95.01,119.01,0.005567237,0.32493153
PMT1349,hypothetical protein,40.01,50.01,0.011783752,0.321855976
PMT1610,SAP domain-containing protein,40.01,50.01,0.051886859,0.321855976
PMT2138,hypothetical protein,40.01,50.01,0.017822279,0.321855976
PMT2076,Paralytic/GBP/PSP peptide,12.01,15.01,0.061042138,0.321687826
PMT0192,glycoside hydrolase family protein,4.01,5.01,1,0.321208367
PMT0302,hypothetical protein,4.01,5.01,1,0.321208367
PMT1000,glyceraldehyde 3-phosphate dehydrogenase,4.01,5.01,1,0.321208367
PMT2133,hypothetical protein,4.01,5.01,1,0.321208367
PMT1697,NADH-ubiquinone/plastoquinone (comple,123.01,153.01,0.014393324,0.314850341
PMT1825,hypothetical protein,25.01,31.01,0.052138046,0.310228468
PMT1088,hypothetical protein,17.01,21.01,0.062321375,0.304693021
PMT1382,hypothetical protein,90.01,111.01,0.017879825,0.302532446
PMT1635,ABC transporter ATP-binding protein,56.01,69.01,0.01669536,0.301121005
PMT2261,argininosuccinate synthase,52.01,64.01,0.005152145,0.299508271
PMT1094,BolA-like protein,322.01,396.01,0.016197045,0.29843137
PMT1285,hypothetical protein,409.01,502.01,0.005931411,0.295579986
PMT0547,hypothetical protein,44.01,54.01,0.029265725,0.295395177
PMT0017,hypothetical protein,40.01,49.01,0.006730553,0.292715518
PMT2202,ABC transporter ATP-binding protein,40.01,49.01,0.018751002,0.292715518
PMT2211,nucleoside triphosphate pyrophosphohydrolase,40.01,49.01,0.015136599,0.292715518
PMT0047,hypothetical protein,156.01,191.01,0.005855514,0.292009663
PMT0061,ATP-dependent protease ATP-binding subunit ClpX,268.01,328.01,0.219548625,0.291452967
PMT0597,hypothetical protein,27.01,33.01,0.011143259,0.289409499
PMT1932,heme oxygenase,9.01,11.01,1,0.289215458
PMT1325,precorrin-4 C(11)-methyltransferase,64.01,78.01,0.007413912,0.285361764
PMT0768,hypothetical protein,70.01,85.01,0.016885387,0.280071553
PMT0015,tRNA-dihydrouridine synthase A,28.01,34.01,0.020543892,0.280017023
PMT1075,hypothetical protein,47.01,57.01,0.026308781,0.278247321
PMT2149,mechanosensitive ion channel,71.01,86.01,0.018703704,0.276482199
PMT0463,YciI-like protein,48.01,58.01,0.058499018,0.272966683
PMT0571,permease,29.01,35.01,0.019067477,0.271216766
PMT1098,cAMP phosphodiesterase class-II,325.01,392.01,0.013031633,0.270406349
PMT0041,hypothetical protein,129.01,155.01,0.019872653,0.264878391
PMT1050,glucose inhibited division protein A,50.01,60.01,0.056252532,0.262986325
PMT1137,SAM-binding motif-containing protein,40.01,48.01,0.022102016,0.262974307
PMT2222,ATPase,15.01,18.01,0.069135655,0.262874204
PMT1676,"E2 (early) protein, C terminal",5.01,6.01,1,0.262554388
PMT1737,50S ribosomal protein L22,1782.01,2135.01,0.212858499,0.260737394
PMT1143,homoserine dehydrogenase,61.01,73.01,0.024449911,0.259048349
PMT0588,ABC transporter transmembrane protein,36.01,43.01,0.015251179,0.256274532
PMT0776,carboxyl-terminal processing protease,67.01,80.01,0.024243975,0.255803918
PMT1049,tRNA (uracil-5-)-methyltransferase Gid,240.01,286.01,0.024211652,0.252971073
PMT0607,anti-sigma regulatory factor,94.01,112.01,0.013603861,0.252741407
PMT0969,cytochrome ubiquinol oxidase,42.01,50.01,0.063439009,0.251483819
PMT1815,aspartyl/glutamyl-tRNA amidotransferase subunit C,195.01,232.01,0.008473391,0.250638883
PMT0063,trigger factor,397.01,472.01,0.220552388,0.249642078
PMT1995,glycerol-3-phosphate acyltransferase PlsX,154.01,183.01,0.018187832,0.248898453
PMT1783,30S ribosomal protein S10,1244.01,1478.01,0.256353449,0.248657948
PMT0489,hypothetical protein,97.01,115.01,0.018629187,0.245553931
PMT1671,carbohydrate kinase,81.01,96.01,0.021871516,0.245084671
PMT0121,DNA gyrase subunit B,65.01,77.01,0.018083529,0.244384142
PMT1986,hypothetical protein,77.01,91.01,0.034553544,0.240979278
PMT1042,hypothetical protein,11.01,13.01,0.121286514,0.240806493
PMT1942,hypothetical protein,11.01,13.01,0.049166385,0.240806493
PMT1074,ribose-phosphate pyrophosphokinase,74.01,87.01,0.020653828,0.233461002
PMT0314,ATP-dependent Clp protease proteolytic subunit,200.01,235.01,0.019216293,0.232650014
PMT1041,hypothetical protein,23.01,27.01,0.072358313,0.231232656
PMT0752,LysM motif-containing protein,151.01,177.01,0.014245236,0.229186777
PMT1829,cob(I)alamin adenosyltransferase,96.01,112.01,0.010570246,0.222370955
PMT2245,polyphosphate kinase,60.01,70.01,0.019137497,0.222358077
PMT1474,methyltransferase,24.01,28.01,0.029841858,0.22230658
PMT1090,Serine/threonine specific protein phosphatase,12.01,14.01,0.060036659,0.222220805
PMT2224,class IV aminotransferase,12.01,14.01,0.059621508,0.222220805
PMT0309,hypothetical protein,172.01,200.01,0.019540165,0.217579693
PMT1198,hypothetical protein,43.01,50.01,0.073806182,0.217544474
PMT0203,GTP-binding protein EngA,37.01,43.01,0.009558396,0.216756996
PMT2002,RNA recognition motif-containing protein,982.01,1139.01,0.273714454,0.213970792
PMT1028,hypothetical protein,44.01,51.01,0.067020517,0.212948729
PMT1069,pseudouridylate synthase specific to ribosomal small subunit,114.01,132.01,0.033687599,0.211486849
PMT1060,ribosomal-protein-alanine acetyltransferase,51.01,59.01,0.035544859,0.210179358
PMT2267,phosphoribosylglycinamide formyltransferase 2,64.01,74.01,0.026919582,0.209422908
PMT1926,group 1 glycosyl transferase,32.01,37.01,0.025089251,0.209392459
PMT0403,glycogen synthase,58.01,67.01,0.033969127,0.208074788
PMT1861,cobalamin-5-phosphate synthase CobS,13.01,15.01,0.067326902,0.206303015
PMT2171,cystathionine beta-lyase family aluminum resistance protein,13.01,15.01,0.046943423,0.206303015
PMT1584,SMC ATPase superfamily chromosome segregation protein,59.01,68.01,0.024441805,0.204787433
PMT0757,50S ribosomal protein L32,86.01,99.01,0.06399739,0.203069839
PMT1778,hypothetical protein,60.01,69.01,0.028664517,0.201602503
PMT1585,hypothetical protein,141.01,162.01,0.017540023,0.200285388
PMT2203,ABC transporter substrate-binding protein,27.01,31.01,0.035548308,0.199239886
PMT1313,PilT2 protein,48.01,55.01,0.010601571,0.196358967
PMT0767,aromatic acid decarboxylase,55.01,63.01,0.028102053,0.195886907
PMT0729,methionine synthase,56.01,64.01,0.025274463,0.19261288
PMT0011,signal recognition particle protein,35.01,40.01,0.013817292,0.192593567
PMT2152,guanylate cyclase,35.01,40.01,0.020224968,0.192593567
PMT0724,excinuclease ABC subunit C,28.01,32.01,0.014393324,0.192580693
PMT2109,pseudouridylate synthase specific to ribosomal large subunit,7.01,8.01,1,0.192387798
PMT1417,two-component sensor histidine kinase,64.01,73.01,0.022788489,0.189796771
PMT0503,ATLS1-like light-inducible protein,50.01,57.01,0.060603777,0.188998396
PMT1144,hypothetical protein,389.01,443.01,0.033470397,0.187532023
PMT0245,hypothetical protein,171.01,194.01,0.014669243,0.182050325
PMT0727,cobalamin biosynthetic protein CobN,15.01,17.01,0.013027186,0.180459164
PMT1828,deoxycytidine triphosphate deaminase,83.01,94.01,0.014728859,0.179529082
PMT2246,type II alternative sigma-70 family RNA polymerase sigma factor,447.01,506.01,0.286704135,0.17885879
PMT1284,hypothetical protein,115.01,130.01,0.025024091,0.176863288
PMT0180,UDP pyrophosphate phosphatase,39.01,44.01,0.029612009,0.173987373
PMT0847,photosystem I reaction centre subunit VI,94.01,106.01,0.041950918,0.17331423
PMT1751,adenylate kinase,261.01,294.01,0.021611852,0.171760144
PMT2082,kinase,40.01,45.01,0.017658596,0.169884936
PMT1446,phosphoglyceromutase,115.01,129.01,0.023287464,0.165723591
PMT0821,hypothetical protein,75.01,84.01,0.014449488,0.163478125
PMT0598,pyridoxal-dependent decarboxylase family protein,25.01,28.01,0.034359022,0.163436926
PMT0456,RNA polymerase sigma-70 factor family protein,276.01,309.01,0.034701811,0.162932989
PMT1093,hypothetical protein,298.01,333.01,0.020834712,0.160204758
PMT0029,thiamine monophosphate kinase,78.01,87.01,0.036384027,0.157522145
PMT1894,rubredoxin,201.01,224.01,0.041461328,0.156295861
PMT0498,pili assembly chaperone,106.01,118.01,0.031822223,0.154708755
PMT1153,high light inducible protein,1258.01,1398.01,0.036214278,0.15223129
PMT0698,ATP phosphoribosyltransferase regulatory subunit,72.01,80.01,0.045529274,0.151983059
PMT1029,aspartate aminotransferase,36.01,40.01,0.024070622,0.151963029
PMT1636,serine protease,36.01,40.01,0.025925966,0.151963029
PMT0257,GTP-binding protein LepA,28.01,31.01,0.017068321,0.146791543
PMT0591,Zn-dependent peptidase,47.01,52.01,0.017501339,0.145821357
PMT0158,zinc metallopeptidase,19.01,21.01,0.053796791,0.14431763
PMT1536,hypothetical protein,555.01,613.01,0.031772158,0.143396843
PMT1964,beta-N-acetylglucosaminidase,29.01,32.01,0.022398183,0.141972381
PMT1716,S-adenosylmethionine decarboxylase,197.01,217.01,0.041767994,0.139492664
PMT1980,hypothetical protein,51.01,56.01,0.047299005,0.134904328
PMT1583,hypothetical protein,31.01,34.01,0.093136312,0.13322548
PMT1764,hypothetical protein,21.01,23.01,0.07327056,0.131184822
PMT1806,NAD binding site:FAD-dependent pyridine nucleotide-disulfide,21.01,23.01,0.031182821,0.131184822
PMT1902,short chain dehydrogenase,85.01,93.01,0.02594922,0.129753276
PMT1468,F0F1 ATP synthase subunit delta,1170.01,1280.01,0.266734127,0.129634221
PMT0007,hypothetical protein,33.01,36.01,0.03509584,0.125494461
PMT2209,AIR synthase,33.01,36.01,0.100001847,0.125494461
PMT0353,sodium dependent transporter,11.01,12.01,0.094968669,0.125421682
PMT2237,uroporphyrin-III C-methyltransferase,23.01,25.01,0.075812977,0.120244074
PMT1509,30S ribosomal protein S20,186.01,202.01,0.019295971,0.119046528
PMT0756,cell division protein FtsH4,82.01,89.01,0.026515254,0.11816759
PMT0755,hypothetical protein,36.01,39.01,0.041365001,0.115446399
PMT1882,hypothetical protein,12.01,13.01,0.092174426,0.115384811
PMT0774,Rieske iron-sulfur protein 2Fe-2S subunit,73.01,79.01,0.043584284,0.113941181
PMT0076,transporter component,74.01,80.01,0.050469054,0.112460109
PMT0873,transglycosylase,37.01,40.01,0.03209593,0.112445493
PMT1108,hypothetical protein,37.01,40.01,0.074610415,0.112445493
PMT2034,hypothetical protein,37.01,40.01,0.044192109,0.112445493
PMT1489,hypothetical protein,87.01,94.01,0.019996665,0.111633008
PMT0132,succinate dehydrogenase flavoprotein subunit,25.01,27.01,0.022380402,0.110988582
PMT1350,hypothetical protein,25.01,27.01,0.044283916,0.110988582
PMT2256,glutamate dehydrogenase,63.01,68.01,0.096381283,0.110166082
PMT1067,kinase,51.01,55.01,0.049916616,0.108913802
PMT0149,hypothetical protein,53.01,57.01,0.055002523,0.104950461
PMT0470,glutathione reductase (NADPH),41.01,44.01,0.021527946,0.101855628
PMT1758,50S ribosomal protein L13,1224.01,1312.01,0.288543198,0.100163371
PMT0241,hypothetical protein,28.01,30.01,0.105422992,0.099501336
PMT0134,Iron/ascorbate oxidoreductase,43.01,46.01,0.036243787,0.097275325
PMT1888,ABC transporter,89.01,95.01,0.052084907,0.094111941
PMT1293,hypothetical protein,30.01,32.01,0.055590425,0.093079358
PMT0360,hypothetical protein,137.01,146.01,0.067020517,0.091785985
PMT1589,hypothetical protein,62.01,66.01,0.076304604,0.090183709
PMT2182,hypothetical protein,31.01,33.01,0.091230985,0.090169613
PMT1779,30S ribosomal protein S12,1770.01,1884.01,0.286322333,0.090049111
PMT0501,ABC transporter ATP-binding protein,47.01,50.01,0.02519379,0.089248925
PMT0872,CDP-alcohol phosphatidyltransferase,47.01,50.01,0.041964375,0.089248925
PMT1510,histidinol dehydrogenase,32.01,34.01,0.036424756,0.087436329
PMT0956,kinesin motor domain,16.01,17.01,0.148388222,0.087409833
PMT1873,major facilitator transporter,16.01,17.01,0.092748885,0.087409833
PMT0528,hypothetical protein,313.01,332.01,0.030654774,0.085017947
PMT0453,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase,67.01,71.01,0.029931954,0.0836458
PMT2177,tRNA uridine 5-carboxymethylaminomethyl modification protein GidA,35.01,37.01,0.028443387,0.080148074
PMT1650,PDZ domain-containing protein,89.01,94.01,0.042384832,0.078846799
PMT2160,hypothetical protein,37.01,39.01,0.083891996,0.075928863
PMT1149,Type I antifreeze protein,835.01,880.01,0.174873311,0.075726443
PMT0641,DNA primase,19.01,20.01,0.034526417,0.073962635
PMT0249,"fatty acid desaturase, type 2",252.01,265.01,0.078999838,0.072565818
PMT1912,hypothetical protein,60.01,63.01,0.047093386,0.07037788
PMT1981,hypothetical protein,20.01,21.01,0.146767072,0.070354995
PMT0467,hypothetical protein,123.01,129.01,0.038635294,0.068707295
PMT0110,hypothetical protein,104.01,109.01,0.055888119,0.067738244
PMT0688,hypothetical protein,45.01,47.01,0.104309211,0.062722116
PMT0521,ferric uptake regulator family protein,138.01,144.01,0.025482559,0.061396189
PMT0278,hypothetical protein,107.01,111.01,0.032219581,0.052944022
PMT1476,c-type cytochrome biogenesis protein CcdA,435.01,451.01,0.166431275,0.052110856
PMT0703,molecular chaperone DnaK,28.01,29.01,0.026775993,0.050608312
PMT0168,"negative factor, (F-protein) or Nef",359.01,371.01,0.115898339,0.047434043
PMT0499,ferritin,120.01,124.01,0.036045957,0.047301837
PMT1036,hypothetical protein,61.01,63.01,0.08695909,0.046535079
PMT1854,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,382.01,394.01,0.344385456,0.044621841
PMT1755,DNA-directed RNA polymerase subunit alpha,1197.01,1234.01,0.304228126,0.043918881
PMT0016,hypothetical protein,168.01,173.01,0.064149955,0.042308323
PMT1019,hypothetical protein,34.01,35.01,0.071670149,0.041808056
PMT1595,ABC transporter ATP-binding protein,36.01,37.01,0.050482797,0.039517536
PMT1990,thymidylate kinase,37.01,38.01,0.067871416,0.03846389
PMT1521,hypothetical protein,40.01,41.01,0.031316785,0.035615115
PMT2251,hypothetical protein,40.01,41.01,0.030900549,0.035615115
PMT0819,ABC transporter,82.01,84.01,0.041229165,0.03476123
PMT0579,sulfite reductase subunit beta,88.01,90.01,0.039560056,0.032417835
PMT0527,hypothetical protein,95.01,97.01,0.029782597,0.030054103
PMT1856,photosystem II reaction centre T prot,485.01,494.01,0.075731643,0.026525753
PMT0516,hypothetical protein,54.01,55.01,0.065861557,0.026467355
PMT0791,peptide chain release factor 3,54.01,55.01,0.066018023,0.026467355
PMT0137,hypothetical protein,60.01,61.01,0.0628394,0.023842801
PMT1408,peptide methionine sulfoxide reductase,64.01,65.01,0.046011705,0.022364346
PMT1168,helicase domain-containing protein,65.01,66.01,0.068170823,0.022022944
PMT0848,NADH dehydrogenase (complex I) subunit,67.01,68.01,0.030485533,0.021370485
PMT1154,high light inducible protein,1049.01,1063.01,0.042866416,0.019126738
PMT1136,Holliday junction resolvase,151.01,153.01,0.044992659,0.018981855
PMT1148,GatB/YqeY domain-containing protein,94.01,95.01,0.054672096,0.015265141
PMT1306,50S ribosomal protein L19,666.01,672.01,0.218586658,0.012938862
PMT1345,hypothetical protein,116.01,117.01,0.041472795,0.012382662
PMT2260,hypothetical protein,468.01,472.01,0.055595286,0.012278069
PMT1757,tRNA pseudouridine synthase A,124.01,125.01,0.058814589,0.011587044
PMT0119,translation initiation factor IF-3,465.01,468.01,0.172704878,0.009277615
PMT1515,sulfatase,194.01,195.01,0.359442598,0.00741709
PMT0075,precorrin-8X methylmutase CobH,4.01,4.01,1,0
PMT0078,hypothetical protein,62.01,62.01,0.038071486,0
PMT0223,S-adenosylmethionine--tRNA ribosyltransferase-isomerase,5.01,5.01,1,0
PMT0235,hypothetical protein,17.01,17.01,0.15365394,0
PMT0236,Ser/Thr protein phosphatase,6.01,6.01,1,0
PMT0281,resolvase domain-containing protein,0.01,0.01,1,0
PMT0282,hypothetical protein,10.01,10.01,1,0
PMT0368,inorganic polyphosphate/ATP-NAD kinase,19.01,19.01,0.113091474,0
PMT0449,"ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB",12.01,12.01,0.058156149,0
PMT0475,N-acetyltransferase GCN5,57.01,57.01,0.068631414,0
PMT0505,rhomboid family protein,37.01,37.01,0.099142147,0
PMT0624,hypothetical protein,0.01,0.01,1,0
PMT0711,PDZ domain-containing protein,23.01,23.01,0.06367953,0
PMT0723,hypothetical protein,131.01,131.01,0.037219918,0
PMT0777,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,134.01,134.01,0.04588272,0
PMT0866,serine/threonine specific protein phosphatase:DNA repair,15.01,15.01,0.122668957,0
PMT0920,hypothetical protein,0.01,0.01,1,0
PMT0933,hypothetical protein,0.01,0.01,1,0
PMT0944,hypothetical protein,0.01,0.01,1,0
PMT0970,capsid protein,0.01,0.01,1,0
PMT0974,hypothetical protein,15.01,15.01,0.134682204,0
PMT0985,hypothetical protein,41.01,41.01,0.097265432,0
PMT0995,"two component sensor histidine kinase fragment, likely pseudogene",0.01,0.01,1,0
PMT1023,hypothetical protein,0.01,0.01,1,0
PMT1032,hypothetical protein,162.01,162.01,0.069400438,0
PMT1053,hypothetical protein,17.01,17.01,0.081775842,0
PMT1110,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",25.01,25.01,0.079198679,0
PMT1190,hypothetical protein,17.01,17.01,0.126866557,0
PMT1291,hypothetical protein,25.01,25.01,0.066314538,0
PMT1321,hypothetical protein,36.01,36.01,0.137441749,0
PMT1385,hypothetical protein,0.01,0.01,1,0
PMT1418,circadian clock protein KaiC,50.01,50.01,0.062968525,0
PMT1443,50S ribosomal protein L36,23.01,23.01,0.145043957,0
PMT1563,hypothetical protein,0.01,0.01,1,0
PMT1573,ABC transporter,20.01,20.01,0.091253638,0
PMT1607,AsnC family regulatory protein,164.01,164.01,0.062350291,0
PMT1615,hypothetical protein,9.01,9.01,1,0
PMT1719,molybdopterin biosynthesis protein,25.01,25.01,0.065563091,0
PMT1875,hypothetical protein,0.01,0.01,1,0
PMT1934,glycosyl transferase family protein,36.01,36.01,0.062715964,0
PMT2025,Fungal Zn(2)-Cys(6) binuclear cluster,0.01,0.01,1,0
PMT2053,hypothetical protein,0.01,0.01,1,0
PMT2128,hypothetical protein,0.01,0.01,1,0
PMT2144,hypothetical protein,23.01,23.01,0.067212524,0
PMT1848,hypothetical protein,272.01,269.01,0.0467917,-0.015999887
PMT2217,type II alternative RNA polymerase sigma factor,85.01,84.01,0.069486107,-0.017071493
PMT1713,phosphoenolpyruvate carboxylase,83.01,82.01,0.063192582,-0.017485307
PMT0050,sulfolipid (UDP-sulfoquinovose) biosynthesis protein,451.01,444.01,0.345648204,-0.022567253
PMT0794,spectrin repeat-containing protein,217.01,213.01,0.037789781,-0.026840364
PMT0444,glycogen branching protein,106.01,104.01,0.062321375,-0.027478119
PMT1133,beta-lactamase,51.01,50.01,0.037543787,-0.028563496
PMT1817,isoleucyl-tRNA synthetase,99.01,97.01,0.107614314,-0.029440774
