seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,old_locus_tags,ec_numbers
NC_010475.1,SYNPCC7002_RS02800,,SYNPCC7002_RS02800,SYNPCC7002_A0563,Protein Homology,589624,592269,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015134062.1,chloride channel protein,WP_041443344.1,"GO:0006821,GO:0055085,GO:0005247,GO:0016020",membrane|0016020||IEA,voltage-gated chloride channel activity|0005247||IEA,"chloride transport|0006821||IEA,transmembrane transport|0055085||IEA",SYNPCC7002_A0563,
NC_010475.1,SYNPCC7002_RS02805,,SYNPCC7002_RS02805,SYNPCC7002_A0564,Protein Homology,592472,593461,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306195.1,vitamin K epoxide reductase family protein,WP_012306195.1,,,,,SYNPCC7002_A0564,
NC_010475.1,SYNPCC7002_RS02810,,SYNPCC7002_RS02810,SYNPCC7002_A0565,Protein Homology,593502,594014,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306196.1,molybdenum cofactor biosynthesis protein B,WP_012306196.1,GO:0006777,,,Mo-molybdopterin cofactor biosynthetic process|0006777||IEA,SYNPCC7002_A0565,
NC_010475.1,SYNPCC7002_RS02815,,SYNPCC7002_RS02815,SYNPCC7002_A0566,Protein Homology,594075,594557,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015955169.1,flavin reductase family protein,WP_012306197.1,"GO:0010181,GO:0016646",,"FMN binding|0010181||IEA,oxidoreductase activity%2C acting on the CH-NH group of donors%2C NAD or NADP as acceptor|0016646||IEA",,SYNPCC7002_A0566,1.-.-.-
NC_010475.1,SYNPCC7002_RS02820,,SYNPCC7002_RS02820,SYNPCC7002_A0567,Protein Homology,594623,594973,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_004158610.1,phenylpyruvate tautomerase MIF-related protein,WP_012306198.1,,,,,SYNPCC7002_A0567,
NC_010475.1,SYNPCC7002_RS02825,,SYNPCC7002_RS02825,SYNPCC7002_A0568,Protein Homology,595375,595911,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306199.1,CHRD domain-containing protein,WP_012306199.1,,,,,SYNPCC7002_A0568,
NC_010475.1,SYNPCC7002_RS02830,,SYNPCC7002_RS02830,SYNPCC7002_A0569,Protein Homology,596050,596409,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306200.1,NAD(P)H-quinone oxidoreductase subunit M,WP_012306200.1,,,,,SYNPCC7002_A0569,
NC_010475.1,SYNPCC7002_RS02835,,SYNPCC7002_RS02835,SYNPCC7002_A0570,Protein Homology,596456,596965,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306201.1,hypothetical protein,WP_012306201.1,,,,,SYNPCC7002_A0570,
NC_010475.1,SYNPCC7002_RS02840,,SYNPCC7002_RS02840,SYNPCC7002_A0571,Protein Homology,597031,597570,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306202.1,RDD family protein,WP_012306202.1,,,,,SYNPCC7002_A0571,
NC_010475.1,rpmG,rpmG,SYNPCC7002_RS02845,SYNPCC7002_A0572,Protein Homology,597623,597817,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012411241.1,50S ribosomal protein L33,WP_012306203.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SYNPCC7002_A0572,
NC_010475.1,rpsR,rpsR,SYNPCC7002_RS02850,SYNPCC7002_A0573,Protein Homology,597882,598097,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019507970.1,30S ribosomal protein S18,WP_012306204.1,"GO:0006412,GO:0003735,GO:0000314,GO:0022627","organellar small ribosomal subunit|0000314||IEA,cytosolic small ribosomal subunit|0022627||IEA",structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SYNPCC7002_A0573,
NC_010475.1,SYNPCC7002_RS02855,,SYNPCC7002_RS02855,SYNPCC7002_A0574,Protein Homology,598169,600181,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306205.1,ribonuclease catalytic domain-containing protein,WP_012306205.1,"GO:0006401,GO:0003723,GO:0016896",,"RNA binding|0003723||IEA,RNA exonuclease activity%2C producing 5'-phosphomonoesters|0016896||IEA",RNA catabolic process|0006401||IEA,SYNPCC7002_A0574,3.1.13.-
NC_010475.1,SYNPCC7002_RS02860,,SYNPCC7002_RS02860,SYNPCC7002_A0575,Protein Homology,600338,600541,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306206.1,hypothetical protein,WP_012306206.1,,,,,SYNPCC7002_A0575,
NC_010475.1,SYNPCC7002_RS02865,,SYNPCC7002_RS02865,SYNPCC7002_A0576,Protein Homology,600592,601467,-,,,COORDINATES: protein motif:HMM:NF012863.5,GDSL-type esterase/lipase family protein,WP_012306207.1,,,,,SYNPCC7002_A0576,
NC_010475.1,SYNPCC7002_RS02870,,SYNPCC7002_RS02870,SYNPCC7002_A0577,Protein Homology,601755,603062,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306208.1,cation:proton antiporter,WP_223209845.1,"GO:0006812,GO:0055085,GO:1902600",,,"monoatomic cation transport|0006812||IEA,transmembrane transport|0055085||IEA,proton transmembrane transport|1902600||IEA",SYNPCC7002_A0577,
NC_010475.1,SYNPCC7002_RS02875,,SYNPCC7002_RS02875,SYNPCC7002_A0578,Protein Homology,603209,605026,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002793602.1,N-acetylmuramoyl-L-alanine amidase,WP_012306209.1,,,,,SYNPCC7002_A0578,
NC_010475.1,murI,murI,SYNPCC7002_RS02880,SYNPCC7002_A0579,Protein Homology,605131,605970,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306210.1,glutamate racemase,WP_012306210.1,"GO:0009252,GO:0008881",,glutamate racemase activity|0008881||IEA,peptidoglycan biosynthetic process|0009252||IEA,SYNPCC7002_A0579,5.1.1.3
NC_010475.1,sds,sds,SYNPCC7002_RS02885,SYNPCC7002_A0580,Protein Homology,606122,607093,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008198915.1,solanesyl diphosphate synthase,WP_012306211.1,"GO:0010236,GO:0052923",,all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity|0052923||IEA,plastoquinone biosynthetic process|0010236||IEA,SYNPCC7002_A0580,
NC_010475.1,SYNPCC7002_RS16380,,SYNPCC7002_RS16380,SYNPCC7002_RS16380,Protein Homology,607156,607305,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015226742.1,DUF2256 domain-containing protein,WP_071819459.1,,,,,,
NC_010475.1,SYNPCC7002_RS02890,,SYNPCC7002_RS02890,SYNPCC7002_A0581,Protein Homology,607348,608541,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306212.1,homocysteine biosynthesis protein,WP_012306212.1,,,,,SYNPCC7002_A0581,
NC_010475.1,SYNPCC7002_RS02895,,SYNPCC7002_RS02895,SYNPCC7002_A0582,Protein Homology,608625,608822,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007311716.1,hypothetical protein,WP_012306213.1,,,,,SYNPCC7002_A0582,
NC_010475.1,SYNPCC7002_RS02900,,SYNPCC7002_RS02900,SYNPCC7002_A0583,Protein Homology,609083,610357,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306214.1,glutamate-5-semialdehyde dehydrogenase,WP_012306214.1,"GO:0006561,GO:0004350,GO:0016620",,"glutamate-5-semialdehyde dehydrogenase activity|0004350||IEA,oxidoreductase activity%2C acting on the aldehyde or oxo group of donors%2C NAD or NADP as acceptor|0016620||IEA",proline biosynthetic process|0006561||IEA,SYNPCC7002_A0583,1.2.1.41
NC_010475.1,SYNPCC7002_RS02905,,SYNPCC7002_RS02905,SYNPCC7002_A0584,Protein Homology,610431,612200,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306215.1,N-acetylmuramoyl-L-alanine amidase,WP_012306215.1,"GO:0009253,GO:0008745",,N-acetylmuramoyl-L-alanine amidase activity|0008745||IEA,peptidoglycan catabolic process|0009253||IEA,SYNPCC7002_A0584,3.5.1.28
NC_010475.1,SYNPCC7002_RS02910,,SYNPCC7002_RS02910,SYNPCC7002_A0585,Protein Homology,612204,613979,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306216.1,TolC family protein,WP_012306216.1,"GO:0055085,GO:0015562",,efflux transmembrane transporter activity|0015562||IEA,transmembrane transport|0055085||IEA,SYNPCC7002_A0585,
NC_010475.1,SYNPCC7002_RS02915,,SYNPCC7002_RS02915,SYNPCC7002_A0586,Protein Homology,614362,614805,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306217.1,VOC family protein,WP_012306217.1,,,,,SYNPCC7002_A0586,
NC_010475.1,SYNPCC7002_RS02920,,SYNPCC7002_RS02920,SYNPCC7002_A0587,Protein Homology,614875,618069,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306218.1,efflux RND transporter permease subunit,WP_012306218.1,"GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,,SYNPCC7002_A0587,
NC_010475.1,arsC,arsC,SYNPCC7002_RS02925,SYNPCC7002_A0588,Protein Homology,618185,618583,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306219.1,arsenate reductase%2C glutathione/glutaredoxin type,WP_012306219.1,"GO:0046685,GO:0008794",,arsenate reductase (glutaredoxin) activity|0008794||IEA,response to arsenic-containing substance|0046685||IEA,SYNPCC7002_A0588,1.20.4.1
NC_010475.1,arsB,arsB,SYNPCC7002_RS02930,SYNPCC7002_A0589,Protein Homology,618600,619739,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306220.1,ACR3 family arsenite efflux transporter,WP_012306220.1,"GO:0015700,GO:0046685,GO:0008490,GO:0015103,GO:0015297,GO:0016020",membrane|0016020||IEA,"arsenite secondary active transmembrane transporter activity|0008490||IEA,inorganic anion transmembrane transporter activity|0015103||IEA,antiporter activity|0015297||IEA","arsenite transport|0015700||IEA,response to arsenic-containing substance|0046685||IEA",SYNPCC7002_A0589,
NC_010475.1,SYNPCC7002_RS02935,,SYNPCC7002_RS02935,SYNPCC7002_A0590,Protein Homology,619815,620132,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015222966.1,helix-turn-helix transcriptional regulator,WP_012306221.1,GO:0003700,,DNA-binding transcription factor activity|0003700||IEA,,SYNPCC7002_A0590,
NC_010475.1,SYNPCC7002_RS02940,,SYNPCC7002_RS02940,SYNPCC7002_A0591,Protein Homology,620161,621420,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015135016.1,efflux RND transporter periplasmic adaptor subunit,WP_041443770.1,"GO:0055085,GO:0022857,GO:0042802,GO:0016020",membrane|0016020||IEA,"transmembrane transporter activity|0022857||IEA,identical protein binding|0042802||IEA",transmembrane transport|0055085||IEA,SYNPCC7002_A0591,
NC_010475.1,rseP,rseP,SYNPCC7002_RS02945,SYNPCC7002_A0592,Protein Homology,621606,622697,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002736295.1,RIP metalloprotease RseP,WP_012306223.1,"GO:0006508,GO:0004222,GO:0016020",membrane|0016020||IEA,metalloendopeptidase activity|0004222||IEA,proteolysis|0006508||IEA,SYNPCC7002_A0592,
NC_010475.1,SYNPCC7002_RS02950,,SYNPCC7002_RS02950,SYNPCC7002_A0593,Protein Homology,622752,623018,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306224.1,DUF3493 domain-containing protein,WP_012306224.1,,,,,SYNPCC7002_A0593,
NC_010475.1,SYNPCC7002_RS02955,,SYNPCC7002_RS02955,SYNPCC7002_A0594,Protein Homology,623061,623966,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015957437.1,LD-carboxypeptidase,WP_041443771.1,,,,,SYNPCC7002_A0594,
NC_010475.1,tpiA,tpiA,SYNPCC7002_RS02960,SYNPCC7002_A0595,Protein Homology,624033,624758,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306226.1,triose-phosphate isomerase,WP_012306226.1,"GO:0006096,GO:0004807",,triose-phosphate isomerase activity|0004807||IEA,glycolytic process|0006096||IEA,SYNPCC7002_A0595,5.3.1.1
NC_010475.1,bchD,bchD,SYNPCC7002_RS02965,SYNPCC7002_A0596,Protein Homology,624873,626921,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306227.1,magnesium chelatase ATPase subunit D,WP_012306227.1,"GO:0015995,GO:0005524,GO:0016851,GO:0016887,GO:0010007",magnesium chelatase complex|0010007||IEA,"ATP binding|0005524||IEA,magnesium chelatase activity|0016851||IEA,ATP hydrolysis activity|0016887||IEA",chlorophyll biosynthetic process|0015995||IEA,SYNPCC7002_A0596,6.6.1.1
NC_010475.1,SYNPCC7002_RS02970,,SYNPCC7002_RS02970,SYNPCC7002_A0597,Protein Homology,627191,627574,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306228.1,DUF4346 domain-containing protein,WP_012306228.1,,,,,SYNPCC7002_A0597,
NC_010475.1,SYNPCC7002_RS02975,,SYNPCC7002_RS02975,SYNPCC7002_A0598,Protein Homology,627583,628290,+,,,COORDINATES: protein motif:HMM:NF024491.5,phospholipase D family protein,WP_012306229.1,,,,,SYNPCC7002_A0598,
NC_010475.1,argS,argS,SYNPCC7002_RS02980,SYNPCC7002_A0599,Protein Homology,628335,630092,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_016514739.1,arginine--tRNA ligase,WP_012306230.1,"GO:0006420,GO:0004814,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"arginine-tRNA ligase activity|0004814||IEA,ATP binding|0005524||IEA",arginyl-tRNA aminoacylation|0006420||IEA,SYNPCC7002_A0599,6.1.1.19
NC_010475.1,SYNPCC7002_RS02985,,SYNPCC7002_RS02985,SYNPCC7002_A0600,Protein Homology,630538,631341,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009545972.1,M48 family metallopeptidase,WP_041443347.1,,,,,SYNPCC7002_A0600,
NC_010475.1,rdgB,rdgB,SYNPCC7002_RS02990,SYNPCC7002_A0601,Protein Homology,631344,631919,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306232.1,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,WP_012306232.1,"GO:0006281,GO:0035870,GO:0036222",,"dITP diphosphatase activity|0035870||IEA,XTP diphosphatase activity|0036222||IEA",DNA repair|0006281||IEA,SYNPCC7002_A0601,3.6.1.66
NC_010475.1,SYNPCC7002_RS02995,,SYNPCC7002_RS02995,SYNPCC7002_A0602,Protein Homology,632081,632293,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306233.1,high light inducible protein,WP_012306233.1,,,,,SYNPCC7002_A0602,
NC_010475.1,SYNPCC7002_RS03000,,SYNPCC7002_RS03000,SYNPCC7002_A0603,Protein Homology,632542,633531,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306234.1,phosphotransferase enzyme family protein,WP_012306234.1,,,,,SYNPCC7002_A0603,
NC_010475.1,SYNPCC7002_RS03010,,SYNPCC7002_RS03010,SYNPCC7002_A0604,Protein Homology,633857,634378,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306235.1,Ycf51 family protein,WP_012306235.1,,,,,SYNPCC7002_A0604,
NC_010475.1,SYNPCC7002_RS03015,,SYNPCC7002_RS03015,SYNPCC7002_A0605,Protein Homology,634435,635607,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306236.1,iron-containing alcohol dehydrogenase family protein,WP_012306236.1,"GO:0030554,GO:0046872",,"adenyl nucleotide binding|0030554||IEA,metal ion binding|0046872||IEA",,SYNPCC7002_A0605,
NC_010475.1,SYNPCC7002_RS03020,,SYNPCC7002_RS03020,SYNPCC7002_A0606,Protein Homology,635698,636840,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306237.1,5-(carboxyamino)imidazole ribonucleotide synthase,WP_012306237.1,"GO:0006189,GO:0004638,GO:0005524,GO:0046872",,"phosphoribosylaminoimidazole carboxylase activity|0004638||IEA,ATP binding|0005524||IEA,metal ion binding|0046872||IEA",'de novo' IMP biosynthetic process|0006189||IEA,SYNPCC7002_A0606,6.3.4.18
NC_010475.1,SYNPCC7002_RS03025,,SYNPCC7002_RS03025,SYNPCC7002_A0607,Protein Homology,636837,637250,-,,,COORDINATES: protein motif:HMM:NF017868.5,gamma-glutamylcyclotransferase,WP_012306238.1,,,,,SYNPCC7002_A0607,
NC_010475.1,SYNPCC7002_RS03030,,SYNPCC7002_RS03030,SYNPCC7002_A0608,Protein Homology,637345,638043,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306239.1,response regulator transcription factor,WP_012306239.1,GO:0000160,,,phosphorelay signal transduction system|0000160||IEA,SYNPCC7002_A0608,
NC_010475.1,SYNPCC7002_RS03035,,SYNPCC7002_RS03035,SYNPCC7002_A0609,Protein Homology,638115,638402,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306240.1,DUF3288 family protein,WP_012306240.1,,,,,SYNPCC7002_A0609,
NC_010475.1,SYNPCC7002_RS03040,,SYNPCC7002_RS03040,SYNPCC7002_A0610,Protein Homology,638393,639841,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306241.1,bifunctional orotidine-5'-phosphate decarboxylase/orotate phosphoribosyltransferase,WP_012306241.1,,,,,SYNPCC7002_A0610,"2.4.2.10,4.1.1.23"
NC_010475.1,SYNPCC7002_RS03045,,SYNPCC7002_RS03045,SYNPCC7002_A0611,Protein Homology,639923,641146,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306242.1,ABC transporter permease,WP_012306242.1,"GO:0042626,GO:0140359",,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,SYNPCC7002_A0611,
NC_010475.1,SYNPCC7002_RS03055,,SYNPCC7002_RS03055,SYNPCC7002_A0613,Protein Homology,641328,644336,+,,,COORDINATES: protein motif:HMM:NF012403.5,DEAD/DEAH box helicase,WP_012306243.1,GO:0004386,,helicase activity|0004386||IEA,,SYNPCC7002_A0613,3.6.4.-
NC_010475.1,SYNPCC7002_RS03060,,SYNPCC7002_RS03060,SYNPCC7002_A0614,Protein Homology,644409,644636,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306244.1,DNA-directed RNA polymerase subunit omega,WP_012306244.1,"GO:0006351,GO:0003677,GO:0003899",,"DNA binding|0003677||IEA,DNA-directed 5'-3' RNA polymerase activity|0003899||IEA",DNA-templated transcription|0006351||IEA,SYNPCC7002_A0614,2.7.7.6
NC_010475.1,SYNPCC7002_RS03065,,SYNPCC7002_RS03065,SYNPCC7002_A0615,Protein Homology,644798,646444,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306245.1,DUF3685 domain-containing protein,WP_049761554.1,,,,,SYNPCC7002_A0615,
NC_010475.1,SYNPCC7002_RS03070,,SYNPCC7002_RS03070,SYNPCC7002_A0616,Protein Homology,646516,646950,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306246.1,NUDIX hydrolase,WP_012306246.1,GO:0016787,,hydrolase activity|0016787||IEA,,SYNPCC7002_A0616,
NC_010475.1,SYNPCC7002_RS03075,,SYNPCC7002_RS03075,SYNPCC7002_A0617,Protein Homology,646990,647376,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015135500.1,RidA family protein,WP_012306247.1,,,,,SYNPCC7002_A0617,
NC_010475.1,SYNPCC7002_RS03080,,SYNPCC7002_RS03080,SYNPCC7002_A0618,Protein Homology,647534,648997,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306248.1,DEAD/DEAH box helicase,WP_012306248.1,"GO:0004386,GO:0005524,GO:0016887",,"helicase activity|0004386||IEA,ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",,SYNPCC7002_A0618,3.6.4.-
NC_010475.1,rimO,rimO,SYNPCC7002_RS03085,SYNPCC7002_A0619,Protein Homology,649177,650496,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306249.1,30S ribosomal protein S12 methylthiotransferase RimO,WP_012306249.1,"GO:0018339,GO:0008172,GO:0016740,GO:0016782,GO:0051539,GO:1904047,GO:0005737",cytoplasm|0005737||IEA,"S-methyltransferase activity|0008172||IEA,transferase activity|0016740||IEA,transferase activity%2C transferring sulphur-containing groups|0016782||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA,S-adenosyl-L-methionine binding|1904047||IEA",peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid|0018339||IEA,SYNPCC7002_A0619,2.8.4.4
NC_010475.1,hisG,hisG,SYNPCC7002_RS03090,SYNPCC7002_A0620,Protein Homology,650633,651265,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306250.1,ATP phosphoribosyltransferase,WP_012306250.1,"GO:0000105,GO:0003879,GO:0005737",cytoplasm|0005737||IEA,ATP phosphoribosyltransferase activity|0003879||IEA,L-histidine biosynthetic process|0000105||IEA,SYNPCC7002_A0620,2.4.2.17
NC_010475.1,SYNPCC7002_RS03095,,SYNPCC7002_RS03095,SYNPCC7002_A0621,Protein Homology,651313,652527,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002779033.1,ATP phosphoribosyltransferase regulatory subunit,WP_012306251.1,,,,,SYNPCC7002_A0621,
NC_010475.1,SYNPCC7002_RS03100,,SYNPCC7002_RS03100,SYNPCC7002_A0622,Protein Homology,652562,653491,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306252.1,J domain-containing protein,WP_012306252.1,,,,,SYNPCC7002_A0622,
NC_010475.1,SYNPCC7002_RS03105,,SYNPCC7002_RS03105,SYNPCC7002_A0623,Protein Homology,653563,654405,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306253.1,inositol monophosphatase family protein,WP_012306253.1,"GO:0006020,GO:0046855,GO:0008934,GO:0046872",,"inositol monophosphate 1-phosphatase activity|0008934||IEA,metal ion binding|0046872||IEA","inositol metabolic process|0006020||IEA,obsolete inositol phosphate dephosphorylation|0046855||IEA",SYNPCC7002_A0623,3.1.3.-
NC_010475.1,SYNPCC7002_RS03110,,SYNPCC7002_RS03110,SYNPCC7002_A0624,Protein Homology,654498,654866,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002781272.1,2Fe-2S iron-sulfur cluster binding domain-containing protein,WP_012306254.1,GO:0051536,,iron-sulfur cluster binding|0051536||IEA,,SYNPCC7002_A0624,
NC_010475.1,SYNPCC7002_RS03120,,SYNPCC7002_RS03120,SYNPCC7002_A0626,Protein Homology,655099,657018,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306255.1,ABC-F family ATP-binding cassette domain-containing protein,WP_012306255.1,GO:0005524,,ATP binding|0005524||IEA,,SYNPCC7002_A0626,
NC_010475.1,SYNPCC7002_RS03125,,SYNPCC7002_RS03125,SYNPCC7002_A0627,Protein Homology,657068,657508,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306256.1,DUF29 domain-containing protein,WP_012306256.1,,,,,SYNPCC7002_A0627,
NC_010475.1,thrS,thrS,SYNPCC7002_RS03130,SYNPCC7002_A0628,Protein Homology,657566,659380,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306257.1,threonine--tRNA ligase,WP_012306257.1,"GO:0006435,GO:0004829,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"threonine-tRNA ligase activity|0004829||IEA,ATP binding|0005524||IEA",threonyl-tRNA aminoacylation|0006435||IEA,SYNPCC7002_A0628,6.1.1.3
NC_010475.1,SYNPCC7002_RS03135,,SYNPCC7002_RS03135,SYNPCC7002_A0629,GeneMarkS-2+,659721,659987,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_012306258.1,,,,,SYNPCC7002_A0629,
NC_010475.1,SYNPCC7002_RS03140,,SYNPCC7002_RS03140,SYNPCC7002_RS03140,GeneMarkS-2+,660172,660435,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_041443351.1,,,,,,
NC_010475.1,SYNPCC7002_RS03145,,SYNPCC7002_RS03145,SYNPCC7002_A0630,Protein Homology,660524,661006,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306259.1,crossover junction endodeoxyribonuclease RuvC,WP_012306259.1,,,,,SYNPCC7002_A0630,
NC_010475.1,SYNPCC7002_RS03150,,SYNPCC7002_RS03150,SYNPCC7002_A0631,Protein Homology,661185,661559,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306260.1,DUF5615 family PIN-like protein,WP_012306260.1,,,,,SYNPCC7002_A0631,
NC_010475.1,SYNPCC7002_RS03155,,SYNPCC7002_RS03155,SYNPCC7002_A0632,Protein Homology,661543,661785,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002790012.1,DUF433 domain-containing protein,WP_012306261.1,,,,,SYNPCC7002_A0632,
NC_010475.1,SYNPCC7002_RS03160,,SYNPCC7002_RS03160,SYNPCC7002_A0633,Protein Homology,662124,663074,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306262.1,DUF4365 domain-containing protein,WP_012306262.1,,,,,SYNPCC7002_A0633,
NC_010475.1,SYNPCC7002_RS03165,,SYNPCC7002_RS03165,SYNPCC7002_A0634,Protein Homology,663261,664313,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306263.1,iron ABC transporter permease,WP_012306263.1,"GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,,SYNPCC7002_A0634,
NC_010475.1,SYNPCC7002_RS03170,,SYNPCC7002_RS03170,SYNPCC7002_A0635,Protein Homology,664310,665524,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306264.1,ABC transporter substrate-binding protein,WP_012306264.1,,,,,SYNPCC7002_A0635,
NC_010475.1,SYNPCC7002_RS03175,,SYNPCC7002_RS03175,SYNPCC7002_A0636,Protein Homology,665536,666303,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306265.1,phosphodiesterase,WP_012306265.1,,,,,SYNPCC7002_A0636,
NC_010475.1,SYNPCC7002_RS03180,,SYNPCC7002_RS03180,SYNPCC7002_A0637,Protein Homology,666343,668313,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306266.1,TonB-dependent siderophore receptor,WP_012306266.1,,,,,SYNPCC7002_A0637,
NC_010475.1,SYNPCC7002_RS03185,,SYNPCC7002_RS03185,SYNPCC7002_A0638,Protein Homology,668893,670047,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306267.1,D-alanyl-alanine synthetase,WP_012306267.1,,,,,SYNPCC7002_A0638,
NC_010475.1,SYNPCC7002_RS03190,,SYNPCC7002_RS03190,SYNPCC7002_A0639,Protein Homology,671017,671745,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306268.1,phycobilisome rod-core linker polypeptide,WP_012306268.1,,,,,SYNPCC7002_A0639,
NC_010475.1,SYNPCC7002_RS03195,,SYNPCC7002_RS03195,SYNPCC7002_A0640,Protein Homology,671840,672355,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306269.1,PD40 domain-containing protein,WP_012306269.1,,,,,SYNPCC7002_A0640,
NC_010475.1,SYNPCC7002_RS03200,,SYNPCC7002_RS03200,SYNPCC7002_A0641,Protein Homology,672352,672627,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306270.1,LuxR C-terminal-related transcriptional regulator,WP_012306270.1,GO:0006355,,,regulation of DNA-templated transcription|0006355||IEA,SYNPCC7002_A0641,
