Accession,Protein Name,log2_fold_change,adjusted_p_value,n_measurements,COG group,Cellular location,sources,resolved_locus_tag,resolution_method
PMM1484,rpoC1 RNA polymerase gamma subunit 1418077:1419981 reverse,0.4475263011689103,,1,K,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1484,locus_tag:Accession
PMM1485,rpoB RNA polymerase beta subunit 1420020:1423313 reverse,0.0299828662157143,0.7588,1,K,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1485,locus_tag:Accession
PMM1492,nusA N utilization substance protein A 1428605:1430008 forward,-0.0464740004260403,0.7549,1,K,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1492,locus_tag:Accession
PMM1494,infB Translation initiation factor IF-2 1430338:1433847 forward,0.1948435119995196,0.02,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1494,locus_tag:Accession
PMM1504,pheA Chorismate mutase - Prephenate dehydratase 1443506:1444351 forward,0.1740228420554138,0.1232,1,E,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1504,locus_tag:Accession
PMM1508,tufA Elongation factor Tu 1446430:1447629 reverse,0.0393606556849005,0.9676,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1508,locus_tag:Accession
PMM1509,fusA Elongation factor G 1447673:1449748 reverse,-0.1690799691018572,0.6126,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1509,locus_tag:Accession
PMM1512,"glsF, gltS Ferredoxin-dependent glutamate synthase, 1450922:1455487 forward",0.0916659875218128,0.2605,1,E,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1512,locus_tag:Accession
PMM1519,psaL Photosystem I PsaL protein (subunit XI) 1459606:1460205 reverse,-0.1800203211960761,0.766,2,NO COG,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1519,locus_tag:Accession
PMM1523,psaB Photosystem I PsaB protein 1461905:1464133 reverse,-0.2346349924501947,0.2234,1,NO COG,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 115:114,PMM1523,locus_tag:Accession
PMM1524,psaA Photosystem I PsaA protein 1464162:1466465 reverse,-0.2896508939130298,0.0057,1,NO COG,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 115:114,PMM1524,locus_tag:Accession
PMM1535,"rpoA Bacterial RNA polymerase, alpha chain 1475063:1476001 reverse",0.1297446055078192,0.6288,1,K,cytoplasmic,iTRAQ2 protein list :: Ratio 115:114,PMM1535,locus_tag:Accession
PMM1536,"rps11, rpsK 30S ribosomal protein S11 1476048:1476440 reverse",0.1616942354361315,0.5541,1,J,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1536,locus_tag:Accession
PMM1537,"rps13, rpsM 30S ribosomal protein S13 1476489:1476854 reverse",0.1862185014155038,0.5676,2,J,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1537,locus_tag:Accession
PMM1542,"rpsE,rps5 30S ribosomal protein S5 1479422:1480042 reverse",-0.1004512478002731,0.5353,2,J,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1542,locus_tag:Accession
PMM1544,"rpl6, rplF 50S ribosomal protein L6 1480441:1480980 reverse",0.1013811423550245,0.2981,1,J,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1544,locus_tag:Accession
PMM1548,"rpl14, rplN 50S Ribosomal protein L14 1482374:1482739 reverse",0.0514417113826101,0.7564,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1548,locus_tag:Accession
PMM1555,"rpl2, rplB 50S ribosomal protein L2 1485158:1486021 reverse",0.0661236424652936,0.6575,1,J,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1555,locus_tag:Accession
PMM1557,"rpl4, rplD 50S ribosomal protein L4 1486333:1486965 reverse",0.0641930619274923,0.8002,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1557,locus_tag:Accession
PMM1562,recA RecA bacterial DNA recombination protein 1490458:1491570 forward,0.323312417757903,0.0934,1,L,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1562,locus_tag:Accession
PMM1570,CDS ATP:corrinoid adenosyltransferase 1498446:1499606 reverse,6.625272714289206e-05,1.0,2,H,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1570,locus_tag:Accession
PMM1575,ppc Phosphoenolpyruvate carboxylase 1502738:1505707 reverse,-1.096653165017793,0.7048,1,C,outer membrane ,iTRAQ2 protein list :: Ratio 115:114,PMM1575,locus_tag:Accession
PMM1577,trpE Anthranilate synthase component I and chorismate 1506880:1508400 reverse,0.0852886748169873,0.7527,1,E&H,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1577,locus_tag:Accession
PMM1578,psaD Photosystem I protein PsaD 1508460:1508882 reverse,0.4589069068508662,0.0987,1,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1578,locus_tag:Accession
PMM1581,CDS MRP protein homolog 1511636:1512703 reverse,-0.0369698504988098,0.7339,1,D,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1581,locus_tag:Accession
PMM1588,CDS possible Conserved carboxylase domain 1517428:1518042 reverse,0.3756233439289034,0.1181,1,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1588,locus_tag:Accession
PMM1596,icd Isocitrate dehydrogenase 1524255:1525679 forward,0.101652043410576,0.5014,2,C,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1596,locus_tag:Accession
PMM1610,"tktA, cbbT Transketolase 1539744:1541750 forward",-0.0756720383108996,0.404,1,G,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1610,locus_tag:Accession
PMM1619,CDS two-component response regulator 1548994:1549740 reverse,-0.1850804906944812,0.3434,1,T&K,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1619,locus_tag:Accession
PMM1622,mreB Rod shape determining protein 1551207:1552259 reverse,-0.044551102504709,0.4567,2,D,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1622,locus_tag:Accession
PMM1634,"gyrB DNA gyrase, subunit B 1560853:1562820 reverse",0.0608647636882985,0.9689,2,L,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1634,locus_tag:Accession
PMM1637,CDS possible transcriptional regulator 1564595:1565566 forward,0.1175620692569788,0.5783,1,K,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1637,locus_tag:Accession
PMM1639,secA Preprotein translocase SecA subunit 1566315:1569146 reverse,0.0065749624777714,0.559,2,R,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1639,locus_tag:Accession
PMM1643,"ribH Putative 6,7-dimethyl-8-ribityllumazine synthase 1570887:1571363 reverse",-0.0802404241449586,0.8829,1,H,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1643,locus_tag:Accession
PMM1645,"mutS,fdv putative DNA mismatch repair protein 1571753:1574500 forward",0.0692897127155347,0.7647,1,L,unknown,iTRAQ2 protein list :: Ratio 115:114,PMM1645,locus_tag:Accession
PMM1650,CDS conserved hypothetical protein 1580095:1580904 reverse,0.1742012476830584,0.0878,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1650,locus_tag:Accession
PMM1655,CDS FKBP-type peptidyl-prolyl cis-trans isomerase 1586108:1587529 forward,0.0285691521967709,0.8926,1,O,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1655,locus_tag:Accession
PMM1665,sqdB sulfolipid (UDP-sulfoquinovose) biosynthesis 1596609:1597802 forward,-0.0676450917468032,0.1354,2,M&G,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1665,locus_tag:Accession
PMM1666,sqdX SqdX 1597831:1598964 forward,-0.1275258029487876,0.2714,1,M,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1666,locus_tag:Accession
PMM1673,"rpl9, rplI 50S ribosomal protein L9 1605752:1606207 forward",0.0356354580644965,0.8578,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1673,locus_tag:Accession
PMM1682,valS Valyl-tRNA synthetase 1614148:1616904 reverse,0.1834547541749421,0.0722,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1682,locus_tag:Accession
PMM1689,pyrG Glutamine amidotransferase class-I:CTP synthase 1623197:1624807 forward,0.0115760354017462,0.8629,2,F,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1689,locus_tag:Accession
PMM1700,acnB Aconitate hydratase B 1635543:1638116 forward,-0.1942948151614886,0.1525,1,C,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1700,locus_tag:Accession
PMM1704,"dnaK2 Molecular chaperone DnaK2, heat shock protein 1641476:1643380 reverse",0.2497202018931258,0.2062,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1704,locus_tag:Accession
PMM1706,"rps6, rpsF 30S ribosomal protein S6 1644465:1644929 forward",0.4293213699414415,0.2756,1,J,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1706,locus_tag:Accession
