locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point
PMM0530,2,0.23,0.88,0.62,0.76,Ribosomal proteins,"30S ribosomal protein S1 homolog B, putative Nbp1",12h
PMM0532,2,0.72,1.20,0.85,0.55,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0533,2,-0.73,0.69,0.49,0.42,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0534,2,-1.66,1.53,1.08,0.05,"Fatty acid, phospholipid and sterol metabolism","acetyl-CoA carboxylase, alpha subunit",12h
PMM0536,2,-1.40,1.02,0.72,0.18,Folic acid,putative GTP cyclohydrolase I,12h
PMM0537,2,0.07,0.17,0.12,0.92,Aromatic amino acid family,phosphoribosylanthranilate isomerase,12h
PMM0540,2,-3.39,1.74,1.23,0.00,Photosystem I,possible photosystem I reaction centre subunit XII (PsaM),12h
PMM0541,2,0.38,0.04,0.03,0.91,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0543,2,-0.15,0.23,0.16,0.86,"Cobalamin, heme, phycobilin and porphyrin",Protochlorophyllide reductase iron-sulfur ATP-binding protein,12h
PMM0544,2,0.48,0.72,0.51,0.81,"Cobalamin, heme, phycobilin and porphyrin",Light-independent protochlorophyllide reductase subunit B,12h
PMM0545,2,-0.29,0.05,0.03,1.00,"Cobalamin, heme, phycobilin and porphyrin",Light-independent protochlorophyllide reductase subunit N,12h
PMM0546,2,0.33,0.05,0.04,1.00,Conserved hypothetical protein,conserved hypothetical,12h
PMM0548,2,0.39,0.42,0.30,1.00,Other,HAM1 family protein,12h
PMM0549,2,-2.81,0.36,0.26,0.00,CO2 fixation,carboxysome shell protein CsoS1,12h
PMM0550,2,-1.48,0.20,0.14,0.01,CO2 fixation,"Ribulose bisphosphate carboxylase, large chain",12h
PMM0551,2,-1.09,0.63,0.45,0.24,CO2 fixation,"Ribulose bisphosphate carboxylase, small chain",12h
PMM0552,2,-1.98,0.37,0.26,0.00,CO2 fixation,carboxysome shell protein CsoS2,12h
PMM0554,2,-0.03,0.63,0.44,0.76,CO2 fixation,putative carboxysome peptide A,12h
PMM0555,2,-0.13,0.46,0.32,0.70,CO2 fixation,putative carboxysome peptide B,12h
PMM0557,2,-1.75,0.03,0.02,0.03,Conserved hypothetical protein,conserved hypothetical,12h
PMM0558,2,1.33,1.00,0.71,0.30,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0560,2,-0.82,0.49,0.34,0.26,Other,possible ATP phosphoribosyltransferase,12h
PMM0561,2,-0.69,1.18,0.83,0.35,Transport and binding proteins,putative multidrug efflux ABC transporter,12h
PMM0564,2,-0.50,0.42,0.30,0.56,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0565,2,1.90,0.49,0.34,0.07,"DNA replication, recombination, and repair",chromosomal replication initiator protein DnaA,12h
PMM0570,2,1.19,0.09,0.07,0.48,NADH dehydrogenase,NADH dehydrogenase subunit NdhL (ndhL),12h
PMM0571,2,3.04,2.01,1.42,0.03,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0573,2,-0.59,0.28,0.20,0.45,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0574,2,0.10,0.79,0.56,0.77,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0577,2,-0.12,0.52,0.37,0.83,"RNA synthesis, modification, and DNA transcription","Putative type II alternative sigma factor, sigma70 family",12h
PMM0579,2,1.20,0.84,0.59,0.67,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0580,2,-0.41,1.22,0.87,0.48,"Degradation of proteins, peptides, and glycopeptides ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB",,12h
PMM0581,2,-0.59,1.36,0.96,0.97,Soluble electron carriers,plastocyanin,12h
PMM0583,2,-3.46,0.65,0.46,0.00,"Cobalamin, heme, phycobilin and porphyrin",Uroporphyrinogen decarboxylase (URO-D),12h
PMM0586,2,-0.02,0.84,0.60,0.82,Conserved hypothetical protein,conserved hypothetical,12h
PMM0593,2,0.17,0.29,0.21,1.00,Other,Peptidase family M3,12h
PMM0594,2,-0.21,0.62,0.44,0.65,NADH dehydrogenase,putative NADH Dehydrogenase (complex I) subunit (chain 4),12h
PMM0595,2,0.87,0.36,0.25,0.64,Aspartate family,Homoserine kinase:GHMP kinases putative ATP-binding domain,12h
PMM0599,2,-3.19,0.74,0.53,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0601,2,-0.70,0.62,0.44,0.45,Transport and binding proteins,"ABC transporter, substrate binding protein, possibly Mn",12h
PMM0603,2,-1.08,0.11,0.08,0.29,Transport and binding proteins,"ABC transporter component, possibly Mn transport",12h
PMM0605,2,-3.78,1.23,0.87,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0609,2,0.22,0.57,0.40,0.86,Polysaccharides and glycoproteins,Putative ADPglucose-glucosyltransferase (GlgA),12h
PMM0613,2,-0.17,0.36,0.26,0.73,Aromatic amino acid family,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase),12h
PMM0614,2,-2.22,0.60,0.42,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0615,2,-0.06,0.22,0.16,0.73,Other,Possible nitrilase,12h
PMM0618,2,1.40,1.57,1.11,0.39,Carotenoid,polyprenyl synthetase; solanesyl diphosphate synthase (sds),12h
PMM0619,2,0.80,0.24,0.17,0.94,Pyruvate and acetyl-CoA metabolism,acetyl-coenzyme A synthetase,12h
PMM0622,2,-0.12,1.22,0.86,0.67,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0626,2,2.23,1.07,0.75,0.08,Conserved hypothetical protein,hypothetical,12h
PMM0627,2,-1.00,0.53,0.38,0.94,Photosystem II,light-harvesting complex protein,12h
PMM0628,2,0.68,0.58,0.41,1.00,Transport and binding proteins,"possible sodium:solute symporter, ESS family",12h
PMM0629,2,-0.78,0.81,0.58,0.27,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0633,2,-2.08,2.45,1.73,0.00,Carotenoid,putative lycopene epsilon cyclase,12h
PMM0637,2,-0.11,0.72,0.51,0.68,Regulatory functions,Ferric uptake regulator family,12h
PMM0638,2,-1.10,0.68,0.48,0.36,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0641,2,-0.86,0.64,0.45,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0642,2,-0.82,0.26,0.18,0.42,Serine family / Sulfur assimilation,putative O-Acetyl homoserine sulfhydrylase,12h
PMM0647,2,2.58,1.23,0.87,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0649,2,-2.37,0.25,0.18,0.00,Other,Pentapeptide repeats,12h
PMM0651,2,0.04,0.38,0.27,0.75,Regulatory functions,possible VHS domain,12h
PMM0652,2,-1.06,0.17,0.12,0.30,"RNA synthesis, modification, and DNA transcription","possible 5'-3' exonuclease, C-terminal SAM fol",12h
PMM0658,2,-1.28,1.48,1.05,0.56,Aminoacyl tRNA synthetases and tRNA modification,putative pseudouridylate synthase specific to ribosomal small subunit,12h
PMM0659,2,-0.82,1.95,1.38,0.04,"DNA replication, recombination, and repair",NAD-dependent DNA ligase N-terminus,12h
PMM0660,2,0.46,1.77,1.25,0.82,Degradation of RNA,"possible RNA recognition motif. (a.k.a. RRM, R",12h
PMM0661,2,1.76,0.08,0.05,0.14,Purine ribonucleotide biosynthesis,ribonucleotide reductase (Class II),12h
PMM0664,2,0.08,0.93,0.66,0.77,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0665,2,0.24,0.84,0.59,0.83,Other,Hsp33 protein,12h
PMM0667,2,2.73,0.95,0.67,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0674,2,-0.16,0.92,0.65,0.65,Aspartate family,Aminotransferases class-I,12h
PMM0681,2,1.66,0.37,0.26,0.10,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0683,2,1.20,0.51,0.36,0.42,Purine ribonucleotide biosynthesis,phosphoribosylaminoimidazole carboxylase,12h
PMM0684,2,2.77,0.22,0.16,0.01,Regulatory functions,"possible Zinc finger, C2H2 type",12h
PMM0685,2,3.20,0.55,0.39,0.00,Conserved hypothetical protein,hypothetical protein,12h
PMM0687,2,2.70,2.03,1.43,0.01,Conserved hypothetical protein,conserved hypothetical,12h
PMM0688,2,1.48,1.97,1.39,0.53,Protein modification and translation factors,possible Elongation factor Tu domain 2,12h
PMM0689,2,4.28,1.87,1.32,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM0691,2,0.23,3.69,2.61,0.21,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0692,2,-0.85,0.06,0.04,1.00,Regulatory functions,possible DDT domain,12h
PMM0693,2,-0.15,0.51,0.36,0.73,Other,possible Hepatitis C virus envelope glycoprote,12h
PMM0698,2,0.69,0.64,0.45,0.71,Chaperones,possible DnaJ central domain (4 repeats),12h
PMM0699,2,-4.82,0.86,0.61,0.00,Conserved hypothetical protein,conserved hypothetical,12h
PMM0700,2,-0.90,0.49,0.34,0.85,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0703,2,1.18,1.07,0.75,0.33,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0704,2,0.80,1.06,0.75,0.50,Regulatory functions,"putative potassium channel, VIC family",12h
PMM0705,2,1.30,1.77,1.25,0.47,Regulatory functions,"two-component response regulator, phosphate",12h
PMM0707,2,0.22,0.38,0.27,1.00,Other,possible Lipoprotein,12h
PMM0708,2,1.56,0.48,0.34,0.25,Regulatory functions,putative secreted protein,12h
PMM0709,2,0.63,0.01,0.01,0.92,"Membranes, lipoproteins and porins",possible porin,12h
PMM0710,2,-3.05,0.17,0.12,0.00,Transport and binding proteins,"ABC transporter, substrate binding protein, phosphate",12h
PMM0717,2,-1.20,0.63,0.45,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0719,2,-0.87,1.68,1.19,0.80,Conserved hypothetical protein,hypothetical,12h
PMM0722,2,-0.80,0.14,0.10,1.00,Conserved hypothetical protein,hypothetical,12h
PMM0725,2,0.13,0.97,0.68,0.75,Transport and binding proteins,"putative phosphate ABC transporter, ATP binding subunit",12h
PMM0726,2,2.25,1.36,0.96,0.06,Conserved hypothetical protein,hypothetical,12h
PMM0732,2,-0.23,1.11,0.78,0.79,Other,possible Major surface glycoprotein,12h
PMM0736,2,0.20,0.31,0.22,0.99,Other,possible Alpha-2-macroglobulin family N-termin,12h
PMM0739,2,0.53,0.32,0.23,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0740,2,-0.29,0.13,0.09,0.56,Cytochrome b6/f complex,Cytochrome b6-f complex subunit VIII,12h
PMM0741,2,-0.74,0.04,0.03,0.45,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0742,2,1.04,0.18,0.13,0.71,"Degradation of proteins, peptides, and glycopeptides",Clp protease subunit,12h
PMM0743,2,-0.02,0.26,0.18,0.71,Cell division,FtsH ATP-dependent protease homolog,12h
PMM0744,2,-1.52,0.15,0.11,0.24,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0747,2,-3.03,1.73,1.22,0.00,"Cobalamin, heme, phycobilin and porphyrin",ferredoxin-dependent biliverdin reductase,12h
PMM0751,2,-2.72,0.08,0.06,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0753,2,-1.29,0.28,0.20,0.04,Ribosomal proteins,30S ribosomal protein S2,12h
PMM0754,2,-2.94,1.63,1.15,0.00,Protein modification and translation factors,putative Elongation factor Ts,12h
PMM0758,2,1.04,1.27,0.90,0.56,Serine family / Sulfur assimilation,Ferredoxin-sulfite reductase,12h
PMM0760,2,-0.59,0.17,0.12,0.50,"Cobalamin, heme, phycobilin and porphyrin",Aromatic-ring hydroxylase (flavoprotein monooxygenase),12h
PMM0762,2,-0.46,0.51,0.36,0.60,Aromatic amino acid family,tyrosine binding protein,12h
PMM0766,2,-1.92,1.09,0.77,0.00,Other,Ribulose-phosphate 3-epimerase,12h
PMM0767,2,-1.20,0.44,0.31,0.04,"Surface polysaccharides, lipopolysaccharides and antigens Fructose-1,6-bisphosphatase/sedoheptulose-1,7-bis phosphatase",,12h
PMM0769,2,-1.61,0.44,0.31,0.00,Other,ADP-glucose pyrophosphorylase,12h
PMM0770,2,2.53,1.04,0.74,0.00,Pentose phosphate pathway,6-phosphogluconate dehydrogenase,12h
PMM0772,2,-0.52,1.14,0.80,0.70,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0774,2,1.25,0.34,0.24,0.44,Branched chain family,Dihydroxy-acid dehydratase,12h
PMM0775,2,-1.95,1.96,1.38,0.30,Conserved hypothetical protein,conserved hypothetical,12h
PMM0777,2,0.55,1.16,0.82,0.85,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0779,2,1.03,0.61,0.43,0.80,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0781,2,-1.55,0.45,0.32,0.01,"Fatty acid, phospholipid and sterol metabolism","Fructose-bisphosphate/sedoheptulose-1,7-bisphosph ate aldolase",12h
PMM0784,2,-1.99,0.82,0.58,0.00,"Fatty acid, phospholipid and sterol metabolism","acetyl-CoA carboxylase, beta subunit",12h
PMM0785,2,-3.91,1.09,0.77,0.00,CO2 fixation,phosphoribulokinase,12h
PMM0790,2,1.21,0.10,0.07,0.35,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0794,2,0.11,0.18,0.13,0.82,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0797,2,-2.25,0.92,0.65,0.00,Nucleoproteins,possible mRNA binding protein,12h
PMM0799,2,-2.18,1.81,1.28,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0800,2,0.63,1.46,1.03,0.64,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0801,2,-1.39,0.62,0.44,0.10,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0802,2,0.97,1.80,1.27,1.00,"DNA replication, recombination, and repair",putative endonuclease,12h
PMM0804,2,1.95,0.54,0.38,0.23,Other,ferritin,12h
PMM0806,2,1.36,0.49,0.35,0.38,Regulatory functions,"Bacterial regulatory proteins, Crp family",12h
PMM0810,2,1.79,0.81,0.57,0.01,Conserved hypothetical protein,hypothetical,12h
PMM0812,2,1.85,4.26,3.01,0.73,Conserved hypothetical protein,hypothetical,12h
PMM0814,2,-1.40,0.13,0.09,0.04,Other,possible Cytochrome oxidase c subunit VIb,12h
PMM0815,2,4.86,0.76,0.53,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM0816,2,4.64,1.86,1.32,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM0817,2,3.14,0.62,0.44,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM0818,2,2.92,0.78,0.55,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM0819,2,2.83,0.74,0.52,0.00,Conserved hypothetical protein,hypothetical,12h
PMM0821,2,0.61,0.49,0.35,0.97,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0824,2,0.52,0.03,0.02,0.99,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0828,2,0.87,0.28,0.20,0.10,Other,S4 domain,12h
PMM0829,2,0.69,0.64,0.46,0.94,Other,Triosephosphate isomerase,12h
PMM0835,2,-0.96,0.93,0.66,0.48,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0844,2,-1.58,0.41,0.29,0.07,Adaptations and atypical conditions,phytochrome-regulated gene,12h
PMM0845,2,0.90,0.02,0.01,0.53,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0846,2,0.43,0.52,0.37,1.00,Other,"possible Uncharacterized secreted proteins, Ya",12h
PMM0847,2,-0.03,1.46,1.03,0.98,Drug and analog sensitivity,putative acetazolamide conferring resistance protein Zam,12h
PMM0851,2,-0.54,1.22,0.86,0.26,Other,Putative CbbY homolog,12h
PMM0852,2,2.60,1.49,1.05,0.01,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0853,2,-0.39,1.76,1.24,0.56,Ribosomal proteins,50S ribosomal protein L32,12h
PMM0856,2,-0.27,0.30,0.21,0.91,Detoxification,thioredoxin peroxidase,12h
PMM0857,2,-2.45,0.26,0.19,0.00,Other,possible Influenza RNA-dependent RNA polymeras,12h
PMM0858,2,2.89,0.21,0.15,0.00,Conserved hypothetical protein,hypothetical,12h
PMM0861,2,-1.21,0.09,0.06,1.00,Transport and binding proteins,possible Virion host shutoff protein,12h
PMM0863,2,-0.20,1.01,0.71,0.70,"Cobalamin, heme, phycobilin and porphyrin",putative cobinamide kinase,12h
PMM0864,2,-1.70,1.77,1.25,0.04,Other,possible Fusion glycoprotein F0.,12h
PMM0867,2,-0.48,0.82,0.58,0.64,Aminoacyl tRNA synthetases and tRNA modification,Methionyl-tRNA synthetase,12h
PMM0869,2,-2.25,1.41,0.99,0.00,Ribosomal proteins,30S Ribosomal protein S18,12h
PMM0870,2,-2.68,1.09,0.77,0.00,Ribosomal proteins,50S Ribosomal protein L33,12h
PMM0872,2,-0.65,0.11,0.08,0.63,Other,possible Carboxylesterase,12h
PMM0876,2,-3.82,3.57,2.52,0.01,Conserved hypothetical protein,conserved hypothetical,12h
PMM0878,2,-1.03,0.69,0.49,0.42,Branched chain family,putative Branched-chain amino acid aminotransferase,12h
PMM0881,2,0.28,2.45,1.74,0.64,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0883,2,0.64,0.37,0.26,0.95,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0893,2,-0.71,0.49,0.35,0.46,Riboflavin,"possible GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase",12h
PMM0894,2,-0.87,0.02,0.01,0.22,Protein modification and translation factors,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,12h
PMM0896,2,1.03,1.73,1.22,1.00,Chaperones,DnaJ2 protein,12h
PMM0897,2,0.59,0.22,0.15,1.00,Chaperones,"Molecular chaperone DnaK, heat shock protein hsp70",12h
PMM0898,2,-0.35,0.96,0.68,0.71,Soluble electron carriers,"ferredoxin, petF-like protein",12h
PMM0899,2,1.39,0.34,0.24,0.23,Regulatory functions,Possible myo-inositol-1(or 4)-monophosphatase,12h
PMM0901,2,-2.15,1.13,0.80,0.00,Chaperones,heat shock protein HtpG,12h
PMM0902,2,-1.17,0.03,0.02,0.19,Ribosomal proteins,50S ribosomal protein L28,12h
PMM0906,2,-0.14,2.19,1.55,0.46,Photosystem I,Photosystem I PsaK protein (subunit X),12h
PMM0907,2,-0.98,0.26,0.19,0.26,Sugars,1-deoxy-D-xylulose 5-phosphate synthase,12h
PMM0910,2,1.74,1.17,0.83,0.20,Conserved hypothetical protein,conserved hypothetical membrane protein,12h
PMM0912,2,0.16,0.64,0.45,0.76,Other,Pyruvate kinase,12h
PMM0913,2,1.06,0.06,0.04,0.45,Transport and binding proteins,possible ABC transporter,12h
PMM0919,2,0.50,0.12,0.09,0.88,Branched chain family,serine:pyruvate/alanine:glyoxylate aminotransferase,12h
PMM0920,2,2.85,0.14,0.10,0.00,Glutamate family / Nitrogen assimilation,"Glutamine synthetase, glutamate-ammonia ligase",12h
PMM0922,2,0.42,0.56,0.40,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0923,2,-4.63,2.06,1.46,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0926,2,-1.68,0.28,0.20,0.02,Photosystem II,possible Photosystem II reaction center Psb28 protein,12h
PMM0930,2,-0.98,0.18,0.13,0.27,Other,Pyruvate dehydrogenase E1 beta subunit,12h
PMM0934,2,-0.25,0.52,0.36,0.94,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0936,2,0.36,0.65,0.46,1.00,"DNA replication, recombination, and repair",putative SOS mutagenesis protein UmuD,12h
PMM0941,2,0.66,0.41,0.29,0.91,Other,possible cAMP phosphodiesterases class-II,12h
PMM0942,2,0.93,0.45,0.32,0.69,"DNA replication, recombination, and repair",putative holliday junction DNA helicase RuvA,12h
PMM0943,2,-2.32,1.41,1.00,0.04,Ribosomal proteins,30S Ribosomal protein S15,12h
PMM0946,2,-0.09,0.08,0.06,0.73,Aminoacyl tRNA synthetases and tRNA modification,Glutamyl-tRNA(Gln) amidotransferase A subunit,12h
PMM0947,2,-1.49,0.14,0.10,0.27,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0949,2,0.68,2.01,1.42,0.76,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0950,2,-0.23,1.15,0.81,0.51,Other,No Cyanobase Name,12h
PMM0953,2,1.21,0.72,0.51,0.49,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0954,2,0.29,0.14,0.10,0.82,Transport and binding proteins,"ABC transporter, multidrug efflux family",12h
PMM0955,2,1.47,0.20,0.14,0.21,Protein modification and translation factors,Peptide methionine sulfoxide reductase,12h
PMM0957,2,1.25,0.56,0.39,0.27,Regulatory functions,possible GRAM domain,12h
PMM0958,2,0.80,0.91,0.64,0.53,Conserved hypothetical protein,conserved hypothetical,12h
PMM0963,2,1.20,0.31,0.22,0.38,Nitrogen metabolism,Urease alpha subunit,12h
PMM0964,2,2.37,1.71,1.21,0.01,Nitrogen metabolism,Urease beta subunit,12h
PMM0965,2,2.60,0.35,0.25,0.00,Nitrogen metabolism,Urease gamma subunit,12h
PMM0966,2,2.36,1.39,0.98,0.02,Nitrogen metabolism,urease accessory protein UreD,12h
PMM0969,2,1.75,1.99,1.41,0.02,Nitrogen metabolism,urease accessory protein UreG,12h
PMM0970,2,4.07,0.46,0.33,0.00,Transport and binding proteins,"putative urea ABC transporter, substrate binding protein",12h
PMM0971,2,2.37,0.98,0.69,0.00,Transport and binding proteins,putative urea ABC transporter,12h
PMM0974,2,0.09,0.32,0.23,0.94,Transport and binding proteins,Putative ATP-binding subunit of urea ABC transport system,12h
PMM0975,2,1.03,1.04,0.74,0.43,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0982,2,0.54,0.31,0.22,0.82,"DNA replication, recombination, and repair",HNH endonuclease:HNH nuclease,12h
PMM0983,2,-1.42,1.06,0.75,0.07,"Fatty acid, phospholipid and sterol metabolism",possible ATP synthase protein 8,12h
PMM0987,2,-2.96,0.20,0.14,0.00,Ribosomal proteins,30S Ribosomal protein S21,12h
PMM0988,2,2.25,2.32,1.64,0.01,Regulatory functions,Helix-hairpin-helix DNA-binding motif class 1,12h
PMM0993,2,-3.79,1.24,0.88,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0996,2,3.51,1.48,1.04,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0997,2,0.45,0.14,0.10,0.83,Conserved hypothetical protein,possible Protein of unknown function DUF67,12h
PMM0998,2,1.53,0.24,0.17,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0999,2,-0.17,0.20,0.14,1.00,Conserved hypothetical protein,hypothetical,12h
PMM1003,2,-1.40,0.97,0.69,0.09,Photosystem II,possible Photosystem II reaction centre N prot,12h
PMM1005,2,0.04,0.21,0.15,0.76,Regulatory functions,possible Legume lectins alpha domain,12h
PMM1008,2,0.68,2.18,1.54,0.90,Conserved hypothetical protein,hypothetical,12h
PMM1015,2,3.02,0.58,0.41,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1026,2,0.88,0.17,0.12,0.57,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1030,2,-2.50,0.96,0.68,0.00,Regulatory functions,Ferric uptake regulator family,12h
PMM1031,2,2.96,1.18,0.83,0.00,Transport and binding proteins,"ABC transporter, ATP binding domain, possibly Mn transport",12h
PMM1032,2,3.65,0.09,0.06,0.00,Transport and binding proteins,"ABC transporter, substrate binding protein, possibly Mn.",12h
PMM1033,2,0.15,0.33,0.23,0.76,Protein modification and translation factors,Cobalamin synthesis protein/P47K,12h
PMM1039,2,-1.55,0.14,0.10,0.07,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1042,2,-1.63,0.13,0.09,0.01,Conserved hypothetical protein,conserved hpothetical protein,12h
PMM1045,2,0.96,0.53,0.38,1.00,Conserved hypothetical protein,conserved hypothetical,12h
PMM1054,2,1.17,0.41,0.29,0.40,"DNA replication, recombination, and repair",Crossover junction endodeoxyribonuclease RuvC,12h
PMM1055,2,-1.42,0.41,0.29,0.10,"Cobalamin, heme, phycobilin and porphyrin","Protoporphyrin IX Magnesium chelatase, ChlI subunit",12h
PMM1058,2,0.17,0.56,0.40,0.88,Cytochrome b6/f complex,"Cytochrome b6/f complex, subunit V",12h
PMM1060,2,0.41,0.58,0.41,1.00,Other,Glutamine amidotransferase class-I,12h
PMM1061,2,-0.26,0.69,0.49,0.88,Thiamine,Thioredoxin,12h
PMM1063,2,0.58,1.57,1.11,0.97,"DNA replication, recombination, and repair","DNA gyrase/topoisomerase IV, subunit A",12h
PMM1066,2,0.39,0.50,0.36,0.82,Branched chain family,2-isopropylmalate synthase,12h
PMM1067,2,0.09,0.21,0.15,0.95,WD repeat proteins,possible Adenoviral fiber protein (repeat/shaf,12h
PMM1069,2,-2.71,1.02,0.72,0.00,Folic acid,putuative bifunctional Methylenetetrahydrofolate dehydrogenase Methenyltetrahydrofolate/cyclohydrolase,12h
PMM1074,2,2.52,0.89,0.63,0.01,Other,Glucose-6-phosphate dehydrogenase,12h
PMM1075,2,1.14,0.33,0.24,0.51,Cytochrome b6/f complex,ferredoxin-NADP oxidoreductase (FNR),12h
PMM1077,2,0.56,0.07,0.05,0.94,Regulatory functions,two-component sensor histidine kinase,12h
PMM1078,2,0.67,0.60,0.42,0.64,Conserved hypothetical protein,conserved hypothetical,12h
PMM1079,2,-0.37,0.51,0.36,0.48,Regulatory functions,possible Villin headpiece domain,12h
PMM1080,2,1.11,0.91,0.64,0.35,Other,Ribose-phosphate pyrophosphokinase,12h
PMM1086,2,0.03,0.95,0.67,0.83,"Fatty acid, phospholipid and sterol metabolism",Alpha/beta hydrolase fold:Esterase/lipase/thioesterase family...,12h
PMM1088,2,0.27,0.12,0.08,0.75,"Degradation of proteins, peptides, and glycopeptides",ClpC,12h
PMM1090,2,0.45,0.82,0.58,1.00,Branched chain family,Diaminopimelate decarboxylase,12h
PMM1091,2,0.33,0.14,0.10,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1092,2,0.74,0.34,0.24,0.80,Other,Undecaprenyl pyrophosphate synthetase (UPPS),12h
PMM1098,2,0.00,0.86,0.61,0.71,Photosystem II,photosystem II oxygen evolving complex protein PsbP,12h
PMM1107,2,-0.22,0.12,0.08,0.67,Pyridoxine,Pyridoxal phosphate biosynthetic protein PdxJ,12h
PMM1111,2,-1.13,0.30,0.21,0.40,Other,Glutaredoxin-related protein,12h
PMM1113,2,-0.82,0.11,0.08,0.35,Regulatory functions,two-component response regulator,12h
PMM1116,2,-1.18,0.29,0.20,0.07,Cell division,NAD binding site:Glucose inhibited division protein A family,12h
PMM1117,2,-1.20,0.15,0.11,0.17,Photosystem II,possible Photosystem II reaction center Y protein (PsbY),12h
PMM1118,2,1.46,0.00,0.00,1.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1119,2,1.63,0.34,0.24,0.59,"Membranes, lipoproteins and porins",possible porin,12h
PMM1121,2,1.74,0.31,0.22,1.00,"Membranes, lipoproteins and porins",possible porin,12h
PMM1123,2,2.08,0.84,0.59,0.13,Hydrogenase,putative hydrogenase accessory protein,12h
PMM1124,2,0.45,0.70,0.49,0.85,Other,possible Natural resistance-associated macroph,12h
PMM1128,2,1.87,0.26,0.18,0.02,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1129,2,1.13,0.09,0.07,0.40,Regulatory functions,possible Notch (DSL) domain,12h
PMM1131,2,0.35,0.91,0.65,0.94,Conserved hypothetical protein,conserved hypothetical protein,12h
