pmed4_id,gene_name,gene_description,peak_time_transcript_h,peak_time_protein_h,protein_transcript_lag_h,transcript_amplitude_log2,protein_amplitude_log2,transcript_protein_amplitude_ratio
PMED4_16631,atpG,ATP synthase B/B' CF(0) (NCBI),3.1,8.1,5.0,2.52,0.30,8.4
PMED4_16641,atpE,ATP synthase subunit c (Katherine Huang),3.1,8.1,5.0,2.56,0.48,5.3
PMED4_16721,glnB,Nitrogen regulatory protein P-II (NCBI),9.2,14.8,5.5,0.82,0.28,2.9
PMED4_16811,BioA,putative diaminopelargonic acid synthase (NCBI),19.4,1.6,6.1,1.20,0.56,2.1
PMED4_16891,NA,conserved hypothetical protein (NCBI),13.7,18.3,4.6,0.54,0.24,2.3
PMED4_16931,rpoC2,RNA polymerase beta prime subunit (NCBI),19.7,22.8,3.1,1.18,0.10,11.8
PMED4_16951,rpoB,RNA polymerase beta subunit (NCBI),20.2,23.4,3.3,1.34,0.12,11.2
PMED4_16971,rpsT,30s Ribosomal protein S20 (NCBI),2.9,12.1,9.1,1.70,0.22,7.7
PMED4_17021,nusA,N utilization substance protein A (NCBI),19,22.8,3.9,1.82,0.16,11.4
PMED4_17101,NA,putative aminotransferase (NCBI),21.8,22.5,0.6,0.82,0.40,2.1
PMED4_17111,rne,S1 RNA binding domain:Ribonuclease E and G (NCBI),1.0,4.1,3.0,1.08,0.30,3.6
PMED4_17171,rpsJ,30S ribosomal protein S10 (NCBI),2.4,3.3,0.9,1.66,0.28,5.9
PMED4_17191,fusA,Elongation factor G (NCBI),2.4,10.1,7.7,1.52,0.12,12.7
PMED4_17211,rpsL,30S ribosomal protein S12 (NCBI),2.4,10.0,7.5,1.40,0.96,1.5
PMED4_17221,gltB,"Ferredoxin-dependent glutamate synthase, Fd-GOGAT",15.8,18,2.4,1.70,0.50,3.4
PMED4_17291,psaL,Photosystem I PsaL protein (subunit XI) (NCBI),6.5,9,2.1,1.48,0.20,7.4
PMED4_17331,psaB,Photosystem I PsaB protein (NCBI),9.0,7.7,22.7,0.88,0.46,1.9
PMED4_17341,psaA,Photosystem I PsaA protein (NCBI),9.5,3.3,17.8,0.92,0.56,1.6
PMED4_17441,rplQ,50S ribosomal protein L17 (NCBI),23.8,10.4,10.6,1.50,0.34,4.4
PMED4_17451,rpoA,"Bacterial RNA polymerase, alpha chain (NCBI)",23.0,22.1,23.1,1.32,0.08,16.5
PMED4_17461,rpsK,30S ribosomal protein S11 (NCBI),0.8,0.3,23.5,1.36,0.16,8.5
PMED4_17471,rpsM,30S ribosomal protein S13 (NCBI),2.2,8.9,6.6,1.70,0.28,6.1
PMED4_17491,adk,Adenylate kinase (NCBI),1.3,21.8,20.5,1.80,0.38,4.7
PMED4_17511,rplO,50S ribosomal protein L15 (NCBI),1.6,7.6,5.9,1.80,0.30,6.0
PMED4_17521,rpsE,30S ribosomal protein S5 (NCBI),0.3,1.4,1.1,1.58,0.28,5.6
PMED4_17541,rplF,50S ribosomal protein L6 (NCBI),0.5,5.6,5.2,1.30,0.16,8.1
PMED4_17551,rpsH,30S ribosomal protein S8 (NCBI),0.9,11.8,11.0,1.52,0.06,25.3
PMED4_17561,rplE,50S ribosomal protein L5 (NCBI),0.6,6.9,6.2,1.30,0.36,3.6
PMED4_17591,rpsQ,30S Ribosomal protein S17 (NCBI),0,10.9,10.6,1.74,0.10,17.4
PMED4_17611,rplP,50S ribosomal protein L16 (NCBI),1.2,8.5,7.3,1.82,0.40,4.6
PMED4_17631,rplV,50S ribosomal protein L22 (NCBI),0.9,6.1,5.1,1.90,0.34,5.6
PMED4_17641,rpsS,30S Ribosomal protein S19 (NCBI),2.5,4.4,2.0,2.62,0.28,9.4
PMED4_17651,rplB,50S ribosomal protein L2 (NCBI),0.9,7.3,6.4,1.86,1.42,1.3
PMED4_17681,rplC,50S ribosomal protein L3 (NCBI),0.7,6.3,5.6,2.18,0.46,4.7
PMED4_17721,recA,RecA bacterial DNA recombination protein (NCBI),16.6,17.8,1.2,3.10,0.36,8.6
PMED4_17781,NA,conserved hypothetical protein (NCBI),16,19.7,3.7,3.34,0.36,9.3
PMED4_17941,rnd,putative ribonuclease D (NCBI),12.3,22.5,10.2,1.22,0.58,2.1
PMED4_18061,icd,Isocitrate dehydrogenase (NCBI),16.7,19.5,2.8,3.60,0.40,9.0
PMED4_18111,glgP,phosphorylase (NCBI),16.4,21.1,4.7,4.28,0.56,7.6
PMED4_18171,psaC,Photosystem I subunit PsaC (NCBI),8.8,16.7,7.9,1.22,0.10,12.2
PMED4_18181,acpP,acyl carrier protein (ACP) (NCBI),3.9,6.3,2.4,1.26,0.82,1.5
PMED4_18201,tktA,Transketolase (NCBI),2.8,12.8,10.0,1.70,0.08,21.3
PMED4_18211,thiC,ThiC family (NCBI),15,18.9,3.5,4.14,0.84,4.9
PMED4_18281,lysS,Lysyl-tRNA synthetase (NCBI),20.5,20,23.8,1.54,0.24,6.4
PMED4_18291,NA,two-component response regulator (NCBI),3,10.0,7.3,0.60,0.18,3.3
PMED4_18321,mreB,Rod shape determining protein (NCBI),16.3,19.8,3.5,1.66,0.30,5.5
PMED4_18331,ssb,single-stranded DNA-binding protein (NCBI),16.1,0.7,8.7,4.22,0.86,4.9
PMED4_18351,sam1,putative adenosylhomocysteinase (NCBI),11.3,16.9,5.7,1.02,0.20,5.1
PMED4_18401,mgtE,"MgtE family, putative magnesium transport protein",17.0,2.2,9.1,0.64,0.18,3.6
PMED4_18441,gyrB,"DNA gyrase, subunit B (NCBI)",15.6,21.0,5.4,1.26,0.24,5.3
PMED4_18491,secA,Preprotein translocase SecA subunit (NCBI),3,5.4,2.4,0.72,0.08,9.0
PMED4_18601,NA,conserved hypothetical protein (NCBI),13.8,16.8,3.0,2.02,0.42,4.8
PMED4_18621,NA,Predicted hydrolase of the metallo-beta-lactamase,20.0,1.6,5.6,0.84,0.20,4.2
PMED4_18641,asd,aspartate Semialdehyde dehydrogenase (NCBI),1.4,3.5,2.0,0.96,0.20,4.8
PMED4_18651,tig,FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase),1.2,5.5,4.3,1.18,0.20,5.9
PMED4_18661,clpP2,Clp protease proteolytic subunit (NCBI),15.9,18.9,3.0,1.08,0.26,4.2
PMED4_18671,clpX,"Clp protease ATP-binding subunit, ClpX (NCBI)",16.4,20.4,4.0,3.42,0.96,3.6
PMED4_18721,rplT,50S ribosomal protein L20 (NCBI),0.9,0.1,23.2,1.30,0.38,3.4
PMED4_18751,sqdB,sulfolipid (UDP-sulfoquinovose) biosynthesis protein,5.4,8.4,3.0,1.06,0.08,13.3
PMED4_18841,dnaB,DnaB replicative helicase (NCBI),18.5,16,21.8,0.98,0.46,2.1
PMED4_18991,aspS,Aspartyl-tRNA synthetase (NCBI),1.7,4.4,2.8,0.98,0.14,7.0
PMED4_19161,aroE,Shikimate / quinate 5-dehydrogenase (NCBI),17.0,16.6,23.6,1.28,1.40,0.9
PMED4_19181,argG,Argininosuccinate synthase (NCBI),18.2,1.5,7.3,1.16,0.56,2.1
PMED4_19241,uvrA,"Excinuclease ABC, A subunit, ATP/GTP-binding site",12.1,18.3,6.2,0.86,0.22,3.9
PMED4_19261,NA,possible protein kinase:ABC1 family (NCBI),21,12.4,15.7,0.66,0.52,1.3
PMED4_19281,thrC,Threonine synthase: Pyridoxal-5'-phosphate-dependent,23.8,22.6,22.7,0.60,0.16,3.8
