GENE,t=0h,t=3h,t=6h,t=12h,t=24h,t=48h,Nitrite,Urea,ANNOTATION
PMT0492,-0.369684262,-0.246606069,0.054599479,0.242252325,-0.05057429,-0.541610403,-0.182803017,-0.151525579,msrA Peptide methionine sulfoxide reductase
PMT0493,0.20821258,0.000547265,0.173598264,0.555934858,0.094724154,**-2.46185956730992,-0.049641033,0.442402666,conserved hypothetical protein
PMT0494,-0.452156829,0.196070425,-0.627235396,-0.361265758,-1.075778299,-0.91045934,0.137080635,0.293187293,conserved hypothetical protein
PMT0495,-0.014049263,0.07457437,0.077782596,-0.426567837,-0.877920637,**-2.06093877119189,-0.147465888,-0.326752492,Ferritin
PMT0496,0.033126461,0.139565476,-0.433673022,-0.664056943,-1.320407932,-1.817260319,-0.891874159,**1.54811644442086,pcb light-harvesting complex protein
PMT0497,-0.568047073,-0.427446345,-0.431242729,-0.559870148,-0.779337449,**-1.56551221149627,-0.701084903,0.332399726,"Bacterial regulatory proteins, Crp family"
PMT0498,-0.626776338,-0.513691017,-0.334282673,-0.351741392,-0.38263519,*-2.16648289871224,-0.753542789,0.133560799,possible Gram-negative pili assembly chaperone
PMT0499,-0.025455667,-0.148713462,0.185567167,0.138983468,-0.26723636,**-1.57169631233000,-0.259266804,-0.004573601,ferritin
PMT0500,0.49024526,-0.166052567,0.625918533,0.5230308,0.247686727,-0.929473726,0.044261767,0.380659318,hypothetical
PMT0501,-0.150830594,-0.114316816,-0.138377566,-0.577741371,-0.509690892,**1.58770200909880,0.149820289,0.561602095,"futC, sfuC ABC transporter, ATP binding component, possiblyiron transporter"
PMT0502,-0.651878928,0.71594208,0.391202394,-1.169818904,-1.289983078,-0.176009311,-0.262822542,0.168781533,"Bacterial regulatory proteins, Crp family"
PMT0503,0.102644149,0.161761808,-0.068398204,-0.279684453,-1.158345564,-1.528348567,-0.443838566,*-1.28125796002584,possible ATLS1-like light-inducible protein
PMT0504,-0.43558254,0.257043214,1.086450988,-0.571096675,-0.031987117,-0.250414791,-0.138339342,-0.173003549,putative endonuclease
PMT0505,0.226659273,0.231063252,0.311583061,-1.163959708,-0.049225222,-0.204766263,-0.052429754,0.085299219,Rhomboid family
PMT0506,0.026599312,0.113499148,0.15790366,-0.095462644,-0.364942948,-0.395525153,0.057184085,-0.375110549,ycf39 conserved hypothetical protein
PMT0508,-0.256669886,0.123740672,0.260837613,0.541554356,1.106466744,**1.67741235188956,0.240450775,-0.001135939,"ABC transporter, substrate binding protein,phosphate"
PMT0509,-0.304670081,0.081339909,-0.073699137,-0.401536605,**-1.49098943513472,**-3.53077978868528,-0.171395775,-0.616692767,"cytA Cytochrome c, class IC:Cytochrome c, class I"
PMT0510,0.158698005,-0.073218706,-0.305065135,-0.40758187,-0.857109914,-0.716812589,0.259398091,-0.126807796,rimI GCN5-related N-acetyltransferase
PMT0511,-0.198866513,0.031056321,-0.193760326,0.191681275,-0.147956827,-0.166973695,-0.368912119,-0.499329393,conserved hypothetical protein
PMT0512,-0.68936996,-0.136706798,-0.141958716,0.372853504,0.227395614,-1.217180484,-0.502341443,-0.478674539,conserved hypothetical protein
PMT0513,0.177103728,1.047160786,0.627963739,1.412124875,0.758280957,-1.107945096,-0.590536394,-1.06766892,"possible Helix-turn-helix protein, copG family"
PMT0514,-0.097150057,-0.229993744,-0.20227194,-0.085232039,-1.236752037,-0.785555202,-0.360641378,-1.025465541,MTG10.17 putative protein
PMT0515,-0.009036446,0.198921415,0.1558547,-0.775996523,-0.189657,-0.545070277,-0.244854761,-0.392960416,possible ligand gated channel (GIC family)
PMT0516,0.354999302,0.207484004,-0.190317783,-0.131815773,-0.12888762,0.169026131,-0.110662466,-0.156735893,Proline-rich region
PMT0517,0.292396001,0.273902219,0.162931614,-0.313177556,-0.721042172,**-1.61118178859475,0.057235847,0.01452791,similar to IMP dehydrogenase
PMT0518,-0.222862851,0.165178727,0.36243465,-0.482010579,-1.324691602,-0.458227247,-0.002080378,0.121985191,pgsA CDP-diacylglycerol-glycerol-3-phosphate3-phosphatidyltransferase
PMT0519,-0.503240385,-0.255548072,-0.316566124,0.041013971,-0.292065321,-0.754577254,-0.175402152,-0.069320264,possible mRNA-binding protein
PMT0520,0.009778503,-0.023367555,0.202462524,0.07683851,0.005354432,0.557321115,-0.049445274,-0.262049987,hisA Histidine biosynthesis protein:Proteins bindingFMN and relat...
PMT0521,0.268772397,0.054499,-0.106030229,-0.324080281,-0.558658077,-1.04253407,-0.190653122,-0.310793674,Ferric uptake regulator family
PMT0522,0.027036412,-0.116520161,-0.218366036,0.192543832,0.156833354,-0.399725758,-0.171320945,0.188477003,Conserved hypothetical protein
PMT0523,0.056853521,0.050738979,0.104802094,0.295598227,0.25999828,0.540552741,0.012832264,0.317253178,conservd hypothetical protein
PMT0524,-0.039628252,-0.008875728,-0.314977429,0.024791032,-0.013213201,0.433379462,0.209322904,0.282321028,conserved hypothetical protein
PMT0525,-0.142278361,-0.067791341,-0.303169289,0.12139346,0.21274633,0.656514557,0.153848014,0.362264877,conserved hypothetical protein
PMT0526,-0.144798583,0.052614228,-0.081999904,-0.179740224,-0.067301026,0.095207709,-0.00055472,0.218220307,conserved hypothetical protein
PMT0527,-0.081952238,0.276949775,0.129968796,-0.282554174,-0.459948797,-0.678841949,-0.054382884,-0.537534475,conserved hypothetical protein
PMT0528,-0.269006101,0.019014875,-0.020723715,-0.39822875,-0.762320928,-0.642288273,0.101512692,-0.051306236,conserved hypothetical protein
PMT0529,-0.173604594,0.025939153,-0.181384161,-0.535193744,-0.325663919,-0.037000199,-0.048198362,0.013132265,proB putative glutamate 5-kinase
PMT0530,-0.425314913,0.076089352,0.182657039,0.206508912,-0.140317864,0.943364701,-0.521234562,-0.333648714,lpxD UDP-3-O-[3-hydroxymyristoyl] glucosamineN-acyltransferase
PMT0531,-0.131786896,0.004520124,-0.071588409,-0.377711789,-0.440959327,-0.502224539,-0.150703893,-0.406358635,leuB 3-isopropylmalate dehydrogenase
PMT0532,-0.521939573,0.002141079,0.133793026,0.079554598,-0.147402895,**-1.22729203171823,-0.296379855,-0.535427766,"prk, cbbP phosphoribulokinase"
PMT0533,0.037778686,0.109646095,0.026862052,-0.037328439,0.001370334,0.773717577,-0.136241082,0.127016707,putative type 4 prepilin peptidase
PMT0534,0.146556935,-0.043247919,0.025645016,-0.457788841,-0.811352653,**-2.31706753486083,-0.007776809,-0.173205895,"accD acetyl-CoA carboxylase, beta subunit"
PMT0535,-0.605050207,-0.256508428,-0.582661196,-1.146590179,**-3.00508184263863,**-2.95831877631729,-0.449308868,-0.452049467,conserved hypothetical protein
PMT0536,-0.391623244,-0.415929235,-0.732809076,-1.183102612,-1.801917189,-0.928690598,-0.08292981,0.053644846,putative oxidoreductase
PMT0537,-1.119110746,-0.345025784,-0.434420952,0.034098086,-0.286783122,-0.447347524,-0.643972038,-0.119733381,"cbbA,cfxA,fbaA,fda Fructose-bisphosphate/sedoheptulose-1,7-bisphosphate aldolase"
PMT0538,-0.279687876,-0.054660853,0.064105659,0.262445117,0.042616641,0.137640052,0.143561219,0.003874495,Uncharacterized protein family UPF0094
PMT0539,-0.215856232,0.023486867,-0.002349736,-0.393664236,0.238057457,*-1.24484887444880,0.049564568,**-1.35393938823382,"purQ (purL, pur4) phosphoribosylformylglycinamidine synthase"
PMT0540,-0.151071041,-0.05626349,-0.013191618,-0.033754319,-0.018788207,-0.306289586,0.117882709,-0.251557133,conserved hypothetical protein
PMT0541,-0.025910747,-0.018233778,0.02240845,-0.033160717,-0.101619818,-0.671864443,0.034238864,0.121008134,"Putative oxidoreductase, Fe-S subunit"
PMT0542,0.079694154,0.197993224,0.134606859,0.309036008,0.776780592,0.004504835,-0.197302253,0.125358947,"possible Na+/H+ antiporter, CPA1 family"
PMT0543,0.094836812,-0.07936277,-0.219072405,-0.714862982,-0.043068957,-1.648111285,-0.058663197,-0.30342655,"Glycosyl transferase, family 2"
PMT0544,0.404892381,0.222695695,0.387467632,-0.169927636,-0.287907917,-0.827222428,-0.370731921,0.145517011,hypothetical
PMT0545,-0.059419865,0.045896238,0.175374272,0.197858459,0.123876998,-0.127356066,0.246972132,0.188630898,hypothetical
PMT0546,0.137403166,-0.014637756,0.322978441,0.403245965,0.291019079,-0.440817783,-0.283695942,-0.68293449,probable periplasmic protein
PMT0547,-0.038251802,0.126840783,0.256131627,0.528090621,0.465320606,0.01794347,-0.059488061,-0.398745605,hypothetical
PMT0548,0.062466919,-0.202797373,-0.552151864,0.031164237,-0.842052438,0.374863276,0.16512935,-0.140250192,Short-chain dehydrogenase/reductase (SDR)superfamily:Glucose...
PMT0549,0.310287941,0.101690453,0.12231876,-0.600568647,0.253710654,1.107040157,0.02503218,-0.545013276,possible Ribosomal protein L11
PMT0550,0.041136952,-0.179818986,0.267566646,-1.046414208,-0.496414412,-2.468520431,0.068122753,-0.05818252,hypothetical
PMT0551,-0.349119626,-0.496704067,*-1.00603415302674,-1.937091282,-1.906726653,-2.208878573,-0.780410401,0.519777716,sdmt putative sarcosine-dimethylglycinemethyltransferase
PMT0552,0.230514081,-0.219993205,*-0.699930105173283,-0.512020129,-0.709695311,-0.407610198,-0.385378047,0.426019745,gsmt probable glycine-sarcosine methyltransferase
PMT0553,0.061794753,0.072003147,0.271412151,0.173041701,-0.32652968,-0.16951242,0.356777076,0.124541471,"ABC transporter, ATP binding component, glycinebetaine/proline family"
PMT0554,0.076773038,-0.041547024,-0.410514424,-0.244741711,-0.693262248,-1.297640978,0.292102449,0.090683832,"ABC transporter,membrane component, glycinebetaine/proline family,"
PMT0555,0.059783016,-0.188439555,-0.231038379,-0.316207706,-0.448332694,**-1.96903637581462,0.31485452,-0.108197678,"ABC transporter substrate binding protein,glycine betaine/proline family"
PMT0556,-0.167264882,-0.169710479,-0.193931368,-0.157591323,-0.253506246,-0.602554651,-0.748994354,-0.315747988,cobW putative cobalamin synthesis protein
PMT0557,-0.334513908,0.095695601,0.123386215,-0.423252768,-0.1121416,*-1.20570763381672,-0.432812153,-0.793637302,conserved hypothetical protein
PMT0558,-0.457264785,0.064036396,-0.03946085,-0.640468088,-0.532482078,-1.726963585,-0.294616399,-0.662440762,putative uracil phosphoribosyltransferase
PMT0559,0.211181184,0.189059109,0.306707514,0.554613756,0.691177906,**1.14582626700256,0.010878784,0.217499476,conserved hypothetical
PMT0560,-0.153741874,-0.037777986,-0.02281607,-0.000290627,-0.1415955,*-1.10948682325598,0.026083004,-0.304590443,Dihydroxy-acid and 6-phosphogluconatedehydratase:Dihydroxy-a...
PMT0561,0.098262376,-1.042110664,-0.185275202,-0.395547256,0.142171224,0.816594338,-0.586179023,-0.927841392,possible Insulin-like growth factor binding pr
PMT0562,0.278408558,0.447395678,0.374327316,0.403157387,-1.380121078,-2.073873351,-0.11702287,-0.732637635,conserved hypothetical protein
PMT0563,0.008138789,-0.665031089,0.015953512,-0.032379024,-0.908561742,0.326357029,0.046209067,-0.828331787,hypothetical
PMT0564,-0.152144704,0.395780077,0.203504591,0.081175545,0.544961061,0.604938322,0.042260372,-0.157509409,"Putative 6-phosphogluconolactonase (DevB, Pgl)"
PMT0565,-0.381707615,0.178605861,0.413694739,1.066927367,**1.89704991165488,**1.62241156077451,0.123364394,-0.207341015,gnd 6-phosphogluconate dehydrogenase
PMT0566,-0.492862356,-0.030360644,0.1503207,-0.153655349,-0.105933243,-0.722823594,-0.075649046,0.395872603,glgC ADP-glucose pyrophosphorylase
PMT0567,-0.339021411,-0.27769823,-0.429073373,-0.517169544,-0.862007858,-0.879158164,-0.198892468,0.215743354,hemA glutamyl-tRNA reductase
PMT0568,-0.723854712,-0.213807413,-0.495782242,-0.710548067,**-1.21062085049548,**-1.64349942379212,-0.382766399,0.128510992,"glpX, cbbF, fbp Fructose-1,6-bisphosphatase/sedoheptulose-1,7-bisphosphatase"
PMT0569,-0.356823125,0.052851494,0.226318939,-0.20225094,-0.438020871,-0.697421685,0.004798268,-0.754827296,"rpe, cbbE Ribulose-phosphate 3-epimerase"
PMT0570,0.126783015,0.3575524,0.134573391,-0.177891838,-0.389737748,-0.741798356,0.209594561,0.136994955,possible heme transporter
PMT0571,-0.257831971,-0.401405121,-0.668256285,-0.32996677,-0.413884164,-1.391926549,-0.374871632,0.405001655,possible permease
PMT0572,-0.30780032,-0.106841772,-0.276677713,-0.478924186,-0.521603053,-0.43455631,-0.113352438,-0.363093386,"possible ABC transporter, ATP binding component"
PMT0573,0.110629356,-0.10431055,0.438582475,0.139146437,-0.088400809,-0.738364757,-0.097209941,-0.120697983,conserved hypothetical protein
PMT0574,0.213014857,-0.017234679,0.139262532,0.055097754,0.189270963,0.385179513,-0.138924012,0.208273222,conserved hypothetical protein
PMT0575,-0.69397714,-0.061890343,0.06530059,0.007660923,0.786833587,0.15969656,-0.298803166,0.06987342,typA / bipA tyrosine binding protein
PMT0576,0.242604645,0.199926337,0.173602211,-0.090706018,-0.129281706,-0.470176531,0.283360435,0.35449612,putative carboxypeptidase
PMT0577,0.096432484,0.093646926,0.164325538,-0.446724777,**-0.855393150592601,**-1.25931724186804,0.265898643,-0.119867637,chlP Aromatic-ring hydroxylase (flavoproteinmonooxygenase)
PMT0578,-0.256804867,0.04342321,-0.071177207,-0.001908377,-0.740640519,-0.819335716,-0.061169737,-0.090560935,"glyS putative Glycyl-tRNA synthetase, beta subunit"
PMT0579,0.029935949,0.026797869,0.109344637,-0.164006507,-0.641346498,*-1.23079319067534,-0.042173352,0.109349467,sir Ferredoxin-sulfite reductase
PMT0580,0.145879247,0.191705825,0.153981232,-0.656983497,-0.66601091,0.413041181,-0.086066862,0.115796594,D-ala-D-ala dipeptidase
PMT0581,-0.393347845,0.048152109,0.266401389,0.118075504,-0.532551193,0.402479839,-0.13644422,0.378895939,putative DNA helicase
PMT0582,-0.476029922,-0.797647241,-0.827208119,-1.137348411,-2.133340864,*-2.58104486134722,-0.253501655,-0.292340846,conserved hypothetical
PMT0583,-0.333183238,-0.293509547,*-0.933719599139291,-1.211918892,**-1.64611336609058,**-2.03513070248335,-0.287118001,**-1.21541097633288,"tsf putative Elongation factor Ts, EF-Ts"
PMT0584,-0.079112264,-0.15854458,-0.464555621,-0.92037594,**-0.995619185767038,**-1.91421479683698,-0.066200788,-0.586690314,"rps2, rpsB 30S ribosomal protein S2"
PMT0585,-0.024904144,-0.045561639,0.19781807,-0.094070568,0.108789741,-0.205750163,0.020256383,-0.086964833,"Glycosyl transferase, family 2"
PMT0586,0.739476355,-0.006733025,0.463311745,0.710950691,0.351884392,-0.434552913,-0.10714946,-0.227359409,conserved hypothetical protein
PMT0587,-0.809801911,-1.482833035,-0.078282256,-0.008583508,-0.295385359,1.618735422,0.388243092,0.390723037,"ABC transporter, ATP-binding component"
PMT0588,-0.324212924,-0.282396541,-0.480593131,-0.613618739,-0.506868533,0.477056842,-0.202196161,0.468685173,"ABC-transporter, membrane spanning component"
PMT0589,0.042700486,0.017014934,-0.05551215,-0.839863982,-0.134729537,0.701293563,0.012684854,0.038714705,possible ABC transporter component
PMT0590,0.144677596,0.062695844,0.106184897,0.167917925,0.260050806,0.259651764,0.130764029,0.365210284,pcyA ferredoxin-dependent biliverdin reductase
PMT0591,0.145885975,-0.088631262,0.18675099,-0.183760913,-0.284449501,-0.43637739,-0.053161769,0.12415478,Possible Zn-dependent peptidase
PMT0592,-0.092911793,-0.116785157,-0.252590561,-0.142026029,-0.013800217,-0.317360046,-0.331736151,0.04783443,Insulinase family (Peptidase family M16)
PMT0593,0.243880039,0.39546789,0.343963306,-0.122038788,-0.004526944,*-2.21920472161293,0.019997197,-0.290395314,conserved hypothetical protein
PMT0594,0.199673589,0.312316003,0.418055907,-0.137410248,0.08633042,-0.36041744,-0.119048538,0.013184928,conserved hypothetical protein
PMT0595,-0.769674793,-0.143648919,0.221614965,0.911469269,-0.173725863,-0.231791132,0.188024672,0.096680075,putative lipoprotein signal peptidase
PMT0596,-0.109271174,-0.392859673,0.443264973,1.867405248,0.811526411,0.442817186,0.050566179,-0.545950146,"possible Carbamoyl-phosphate synthase L chain,"
PMT0597,-0.360141998,-0.030575291,0.03362055,-0.325102115,-1.012189629,0.749831983,0.066853564,0.393302784,conserved hypothetical protein
PMT0598,0.069895042,0.0151112,0.230169207,-0.102527446,-0.08325292,0.057309911,-0.185854572,0.428707183,Pyridoxal-dependent decarboxylase family
PMT0599,-0.107453651,-0.014633665,-0.079566861,-0.501181217,0.040967149,0.017189511,0.091531956,0.141778537,putative cytidine/deoxycytidylate deaminase
PMT0600,-0.009763782,0.312724532,0.233144146,-0.521658789,-0.783358396,*-0.884516669256062,0.233231453,-0.395489737,"spt, agt serine:pyruvate/alanine:glyoxylateaminotransferase"
PMT0601,-0.262190069,1.009663902,**1.72452021817924,**2.03050177230425,**1.54235498903119,0.152773848,0.346179982,-0.764672012,"glnA Glutamine synthetase, glutamate--ammonia ligase"
PMT0602,-0.26908628,-0.256078697,-0.362751802,-1.474681035,-0.608000166,-0.246972173,0.044212603,0.462543523,conserved hypothetical protein
PMT0603,-0.123698838,0.084087648,-0.195847209,-0.41528347,-0.135232099,0.11955247,0.091418159,0.460934765,conserved hypothetical protein
PMT0604,-0.262867902,0.010724481,0.179185693,0.311279958,0.133022273,0.001987883,-0.076805534,-0.150873456,psb28 possible Photosystem II reaction center Psb28protein
PMT0605,0.248450156,0.088200921,-0.000713688,0.022983578,0.104419395,-0.191209791,-0.153258207,0.030840159,conserved hypothetical protein
PMT0606,0.117974954,0.354519696,0.02029589,-0.693849396,-0.769711224,**-1.58237253297447,-0.143308392,-0.079819866,conserved hypothetical protein
PMT0607,0.280527306,0.192610911,0.314596229,-0.125620376,-0.568484266,-0.58836665,0.100463615,0.185670234,conserved hypothetical protein
PMT0608,0.34127538,0.027054757,0.165853718,-0.84885971,1.212400114,0.217057375,-0.030767824,0.169517987,conserved hypothetical protein
PMT0609,0.024976784,-0.135193937,*0.767187324700641,0.283574892,0.446755023,0.085319816,0.109583409,-0.05178806,conserved hypothetical protein
PMT0611,-0.310092977,0.084680933,0.176196235,0.58260621,0.153973553,0.930843144,-0.05595157,0.58372473,"possible Copper binding proteins, plastocyanin"
PMT0612,-0.0674635,-0.042473084,-0.238311718,-0.166585196,-0.17751574,-0.420257247,-0.108675383,-0.237256101,SAM (and some other nucleotide) bindingmotif:Generic methyl-transferase
PMT0613,0.591458527,0.158565256,0.415662126,0.238321852,0.623707497,*-2.51327403191097,-0.755049499,-0.506287924,hypothetical
PMT0614,0.151764938,0.329100463,-0.134278859,-1.210355326,0.512559125,0.072812885,0.201489711,0.201102078,hypothetical
PMT0615,0.577547423,0.436866927,-0.496648762,-0.977400512,-0.5584125,1.045959902,-2.961238573,0.184594668,hypothetical
PMT0616,-0.020848771,-0.213864465,*-0.618175058949851,-0.608022036,-0.469828692,-0.231992297,-0.057035176,0.754521469,secF preprotein translocase subunit
PMT0617,-0.117384093,-0.086711229,-0.596735479,-0.727327668,-0.560639716,-0.443606386,-0.228830215,0.349496907,secD preprotein translocase subunit
PMT0618,0.01580053,0.039674336,-0.337035492,-0.261341369,-0.229959001,-0.913233123,-0.257568516,-0.480896565,pdhB pyruvate dehydrogenase E1 beta subunit
PMT0619,0.06961925,-0.076260112,0.008057479,0.833279935,0.971191536,-0.734033252,0.154527363,0.84269504,conserved hypothetical protein
PMT0620,-1.044140041,0.07554324,-0.093049992,-0.050226063,-0.202959712,0.193470864,0.28108863,0.46019689,ispE Putative4-diphosphocytidyl-2C-methyl-D-erythritol kinase (CMK)
PMT0621,-0.087511834,0.0226404,0.679103488,1.217249827,1.149664132,0.05728801,-0.058143927,-0.175070748,"putative rRNA(adenine-N6,N6)-dimethyltransferase"
PMT0622,0.154996751,0.15082074,0.035250204,-0.250747978,-1.489177021,0.046106153,-0.089844347,0.032253081,possible Methyl-coenzyme M reductase alpha sub
PMT0623,0.263861895,0.092761999,-0.136175369,0.017309404,0.019889178,-1.493378508,-0.223863805,0.291527727,gdhA Glutamate dehydrogenase
PMT0624,0.297045535,-0.0930835,0.265389152,0.761260423,0.237048717,-0.874428881,-0.531024945,-0.414489681,Uncharacterised protein family UPF0102
PMT0625,-0.01852685,-0.34478382,1.090134259,0.363678648,0.212794984,-2.153305065,0.244964609,0.391714168,"Integral membrane protein, DUF6"
PMT0626,0.226295901,0.026266635,-0.046584216,-0.109723763,-0.000400464,-0.582865857,0.242423716,-0.351272064,conserved hypothetical protein
PMT0627,-0.050283805,0.015903954,0.046872002,-0.220510331,-0.100475686,-0.600313743,0.220144303,-0.331144373,hypothetical
PMT0628,0.036240077,-0.331611653,*-0.652128178568284,-0.389844286,-0.320145988,-0.259894887,0.012172621,-0.103285074,conserved hypothetical protein
PMT0629,0.104279721,0.180625905,0.215556757,0.382294224,0.140926381,*-2.37836220899223,0.077338381,0.037549828,conserved hypothetical protein
PMT0630,0.178679932,0.19004329,0.314007342,0.112468248,-0.259800419,*-3.10088211631761,-0.241241699,-0.935707764,possible Gonadotropin-releasing hormone
PMT0631,1.258301147,0.761117639,**1.04990840005081,1.011569546,**1.17420771585983,**-1.81703610585705,-0.0972064,**-1.09431484868209,hypothetical
PMT0632,-0.057489996,-0.334798497,-0.440509974,0.7458088,-1.421005307,-1.496092889,0.419807888,-0.073263116,conserved hypothetical protein
PMT0633,0.045109056,-0.038500657,0.00180957,0.005392086,-0.609499909,*-3.05274958777173,-0.027366224,0.03093035,hypothetical
PMT0634,-0.21877883,0.03624869,-0.435554948,0.182618847,-0.986917987,-1.856636314,-0.153452447,-0.564720283,conserved hypothetical protein
PMT0635,0.025778207,-0.095139862,0.253546109,0.345696813,0.563273061,0.660845469,0.093700535,0.115228504,putative SOS mutagenesis protein UmuD
PMT0636,0.350117276,0.230337261,0.08391653,0.367212873,-0.397235599,0.006652864,0.050680573,-0.009901129,possible PH domain
PMT0637,-0.249355662,-0.190386111,0.273244664,0.297578844,0.731607975,-1.115020896,0.307240152,-0.270608631,hypothetical
PMT0638,0.114792965,0.068751818,-0.041081799,0.040650482,0.383645389,0.735585151,0.209883272,-0.005679304,umuC putative UmuC protein
PMT0639,0.191379651,-0.044646791,0.308276813,0.06204949,0.203737506,0.003491403,-0.019037401,-0.283407851,conserved hypothetical protein
PMT0640,0.25823546,0.416434861,-0.045931231,-0.86254895,-0.27281642,-0.788044772,-0.103568042,-0.418273822,conserved hypothetical protein
PMT0641,-0.217997013,-0.075694722,0.04760404,-0.113137552,-1.098299302,0.648819792,0.052607297,-0.040102673,CHC2 zinc finger:Toprim domain
PMT0642,-0.352233903,-0.173042902,-0.256256442,-0.364232022,-0.969575836,**-3.74599332848925,-0.250622585,-0.787696171,conserved hypothetical protein
PMT0643,0.230978292,0.236982915,-0.773351588,-1.729852138,-2.26111198,-0.25833479,-0.618282959,-0.534006685,"Integral membrane protein, DUF6"
PMT0644,0.1050152,0.031963485,0.321156632,-0.224574224,-0.576270291,0.426708111,-0.159477873,-0.438900818,ruvA putative holliday junction DNA helicase RuvA
PMT0645,0.389408491,0.141223429,0.163792137,-0.277446351,-0.475452832,**-1.27837056959445,0.275968927,0.127611967,"rps15, rpsO 30S Ribosomal protein S15"
PMT0646,0.391200642,0.230395008,0.139492504,0.061117301,-0.249951122,-0.456629966,0.189412619,-0.298064434,conserved hypothetical protein
PMT0647,0.181257631,-0.062608385,-0.070224647,-0.010512803,-0.061309672,-0.031121521,-0.305290188,0.757946614,"dnaE DNA polymerase III, alpha subunit"
PMT0648,-0.856040986,-0.174964171,-0.394982355,-0.844183579,-0.590923012,-1.128301539,-0.330963845,-0.286669643,gatA Glutamyl-tRNA(Gln) amidotransferase A subunit
PMT0649,-0.049546217,0.220427849,0.568826914,1.398606281,**1.73207229974398,*1.07461520136930,0.161975351,0.020602292,conserved hypothetical protein
PMT0650,-0.18136769,-0.270790617,-0.663985058,-0.773104608,-0.206799538,-0.152739897,-0.179390499,-0.179573394,tRNA/rRNA methyltransferase (SpoU):RNAmethyltransferase TrmH...
PMT0651,-0.544544044,0.005589662,-0.179919087,-0.34438541,-1.345371533,1.089901562,0.033334032,-0.068384899,conserved hypothetical protein
PMT0652,-0.59218622,0.00359139,0.213153887,-0.120036562,0.004948407,-0.448064582,-0.740574729,**-1.03578133818190,STAS domain:Anti-sigma factor antagonist
PMT0653,-0.356008999,-0.128592138,-0.194597481,-0.23728247,-0.679105631,-0.025072907,-0.101363771,-0.153934133,"carA, pyrA carbamoyl-phosphate synthase small chain"
PMT0654,-0.589164099,-0.488037179,-0.594999102,-0.545633182,-0.602560732,-1.104949312,-0.342320271,-0.339260014,trpD/G putative Anthranilate synthase component II
PMT0655,-0.213032764,-0.094039851,-0.254715864,-0.134463437,0.079250574,0.910867069,0.093317944,0.105750645,"ABC transporter, multidrug efflux family"
PMT0656,0.051514368,0.225165215,-0.073078941,0.296945581,-1.379665571,0.520807882,-0.178274647,0.105607742,conserved hypothetical protein
PMT0657,-0.047047607,0.061130335,0.311846904,-0.100765695,-0.325194547,**-2.66636876608907,-0.419322434,*-0.979194954423837,conserved hypothetical protein
PMT0658,0.276606972,-0.058587208,0.659144695,-0.836206703,-0.03643254,1.555668841,-0.27578914,-1.290125454,"possible ABC transporter component, ATP bindingprotein"
PMT0659,0.038611525,0.310914979,0.04352745,0.079006107,-0.073084854,-1.997021048,0.20975353,0.074795971,possible Sodium:sulfate symporter transmembrane
PMT0660,0.307282587,0.052065257,0.610199091,-0.60885633,-0.23746433,-0.285560465,-0.110208874,-0.101882166,Esterase/lipase/thioesterase family active site
PMT0661,0.402359613,0.273890001,0.272932838,0.732109271,0.322092601,-1.314530273,0.026028374,-0.091806599,Quinolinate synthetase A protein
PMT0662,0.050154864,-0.035842589,-0.092688828,0.172429972,-0.465152667,-0.610057977,-0.174040927,0.16933691,putative transcription factor
PMT0663,-0.34771367,-0.056778109,-0.15757231,0.066363307,-0.493552754,0.293833514,-0.10755405,0.157513797,conserved hypothetical protein
PMT0664,-0.874200663,-0.009518812,-0.082117473,-0.231322405,-0.85447202,-0.909981373,-0.318015078,-0.987380092,possible endolysin
PMT0665,-0.115790714,0.209015773,0.08705878,0.338303612,0.48851416,0.864586048,-0.150391392,-0.303266902,conserved hypothetical protein
PMT0666,-0.094750238,0.000154045,0.033947098,0.470188235,0.554938926,0.418480303,-0.11975999,0.065015901,conserved hypothetical protein
PMT0667,0.15994313,-0.049348545,0.392444217,-0.061627501,-0.112161298,-1.11553811,0.036414989,-0.296269179,aroB 3-dehydroquinate synthase
PMT0668,0.111568212,0.332973918,0.246422804,-0.053126717,-1.129708161,-0.362691702,-0.270406053,-0.708528713,lacF putative lactose transporter
PMT0669,-0.025827001,0.243897656,0.252411286,0.21572338,-1.248676854,0.101109091,-0.614834421,-0.138600819,purK phosphoribosylaminoimidazole carboxylase
PMT0671,0.022956547,-0.398745506,0.58475054,0.040930908,0.779224572,0.21116924,-0.106117165,-0.023501703,conserved hypothetical protein
PMT0672,0.14697415,0.134148719,0.382622256,0.784625924,0.729072923,0.218213215,0.124217218,0.158714165,conserved hypothetical protein
PMT0674,-0.328710003,-0.035015163,-0.651536045,-1.400454453,0.201273902,0.61629052,-0.362072391,-0.57082961,unnamed product
PMT0675,-0.110695835,0.004893395,0.168821052,-0.29322474,-0.628558716,*-0.954410346323234,-0.223084599,-0.284856088,conserved hypothetical protein
PMT0676,0.154332597,0.045264546,0.153396379,0.107584488,-0.124829222,-0.67252152,-0.095840833,-0.18207278,clpP1 Clp protease proteolytic subunit
PMT0677,-0.129184472,0.051264968,-0.068571103,0.136142699,0.179270908,**0.85005375869734,0.12561666,0.727830198,ftsH1 FtsH ATP-dependent protease homolog
PMT0678,-0.09156482,-0.028231608,-0.201277011,-0.454226964,-0.494711501,0.431560934,0.026796278,0.305213246,possible ABC transporter
