gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2785713256	214	20.65	16	194	27	209	9.0e-12	63.7	COG3201	Nicotinamide riboside transporter PnuC	222
2785713260	166	29.33	1	133	10	159	6.0e-16	77	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	177
2785713262	309	25.77	9	296	3	289	6.0e-07	48.3	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	292
2785713263	298	31.86	8	297	4	292	1.0e-38	153	COG0583	DNA-binding transcriptional regulator, LysR family	297
2785713264	399	47.3	1	388	11	394	4.0e-76	279	COG2814	Predicted arabinose efflux permease, MFS family	394
2785713267	341	29.39	4	328	1	303	4.0e-37	148	COG3547	Transposase	303
2785713269	357	31.75	14	346	20	351	3.0e-51	195	COG1566	Multidrug resistance efflux pump	352
2785713270	151	33.33	23	130	8	114	2.0e-08	52.2	COG1846	DNA-binding transcriptional regulator, MarR family	126
2785713271	242	43.51	8	240	3	241	3.0e-44	171	COG3279	DNA-binding response regulator, LytR/AlgR family	244
2785713272	563	52.79	1	554	2	550	0.0e+00	659	COG3275	Sensor histidine kinase, LytS/YehU family	557
2785713273	497	34.58	1	481	3	563	3.0e-108	386	COG1966	Carbon starvation protein CstA	575
2785713274	529	72.08	6	528	5	527	0.0e+00	891	COG4108	Peptide chain release factor RF-3	528
2785713275	576	40.27	1	576	1	577	0.0e+00	558	COG0018	Arginyl-tRNA synthetase	577
2785713276	188	43.05	3	153	2	141	2.0e-29	122	COG0431	NAD(P)H-dependent FMN reductase	184
2785713278	224	39.29	49	212	56	223	4.0e-20	91.5	COG1357	Uncharacterized protein YjbI, contains pentapeptide repeats	238
2785713279	616	27.44	6	607	112	755	0.0e+00	474	COG4993	Glucose dehydrogenase	773
2785713280	211	31.58	1	207	1	209	9.0e-40	156	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	211
2785713282	349	27.94	11	318	1	297	7.0e-73	267	COG0031	Cysteine synthase	300
2785713284	961	22.32	12	645	10	651	4.0e-69	256	COG3292	Periplasmic ligand-binding sensor domain	671
2785713285	292	23.27	149	280	24	180	7.0e-12	64.6	COG3059	Uncharacterized membrane protein YkgB	182
2785713288	303	30.38	9	296	3	292	3.0e-38	152	COG0583	DNA-binding transcriptional regulator, LysR family	297
2785713289	285	33.09	1	270	2	275	1.0e-27	117	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	275
2785713290	145	32.54	10	134	1	125	5.0e-11	60.3	COG4852	Uncharacterized membrane protein	134
2785713291	384	22.35	30	384	1	325	7.0e-30	125	COG3239	Fatty acid desaturase	343
2785713292	301	22.41	8	239	28	262	5.0e-27	115	COG1018	Ferredoxin-NADP reductase	266
2785713293	361	41.02	1	361	4	359	2.0e-94	339	COG1902	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	363
2785713295	305	65.27	68	305	1	239	5.0e-102	364	COG1186	Protein chain release factor B	239
2785713296	522	54.34	1	511	1	502	0.0e+00	654	COG1190	Lysyl-tRNA synthetase (class II)	502
2785713297	313	32.7	3	311	2	299	2.0e-48	186	COG1893	Ketopantoate reductase	307
2785713299	250	34.07	2	215	76	289	4.0e-41	161	COG0564	Pseudouridylate synthase, 23S rRNA- or tRNA-specific	289
2785713300	188	26.79	1	112	2	113	1.0e-06	46.6	COG2198	HPt (histidine-containing phosphotransfer) domain	122
2785713301	961	28.24	46	465	15	435	2.0e-56	214	COG0612	Predicted Zn-dependent peptidase	438
2785713302	532	47.62	23	523	18	518	0.0e+00	532	COG2918	Gamma-glutamylcysteine synthetase	518
2785713303	212	46.07	12	198	6	194	5.0e-61	227	COG4764	Uncharacterized protein	197
2785713307	216	41.34	39	212	8	183	8.0e-36	143	COG2840	DNA-nicking endonuclease, Smr domain	184
2785713308	311	38.46	15	298	1	271	4.0e-58	218	COG2890	Methylase of polypeptide chain release factors	280
2785713309	365	58.42	2	362	1	367	0.0e+00	531	COG0082	Chorismate synthase	369
2785713311	515	63.54	24	513	7	491	0.0e+00	680	COG2719	Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)	495
2785713312	428	60	1	424	1	422	0.0e+00	532	COG2718	Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family	423
2785713313	640	69.95	1	640	1	649	0.0e+00	894	COG2766	Predicted Ser/Thr protein kinase	649
2785713315	255	27.89	59	247	50	226	3.0e-09	55.8	COG2801	Transposase InsO and inactivated derivatives	232
2785713316	193	52.76	1	193	2	199	6.0e-69	253	COG0605	Superoxide dismutase	204
2785713317	116	60	6	109	1	105	1.0e-42	164	COG0278	Glutaredoxin-related protein	105
2785713318	862	14.94	1	838	10	755	2.0e-19	91.9	COG1629	Outer membrane receptor proteins, mostly Fe transport	768
2785713319	210	22.62	24	189	10	177	2.0e-19	89.4	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	182
2785713320	351	29.97	11	346	11	319	1.0e-47	183	COG3712	Periplasmic ferric-dicitrate binding protein FerR, regulates iron transport through sigma-19	322
2785713321	984	13.68	124	983	29	768	1.0e-20	96.1	COG1629	Outer membrane receptor proteins, mostly Fe transport	768
2785713322	64	39.06	1	64	1	63	7.0e-10	55.7	COG2906	Bacterioferritin-associated ferredoxin	63
2785713323	201	57.14	1	196	1	193	9.0e-73	266	COG0450	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	194
2785713324	211	30.17	7	211	2	232	2.0e-19	89.5	COG0847	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease	243
2785713326	398	28.25	89	396	8	256	5.0e-28	119	COG0584	Glycerophosphoryl diester phosphodiesterase	257
2785713327	131	25.53	1	125	1	138	1.0e-14	71.8	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	138
2785713328	236	28.69	7	231	4	237	3.0e-40	158	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	246
2785713330	70	71.88	6	69	3	66	1.0e-23	100	COG1278	Cold shock protein, CspA family	67
2785713332	472	19.62	63	470	3	405	5.0e-18	86.1	COG2234	Zn-dependent amino- or carboxypeptidase, M28 family	435
2785713333	240	46.43	15	210	4	199	9.0e-63	233	COG0177	Endonuclease III	211
2785713334	230	68.87	1	212	1	212	2.0e-75	275	COG4660	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfE subunit	212
2785713336	360	51.98	2	355	1	338	8.0e-97	347	COG4658	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfD subunit	338
2785713337	963	53.45	15	535	1	500	0.0e+00	550	COG4656	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit	529
2785713338	193	65.61	4	190	1	189	4.0e-67	247	COG2878	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit	198
2785713339	193	80.31	1	193	1	193	7.0e-67	246	COG4657	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit	193
2785713342	460	29.12	18	458	15	455	2.0e-55	210	COG0534	Na+-driven multidrug efflux pump	455
2785713343	671	68.41	1	671	1	663	0.0e+00	1092	COG0556	Excinuclease UvrABC helicase subunit UvrB	663
2785713344	308	20.6	9	308	2	296	3.0e-24	106	COG0583	DNA-binding transcriptional regulator, LysR family	297
2785713345	218	41.63	1	218	1	220	7.0e-65	240	COG0603	7-cyano-7-deazaguanine synthase (queuosine biosynthesis)	222
2785713346	224	32.46	1	224	1	212	2.0e-44	172	COG0602	Organic radical activating enzyme	212
2785713349	556	36.4	1	554	1	541	0.0e+00	461	COG0367	Asparagine synthetase B (glutamine-hydrolyzing)	542
2785713350	555	23.61	130	551	1	426	4.0e-42	166	COG2234	Zn-dependent amino- or carboxypeptidase, M28 family	435
2785713352	344	30.89	6	328	3	303	1.0e-33	137	COG3547	Transposase	303
2785713354	574	20.63	126	571	72	454	7.0e-26	112	COG0471	Di- and tricarboxylate transporter	461
2785713355	471	63.82	19	452	1	431	0.0e+00	652	COG2895	Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family	431
2785713356	263	50.93	1	263	1	263	2.0e-67	249	COG1218	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase	276
2785713357	198	61.54	4	198	1	195	3.0e-83	301	COG0529	Adenylylsulfate kinase or related kinase	197
2785713358	304	36.51	9	304	17	261	2.0e-55	209	COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	261
2785713359	501	43.57	1	491	1	493	2.0e-83	303	COG0591	Na+/proline symporter	493
2785713360	655	32.6	477	653	1	181	2.0e-30	128	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	181
2785713362	185	31.87	7	180	1	182	6.0e-26	110	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	182
2785713363	617	37.44	41	613	15	588	0.0e+00	475	COG4805	Uncharacterized conserved protein, DUF885 familyt	588
2785713366	358	18.87	73	277	64	251	4.0e-05	43	COG1240	Mg-chelatase subunit ChlD	261
2785713369	318	42.33	2	318	11	328	3.0e-67	248	COG0714	MoxR-like ATPase	329
2785713371	436	32.27	12	436	1	392	2.0e-59	223	COG0183	Acetyl-CoA acetyltransferase	392
2785713372	719	44	322	617	2	300	2.0e-82	301	COG1250	3-hydroxyacyl-CoA dehydrogenase	307
2785713375	462	33.33	55	320	56	328	5.0e-42	165	COG3344	Retron-type reverse transcriptase	328
2785713379	915	30.26	11	889	25	907	0.0e+00	569	COG1025	Secreted/periplasmic Zn-dependent peptidases, insulinase-like	937
2785713380	175	36.36	16	166	4	147	4.0e-26	111	COG2062	Phosphohistidine phosphatase SixA	163
2785713382	431	56.35	5	418	1	415	0.0e+00	495	COG4536	Mg2+ and Co2+ transporter CorB, contains DUF21, CBS pair, and CorC-HlyC domains	423
2785713383	263	38.08	4	263	4	263	7.0e-45	174	COG4137	ABC-type uncharacterized transport system, permease component	265
2785713384	479	61.59	1	452	1	451	0.0e+00	619	COG0541	Signal recognition particle GTPase	451
2785713389	130	26.83	4	117	18	135	3.0e-03	34.5	COG3793	Tellurite resistance protein	144
2785713390	418	21.89	89	292	37	264	3.0e-13	70.1	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily	298
2785713391	1038	37.2	12	1015	1	1009	0.0e+00	795	COG0841	Multidrug efflux pump subunit AcrB	1009
2785713392	352	25	35	344	37	368	2.0e-23	103	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	372
2785713393	604	34.35	11	601	1	564	4.0e-126	445	COG1132	ABC-type multidrug transport system, ATPase and permease component	567
2785713394	224	26.84	6	189	3	183	3.0e-26	111	COG3531	Predicted protein-disulfide isomerase , contains CxxC motif	212
2785713396	83	54.88	1	82	1	81	9.0e-25	104	COG0228	Ribosomal protein S16	87
2785713397	173	42.94	1	173	1	172	5.0e-40	157	COG0806	Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing	174
2785713398	253	58.09	6	245	2	240	2.0e-103	368	COG0336	tRNA G37 N-methylase TrmD	240
2785713399	120	67.57	9	119	5	115	5.0e-40	156	COG0335	Ribosomal protein L19	115
2785713400	423	33.46	23	270	63	316	2.0e-33	137	COG3344	Retron-type reverse transcriptase	328
2785713401	209	37.81	8	207	8	208	8.0e-38	150	COG2860	Uncharacterized membrane protein YeiH	209
2785713402	248	25.88	10	235	3	225	6.0e-26	111	COG1024	Enoyl-CoA hydratase/carnithine racemase	257
2785713403	362	60.06	2	348	1	346	0.0e+00	519	COG0722	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase	351
2785713404	384	26.79	106	360	5	279	4.0e-50	192	COG0287	Prephenate dehydrogenase	279
2785713407	170	23.38	1	147	3	155	1.0e-10	59.6	COG1670	Protein N-acetyltransferase, RimJ/RimL family	187
2785713409	587	38.15	398	569	10	181	8.0e-39	155	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	181
2785713410	417	40	128	406	3	279	2.0e-84	306	COG0077	Prephenate dehydratase	279
2785713412	110	52.88	9	110	1	103	2.0e-20	90.7	COG0023	Translation initiation factor 1 (eIF-1/SUI1)	104
2785713413	101	23.23	4	100	5	103	5.0e-08	49.2	COG1366	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	117
2785713414	558	30.98	1	166	1	181	4.0e-24	106	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2785713415	146	34.04	1	141	6	146	4.0e-21	94.2	COG4103	Uncharacterized conserved protein, tellurite resistance protein B (TerB) family	148
2785713420	446	44.81	5	446	1	462	0.0e+00	491	COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	464
2785713421	161	26.95	6	159	2	167	3.0e-08	51.6	COG2203	GAF domain	175
2785713422	283	35	2	258	10	245	1.0e-42	166	COG1801	Uncharacterized conserved protein YecE, DUF72 family	263
2785713423	586	60.91	1	584	1	585	0.0e+00	910	COG0173	Aspartyl-tRNA synthetase	585
2785713424	146	25.74	1	135	7	141	7.0e-09	53.5	COG0494	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	161
2785713425	172	55.06	4	160	1	158	9.0e-54	202	COG0817	Holliday junction resolvasome RuvABC endonuclease subunit	160
2785713426	206	49.28	1	205	1	200	2.0e-57	215	COG0632	Holliday junction resolvasome RuvABC DNA-binding subunit	201
2785713427	334	68.88	4	334	1	331	0.0e+00	543	COG2255	Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit	332
2785713428	132	47.2	1	125	5	128	1.0e-28	118	COG0824	Acyl-CoA thioesterase FadM	137
2785713429	229	44.6	10	220	1	213	1.0e-46	180	COG0811	Biopolymer transport protein ExbB/TolQ	216
2785713430	139	50.75	4	137	7	134	2.0e-30	124	COG0848	Biopolymer transport protein ExbD	137
2785713432	451	42.47	8	450	3	425	3.0e-98	352	COG0823	Periplasmic component of the Tol biopolymer transport system	425
2785713433	188	34.55	1	188	3	188	4.0e-33	134	COG2885	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins	190
2785713434	264	34.94	16	264	18	261	6.0e-38	151	COG1729	Periplasmic TolA-binding protein (function unknown)	262
2785713438	351	46.43	9	343	3	324	4.0e-116	411	COG0379	Quinolinate synthase	324
2785713440	573	23.79	260	558	35	295	2.0e-11	64.5	COG4974	Site-specific recombinase XerD	300
2785713442	187	34.78	1	187	1	204	5.0e-23	100	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	222
2785713446	389	35.84	22	314	8	283	8.0e-57	214	COG4667	Predicted phospholipase, patatin/cPLA2 family	292
2785713447	338	26.95	1	328	1	307	3.0e-49	189	COG1893	Ketopantoate reductase	307
2785713450	119	33.33	5	118	6	127	2.0e-17	81.5	COG3324	Predicted enzyme related to lactoylglutathione lyase	127
2785713451	374	31.61	5	371	3	334	2.0e-93	336	COG0136	Aspartate-semialdehyde dehydrogenase	334
2785713452	188	35.48	4	184	3	179	5.0e-33	134	COG3038	Cytochrome b561	181
2785713453	532	35.09	346	511	5	173	2.0e-33	137	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	181
2785713456	165	24.55	1	153	50	216	8.0e-17	80.1	COG1451	Predicted metal-dependent hydrolase	223
2785713458	1013	25.44	2	1007	1	1008	0.0e+00	656	COG0841	Multidrug efflux pump subunit AcrB	1009
2785713459	362	21.39	1	356	2	366	9.0e-20	91.3	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	372
2785713460	204	23.15	1	202	2	201	5.0e-11	61.2	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2785713461	693	26.95	37	693	66	750	7.0e-73	268	COG4774	Outer membrane receptor for monomeric catechols	750
2785713462	163	19.23	4	152	11	162	4.0e-08	51.2	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	177
2785713463	1059	24.8	10	1018	1	1006	0.0e+00	532	COG0841	Multidrug efflux pump subunit AcrB	1009
2785713464	410	21.05	28	401	3	371	7.0e-19	88.6	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	372
2785713466	203	25.14	29	201	13	188	1.0e-21	96.6	COG3009	Uncharacterized lipoprotein YmbA	190
2785713467	558	33.45	9	556	2	550	9.0e-112	397	COG3008	Paraquat-inducible protein B	553
2785713468	415	39.39	44	408	19	406	2.0e-80	292	COG2995	Uncharacterized paraquat-inducible protein A	418
2785713469	544	27.43	18	538	6	479	1.0e-51	198	COG5421	Transposase	480
2785713472	526	28.92	100	265	3	157	1.0e-21	98.6	COG3436	Transposase	157
2785713473	309	23.53	51	266	23	225	1.0e-09	57.3	COG2801	Transposase InsO and inactivated derivatives	232
2785713476	935	17.13	333	935	191	699	5.0e-06	47.3	COG4771	Outer membrane receptor for ferrienterochelin and colicins	699
2785713480	321	25.93	78	266	55	225	3.0e-10	59.6	COG2801	Transposase InsO and inactivated derivatives	232
2785713482	626	32.38	251	624	29	408	2.0e-59	224	COG2871	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF	410
2785713484	544	27.43	18	538	6	479	1.0e-51	198	COG5421	Transposase	480
2785713485	465	45.18	1	465	2	435	0.0e+00	525	COG0017	Aspartyl/asparaginyl-tRNA synthetase	435
2785713487	322	42.45	1	318	8	319	4.0e-52	198	COG0530	Ca2+/Na+ antiporter	320
2785713488	495	26.69	170	490	1	318	4.0e-52	199	COG0189	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily	318
2785713489	424	25.86	48	213	12	177	3.0e-15	76.6	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	177
2785713492	421	44.09	1	421	3	442	0.0e+00	532	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	449
2785713493	374	60.9	15	324	11	320	1.0e-121	430	COG0502	Biotin synthase or related enzyme	335
2785713494	453	40.05	5	421	6	385	3.0e-102	365	COG0156	7-keto-8-aminopelargonate synthetase or related enzyme	388
2785713495	360	28.34	105	279	4	187	4.0e-19	89.2	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	238
2785713496	256	38.49	1	252	2	216	7.0e-55	207	COG0132	Dethiobiotin synthetase	223
2785713497	240	41.36	6	218	4	223	2.0e-47	182	COG3340	Peptidase E	224
2785713498	158	43.62	5	153	3	139	1.0e-36	146	COG0394	Protein-tyrosine-phosphatase	139
2785713499	325	42.11	9	325	12	333	2.0e-40	159	COG0609	ABC-type Fe3+-siderophore transport system, permease component	334
2785713500	317	32.83	65	314	1	256	1.0e-47	183	COG1120	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component	258
2785713501	447	63.9	1	446	2	445	0.0e+00	695	COG3200	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase, class II	445
2785713503	231	39.13	3	227	1	229	1.0e-47	183	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2785713504	218	29.44	4	212	3	216	1.0e-34	140	COG0569	Trk K+ transport system, NAD-binding component	225
2785713505	454	31.78	53	450	77	499	9.0e-58	218	COG0168	Trk-type K+ transport system, membrane component	499
2785713507	71	49.25	1	67	1	67	8.0e-17	78.8	COG3530	Uncharacterized conserved protein, DUF3820 family	71
2785713508	606	56.36	94	587	2	496	0.0e+00	609	COG5265	ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components	497
2785713509	322	44.31	1	322	1	322	2.0e-92	332	COG2896	Molybdenum cofactor biosynthesis enzyme MoaA	322
2785713510	175	26.71	1	160	2	160	2.0e-11	61.9	COG1670	Protein N-acetyltransferase, RimJ/RimL family	187
2785713516	469	44.59	3	462	10	472	0.0e+00	494	COG0008	Glutamyl- or glutaminyl-tRNA synthetase	472
2785713525	312	36.62	1	308	11	316	7.0e-72	264	COG0042	tRNA-dihydrouridine synthase	323
2785713528	218	27.6	37	204	11	202	2.0e-18	86.1	COG2755	Lysophospholipase L1 or related esterase	216
2785713529	232	57.01	1	219	6	226	4.0e-77	281	COG4181	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component	228
2785713530	840	33.53	5	837	4	827	0.0e+00	586	COG3127	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component	829
2785713531	298	51.36	3	295	1	293	3.0e-108	384	COG1090	NAD dependent epimerase/dehydratase family enzyme	297
2785713532	122	33.9	7	121	4	121	3.0e-21	94.1	COG1539	Dihydroneopterin aldolase	121
2785713533	346	29.77	5	341	9	354	1.0e-35	144	COG0628	Predicted PurR-regulated permease PerM	355
2785713534	443	21.41	132	440	2	328	1.0e-27	117	COG0642	Signal transduction histidine kinase	336
2785713535	224	43.61	1	221	1	226	2.0e-58	219	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2785713537	154	29.01	1	125	2	131	7.0e-17	80	COG3871	General stress protein 26 (function unknown)	145
2785713538	99	57.14	1	98	1	92	4.0e-24	103	COG2350	Uncharacterized conserved protein YciI, contains a putative active-site phosphohistidine	92
2785713539	269	46.27	1	268	1	265	3.0e-79	288	COG0159	Tryptophan synthase alpha chain	265
2785713540	393	67.1	4	392	5	393	0.0e+00	659	COG0133	Tryptophan synthase beta chain	396
2785713541	469	53.12	5	256	1	253	2.0e-77	283	COG0134	Indole-3-glycerol phosphate synthase	254
2785713542	343	47.9	6	338	6	338	1.0e-103	369	COG0547	Anthranilate phosphoribosyltransferase	338
2785713543	210	44.16	8	202	4	191	6.0e-57	213	COG0512	Anthranilate/para-aminobenzoate synthase component II	191
2785713544	578	35.41	22	565	9	462	4.0e-119	422	COG0147	Anthranilate/para-aminobenzoate synthases component I	462
2785713545	285	44.75	1	257	2	254	3.0e-54	205	COG0613	Predicted metal-dependent phosphoesterase TrpH, contains PHP domain	258
2785713546	206	41.75	2	206	1	205	1.0e-56	212	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	211
2785713547	287	41.42	49	282	1	239	8.0e-41	160	COG1354	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family	248
2785713548	197	43.41	1	181	1	178	2.0e-41	162	COG1386	Chromosome segregation and condensation protein ScpB	184
2785713549	298	49.41	1	250	1	248	6.0e-67	247	COG1187	16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases	248
2785713550	267	39.93	2	267	12	278	2.0e-80	292	COG0656	Aldo/keto reductase, related to diketogulonate reductase	280
2785713551	187	39.58	43	183	35	178	1.0e-32	133	COG0110	Acetyltransferase (isoleucine patch superfamily)	190
2785713553	164	28.57	1	140	2	116	2.0e-19	88.7	COG1393	Arsenate reductase and related proteins, glutaredoxin family	117
2785713554	428	32.86	4	426	3	414	3.0e-85	309	COG2733	Uncharacterized membrane-anchored protein YjiN, DUF445 family	415
2785713556	118	37.04	6	111	14	120	2.0e-20	91.2	COG2913	Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex	147
2785713557	561	45.99	1	559	1	556	0.0e+00	533	COG0497	DNA repair ATPase RecN	557
2785713558	169	35.71	9	161	4	156	1.0e-29	122	COG0783	DNA-binding ferritin-like protein (oxidative damage protectant)	156
2785713559	291	44.76	4	288	1	281	2.0e-71	262	COG0061	NAD kinase	281
2785713561	386	42.19	3	385	2	377	9.0e-105	374	COG1454	Alcohol dehydrogenase, class IV	377
2785713562	255	32.7	1	253	3	251	5.0e-39	154	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2785713564	473	35.17	89	468	4	368	1.0e-71	264	COG2021	Homoserine acetyltransferase	368
2785713565	431	23.71	1	431	2	442	3.0e-42	166	COG2610	H+/gluconate symporter or related permease	442
2785713566	792	20.07	40	792	23	768	1.0e-37	152	COG1629	Outer membrane receptor proteins, mostly Fe transport	768
2785713567	222	38.1	4	213	2	201	3.0e-42	165	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	211
2785713569	1171	19.71	5	480	3	475	3.0e-46	180	COG0591	Na+/proline symporter	493
2785713571	207	44.21	10	199	4	193	3.0e-42	165	COG0576	Molecular chaperone GrpE (heat shock protein)	193
2785713572	642	60.23	1	605	4	579	0.0e+00	656	COG0443	Molecular chaperone DnaK (HSP70)	579
2785713573	376	64.72	1	373	1	371	0.0e+00	512	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	371
2785713574	161	27.27	6	159	5	144	1.0e-13	69.3	COG3909	Cytochrome c556	147
2785713577	862	37.05	608	857	4	253	3.0e-63	237	COG2200	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	256
2785713578	634	37.99	44	600	1	522	0.0e+00	559	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	528
2785713579	227	36.51	1	185	2	185	2.0e-34	139	COG3658	Cytochrome b	192
2785713580	267	52.08	1	265	3	266	5.0e-86	310	COG0289	Dihydrodipicolinate reductase	266
2785713581	421	59.95	50	421	4	367	0.0e+00	580	COG0505	Carbamoylphosphate synthase small subunit	368
2785713582	1073	69.95	13	408	1	393	0.0e+00	577	COG0458	Carbamoylphosphate synthase large subunit	400
2785713583	158	51.63	6	158	1	151	7.0e-42	163	COG0782	Transcription elongation factor, GreA/GreB family	151
2785713588	149	36.11	1	142	7	145	2.0e-25	108	COG0071	Molecular chaperone IbpA, HSP20 family	146
2785713589	393	49.24	3	393	1	393	0.0e+00	493	COG0282	Acetate kinase	396
2785713590	713	54.6	391	711	1	325	1.0e-110	394	COG0280	Phosphotransacetylase	327
2785713591	432	30.88	23	432	5	405	1.0e-62	234	COG1228	Imidazolonepropionase or related amidohydrolase	406
2785713592	504	35.2	4	504	11	514	3.0e-90	326	COG0815	Apolipoprotein N-acyltransferase	518
2785713593	285	59.58	1	285	1	285	1.0e-104	373	COG4535	Mg2+ and Co2+ transporter CorC, contains CBS pair and CorC-HlyC domains	293
2785713594	158	47.18	14	154	9	150	2.0e-38	151	COG0319	ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme	153
2785713595	360	52.63	1	339	8	348	2.0e-117	415	COG1702	Phosphate starvation-inducible protein PhoH, predicted ATPase	348
2785713596	477	51.13	1	440	1	436	0.0e+00	552	COG0621	tRNA A37 methylthiotransferase MiaB	437
2785713597	399	30.67	1	398	2	385	4.0e-72	265	COG0654	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	387
2785713600	196	16.58	6	192	15	201	1.0e-09	57	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2785713601	179	21.08	7	164	3	168	8.0e-10	57.1	COG2128	Alkylhydroperoxidase family enzyme, contains CxxC motif	177
2785713602	344	30.89	6	328	3	303	2.0e-33	136	COG3547	Transposase	303
2785713606	854	19.26	21	854	10	699	3.0e-34	141	COG4771	Outer membrane receptor for ferrienterochelin and colicins	699
2785713607	185	39.74	1	151	4	154	3.0e-37	148	COG1607	Acyl-CoA hydrolase	157
2785713608	207	29.89	13	196	4	173	4.0e-28	118	COG1853	NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family	176
2785713609	114	35.42	9	104	4	99	7.0e-13	65.8	COG1733	DNA-binding transcriptional regulator, HxlR family	120
2785713610	264	35.83	9	258	4	249	7.0e-39	154	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2785713611	219	26.32	1	215	1	209	5.0e-16	78.1	COG3806	Anti-sigma factor ChrR, cupin superfamily	216
2785713612	468	50.77	1	446	3	450	0.0e+00	482	COG1115	Na+/alanine symporter	452
