seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,position_merge_note,ec_numbers
NZ_DS999537.1,P9202_RS00300,,P9202_RS00300,P9202_1054,Protein Homology,47903.0,48382.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820468.1,divergent PAP2 family protein,WP_002806876.1,,,,,P9202_1054,47903.0,48382.0,+,CK_Pro_MIT9202_01054,,,CK_00000999,"D.1.5,E.3,H.2","Phosphorus,Phosphorus metabolism,Fatty acid metabolism","COG1963,bactNOG61857,bactNOG36330,bactNOG37244,bactNOG33571,cyaNOG04757,cyaNOG03089,cyaNOG02776","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,possible phosphatidic acid phosphatase,"PF02681,IPR003832","Divergent PAP2 family,Protein of unknown function DUF212","103,177","Central intermediary metabolism / Phosphorus compounds,Fatty acid and phospholipid metabolism / Degradation",,
NZ_DS999537.1,P9202_RS07510,,P9202_RS07510,P9202_1055,Protein Homology,1377862.0,1378239.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806877.1,SaoD/DsrE family protein,WP_002806877.1,,,,,P9202_1055,1377862.0,1378239.0,+,CK_Pro_MIT9202_01055,,,CK_00042568,,,,,,,,hypothetical protein,"PF02635,IPR003787","DsrE/DsrF-like family,Sulphur relay%2C DsrE/F-like protein",,,,
NZ_DS999537.1,P9202_RS09925,,P9202_RS09925,P9202_1056,Protein Homology,419365.0,419541.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008304.1,hypothetical protein,WP_002806878.1,,,,,P9202_1056,419365.0,419541.0,-,CK_Pro_MIT9202_01056,,,CK_00045273,,,,,,,,conserved hypothetical protein,,,,,,
NZ_DS999537.1,P9202_RS04500,,P9202_RS04500,P9202_1057,Protein Homology,847264.0,848418.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862147.1,GNAT family N-acetyltransferase,WP_002806880.1,,,,,P9202_1057,847264.0,848418.0,-,CK_Pro_MIT9202_01057,,,CK_00042847,R.3,Enzymes of unknown specificity,"COG3146,bactNOG04293,cyaNOG02307","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,protein of unknown function DUF482,"PF04339,IPR007434","Peptidogalycan biosysnthesis/recognition,Peptidogalycan biosysnthesis/recognition",703,Unknown function / Enzymes of unknown specificity,,2.3.1.-
NZ_DS999537.1,tig,tig,P9202_RS03575,P9202_1058,Protein Homology,654484.0,655905.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008531.1,trigger factor,WP_002806882.1,"GO:0015031,GO:0051083,GO:0003755,GO:0051082,GO:0005854",nascent polypeptide-associated complex|0005854||IEA,"peptidyl-prolyl cis-trans isomerase activity|0003755||IEA,unfolded protein binding|0051082||IEA","protein transport|0015031||IEA,'de novo' cotranslational protein folding|0051083||IEA",P9202_1058,654484.0,655905.0,+,CK_Pro_MIT9202_01058,tig,"GO:0051083,GO:0006457,GO:0015031,GO:0009408,GO:0043335,GO:0051083,GO:0061077,GO:0065003,GO:0000413,GO:0007049,GO:0003755,GO:0051082,GO:0005515,GO:0042802,GO:0043022,GO:0044183,GO:0016853,GO:0005854",CK_00055891,L.3,Protein folding and stabilization,"COG0544,bactNOG00175,cyaNOG00477","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",5.2.1.8,peptidylprolyl isomerase%3B PPIase%3B cyclophilin [misleading%2C see comments]%3B peptide bond isomerase%3B peptidyl-prolyl cis-trans isomerase,"'de novo' cotranslational protein folding,protein folding,protein transport,response to heat,protein unfolding,'de novo' cotranslational protein folding,chaperone-mediated protein folding,protein-containing complex assembly,protein peptidyl-prolyl isomerization,cell cycle,'de novo' cotranslational protein folding,protein folding,protein transport,response to heat,protein unfolding,'de novo' cotranslational protein folding,chaperone-mediated protein folding,protein-containing complex assembly,protein peptidyl-prolyl isomerization,cell cycle,peptidyl-prolyl cis-trans isomerase activity,unfolded protein binding,protein binding,identical protein binding,ribosome binding,protein folding chaperone,isomerase activity,'de novo' cotranslational protein folding,protein folding,protein transport,response to heat,protein unfolding,'de novo' cotranslational protein folding,chaperone-mediated protein folding,protein-containing complex assembly,protein peptidyl-prolyl isomerization,cell cycle,peptidyl-prolyl cis-trans isomerase activity,unfolded protein binding,protein binding,identical protein binding,ribosome binding,protein folding chaperone,isomerase activity,nascent polypeptide-associated complex",trigger factor,"TIGR00115,PF05697,PF05698,PF00254,PS50059,IPR008881,IPR001179,IPR008880,IPR005215,IPR027304,IPR037041","trigger factor,Bacterial trigger factor protein (TF),Bacterial trigger factor protein (TF) C-terminus,FKBP-type peptidyl-prolyl cis-trans isomerase,FKBP-type peptidyl-prolyl cis-trans isomerase domain profile.,Trigger factor%2C ribosome-binding%2C bacterial,FKBP-type peptidyl-prolyl cis-trans isomerase domain,Trigger factor%2C C-terminal,Trigger factor,Trigger factor/SurA domain superfamily,Trigger factor%2C C-terminal domain superfamily",95,Protein fate / Protein folding and stabilization,,5.2.1.8
NZ_DS999537.1,pepN,pepN,P9202_RS09245,P9202_1059,Protein Homology,1679839.0,1682445.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806883.1,aminopeptidase N,WP_002806883.1,"GO:0006508,GO:0004177,GO:0008237,GO:0008270",,"aminopeptidase activity|0004177||IEA,metallopeptidase activity|0008237||IEA,zinc ion binding|0008270||IEA",proteolysis|0006508||IEA,P9202_1059,1679839.0,1682445.0,+,CK_Pro_MIT9202_01059,pepN,"GO:0006508,GO:0004177,GO:0008237,GO:0008270",CK_00001294,"D.1.9,L.4"," Other,Degradation of proteins%2C peptides%2C and glycopeptides","COG0308,bactNOG04384,bactNOG02454,bactNOG06270,cyaNOG00149","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",3.4.11.2,Transferred to 3.4.11.2,"proteolysis,proteolysis,aminopeptidase activity,metallopeptidase activity,zinc ion binding",aminopeptidase N,"TIGR02414,PF11940,PF01433,IPR024601,IPR012779,IPR014782,IPR001930","aminopeptidase N,Domain of unknown function (DUF3458) Ig-like fold,Peptidase family M1 domain,Peptidase M1%2C alanyl aminopeptidase%2C C-terminal,Peptidase M1%2C alanyl aminopeptidase,Peptidase M1%2C membrane alanine aminopeptidase,Peptidase M1%2C alanine aminopeptidase/leukotriene A4 hydrolase",138,Protein fate / Degradation of proteins%2C peptides%2C and glycopeptides,,3.4.11.2
NZ_DS999537.1,P9202_RS05865,,P9202_RS05865,P9202_1060,Protein Homology,1083242.0,1083424.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806885.1,hypothetical protein,WP_002806885.1,,,,,P9202_1060,1083242.0,1083424.0,-,CK_Pro_MIT9202_01060,,,CK_00039912,,,,,,,,Hypothetical protein,,,,,,
NZ_DS999537.1,P9202_RS00360,,P9202_RS00360,P9202_1062,Protein Homology,59799.0,60293.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806890.1,helix-turn-helix domain-containing protein,WP_002806890.1,,,,,P9202_1062,59799.0,60293.0,-,CK_Pro_MIT9202_01062,,GO:0043565,CK_00001437,N.1, DNA interactions,"COG1426,NOG42782,bactNOG56326,cyaNOG05022","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown",,,sequence-specific DNA binding,helix-turn-helix domain-containing protein,"PF13413,PS50943,IPR010982","Helix-turn-helix domain,Cro/C1-type HTH domain profile.,Lambda repressor-like%2C DNA-binding domain superfamily",261,Regulatory functions / DNA interactions,,
NZ_DS999537.1,stpA,stpA,P9202_RS07375,P9202_1063,Protein Homology,1355940.0,1357160.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862655.1,glucosylglycerol 3-phosphatase,WP_002806891.1,"GO:0006970,GO:0050530",,glucosylglycerol 3-phosphatase activity|0050530||IEA,response to osmotic stress|0006970||IEA,P9202_1063,1355940.0,1357160.0,-,CK_Pro_MIT9202_01063,ggpP,GO:0050530,CK_00001282,H.3,Glycerolipid metabolism,"NOG45088,COG0464,COG3451,COG0016,COG0144,COG0312,bactNOG58459,cyaNOG01731","COG: POORLY CHARACTERIZED [R] General function prediction only,COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,COG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",3.1.3.69,glucosylglycerol 3-phosphatase%3B salt tolerance protein A%3B StpA%3B 2-(beta-D-glucosyl)-sn-glycerol-3-phosphate phosphohydrolase (incorrect),glucosylglycerol 3-phosphatase activity,glucosylglycerol 3-phosphatase,"TIGR02399,PF09506,IPR012765","glucosylglycerol 3-phosphatase,Glucosylglycerol-phosphate phosphatase (Salt_tol_Pase),Glucosylglycerol-phospate 3-phosphatase",121,Fatty acid and phospholipid metabolism / Other,,3.1.3.69
NZ_DS999537.1,P9202_RS07630,,P9202_RS07630,P9202_1064,Protein Homology,1399549.0,1400052.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818178.1,uracil-DNA glycosylase,WP_002806893.1,"GO:0006281,GO:0004844,GO:0046872,GO:0051539",,"uracil DNA N-glycosylase activity|0004844||IEA,metal ion binding|0046872||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA",DNA repair|0006281||IEA,P9202_1064,1399549.0,1400052.0,+,CK_Pro_MIT9202_01064,,"GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0004844,GO:0005515,GO:0016787,GO:0016798,GO:0016799",CK_00000859,F.1.1,Base excision repair,"COG1573,bactNOG19994,bactNOG71148,bactNOG09110,cyaNOG00342","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",3.2.2.27,uracil-DNA glycosylase%3B UdgB (ambiguous)%3B uracil-DNA N-glycosylase%3B UDG (ambiguous)%3B uracil DNA glycohydrolase,"DNA repair,base-excision repair,cellular response to DNA damage stimulus,metabolic process,DNA repair,base-excision repair,cellular response to DNA damage stimulus,metabolic process,uracil DNA N-glycosylase activity,protein binding,hydrolase activity,hydrolase activity%2C acting on glycosyl bonds,hydrolase activity%2C hydrolyzing N-glycosyl compounds",uracil-DNA glycosylase,"TIGR00758,PF03167,IPR005273,IPR005122","uracil-DNA glycosylase%2C family 4,Uracil DNA glycosylase superfamily,Uracil-DNA glycosylase family 4,Uracil-DNA glycosylase-like",132,DNA metabolism / DNA replication%2C recombination%2C and repair,,3.2.2.27
NZ_DS999537.1,P9202_RS00110,,P9202_RS00110,P9202_1065,Protein Homology,13439.0,14512.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806894.1,WD40 repeat domain-containing protein,WP_002806894.1,,,,,P9202_1065,13439.0,14512.0,+,CK_Pro_MIT9202_01065,,GO:0005515,CK_00002334,R.2,Conserved hypothetical proteins,"COG2319,bactNOG96303,bactNOG26439,bactNOG01971,bactNOG71317,cyaNOG03232,cyaNOG07785,cyaNOG00923,cyaNOG03891","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,protein binding,WD40-repeat-containing protein,"PF00400,PF12894,PS00678,PS50082,PS50294,IPR001680,IPR019775,IPR017986,IPR015943,IPR036322","WD domain%2C G-beta repeat,Anaphase-promoting complex subunit 4 WD40 domain,Trp-Asp (WD) repeats signature.,Trp-Asp (WD) repeats profile.,Trp-Asp (WD) repeats circular profile.,WD40 repeat,WD40 repeat%2C conserved site,WD40-repeat-containing domain,WD40/YVTN repeat-like-containing domain superfamily,WD40-repeat-containing domain superfamily",157,Unknown function / General,,
NZ_DS999537.1,P9202_RS02205,,P9202_RS02205,P9202_1066,Protein Homology,403126.0,404724.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806895.1,ArnT family glycosyltransferase,WP_002806895.1,GO:0016757,,glycosyltransferase activity|0016757||IEA,,P9202_1066,403126.0,404724.0,+,CK_Pro_MIT9202_01066,,,CK_00057397,R.3,Enzymes of unknown specificity,,,,,,dolichyl-phosphate-mannose-mannosyltransferase family protein,PF13231,Dolichyl-phosphate-mannose-protein mannosyltransferase,703,Unknown function / Enzymes of unknown specificity,,2.4.-.-
NZ_DS999537.1,P9202_RS05520,,P9202_RS05520,P9202_1067,Protein Homology,1029256.0,1031664.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375868.1,UvrD-helicase domain-containing protein,WP_002806896.1,GO:0005524,,ATP binding|0005524||IEA,,P9202_1067,1029256.0,1031664.0,-,CK_Pro_MIT9202_01067,uvrD,"GO:0006281,GO:0003677",CK_00000116,F.1.2,Nucleotide excision repair,"COG0210,bactNOG01073,cyaNOG00521","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",3.6.4.12,DNA helicase%3B 3' to 5' DNA helicase%3B 3'-5' DNA helicase%3B 3'-5' PfDH%3B 5' to 3' DNA helicase%3B AvDH1%3B BACH1 helicase%3B BcMCM%3B BLM protein%3B BRCA1-associated C-terminal helicase%3B CeWRN-1%3B Dbp9p%3B DmRECQ5%3B DNA helicase 120%3B DNA helicase A%3B DNA helicase E%3B DNA helicase II%3B DNA helicase III%3B DNA helicase RECQL5beta%3B DNA helicase VI%3B dnaB%3B DnaB helicase E1%3B helicase HDH IV%3B Hel E%3B helicase DnaB%3B helicase domain of bacteriophage T7 gene 4 protein helicase%3B PcrA helicase%3B UvrD%3B hHcsA%3B Hmi1p%3B hPif1%3B MCM helicase%3B MCM protein%3B MER3 helicase%3B MER3 protein%3B MPH1%3B PcrA%3B PcrA helicase%3B PDH120%3B PfDH A%3B Pfh1p%3B PIF1,"DNA repair,DNA repair,DNA binding",DNA-dependent ATPase I and helicase II,"PF13361,PF00580,PS51217,PS51198,IPR014017,IPR014016","UvrD-like helicase C-terminal domain,UvrD/REP helicase N-terminal domain,UvrD-like DNA helicase C-terminal domain profile.,UvrD-like DNA helicase ATP-binding domain profile.,UvrD-like DNA helicase%2C C-terminal,UvrD-like helicase%2C ATP-binding domain",132,DNA metabolism / DNA replication%2C recombination%2C and repair,,
NZ_DS999537.1,ureG,ureG,P9202_RS08305,P9202_1068,Protein Homology,1513552.0,1514163.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007630.1,urease accessory protein UreG,WP_002806897.1,"GO:0019627,GO:0003924,GO:0016530,GO:0046872",,"GTPase activity|0003924||IEA,metallochaperone activity|0016530||IEA,metal ion binding|0046872||IEA",urea metabolic process|0019627||IEA,P9202_1068,1513552.0,1514163.0,-,CK_Pro_MIT9202_01068,ureG,"GO:0019627,GO:0006807,GO:0016530,GO:0046872,GO:0003924,GO:0016151",CK_00001364,"D.1.3,D.4,E.4","Nitrogen,Chaperones,Nitrogen metabolism","COG0378,bactNOG01690,bactNOG85307,cyaNOG01845,cyaNOG01357","COG: OK,bactNOG: O,bactNOG: O,cyaNOG: O,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",,,"urea metabolic process,nitrogen compound metabolic process,urea metabolic process,nitrogen compound metabolic process,metallochaperone activity,metal ion binding,GTPase activity,nickel cation binding",urease accessory protein UreG,"TIGR00101,PF02492,IPR003495,IPR004400","urease accessory protein UreG,CobW/HypB/UreG%2C nucleotide-binding domain,CobW/HypB/UreG%2C nucleotide-binding domain,Urease accessory protein UreG",160,Central intermediary metabolism / Nitrogen metabolism,,
NZ_DS999537.1,P9202_RS00730,,P9202_RS00730,P9202_1069,Protein Homology,129972.0,130187.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806899.1,DUF2839 family protein,WP_002806899.1,,,,,P9202_1069,129972.0,130187.0,-,CK_Pro_MIT9202_01069,,,CK_00039108,R.2,Conserved hypothetical proteins,,,,,,uncharacterized conserved membrane protein (DUF2839),"PF10999,IPR021262","Protein of unknown function (DUF2839),Protein of unknown function DUF2839",156,Hypothetical proteins / Conserved,,
NZ_DS999537.1,P9202_RS03550,,P9202_RS03550,P9202_1070,Protein Homology,648512.0,649288.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806900.1,DUF561 domain-containing protein,WP_002806900.1,,,,,P9202_1070,648512.0,649288.0,-,CK_Pro_MIT9202_01070,ycf23,,CK_00000318,R.2,Conserved hypothetical proteins,"NOG10863,COG0294,COG0413,COG0007,COG2070,bactNOG16395,cyaNOG01204","COG: POORLY CHARACTERIZED [R] General function prediction only,COG: METABOLISM [H] Coenzyme transport and metabolism,COG: METABOLISM [H] Coenzyme transport and metabolism,COG: METABOLISM [H] Coenzyme transport and metabolism,COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,,uncharacterized conserved TIM barrel-containing protein (Ycf23),"PF04481,IPR007570,IPR013785","Protein of unknown function (DUF561),Uncharacterised protein family Ycf23,Aldolase-type TIM barrel",156,Hypothetical proteins / Conserved,,
NZ_DS999537.1,P9202_RS02800,,P9202_RS02800,P9202_1071,Protein Homology,512224.0,513159.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806901.1,methyltransferase domain-containing protein,WP_002806901.1,GO:0008757,,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,,P9202_1071,512224.0,513159.0,-,CK_Pro_MIT9202_01071,APG1,"GO:0010236,GO:0051741",CK_00000491,B.2, Plastoquinone%2C menaquinone and ubiquinone,"COG0500,COG2227,COG2226,bactNOG06579,bactNOG04603,bactNOG41853,bactNOG38901,bactNOG02368,cyaNOG00940,cyaNOG01584","COG: QR,COG: METABOLISM [H] Coenzyme transport and metabolism,COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,bactNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,bactNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,bactNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,bactNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,cyaNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,cyaNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism",2.1.1.295,2-methyl-6-phytyl-1%2C4-hydroquinone methyltransferase%3B VTE3 (gene name)%3B 2-methyl-6-solanyl-1%2C4-hydroquinone methyltransferase%3B MPBQ/MSBQ methyltransferase%3B MPBQ/MSBQ MT,"plastoquinone biosynthetic process,plastoquinone biosynthetic process,2-methyl-6-phytyl-1%2C4-benzoquinone methyltransferase activity",2-methyl-6-phytylbenzoquinone methyltransferase,"PF08241,PS51581,IPR013216,IPR025774","Methyltransferase domain,SAM-dependent methyltransferase gamma-tocopherol (gTMT)-type family profile.,Methyltransferase type 11,SAM-dependent methyltransferase gTMT-type",81,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Menaquinone and ubiquinone,,
NZ_DS999537.1,P9202_RS09695,,P9202_RS09695,P9202_1072,Protein Homology,798262.0,798399.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806908.1,hypothetical protein,WP_002806908.1,,,,,P9202_1072,798262.0,798399.0,+,CK_Pro_MIT9202_01072,,,CK_00003913,R.2,Conserved hypothetical proteins,,,,,,uncharacterized conserved membrane protein,,,156,Hypothetical proteins / Conserved,,
NZ_DS999537.1,rimM,rimM,P9202_RS03325,P9202_1074,Protein Homology,604220.0,604759.0,+,Essential for efficient processing of 16S rRNA,,COORDINATES: similar to AA sequence:RefSeq:WP_012008490.1,ribosome maturation factor RimM,WP_002806910.1,"GO:0006364,GO:0043022,GO:0005840",ribosome|0005840||IEA,ribosome binding|0043022||IEA,rRNA processing|0006364||IEA,P9202_1074,604220.0,604759.0,+,CK_Pro_MIT9202_01074,rimM,"GO:0000028,GO:0006364,GO:0030490,GO:0042254,GO:0042274,GO:0003723,GO:0005515,GO:0043022,GO:0019843,GO:0005840",CK_00000287,P.4,RNA processing,"COG0806,bactNOG36375,bactNOG29671,bactNOG29605,bactNOG45956,bactNOG46601,cyaNOG03428","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",,,"ribosomal small subunit assembly,rRNA processing,maturation of SSU-rRNA,ribosome biogenesis,ribosomal small subunit biogenesis,ribosomal small subunit assembly,rRNA processing,maturation of SSU-rRNA,ribosome biogenesis,ribosomal small subunit biogenesis,RNA binding,protein binding,ribosome binding,rRNA binding,ribosomal small subunit assembly,rRNA processing,maturation of SSU-rRNA,ribosome biogenesis,ribosomal small subunit biogenesis,RNA binding,protein binding,ribosome binding,rRNA binding,ribosome",16S rRNA processing protein RimM,"TIGR02273,PF01782,IPR002676,IPR011961","16S rRNA processing protein RimM,RimM N-terminal domain,RimM%2C N-terminal,16S rRNA processing protein RimM",166,Transcription / RNA processing,,
NZ_DS999537.1,tsaE,tsaE,P9202_RS03430,P9202_1075,Protein Homology,623801.0,624238.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863726.1,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,WP_002806911.1,GO:0002949,,,tRNA threonylcarbamoyladenosine modification|0002949||IEA,P9202_1075,623801.0,624238.0,+,CK_Pro_MIT9202_01075,tsaE,"GO:0006400,GO:0070526,GO:0016887,GO:0005737",CK_00000304,K.3,tRNA and rRNA base modification,"COG0802,bactNOG43740,bactNOG33524,bactNOG22508,bactNOG31527,bactNOG30399,cyaNOG03555","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,"tRNA modification,tRNA threonylcarbamoyladenosine modification,tRNA modification,tRNA threonylcarbamoyladenosine modification,ATPase activity,tRNA modification,tRNA threonylcarbamoyladenosine modification,ATPase activity,cytoplasm",tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,"TIGR00150,PF02367,IPR003442","tRNA threonylcarbamoyl adenosine modification protein YjeE,Threonylcarbamoyl adenosine biosynthesis protein TsaE,tRNA threonylcarbamoyl adenosine modification protein TsaE",168,Protein synthesis / tRNA and rRNA base modification,,
NZ_DS999537.1,larC,larC,P9202_RS06610,P9202_1076,Protein Homology,1210131.0,1211363.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007311.1,nickel pincer cofactor biosynthesis protein LarC,WP_002806913.1,,,,,P9202_1076,1210131.0,1211363.0,+,CK_Pro_MIT9202_01076,larC,"GO:0006529,GO:0004066,GO:0016783",CK_00000638,B.11,Other,"COG1641,bactNOG02019,cyaNOG00284","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",4.99.1.12,pyridinium-3%2C5-bisthiocarboxylic acid mononucleotide nickel chelatase%3B LarC%3B P2TMN nickel chelatase,"asparagine biosynthetic process,asparagine biosynthetic process,asparagine synthase (glutamine-hydrolyzing) activity,sulfurtransferase activity",possible pyridinium-3%2C5-bisthiocarboxylic acid mononucleotide nickel chelatase,"TIGR00299,PF01969,IPR002822,IPR035108","TIGR00299 family protein,Protein of unknown function DUF111,Nickel insertion protein,Description not found.",69,Amino acid biosynthesis / Other,,4.99.1.12
