GID,SYMBOL,KID,KO,PRODUCT,uniprot_acc,uniprot_def,ec_num,start_pos,pos,length
PMT9312_0373,PMT9312_0373,pmi:PMT9312_0373,,endonuclease,Q31CG1,Endonuclease.,,350974,350974..353700,908
PMT9312_0374,PMT9312_0374,pmi:PMT9312_0374,,hypothetical protein,Q31CG0,Hypothetical protein.,,353755,353755..354747,330
PMT9312_0375,PMT9312_0375,pmi:PMT9312_0375,,hypothetical protein,Q31CF9,Hypothetical protein.,,354755,354755..356677,640
PMT9312_0376,PMT9312_0376,pmi:PMT9312_0376,,hypothetical protein,Q31CF8,Hypothetical protein.,,356684,356684..357577,297
PMT9312_0377,PMT9312_0377,pmi:PMT9312_0377,,hypothetical protein,Q31CF7,Hypothetical protein.,,357580,357580..358449,289
PMT9312_0378,PMT9312_0378,pmi:PMT9312_0378,K00558,DNA-cytosine methyltransferase,Q31CF6,DNA-cytosine methyltransferase.,2.1.1.37,358468,complement(358468..360528),686
PMT9312_0379,PMT9312_0379,pmi:PMT9312_0379,,hypothetical protein,Q31CF5,Hypothetical protein.,,360525,complement(360525..361238),237
PMT9312_0380,PMT9312_0380,pmi:PMT9312_0380,,hypothetical protein,Q31CF4,Hypothetical protein.,,361235,complement(361235..362266),343
PMT9312_0381,PMT9312_0381,pmi:PMT9312_0381,,hypothetical protein,Q31CF3,Hypothetical protein.,,362269,complement(362269..364233),654
PMT9312_0382,PMT9312_0382,pmi:PMT9312_0382,,putative site-specific integrase/recombinase,Q31CF2,Putative site-specific integrase/recombinase.,,364398,complement(364398..365012),204
PMT9312_R0014,tRNA-Thr2,pmi:PMT9312_R0014,,tRNA-Thr,,,,365504,complement(365504..365575),
PMT9312_R0015,tRNA-Tyr1,pmi:PMT9312_R0015,,tRNA-Tyr,,,,365586,complement(365586..365667),
PMT9312_0383,PMT9312_0383,pmi:PMT9312_0383,K03786,"3-dehydroquinate dehydratase, type II",Q31CF1,"3-dehydroquinate dehydratase, type II (EC 4.2.1.10).",4.2.1.10,365710,365710..366210,166
PMT9312_0384,PMT9312_0384,pmi:PMT9312_0384,K06169,putative tRNA-(MS(2)IO(6)A)-hydroxylase,Q31CF0,Putative tRNA-(MS(2)IO(6)A)-hydroxylase.,1.-.-.-,366211,366211..366819,202
PMT9312_0385,PMT9312_0385,pmi:PMT9312_0385,K03394,precorrin-2 C20-methyltransferase,Q31CE9,Precorrin-2 C20-methyltransferase.,2.1.1.130 2.1.1.151,366841,366841..367596,251
PMT9312_0386,PMT9312_0386,pmi:PMT9312_0386,,hypothetical protein,Q31CE8,Hypothetical protein.,,367596,367596..368081,161
PMT9312_0387,PMT9312_0387,pmi:PMT9312_0387,K03977,small GTP-binding protein domain,Q31CE7,Small GTP-binding protein domain.,,368156,368156..369529,457
PMT9312_0388,PMT9312_0388,pmi:PMT9312_0388,K02008,cobalt transport protein-like,Q31CE6,Cobalt transport protein-like.,,369529,369529..370443,304
PMT9312_0389,pipX,pmi:PMT9312_0389,,PII interaction protein X,Q31CE5,Hypothetical protein.,,370462,370462..370728,88
PMT9312_0390,PMT9312_0390,pmi:PMT9312_0390,K06997,protein of unknown function UPF0001,Q31CE4,Hypothetical protein.,,370732,370732..371367,211
PMT9312_0391,PMT9312_0391,pmi:PMT9312_0391,K09772,hypothetical protein,Q31CE3,Hypothetical protein.,,371518,371518..372093,191
PMT9312_0392,PMT9312_0392,pmi:PMT9312_0392,K00286,pyrroline-5-carboxylate reductase,Q31CE2,Pyrroline-5-carboxylate reductase (EC 1.5.1.2).,1.5.1.2,372101,372101..372913,270
PMT9312_0393,PMT9312_0393,pmi:PMT9312_0393,,"glycosyl transferase, group 1-like",Q31CE1,"Glycosyl transferase, group 1-like.",,372910,complement(372910..374076),388
PMT9312_0394,recO,pmi:PMT9312_0394,K03584,DNA repair protein RecO,Q31CE0,DNA repair protein RecO.,,374161,complement(374161..374946),261
PMT9312_0395,PMT9312_0395,pmi:PMT9312_0395,K01619,putative deoxyribose-phosphate aldolase,Q31CD9,Putative deoxyribose-phosphate aldolase.,4.1.2.4,374947,complement(374947..375606),219
PMT9312_0396,PMT9312_0396,pmi:PMT9312_0396,,putative sigma 54 modulation protein/ribosomal protein S30EA,Q31CD8,Putative sigma 54 modulation protein/ribosomal protein S30EA.,,375619,complement(375619..376203),194
PMT9312_0397,PMT9312_0397,pmi:PMT9312_0397,K03801,lipoate-protein ligase B,Q31CD7,Lipoyltransferase (EC 2.3.1.-) (Lipoyl-[acyl-carrier-protein]-protein- N-lipoyltransferase) (Lipoate-protein ligase B).,2.3.1.181,376248,376248..376898,216
PMT9312_0398,PMT9312_0398,pmi:PMT9312_0398,K01897,putative long-chain-fatty-acid--CoA ligase,Q31CD6,Putative long-chain-fatty-acid--CoA ligase.,6.2.1.3,376926,376926..378869,647
PMT9312_0399,PMT9312_0399,pmi:PMT9312_0399,,hypothetical protein,Q31CD5,Hypothetical protein.,,378908,378908..379351,147
PMT9312_0400,PMT9312_0400,pmi:PMT9312_0400,K00627,dihydrolipoamide acetyltransferase component (E2) and related enzymes,Q31CD4,Dihydrolipoamide acetyltransferase component (E2) and related enzymes.,2.3.1.12,379566,379566..380933,455
PMT9312_0401,PMT9312_0401,pmi:PMT9312_0401,K07568,queuosine biosynthesis protein,Q31CD3,Queuosine biosynthesis protein.,5.-.-.-,380940,380940..382076,378
PMT9312_0402,PMT9312_0402,pmi:PMT9312_0402,K01738,cysteine synthase A,Q31CD2,Cysteine synthase A.,2.5.1.47,382066,complement(382066..383052),328
PMT9312_0403,PMT9312_0403,pmi:PMT9312_0403,K01739,cystathionine gamma-synthase-like,Q31CD1,Cystathionine gamma-synthase-like.,2.5.1.48,383137,complement(383137..384606),489
PMT9312_0404,PMT9312_0404,pmi:PMT9312_0404,K01739,cystathionine gamma-lyase,Q31CD0,Cystathionine gamma-lyase (EC 4.4.1.1).,2.5.1.48,384610,complement(384610..385773),387
PMT9312_0405,PMT9312_0405,pmi:PMT9312_0405,K02986,ribosomal protein S4,Q31CC9,30S ribosomal protein S4.,,385850,complement(385850..386458),202
PMT9312_0406,PMT9312_0406,pmi:PMT9312_0406,K08998,protein of unknown function DUF37,Q31CC8,Hypothetical protein.,,386599,386599..386790,63
PMT9312_0407,PMT9312_0407,pmi:PMT9312_0407,,hypothetical protein,Q31CC7,Hypothetical protein.,,386795,386795..387097,100
PMT9312_0408,PMT9312_0408,pmi:PMT9312_0408,K01928,UDP-N-acetylmuramyl-tripeptide synthetases,Q31CC6,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (UDP-N-acetylmuramyl-tripeptide synthetase) (Meso- diaminopimelate-adding enzyme) (UDP-MurNAc-tripeptide synthetase).",6.3.2.13,387107,387107..388642,511
PMT9312_0409,PMT9312_0409,pmi:PMT9312_0409,,putative short chain dehydrogenase,Q31CC5,Putative short chain dehydrogenase precursor.,,388724,388724..389428,234
PMT9312_0410,PMT9312_0410,pmi:PMT9312_0410,K11325,putative L-cysteine/cystine lyase,Q31CC4,Putative L-cysteine/cystine lyase.,,389459,complement(389459..390634),391
PMT9312_0411,PMT9312_0411,pmi:PMT9312_0411,,hypothetical protein,Q31CC3,Hypothetical protein.,,390671,complement(390671..391465),264
PMT9312_0412,PMT9312_0412,pmi:PMT9312_0412,,hypothetical protein,Q31CC2,Hypothetical protein.,,391542,complement(391542..391733),63
PMT9312_0413,PMT9312_0413,pmi:PMT9312_0413,,hypothetical protein,Q31CC1,Hypothetical protein.,,391971,391971..392228,85
PMT9312_0414,PMT9312_0414,pmi:PMT9312_0414,,NifU-like protein,Q31CC0,NifU-like protein.,,392250,complement(392250..392495),81
PMT9312_0415,PMT9312_0415,pmi:PMT9312_0415,K00116,malate dehydrogenase (acceptor),Q31CB9,Malate dehydrogenase (Acceptor) (EC 1.1.99.16).,1.1.5.4,392566,392566..394062,498
PMT9312_0416,lepA,pmi:PMT9312_0416,K03596,GTP-binding protein LepA,Q31CB8,GTP-binding protein LepA.,,394118,394118..395926,602
PMT9312_0417,PMT9312_0417,pmi:PMT9312_0417,K02034,"putative ABC transporter, oligopeptides",Q31CB7,"Putative ABC transporter, oligopeptides.",,396030,396030..396851,273
PMT9312_0418,PMT9312_0418,pmi:PMT9312_0418,K00556,tRNA (guanosine-2'-O-)-methyltransferase,Q31CB6,TRNA (Guanosine-2'-O-)-methyltransferase (EC 2.1.1.34).,2.1.1.34,396854,complement(396854..397525),223
PMT9312_0419,PMT9312_0419,pmi:PMT9312_0419,,hypothetical protein,Q31CB5,Hypothetical protein.,,397623,397623..397826,67
PMT9312_0420,PMT9312_0420,pmi:PMT9312_0420,,hypothetical protein,Q31CB4,Hypothetical protein.,,398023,398023..398415,130
PMT9312_0421,PMT9312_0421,pmi:PMT9312_0421,,hypothetical protein,Q31CB3,Hypothetical protein.,,398418,398418..398654,78
PMT9312_0422,PMT9312_0422,pmi:PMT9312_0422,,hypothetical protein,Q31CB2,Hypothetical protein.,,398658,398658..398783,41
PMT9312_0423,PMT9312_0423,pmi:PMT9312_0423,K06876,hypothetical protein,Q31CB1,Hypothetical protein.,,398786,398786..400276,496
PMT9312_0424,PMT9312_0424,pmi:PMT9312_0424,,protein family PM-15,Q31CB0,Protein family PM-15.,,400381,400381..400560,59
PMT9312_0425,PMT9312_0425,pmi:PMT9312_0425,K03500,sun protein,Q31CA9,Sun protein.,2.1.1.-,400774,400774..402090,438
PMT9312_0426,PMT9312_0426,pmi:PMT9312_0426,,putative penicillin binding protein,Q31CA8,Putative penicillin binding protein precursor.,,402100,complement(402100..403869),589
PMT9312_0427,chlG,pmi:PMT9312_0427,K04040,chlorophyll a synthase,Q31CA7,"Chlorophyll synthase, ChlG.",2.5.1.62,403871,complement(403871..404818),315
PMT9312_0428,PMT9312_0428,pmi:PMT9312_0428,,hypothetical protein,Q31CA6,Hypothetical protein.,,404827,complement(404827..405051),74
PMT9312_0429,PMT9312_0429,pmi:PMT9312_0429,K02500,"imidazoleglycerol phosphate synthase, cyclase subunit",Q31CA5,Imidazole glycerol phosphate synthase subunit hisF (EC 4.1.3.-) (IGP synthase cyclase subunit) (IGP synthase subunit hisF) (ImGP synthase subunit hisF) (IGPS subunit hisF).,4.1.3.-,405111,405111..405881,256
PMT9312_0430,PMT9312_0430,pmi:PMT9312_0430,K03183,ubiquinone/menaquinone biosynthesis methyltransferases,Q31CA4,Ubiquinone/menaquinone biosynthesis methyltransferases.,2.1.1.-,405922,405922..406623,233
PMT9312_0431,PMT9312_0431,pmi:PMT9312_0431,,hypothetical protein,Q31CA3,Hypothetical protein.,,406636,complement(406636..407094),152
PMT9312_0432,PMT9312_0432,pmi:PMT9312_0432,K03524,biotin--acetyl-CoA-carboxylase ligase,Q31CA2,Biotin--acetyl-CoA-carboxylase ligase.,6.3.4.15,407194,407194..407943,249
PMT9312_0433,PMT9312_0433,pmi:PMT9312_0433,K02003,ATPase,Q31CA1,ATPase.,,407946,complement(407946..408632),228
PMT9312_0434,ndhB,pmi:PMT9312_0434,K05573,"proton-translocating NADH-quinone oxidoreductase, chain N",Q31CA0,"Proton-translocating NADH-quinone oxidoreductase, chain N (EC 1.6.99.5).",1.6.5.3,408652,complement(408652..410172),506
PMT9312_0435,PMT9312_0435,pmi:PMT9312_0435,K03168,DNA topoisomerase I,Q31C99,DNA topoisomerase I (EC 5.99.1.2).,5.99.1.2,410348,410348..412954,868
PMT9312_0436,PMT9312_0436,pmi:PMT9312_0436,,hypothetical protein,Q31C98,Hypothetical protein precursor.,,412959,412959..413579,206
PMT9312_0437,PMT9312_0437,pmi:PMT9312_0437,,hypothetical protein,Q31C97,Hypothetical protein.,,413602,413602..414240,212
PMT9312_0438,PMT9312_0438,pmi:PMT9312_0438,,hypothetical protein,Q31C96,Hypothetical protein.,,414254,414254..415411,385
PMT9312_0439,PMT9312_0439,pmi:PMT9312_0439,,hypothetical protein,Q31C95,Hypothetical protein.,,415412,415412..416410,332
PMT9312_0440,PMT9312_0440,pmi:PMT9312_0440,,aldo/keto reductase family,Q31C94,Aldo/keto reductase family.,,416399,complement(416399..417541),380
PMT9312_0441,PMT9312_0441,pmi:PMT9312_0441,K00793,"riboflavin synthase, alpha subunit",Q31C93,"Riboflavin synthase, alpha subunit.",2.5.1.9,417654,417654..418307,217
PMT9312_0442,abrB,pmi:PMT9312_0442,,transcriptional regulator AbrB,Q31C92,Transcriptional regulator AbrB.,,418318,complement(418318..418671),117
PMT9312_0443,PMT9312_0443,pmi:PMT9312_0443,K02276,"cytochrome c oxidase, subunit III",Q31C91,"Cytochrome c oxidase, subunit III.",1.9.3.1,418772,complement(418772..419374),200
PMT9312_0444,PMT9312_0444,pmi:PMT9312_0444,K02274,cytochrome-c oxidase,Q31C90,Cytochrome-c oxidase (EC 1.9.3.1).,1.9.3.1,419381,complement(419381..421006),541
PMT9312_0445,PMT9312_0445,pmi:PMT9312_0445,K02275,"putative cytochrome c oxidase, subunit 2",Q31C89,Cytochrome c oxidase polypeptide II (Cytochrome aa3 subunit 2).,1.9.3.1,421003,complement(421003..421806),267
PMT9312_0446,PMT9312_0446,pmi:PMT9312_0446,K02259,cytochrome c oxidase subunit XV assembly protein,Q31C88,Cytochrome c oxidase subunit XV assembly protein precursor.,,422069,422069..422995,308
PMT9312_0447,PMT9312_0447,pmi:PMT9312_0447,K02301,protoheme IX farnesyltransferase,Q31C87,Protoheme IX farnesyltransferase.,2.5.1.-,422992,422992..423993,333
PMT9312_0448,PMT9312_0448,pmi:PMT9312_0448,K09687,ATPase,Q31C86,ATPase.,,424031,424031..425047,338
PMT9312_0449,PMT9312_0449,pmi:PMT9312_0449,K09686,putative multidrug efflux ABC transporter,Q31C85,Putative multidrug efflux ABC transporter.,,425096,425096..425920,274
PMT9312_0450,PMT9312_0450,pmi:PMT9312_0450,,arenavirus glycoprotein-like,Q31C84,Arenavirus glycoprotein-like.,,425928,425928..426317,129
PMT9312_0451,PMT9312_0451,pmi:PMT9312_0451,K04077,chaperonin Cpn60/TCP-1,Q31C83,60 kDa chaperonin (Protein Cpn60) (groEL protein).,,426322,complement(426322..428076),584
PMT9312_0452,PMT9312_0452,pmi:PMT9312_0452,,hypothetical protein,Q31C82,Hypothetical protein.,,428208,428208..428387,59
PMT9312_0453,PMT9312_0453,pmi:PMT9312_0453,K00059,3-oxoacyl-(acyl-carrier-protein) reductase,Q31C81,3-oxoacyl-(Acyl-carrier-protein) reductase.,1.1.1.100,428388,complement(428388..429137),249
PMT9312_0454,PMT9312_0454,pmi:PMT9312_0454,K00991,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Q31C80,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT).,2.7.7.60,429230,429230..429910,226
PMT9312_0455,PMT9312_0455,pmi:PMT9312_0455,,hypothetical protein,Q31C79,Hypothetical protein.,,429907,complement(429907..430776),289
PMT9312_0456,PMT9312_0456,pmi:PMT9312_0456,K03179,putative 4-hydroxybenzoate-octaprenyltransferase,Q31C78,Putative 4-hydroxybenzoate-octaprenyltransferase.,2.5.1.-,430786,complement(430786..431694),302
PMT9312_0457,PMT9312_0457,pmi:PMT9312_0457,K01514,putative exopolyphosphatase,Q31C77,Putative exopolyphosphatase.,3.6.1.11,431799,431799..433394,531
PMT9312_0458,PMT9312_0458,pmi:PMT9312_0458,,hypothetical protein,Q31C76,Hypothetical protein.,,433391,complement(433391..433891),166
PMT9312_0459,PMT9312_0459,pmi:PMT9312_0459,K05936,precorrin-4 C11-methyltransferase,Q31C75,Precorrin-4 C11-methyltransferase (EC 2.1.1.133).,2.1.1.133,433938,complement(433938..434693),251
PMT9312_0460,PMT9312_0460,pmi:PMT9312_0460,K13292,prolipoprotein diacylglyceryl transferase,Q31C74,Prolipoprotein diacylglyceryl transferase.,2.-.-.-,434686,complement(434686..435579),297
PMT9312_0461,PMT9312_0461,pmi:PMT9312_0461,K02634,cytochrome f,Q31C73,Cytochrome F precursor.,,435592,complement(435592..436545),317
PMT9312_0462,PMT9312_0462,pmi:PMT9312_0462,K02636,twin-arginine translocation pathway signal,Q31C72,Twin-arginine translocation pathway signal.,1.10.99.1,436549,complement(436549..437085),178
PMT9312_0463,PMT9312_0463,pmi:PMT9312_0463,,hypothetical protein,Q31C71,Hypothetical protein.,,437209,437209..437526,105
PMT9312_0464,tatC,pmi:PMT9312_0464,K03118,sec-independent protein translocase TatC,Q31C70,Sec-independent protein translocase TatC.,,437495,complement(437495..438211),238
PMT9312_0465,PMT9312_0465,pmi:PMT9312_0465,,hypothetical protein,Q31C69,Hypothetical protein.,,438335,complement(438335..438595),86
PMT9312_0466,PMT9312_0466,pmi:PMT9312_0466,,secreted protein MPB70 precursor-like,Q31C68,Secreted protein MPB70-like.,,438625,complement(438625..440325),566
PMT9312_0467,PMT9312_0467,pmi:PMT9312_0467,K00942,guanylate kinase,Q31C67,Guanylate kinase (EC 2.7.4.8).,2.7.4.8,440400,440400..440954,184
PMT9312_0468,psaJ,pmi:PMT9312_0468,K02697,photosystem I PsaJ protein (subunit IX),Q31C66,Photosystem I PsaJ protein (Subunit IX).,,440970,complement(440970..441104),44
PMT9312_0469,psaF,pmi:PMT9312_0469,K02694,photosystem I PsaF protein (subunit III),Q31C65,Photosystem I PsaF protein (Subunit III) precursor.,,441134,complement(441134..441688),184
PMT9312_0470,PMT9312_0470,pmi:PMT9312_0470,K01409,"metalloendopeptidase, putative, glycoprotease family",Q31C64,"Metalloendopeptidase, putative, glycoprotease family (EC 3.4.24.57).",3.4.24.57,441763,441763..442833,356
PMT9312_0471,PMT9312_0471,pmi:PMT9312_0471,,high light inducible protein-like,Q31C63,High light inducible protein-like.,,442839,442839..443015,58
PMT9312_0472,PMT9312_0472,pmi:PMT9312_0472,,"putative Na+/H+ antiporter, CPA1 family",Q31C62,"Putative Na+/H+ antiporter, CPA1 family.",,443174,443174..444373,399
PMT9312_0473,PMT9312_0473,pmi:PMT9312_0473,K01885,glutamyl-tRNA synthetase,Q31C61,Glutamyl-tRNA synthetase (EC 6.1.1.17) (Glutamate--tRNA ligase) (GluRS).,6.1.1.17,444370,complement(444370..445809),479
PMT9312_R0016,tRNA-Asp1,pmi:PMT9312_R0016,,tRNA-Asp,,,,445827,complement(445827..445900),
PMT9312_0474,PMT9312_0474,pmi:PMT9312_0474,,hypothetical protein,Q31C60,Hypothetical protein.,,446049,complement(446049..446243),64
PMT9312_R0017,tRNA-Trp1,pmi:PMT9312_R0017,,tRNA-Trp,,,,446279,complement(446279..446351),
PMT9312_0475,PMT9312_0475,pmi:PMT9312_0475,K02884,ribosomal protein L19,Q31C59,50S ribosomal protein L19.,,446405,complement(446405..446875),156
PMT9312_0476,PMT9312_0476,pmi:PMT9312_0476,,hypothetical protein,Q31C58,Hypothetical protein precursor.,,446908,complement(446908..447216),102
PMT9312_0477,PMT9312_0477,pmi:PMT9312_0477,K01265,"methionine aminopeptidase, type I",Q31C57,Methionine aminopeptidase (MAP) (Peptidase M).,3.4.11.18,447308,447308..448147,279
PMT9312_0478,PMT9312_0478,pmi:PMT9312_0478,,hypothetical protein,Q31C56,Hypothetical protein.,,448151,complement(448151..448870),239
PMT9312_0479,PMT9312_0479,pmi:PMT9312_0479,K06873,hypothetical protein,Q31C55,Hypothetical protein.,,449015,449015..450124,369
PMT9312_0480,PMT9312_0480,pmi:PMT9312_0480,,hypothetical protein,Q31C54,Hypothetical protein.,,450150,450150..450662,170
PMT9312_0481,PMT9312_0481,pmi:PMT9312_0481,K09767,hypothetical protein,Q31C53,Hypothetical protein.,,450730,450730..451227,165
PMT9312_0482,PMT9312_0482,pmi:PMT9312_0482,,hypothetical protein,Q31C52,Hypothetical protein.,,451253,451253..451462,69
PMT9312_0483,PMT9312_0483,pmi:PMT9312_0483,,band 7 protein,Q31C51,Band 7 protein.,,451573,451573..452376,267
PMT9312_0484,PMT9312_0484,pmi:PMT9312_0484,K01845,"glutamate-1-semialdehyde-2,1-aminomutase",Q31C50,"Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8) (GSA) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT).",5.4.3.8,452440,complement(452440..453744),434
PMT9312_0485,PMT9312_0485,pmi:PMT9312_0485,K01142,exodeoxyribonuclease III,Q31C49,Exodeoxyribonuclease III (EC 3.1.11.2).,3.1.11.2,453971,complement(453971..454816),281
PMT9312_0486,PMT9312_0486,pmi:PMT9312_0486,,hypothetical protein,Q31C48,Hypothetical protein.,,454888,454888..455181,97
PMT9312_0487,PMT9312_0487,pmi:PMT9312_0487,,hypothetical protein,Q31C47,Hypothetical protein.,,455209,455209..455808,199
PMT9312_0488,PMT9312_0488,pmi:PMT9312_0488,K09121,protein of unknown function DUF111,Q31C46,Hypothetical protein.,,455861,455861..457087,408
PMT9312_0489,PMT9312_0489,pmi:PMT9312_0489,K07027,hypothetical protein,Q31C45,Hypothetical protein.,,457084,457084..458040,318
PMT9312_0490,PMT9312_0490,pmi:PMT9312_0490,K02011,putative iron ABC transporter,Q31C44,Putative iron ABC transporter.,,458037,complement(458037..459575),512
PMT9312_0491,PMT9312_0491,pmi:PMT9312_0491,,hypothetical protein,Q31C43,Hypothetical protein.,,459602,complement(459602..460690),362
PMT9312_0492,PMT9312_0492,pmi:PMT9312_0492,K01724,4A-hydroxytetrahydrobiopterin dehydratase (PCD),Q31C42,Putative pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96) (PHS) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD).,4.2.1.96,460729,complement(460729..461019),96
PMT9312_0493,PMT9312_0493,pmi:PMT9312_0493,,protein of unknown function UPF0047,Q31C41,Hypothetical protein.,,461057,complement(461057..461512),151
PMT9312_0494,PMT9312_0494,pmi:PMT9312_0494,K01299,thermostable carboxypeptidase 1,Q31C40,Thermostable carboxypeptidase 1 (EC 3.4.17.19).,3.4.17.19,461622,461622..463127,501
PMT9312_0495,PMT9312_0495,pmi:PMT9312_0495,K01507,inorganic diphosphatase,Q31C39,Inorganic diphosphatase (EC 3.6.1.1).,3.6.1.1,463190,463190..463777,195
PMT9312_0496,PMT9312_0496,pmi:PMT9312_0496,K01749,porphobilinogen deaminase,Q31C38,Porphobilinogen deaminase (EC 2.5.1.61).,2.5.1.61,463780,complement(463780..464730),316
PMT9312_0497,PMT9312_0497,pmi:PMT9312_0497,K03086,sigma-70 factor,Q31C37,Sigma-70 factor.,,464827,complement(464827..466008),393
PMT9312_0498,PMT9312_0498,pmi:PMT9312_0498,K04066,primosomal protein N' (replication factor Y),Q31C36,Primosomal protein N' (Replication factor Y).,3.6.1.-,466332,466332..468608,758
PMT9312_0499,PMT9312_0499,pmi:PMT9312_0499,,hypothetical protein,Q31C35,Hypothetical protein.,,468609,complement(468609..469718),369
PMT9312_0500,argB,pmi:PMT9312_0500,K00930,N-acetylglutamate kinase,Q31C34,Acetylglutamate kinase (EC 2.7.2.8).,2.7.2.8,469722,complement(469722..470573),283
PMT9312_0501,PMT9312_0501,pmi:PMT9312_0501,,hypothetical protein,Q31C33,Hypothetical protein precursor.,,470637,complement(470637..471167),176
PMT9312_0502,PMT9312_0502,pmi:PMT9312_0502,,hypothetical protein,Q31C32,Hypothetical protein.,,471210,471210..471392,60
PMT9312_0503,PMT9312_0503,pmi:PMT9312_0503,,hypothetical protein,Q31C31,Hypothetical protein.,,471394,complement(471394..471819),141
PMT9312_0504,PMT9312_0504,pmi:PMT9312_0504,K05895,precorrin-6X reductase-like,Q31C30,Precorrin-6X reductase-like.,1.3.1.54,471849,471849..472649,266
PMT9312_0505,PMT9312_0505,pmi:PMT9312_0505,K03926,cutA1 divalent ion tolerance protein,Q31C29,CutA1 divalent ion tolerance protein.,,472656,472656..472961,101
PMT9312_0506,PMT9312_0506,pmi:PMT9312_0506,,carbohydrate kinase-like,Q31C28,Carbohydrate kinase-like.,,472968,complement(472968..473972),334
PMT9312_0507,PMT9312_0507,pmi:PMT9312_0507,K01939,adenylosuccinate synthetase,Q31C27,Adenylosuccinate synthetase (EC 6.3.4.4) (IMP--aspartate ligase) (AdSS) (AMPSase).,6.3.4.4,473988,complement(473988..475298),436
PMT9312_0508,psb27,pmi:PMT9312_0508,K08902,photosystem II Psb27 protein,Q31C26,Photosystem II reaction center Psb27 protein-like precursor.,,475380,complement(475380..475817),145
PMT9312_0509,PMT9312_0509,pmi:PMT9312_0509,K01881,prolyl-tRNA synthetase,Q31C25,Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase) (ProRS).,6.1.1.15,475841,complement(475841..477643),600
PMT9312_0510,PMT9312_0510,pmi:PMT9312_0510,,helix-turn-helix domain of resolvase-like,Q31C24,Helix-turn-helix domain of resolvase-like.,,477818,477818..478168,116
PMT9312_0511,PMT9312_0511,pmi:PMT9312_0511,,reverse transcriptase (RNA-dependent)-like,Q31C23,Reverse transcriptase (RNA-dependent)-like.,,478265,478265..478522,85
PMT9312_0512,PMT9312_0512,pmi:PMT9312_0512,K01507,inorganic diphosphatase,Q31C22,Inorganic diphosphatase (EC 3.6.1.1).,3.6.1.1,478512,478512..479066,184
PMT9312_0513,PMT9312_0513,pmi:PMT9312_0513,,hypothetical protein,Q31C21,Hypothetical protein.,,479063,479063..479419,118
PMT9312_0514,PMT9312_0514,pmi:PMT9312_0514,K03100,"peptidase S26A, signal peptidase I",Q31C20,"Peptidase S26A, signal peptidase I.",3.4.21.89,479449,479449..480108,219
PMT9312_0515,PMT9312_0515,pmi:PMT9312_0515,K01834,alpha-ribazole-5'-P phosphatase-like,Q31C19,Alpha-ribazole-5'-P phosphatase-like.,5.4.2.1,480164,complement(480164..481492),442
PMT9312_0516,PMT9312_0516,pmi:PMT9312_0516,K07052,membrane associated protease-like,Q31C18,Membrane associated protease-like precursor.,,481609,481609..482970,453
PMT9312_0517,PMT9312_0517,pmi:PMT9312_0517,,hypothetical protein,Q31C17,Hypothetical protein precursor.,,483066,483066..483485,139
PMT9312_0518,PMT9312_0518,pmi:PMT9312_0518,K03587,peptidoglycan glycosyltransferase,Q31C16,Peptidoglycan glycosyltransferase precursor (EC 2.4.1.129).,2.4.1.129,483485,483485..485236,583
PMT9312_0519,PMT9312_0519,pmi:PMT9312_0519,K00616,transaldolase,Q31C15,Transaldolase (EC 2.2.1.2).,2.2.1.2,485328,485328..486329,333
PMT9312_0520,PMT9312_0520,pmi:PMT9312_0520,,NAD binding site,Q31C14,NAD binding site.,,486352,complement(486352..487485),377
PMT9312_0521,PMT9312_0521,pmi:PMT9312_0521,K02838,ribosome recycling factor,Q31C13,Ribosome recycling factor.,,487482,complement(487482..488030),182
PMT9312_0522,PMT9312_0522,pmi:PMT9312_0522,K09903,uridylate kinase,Q31C12,Uridylate kinase.,2.7.4.22,488053,complement(488053..488757),234
PMT9312_0523,PMT9312_0523,pmi:PMT9312_0523,K00798,cob(I)alamin adenosyltransferase,Q31C11,Cob(I)alamin adenosyltransferase (EC 2.5.1.17).,2.5.1.17,488883,complement(488883..489575),230
PMT9312_0524,PMT9312_0524,pmi:PMT9312_0524,,phage integrase family,Q31C10,Phage integrase family.,,489609,complement(489609..490778),389
PMT9312_0525,PMT9312_0525,pmi:PMT9312_0525,K01772,ferrochelatase,Q31C09,Ferrochelatase (EC 4.99.1.1).,4.99.1.1,490844,490844..492019,391
PMT9312_0526,PMT9312_0526,pmi:PMT9312_0526,K01652,"acetolactate synthase, large subunit, biosynthetic type",Q31C08,"Acetolactate synthase, large subunit, biosynthetic type.",2.2.1.6,492156,492156..493919,587
