seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NC_008750.1,SPUTW3181_RS21960,,SPUTW3181_RS21960,Sputw3181_0791,Protein Homology,888869,889021,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082989.1,hypothetical protein,WP_011788170.1,,,,,,Sputw3181_0791,
NC_008750.1,napB,napB,SPUTW3181_RS04100,Sputw3181_0792,Protein Homology,889220,889651,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011071135.1,nitrate reductase cytochrome c-type subunit NapB,WP_011788171.1,,,,,,Sputw3181_0792,
NC_008750.1,napH,napH,SPUTW3181_RS04105,Sputw3181_0793,Protein Homology,889648,890619,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611274.1,quinol dehydrogenase ferredoxin subunit NapH,WP_011788172.1,,,,,,Sputw3181_0793,7.1.1.-
NC_008750.1,napG,napG,SPUTW3181_RS04110,Sputw3181_0794,Protein Homology,890616,891350,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011071137.1,ferredoxin-type protein NapG,WP_011788173.1,,,,,,Sputw3181_0794,7.1.1.-
NC_008750.1,napA,napA,SPUTW3181_RS04115,Sputw3181_0795,Protein Homology,891404,893884,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011621501.1,nitrate reductase catalytic subunit NapA,WP_011788174.1,"GO:0008940,GO:0030151,GO:0043546,GO:0051539",,"nitrate reductase activity|0008940||IEA,molybdenum ion binding|0030151||IEA,molybdopterin cofactor binding|0043546||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA",,,Sputw3181_0795,
NC_008750.1,SPUTW3181_RS04120,,SPUTW3181_RS04120,Sputw3181_0796,Protein Homology,893881,894150,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082986.1,chaperone NapD,WP_011788175.1,,,,,,Sputw3181_0796,
NC_008750.1,SPUTW3181_RS04125,,SPUTW3181_RS04125,Sputw3181_0797,Protein Homology,894473,895684,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611272.1,lipocalin-like domain-containing protein,WP_011788176.1,,,,,,Sputw3181_0797,
NC_008750.1,SPUTW3181_RS04130,,SPUTW3181_RS04130,Sputw3181_0798,Protein Homology,895681,898317,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611271.1,ABC transporter permease,WP_011788177.1,GO:0016020,membrane|0016020||IEA,,,,Sputw3181_0798,
NC_008750.1,SPUTW3181_RS04135,,SPUTW3181_RS04135,Sputw3181_0799,Protein Homology,898314,898985,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011621510.1,ABC transporter ATP-binding protein,WP_011788178.1,"GO:0005524,GO:0016887,GO:0042626,GO:0140359",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,,Sputw3181_0799,7.6.2.-
NC_008750.1,SPUTW3181_RS04145,,SPUTW3181_RS04145,Sputw3181_0800,Protein Homology,899727,901085,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011718214.1,alanine/glycine:cation symporter family protein,WP_011788179.1,"GO:0006814,GO:0006865,GO:0005283,GO:0015293,GO:0016020",membrane|0016020||IEA,"amino acid:sodium symporter activity|0005283||IEA,symporter activity|0015293||IEA","sodium ion transport|0006814||IEA,amino acid transport|0006865||IEA",,Sputw3181_0800,
NC_008750.1,SPUTW3181_RS04150,,SPUTW3181_RS04150,Sputw3181_0801,Protein Homology,901218,906533,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919926.1,PAS domain S-box protein,WP_011788180.1,,,,,,Sputw3181_0801,
NC_008750.1,SPUTW3181_RS04155,,SPUTW3181_RS04155,Sputw3181_0802,Protein Homology,906688,907704,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006085996.1,two-component system response regulator,WP_011788181.1,,,,,,Sputw3181_0802,
NC_008750.1,ygfZ,ygfZ,SPUTW3181_RS04160,Sputw3181_0803,Protein Homology,907767,908723,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082979.1,tRNA-modifying protein YgfZ,WP_011788182.1,"GO:0009451,GO:0005542",,folic acid binding|0005542||IEA,RNA modification|0009451||IEA,,Sputw3181_0803,
NC_008750.1,serA,serA,SPUTW3181_RS04165,Sputw3181_0804,Protein Homology,908874,910103,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082978.1,phosphoglycerate dehydrogenase,WP_011788183.1,"GO:0016616,GO:0051287",,"oxidoreductase activity%2C acting on the CH-OH group of donors%2C NAD or NADP as acceptor|0016616||IEA,NAD binding|0051287||IEA",,,Sputw3181_0804,1.1.1.95
NC_008750.1,SPUTW3181_RS04170,,SPUTW3181_RS04170,Sputw3181_0805,Protein Homology,910258,910866,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788184.1,DUF2238 domain-containing protein,WP_011788184.1,,,,,,Sputw3181_0805,
NC_008750.1,SPUTW3181_RS04175,,SPUTW3181_RS04175,Sputw3181_0806,Protein Homology,911260,911925,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082976.1,helix-turn-helix transcriptional regulator,WP_014611267.1,"GO:0000160,GO:0006355,GO:0003677",,DNA binding|0003677||IEA,"phosphorelay signal transduction system|0000160||IEA,regulation of DNA-templated transcription|0006355||IEA",,Sputw3181_0806,
NC_008750.1,SPUTW3181_RS04180,,SPUTW3181_RS04180,Sputw3181_0807,Protein Homology,912094,913584,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611266.1,curlin,WP_011788186.1,,,,,,Sputw3181_0807,
NC_008750.1,SPUTW3181_RS04185,,SPUTW3181_RS04185,Sputw3181_0808,Protein Homology,913599,914018,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082974.1,curlin,WP_011788187.1,,,,,,Sputw3181_0808,
NC_008750.1,SPUTW3181_RS04190,,SPUTW3181_RS04190,Sputw3181_0809,Protein Homology,914341,914868,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611265.1,hypothetical protein,WP_011788188.1,,,,,,Sputw3181_0809,
NC_008750.1,panC,panC,SPUTW3181_RS04195,Sputw3181_0810,Protein Homology,915080,915925,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082972.1,pantoate--beta-alanine ligase,WP_011788189.1,"GO:0015940,GO:0004592",,pantoate-beta-alanine ligase activity|0004592||IEA,pantothenate biosynthetic process|0015940||IEA,,Sputw3181_0810,6.3.2.1
NC_008750.1,panB,panB,SPUTW3181_RS04200,Sputw3181_0811,Protein Homology,915979,916773,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011627154.1,3-methyl-2-oxobutanoate hydroxymethyltransferase,WP_011788190.1,"GO:0015940,GO:0003864",,3-methyl-2-oxobutanoate hydroxymethyltransferase activity|0003864||IEA,pantothenate biosynthetic process|0015940||IEA,,Sputw3181_0811,2.1.2.11
NC_008750.1,folK,folK,SPUTW3181_RS04205,Sputw3181_0812,Protein Homology,916837,917319,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788191.1,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,WP_011788191.1,"GO:0009396,GO:0003848",,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity|0003848||IEA,folic acid-containing compound biosynthetic process|0009396||IEA,,Sputw3181_0812,2.7.6.3
NC_008750.1,SPUTW3181_RS04210,,SPUTW3181_RS04210,Sputw3181_0813,Protein Homology,917319,918803,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788192.1,polynucleotide adenylyltransferase PcnB,WP_011788192.1,,,,,,Sputw3181_0813,
NC_008750.1,gluQRS,gluQRS,SPUTW3181_RS04215,Sputw3181_0814,Protein Homology,918919,919818,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788193.1,tRNA glutamyl-Q(34) synthetase GluQRS,WP_011788193.1,"GO:0043039,GO:0004812",,aminoacyl-tRNA ligase activity|0004812||IEA,tRNA aminoacylation|0043039||IEA,,Sputw3181_0814,6.1.1.-
NC_008750.1,dksA,dksA,SPUTW3181_RS04220,Sputw3181_0815,Protein Homology,919995,920438,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011866925.1,RNA polymerase-binding protein DksA,WP_007644947.1,,,,,,Sputw3181_0815,
NC_008750.1,sfsA,sfsA,SPUTW3181_RS04225,Sputw3181_0816,Protein Homology,920602,921306,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011847695.1,DNA/RNA nuclease SfsA,WP_011788194.1,GO:0003677,,DNA binding|0003677||IEA,,,Sputw3181_0816,
NC_008750.1,pepB,pepB,SPUTW3181_RS04230,Sputw3181_0817,Protein Homology,921494,922786,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082965.1,aminopeptidase PepB,WP_011788195.1,"GO:0006508,GO:0019538,GO:0030145,GO:0070006",,"manganese ion binding|0030145||IEA,metalloaminopeptidase activity|0070006||IEA","proteolysis|0006508||IEA,protein metabolic process|0019538||IEA",,Sputw3181_0817,3.4.11.23
NC_008750.1,SPUTW3181_RS04235,,SPUTW3181_RS04235,Sputw3181_0818,Protein Homology,922955,923464,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007644953.1,GNAT family N-acetyltransferase,WP_041408318.1,"GO:0008080,GO:0016746",,"N-acetyltransferase activity|0008080||IEA,acyltransferase activity|0016746||IEA",,,Sputw3181_0818,2.3.-.-
NC_008750.1,SPUTW3181_RS04240,,SPUTW3181_RS04240,Sputw3181_0819,Protein Homology,923991,924878,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011847692.1,phosphoribulokinase,WP_011788197.1,"GO:0005975,GO:0005524,GO:0008974",,"ATP binding|0005524||IEA,phosphoribulokinase activity|0008974||IEA",carbohydrate metabolic process|0005975||IEA,,Sputw3181_0819,2.7.1.19
NC_008750.1,SPUTW3181_RS04245,,SPUTW3181_RS04245,Sputw3181_0820,Protein Homology,924969,925214,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011621531.1,YheU family protein,WP_011788198.1,,,,,,Sputw3181_0820,
NC_008750.1,SPUTW3181_RS04250,,SPUTW3181_RS04250,Sputw3181_0821,Protein Homology,925198,926226,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012196717.1,hydrolase,WP_011788199.1,GO:0016787,,hydrolase activity|0016787||IEA,,,Sputw3181_0821,
NC_008750.1,SPUTW3181_RS04255,,SPUTW3181_RS04255,Sputw3181_0822,Protein Homology,926336,926842,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006085981.1,hypothetical protein,WP_011788200.1,,,,,,Sputw3181_0822,
NC_008750.1,SPUTW3181_RS04260,,SPUTW3181_RS04260,Sputw3181_0823,Protein Homology,926911,928521,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611258.1,GMC family oxidoreductase,WP_041408320.1,"GO:0016614,GO:0050660",,"oxidoreductase activity%2C acting on CH-OH group of donors|0016614||IEA,flavin adenine dinucleotide binding|0050660||IEA",,,Sputw3181_0823,
NC_008750.1,SPUTW3181_RS04265,,SPUTW3181_RS04265,Sputw3181_0824,Protein Homology,928523,928933,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788202.1,GFA family protein,WP_011788202.1,"GO:0016846,GO:0046872",,"carbon-sulfur lyase activity|0016846||IEA,metal ion binding|0046872||IEA",,,Sputw3181_0824,
NC_008750.1,SPUTW3181_RS04270,,SPUTW3181_RS04270,Sputw3181_0825,Protein Homology,928971,929432,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611257.1,DUF2390 domain-containing protein,WP_014611257.1,,,,,,Sputw3181_0825,
NC_008750.1,SPUTW3181_RS04275,,SPUTW3181_RS04275,Sputw3181_0826,Protein Homology,929477,931387,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011718188.1,ABC transporter ATP-binding protein,WP_011788204.1,GO:0005524,,ATP binding|0005524||IEA,,,Sputw3181_0826,
NC_008750.1,SPUTW3181_RS04280,,SPUTW3181_RS04280,Sputw3181_0827,Protein Homology,931640,931843,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012088350.1,YheV family putative zinc ribbon protein,WP_011788205.1,,,,,,Sputw3181_0827,
NC_008750.1,SPUTW3181_RS04285,,SPUTW3181_RS04285,Sputw3181_0828,Protein Homology,932358,932819,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788206.1,SMI1/KNR4 family protein,WP_011788206.1,GO:0042546,,,cell wall biogenesis|0042546||IEA,,Sputw3181_0828,
NC_008750.1,SPUTW3181_RS04300,,SPUTW3181_RS04300,Sputw3181_0832,Protein Homology,934300,934809,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611255.1,hypothetical protein,WP_014611255.1,,,,,,Sputw3181_0832,
NC_008750.1,SPUTW3181_RS04310,,SPUTW3181_RS04310,Sputw3181_0833,Protein Homology,935514,936401,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007644976.1,pirin family protein,WP_011788210.1,GO:0046872,,metal ion binding|0046872||IEA,,,Sputw3181_0833,
NC_008750.1,dbpA,dbpA,SPUTW3181_RS04315,Sputw3181_0834,Protein Homology,936740,938116,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919916.1,ATP-dependent RNA helicase DbpA,WP_011788211.1,"GO:0003676,GO:0003724,GO:0005524",,"nucleic acid binding|0003676||IEA,RNA helicase activity|0003724||IEA,ATP binding|0005524||IEA",,,Sputw3181_0834,3.6.4.13
NC_008750.1,SPUTW3181_RS04320,,SPUTW3181_RS04320,Sputw3181_0835,Protein Homology,938394,939962,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919915.1,methyl-accepting chemotaxis protein,WP_011788212.1,"GO:0006935,GO:0007165,GO:0004888,GO:0016020,GO:0098561","membrane|0016020||IEA,methyl accepting chemotaxis protein complex|0098561||IEA",transmembrane signaling receptor activity|0004888||IEA,"chemotaxis|0006935||IEA,signal transduction|0007165||IEA",,Sputw3181_0835,
NC_008750.1,SPUTW3181_RS04325,,SPUTW3181_RS04325,Sputw3181_0836,Protein Homology,940065,941684,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014620839.1,DEAD/DEAH box helicase,WP_041407985.1,"GO:0003676,GO:0005524",,"nucleic acid binding|0003676||IEA,ATP binding|0005524||IEA",,,Sputw3181_0836,3.6.4.-
NC_008750.1,SPUTW3181_RS04330,,SPUTW3181_RS04330,Sputw3181_0837,Protein Homology,942151,943191,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788214.1,DUF3626 domain-containing protein,WP_011788214.1,,,,,,Sputw3181_0837,
NC_008750.1,cydD,cydD,SPUTW3181_RS04335,Sputw3181_0838,Protein Homology,943386,945317,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788215.1,heme ABC transporter permease/ATP-binding protein CydD,WP_011788215.1,"GO:0005524,GO:0140359,GO:0016020",membrane|0016020||IEA,"ATP binding|0005524||IEA,ABC-type transporter activity|0140359||IEA",,,Sputw3181_0838,7.4.2.-
NC_008750.1,cydC,cydC,SPUTW3181_RS04340,Sputw3181_0839,Protein Homology,945314,947065,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788216.1,heme ABC transporter ATP-binding protein/permease CydC,WP_011788216.1,"GO:0045454,GO:0005524,GO:0042626,GO:0140359,GO:0016020",membrane|0016020||IEA,"ATP binding|0005524||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",cell redox homeostasis|0045454||IEA,,Sputw3181_0839,7.4.2.-
NC_008750.1,cyaB,cyaB,SPUTW3181_RS04345,Sputw3181_0840,Protein Homology,947113,947706,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788217.1,class IV adenylate cyclase,WP_011788217.1,,,,,,Sputw3181_0840,
NC_008750.1,SPUTW3181_RS04350,,SPUTW3181_RS04350,Sputw3181_0841,Protein Homology,947816,947992,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082937.1,helix-turn-helix domain-containing protein,WP_011788218.1,GO:0003677,,DNA binding|0003677||IEA,,,Sputw3181_0841,
NC_008750.1,SPUTW3181_RS04355,,SPUTW3181_RS04355,Sputw3181_0842,Protein Homology,948090,948824,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611248.1,DUF599 domain-containing protein,WP_011788219.1,,,,,,Sputw3181_0842,
NC_008750.1,SPUTW3181_RS04360,,SPUTW3181_RS04360,Sputw3181_0843,Protein Homology,949627,949977,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788220.1,hypothetical protein,WP_011788220.1,,,,,,Sputw3181_0843,
NC_008750.1,SPUTW3181_RS04365,,SPUTW3181_RS04365,Sputw3181_0844,Protein Homology,950014,950511,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788221.1,hypothetical protein,WP_011788221.1,,,,,,Sputw3181_0844,
NC_008750.1,putA,putA,SPUTW3181_RS04370,Sputw3181_0845,Protein Homology,951469,954663,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788222.1,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA,WP_011788222.1,"GO:0006355,GO:0010133,GO:0003700,GO:0003842,GO:0004657,GO:0016620",,"DNA-binding transcription factor activity|0003700||IEA,1-pyrroline-5-carboxylate dehydrogenase activity|0003842||IEA,proline dehydrogenase activity|0004657||IEA,oxidoreductase activity%2C acting on the aldehyde or oxo group of donors%2C NAD or NADP as acceptor|0016620||IEA","regulation of DNA-templated transcription|0006355||IEA,proline catabolic process to glutamate|0010133||IEA",,Sputw3181_0845,"1.2.1.88,1.5.5.2"
NC_008750.1,SPUTW3181_RS04375,,SPUTW3181_RS04375,Sputw3181_0846,Protein Homology,954912,955460,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007645529.1,TIGR04211 family SH3 domain-containing protein,WP_011788223.1,,,,,,Sputw3181_0846,
NC_008750.1,SPUTW3181_RS04380,,SPUTW3181_RS04380,Sputw3181_0847,Protein Homology,955657,956946,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082932.1,inorganic phosphate transporter,WP_011788224.1,"GO:0006817,GO:0005315,GO:0016020",membrane|0016020||IEA,phosphate transmembrane transporter activity|0005315||IEA,phosphate ion transport|0006817||IEA,,Sputw3181_0847,
NC_008750.1,SPUTW3181_RS04385,,SPUTW3181_RS04385,Sputw3181_0848,Protein Homology,956972,957652,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007645532.1,TIGR00153 family protein,WP_011788225.1,,,,,,Sputw3181_0848,
NC_008750.1,SPUTW3181_RS04390,,SPUTW3181_RS04390,Sputw3181_0849,Protein Homology,957885,959396,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014357928.1,inorganic triphosphatase,WP_041407990.1,,,,,,Sputw3181_0849,
NC_008750.1,SPUTW3181_RS04395,,SPUTW3181_RS04395,Sputw3181_0850,Protein Homology,959472,960293,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919910.1,potassium channel family protein,WP_011788227.1,"GO:0034220,GO:0071805,GO:0005216,GO:0005267,GO:0016020",membrane|0016020||IEA,"monoatomic ion channel activity|0005216||IEA,potassium channel activity|0005267||IEA","monoatomic ion transmembrane transport|0034220||IEA,potassium ion transmembrane transport|0071805||IEA",,Sputw3181_0850,
NC_008750.1,SPUTW3181_RS04400,,SPUTW3181_RS04400,Sputw3181_0851,Protein Homology,960436,960765,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082928.1,hypothetical protein,WP_011788228.1,,,,,,Sputw3181_0851,
NC_008750.1,SPUTW3181_RS04405,,SPUTW3181_RS04405,Sputw3181_0852,Protein Homology,960887,961540,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082927.1,DUF4178 domain-containing protein,WP_011788229.1,,,,,,Sputw3181_0852,
NC_008750.1,SPUTW3181_RS04410,,SPUTW3181_RS04410,Sputw3181_0853,Protein Homology,961699,962388,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082926.1,PspA/IM30 family protein,WP_011788230.1,,,,,,Sputw3181_0853,
NC_008750.1,SPUTW3181_RS04415,,SPUTW3181_RS04415,Sputw3181_0854,Protein Homology,962400,962813,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788231.1,YjfI family protein,WP_011788231.1,,,,,,Sputw3181_0854,
NC_008750.1,SPUTW3181_RS04420,,SPUTW3181_RS04420,Sputw3181_0855,Protein Homology,962892,964616,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006085959.1,polyamine aminopropyltransferase,WP_011788232.1,GO:0003824,,catalytic activity|0003824||IEA,,,Sputw3181_0855,2.5.1.16
NC_008750.1,SPUTW3181_RS04425,,SPUTW3181_RS04425,Sputw3181_0856,Protein Homology,964621,965520,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006085958.1,DUF350 domain-containing protein,WP_011788233.1,,,,,,Sputw3181_0856,
NC_008750.1,SPUTW3181_RS04430,,SPUTW3181_RS04430,Sputw3181_0857,Protein Homology,965534,966517,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011847667.1,hypothetical protein,WP_011788234.1,,,,,,Sputw3181_0857,
NC_008750.1,glnE,glnE,SPUTW3181_RS04435,Sputw3181_0858,Protein Homology,966743,969607,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611240.1,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,WP_011788235.1,GO:0008882,,[glutamate-ammonia-ligase] adenylyltransferase activity|0008882||IEA,,,Sputw3181_0858,"2.7.7.42,2.7.7.89"
NC_008750.1,SPUTW3181_RS04440,,SPUTW3181_RS04440,Sputw3181_0859,Protein Homology,969684,970655,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788236.1,sensor domain-containing diguanylate cyclase,WP_011788236.1,,,,,,Sputw3181_0859,2.7.7.65
NC_008750.1,SPUTW3181_RS04445,,SPUTW3181_RS04445,Sputw3181_0860,Protein Homology,970738,971697,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012586902.1,sodium-dependent bicarbonate transport family permease,WP_011788237.1,,,,,,Sputw3181_0860,
NC_008750.1,SPUTW3181_RS04450,,SPUTW3181_RS04450,Sputw3181_0861,Protein Homology,971836,972831,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012586903.1,LysR family transcriptional regulator,WP_025007584.1,"GO:0001216,GO:0003677,GO:0003700",,"DNA-binding transcription activator activity|0001216||IEA,DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",,,Sputw3181_0861,
NC_008750.1,kdpF,kdpF,SPUTW3181_RS22310,SPUTW3181_RS22310,Protein Homology,973401,973481,+,,,COORDINATES: protein motif:HMM:NF021144.5,K(+)-transporting ATPase subunit F,WP_081429803.1,"GO:0006813,GO:0043462,GO:0031004",potassium ion-transporting ATPase complex|0031004||IEA,,"potassium ion transport|0006813||IEA,regulation of ATP-dependent activity|0043462||IEA",,,7.2.2.6
NC_008750.1,kdpA,kdpA,SPUTW3181_RS04455,Sputw3181_0862,Protein Homology,973490,975214,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788239.1,potassium-transporting ATPase subunit KdpA,WP_011788239.1,"GO:0006813,GO:0008556,GO:0031004",potassium ion-transporting ATPase complex|0031004||IEA,P-type potassium transmembrane transporter activity|0008556||IEA,potassium ion transport|0006813||IEA,,Sputw3181_0862,7.2.2.6
NC_008750.1,kdpB,kdpB,SPUTW3181_RS04460,Sputw3181_0863,Protein Homology,975217,977235,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919906.1,potassium-transporting ATPase subunit KdpB,WP_011788240.1,"GO:0006813,GO:0005524,GO:0008556,GO:0016020,GO:0031004","membrane|0016020||IEA,potassium ion-transporting ATPase complex|0031004||IEA","ATP binding|0005524||IEA,P-type potassium transmembrane transporter activity|0008556||IEA",potassium ion transport|0006813||IEA,,Sputw3181_0863,7.2.2.6
NC_008750.1,SPUTW3181_RS04470,,SPUTW3181_RS04470,Sputw3181_0866,Protein Homology,977879,978649,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788243.1,TorF family putative porin,WP_011788243.1,GO:0015288,,porin activity|0015288||IEA,,,Sputw3181_0866,
NC_008750.1,SPUTW3181_RS04475,,SPUTW3181_RS04475,Sputw3181_0867,Protein Homology,978652,981312,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611234.1,sensor histidine kinase,WP_011788244.1,,,,,,Sputw3181_0867,2.7.13.3
NC_008750.1,SPUTW3181_RS04480,,SPUTW3181_RS04480,Sputw3181_0868,Protein Homology,981362,982045,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788245.1,response regulator,WP_011788245.1,GO:0000160,,,phosphorelay signal transduction system|0000160||IEA,,Sputw3181_0868,
NC_008750.1,zapE,zapE,SPUTW3181_RS04485,Sputw3181_0869,Protein Homology,982073,983290,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788246.1,cell division protein ZapE,WP_011788246.1,"GO:0051301,GO:0005524,GO:0016887",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",cell division|0051301||IEA,,Sputw3181_0869,
NC_008750.1,SPUTW3181_RS04490,,SPUTW3181_RS04490,Sputw3181_0870,Protein Homology,983534,984361,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012196740.1,M14 family metallocarboxypeptidase,WP_011788247.1,,,,,,Sputw3181_0870,
NC_008750.1,SPUTW3181_RS04495,,SPUTW3181_RS04495,Sputw3181_0871,Protein Homology,984424,985338,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082904.1,L%2CD-transpeptidase family protein,WP_011788248.1,GO:0016740,,transferase activity|0016740||IEA,,,Sputw3181_0871,
NC_008750.1,norR,norR,SPUTW3181_RS04500,Sputw3181_0872,Protein Homology,985510,987063,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611232.1,nitric oxide reductase transcriptional regulator NorR,WP_011788249.1,"GO:0006355,GO:0003700",,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA,,Sputw3181_0872,
NC_008750.1,SPUTW3181_RS04505,,SPUTW3181_RS04505,Sputw3181_0873,Protein Homology,987290,989575,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788250.1,nitric-oxide reductase large subunit,WP_011788250.1,,,,,,Sputw3181_0873,
NC_008750.1,SPUTW3181_RS04510,,SPUTW3181_RS04510,Sputw3181_0874,Protein Homology,990187,991911,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014611230.1,potassium/proton antiporter,WP_011788251.1,"GO:0006813,GO:0006884,GO:0055085,GO:0051139,GO:0016020",membrane|0016020||IEA,metal cation:proton antiporter activity|0051139||IEA,"potassium ion transport|0006813||IEA,cell volume homeostasis|0006884||IEA,transmembrane transport|0055085||IEA",,Sputw3181_0874,
NC_008750.1,SPUTW3181_RS04515,,SPUTW3181_RS04515,Sputw3181_0875,Protein Homology,991978,992904,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012586913.1,LpxL/LpxP family Kdo(2)-lipid IV(A) lauroyl/palmitoleoyl acyltransferase,WP_014611229.1,"GO:0009245,GO:0016746",,acyltransferase activity|0016746||IEA,lipid A biosynthetic process|0009245||IEA,,Sputw3181_0875,2.3.1.-
