Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts)
MIT9312,Q31BA2,Q31BA2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0783 PE=4 SV=1,membrane protein,Unknown,S,2.27E-08,1.31E-09,-4.119594247
MIT9312,Q31CP3,Q31CP3_PROM9 Putative ABC transporter OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0291 PE=4 SV=1,mammalian cell entry protein,Cytoplasm,Q,2.13E-08,1.18E-09,-4.174735801
MIT9312,Q31BB7,Q31BB7_PROM9 Geranylgeranyl reductase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0768 PE=4 SV=1,geranylgeranyl reductase,Cytoplasm,H,9.33E-08,4.97E-09,-4.230589036
MIT9312,Q319K6,Q319K6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1379 PE=3 SV=1,membrane protein,Inner membrane,S,7.38E-09,3.92E-10,-4.23362949
MIT9312,Q31CC2,Q31CC2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0412 PE=4 SV=1,NA,Unknown,S,1.83E-08,9.15E-10,-4.321577189
MIT9312,Q31B05,Q31B05_PROM9 Glutamine synthetase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0880 PE=3 SV=1,type I glutamate--ammonia ligase,Cytoplasm,E,1.13E-07,5.62E-09,-4.329671629
MIT9312,Q31BT3,"Q31BT3_PROM9 ABC transporter, substrate binding protein, possibly Mn OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0601 PE=3 SV=1",metal ABC transporter substrate-binding protein,Periplasm,P,1.06E-08,5.23E-10,-4.344660802
MIT9312,Q31A68,"Q31A68_PROM9 Amino acid ABC transporter substrate-binding protein, PAAT family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1168 PE=4 SV=1",amino acid ABC transporter substrate-binding protein,Periplasm,E,2.69E-08,1.31E-09,-4.360602346
MIT9312,Q31BV4,Q31BV4_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0580 PE=3 SV=1,chaperone protein ClpB,Cytoplasm,O,1.45E-08,6.54E-10,-4.46751755
MIT9312,Q31CL2,Q31CL2_PROM9 Ferredoxin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0322 PE=4 SV=1,ferredoxin,Unknown,C,5.90E-09,2.61E-10,-4.496663896
MIT9312,Q31BC4,RS2_PROM9 30S ribosomal protein S2 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsB PE=3 SV=1,30S ribosomal protein S2,Cytoplasm,J,3.34E-08,1.44E-09,-4.535483145
MIT9312,Q31B56,Q31B56_PROM9 Urea-binding protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0829 PE=4 SV=1,urea ABC transporter substrate-binding protein,Outside cytoplasm,E,1.83E-08,7.84E-10,-4.543969611
MIT9312,Q31A51,Q31A51_PROM9 Subtilisin-like protein serine proteases-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1185 PE=3 SV=1,Subtilisin BL,Unknown,O,6.20E-09,2.61E-10,-4.567053224
MIT9312,Q31BM0,Q31BM0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0664 PE=4 SV=1,molecular chaperone DnaJ,Inner membrane,S,6.49E-09,2.61E-10,-4.634167419
MIT9312,Q31B73,Q31B73_PROM9 Ferritin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0812 PE=3 SV=1,ferritin,Cytoplasm,P,6.20E-08,2.48E-09,-4.641053805
MIT9312,Q31CW7,Q31CW7_PROM9 Putative sulfate transporter OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0216 PE=3 SV=1,sodium-independent anion transporter,Inner membrane,P,7.67E-08,3.01E-09,-4.673541658
MIT9312,Q31B74,Q31B74_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0811 PE=4 SV=1,ABC transporter ATP-binding protein,Inner membrane,P,3.54E-09,1.31E-10,-4.759698302
MIT9312,Q31DB7,Q31DB7_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0067 PE=4 SV=1,ABC transporter ATP-binding protein,Inner membrane,S,1.95E-08,6.54E-10,-4.897201826
MIT9312,Q318D3,ACP_PROM9 Acyl carrier protein OS=Prochlorococcus marinus (strain MIT 9312) GN=acpP PE=3 SV=1,acyl carrier protein,Cytoplasm,S,3.29E-07,1.09E-08,-4.922524365
MIT9312,Q318J3,RS17_PROM9 30S ribosomal protein S17 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsQ PE=3 SV=1,30S ribosomal protein S17,Cytoplasm,J,5.19E-08,1.70E-09,-4.933727702
MIT9312,Q31BA0,Q31BA0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0785 PE=4 SV=1,Secreted pentapeptide repeats protein,Unknown,S,3.01E-08,7.84E-10,-5.262198642
MIT9312,Q31CM2,Q31CM2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0312 PE=4 SV=1,hypothetical protein,Unknown,S,1.56E-08,3.92E-10,-5.317693755
MIT9312,Q31BF6,PSTB_PROM9 Phosphate import ATP-binding protein PstB OS=Prochlorococcus marinus (strain MIT 9312) GN=pstB PE=3 SV=1,phosphate ABC transporter ATP-binding protein,Inner membrane,P,1.56E-08,3.92E-10,-5.317693755
MIT9312,Q31AV0,Q31AV0_PROM9 SMC domain N terminal domain-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0935 PE=4 SV=1,LPS export ABC transporter periplasmic protein LptC,Unknown,S,5.31E-09,1.31E-10,-5.344660802
MIT9312,Q31CX8,RL1_PROM9 50S ribosomal protein L1 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplA PE=3 SV=1,50S ribosomal protein L1,Cytoplasm,J,1.24E-07,3.01E-09,-5.361980278
MIT9312,Q31DG7,Q31DG7_PROM9 Chaperone protein DnaJ OS=Prochlorococcus marinus (strain MIT 9312) GN=dnaJ PE=3 SV=1,molecular chaperone DnaJ,Cytoplasm,O,2.72E-08,6.54E-10,-5.376369663
MIT9312,Q31CI4,Q31CI4_PROM9 Sec-independent protein translocase protein TatA OS=Prochlorococcus marinus (strain MIT 9312) GN=tatA PE=3 SV=1,protein translocase TatA,Inner membrane,U,1.65E-08,3.92E-10,-5.397128222
MIT9312,Q31C54,Q31C54_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0480 PE=4 SV=1,DNA recombination-mediator protein A,Cytoplasm,S,1.71E-08,3.92E-10,-5.447754296
MIT9312,Q31D37,Q31D37_PROM9 Three-step phytoene desaturase / zeta-carotene desaturase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0146 PE=4 SV=1,phytoene desaturase,Cytoplasm,H,1.95E-08,3.92E-10,-5.63416742
MIT9312,Q319T2,Q319T2_PROM9 Pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1304 PE=3 SV=1,aminotransferase DegT,Cytoplasm,E,1.98E-08,3.92E-10,-5.655862491
MIT9312,Q31B83,Q31B83_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0802 PE=4 SV=1,thioredoxin,Unknown,S,6.79E-09,1.31E-10,-5.698297757
MIT9312,Q31CY6,PGK_PROM9 Phosphoglycerate kinase OS=Prochlorococcus marinus (strain MIT 9312) GN=pgk PE=3 SV=1,phosphoglycerate kinase,Cytoplasm,G,1.18E-07,2.22E-09,-5.734731386
MIT9312,Q31BC9,Q31BC9_PROM9 ABC transporter component-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0756 PE=4 SV=1,lipid ABC transporter permease,Cytoplasm,M,7.08E-09,1.31E-10,-5.759698302
MIT9312,Q31CK4,"Q31CK4_PROM9 C-terminal processing peptidase-2, Serine peptidase, MEROPS family S41A OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0330 PE=3 SV=1",peptidase S41,Inner membrane,M,2.86E-08,5.23E-10,-5.774648643
MIT9312,Q317W3,Q317W3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1771 PE=4 SV=1,membrane protein,Unknown,S,1.45E-08,2.61E-10,-5.789445645
MIT9312,Q31BV3,Q31BV3_PROM9 Plastocyanin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0581 PE=4 SV=1,plastocyanin,Periplasm,C,1.21E-07,2.09E-09,-5.857730384
MIT9312,Q31AL8,Q31AL8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1017 PE=4 SV=1,cell surface protein,Unknown,S,3.13E-08,5.23E-10,-5.902656256
MIT9312,Q31D70,Q31D70_PROM9 Putative glutathione S-transferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0113 PE=4 SV=1,glutathione S-transferase,Cytoplasm,O,1.62E-08,2.61E-10,-5.956095515
MIT9312,Q31AA6,Q31AA6_PROM9 Porin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1130 PE=4 SV=1,porin,Extracellular,S,9.15E-09,1.31E-10,-6.128932111
MIT9312,Q319P6,Q319P6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1339 PE=4 SV=1,hypothetical protein,Cytoplasm,S,9.15E-09,1.31E-10,-6.128932111
MIT9312,Q31C51,"Q31C51_PROM9 SPFH domain, Band 7 family protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0483 PE=4 SV=1",membrane protease subunit%2C stomatin/prohibitin,Unknown,S,1.12E-07,1.44E-09,-6.277546607
MIT9312,Q31AB2,"Q31AB2_PROM9 Two component transcriptional regulator, winged helix family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1124 PE=4 SV=1",DNA-binding response regulator,Cytoplasm,T,3.69E-08,3.92E-10,-6.555557585
MIT9312,Q31DA7,Q31DA7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0077 PE=4 SV=1,hypothetical protein,Outer membrane,S,8.68E-08,9.15E-10,-6.567053224
MIT9312,Q31CR9,Q31CR9_PROM9 Ammonium transporter OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0265 PE=3 SV=1,ammonium transporter,Inner membrane,P,1.27E-08,1.31E-10,-6.601000555
MIT9312,Q318V6,CH602_PROM9 60 kDa chaperonin 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=groL2 PE=3 SV=1,Chaperonin GroEL,Cytoplasm,O,7.84E-07,7.98E-09,-6.619037895
MIT9312,Q319K1,Q319K1_PROM9 Pyruvate dehydrogenase E1 component subunit alpha OS=Prochlorococcus marinus (strain MIT 9312) GN=pdhA PE=4 SV=1,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,Cytoplasm,C,2.63E-08,2.61E-10,-6.650469232
MIT9312,Q319M7,Q319M7_PROM9 ATP-dependent zinc metalloprotease FtsH OS=Prochlorococcus marinus (strain MIT 9312) GN=ftsH PE=3 SV=1,cell division protein FtsH,Inner membrane,O,1.19E-07,1.18E-09,-6.663022282
MIT9312,Q31D47,"Q31D47_PROM9 Two component transcriptional regulator, winged helix family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0136 PE=4 SV=1",DNA-binding response regulator,Cytoplasm,T,2.72E-08,2.61E-10,-6.698297757
MIT9312,Q31C50,"GSA_PROM9 Glutamate-1-semialdehyde 2,1-aminomutase OS=Prochlorococcus marinus (strain MIT 9312) GN=hemL PE=3 SV=1",glutamate-1-semialdehyde 2%2C1-aminomutase,Cytoplasm,H,8.15E-08,7.84E-10,-6.698297757
MIT9312,Q31CC0,Q31CC0_PROM9 NifU-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0414 PE=4 SV=1,Thioredoxin family protein,Unknown,S,2.83E-08,2.61E-10,-6.759698301
MIT9312,Q31CK7,Q31CK7_PROM9 Site-determining protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0327 PE=3 SV=1,septum site-determining protein MinD,Inner membrane,D,1.45E-08,1.31E-10,-6.789445645
MIT9312,Q319D5,Q319D5_PROM9 Ferredoxin (2Fe-2S) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1450 PE=4 SV=1,ferredoxin,Unknown,C,2.27E-07,1.96E-09,-6.852807706
MIT9312,Q31DF7,Q31DF7_PROM9 Biotin carboxyl carrier protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0027 PE=4 SV=1,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,Unknown,I,6.35E-08,5.23E-10,-6.922928651
MIT9312,Q319D7,Q319D7_PROM9 Pentapeptide repeat-containing protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1448 PE=4 SV=1,Secreted pentapeptide repeats protein,Extracellular,S,5.35E-07,4.31E-09,-6.954504892
MIT9312,Q31DH1,Q31DH1_PROM9 RNA-binding region RNP-1 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0013 PE=4 SV=1,RNA-binding protein,Unknown,S,1.00E-07,7.84E-10,-6.999164236
MIT9312,Q31CG1,Q31CG1_PROM9 Endonuclease OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0373 PE=4 SV=1,DNA helicase,Unknown,S,3.63E-08,2.61E-10,-7.117250306
MIT9312,Q31C83,CH601_PROM9 60 kDa chaperonin 1 OS=Prochlorococcus marinus (strain MIT 9312) GN=groL1 PE=3 SV=1,molecular chaperone GroEL,Cytoplasm,O,2.06E-07,1.44E-09,-7.164452828
MIT9312,Q31B11,PSB28_PROM9 Photosystem II reaction center Psb28 protein OS=Prochlorococcus marinus (strain MIT 9312) GN=psb28 PE=3 SV=1,photosystem II reaction center Psb28 protein,Thylakoid membrane,H,1.92E-08,1.31E-10,-7.197103614
MIT9312,Q31DB9,Q31DB9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0065 PE=4 SV=1,hypothetical protein,Outer membrane,S,2.01E-08,1.31E-10,-7.262198642
MIT9312,Q31CV3,Q31CV3_PROM9 Photosystem II manganese-stabilizing protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0230 PE=4 SV=1,photosystem II manganese-stabilizing protein,Cytoplasm,M,8.02E-07,4.97E-09,-7.334076052
MIT9312,Q319K2,Q319K2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1383 PE=4 SV=1,molecular chaperone DnaJ,Unknown,S,6.52E-08,3.92E-10,-7.37767586
MIT9312,Q318D2,Q318D2_PROM9 3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1702 PE=3 SV=1,beta-ketoacyl-[acyl-carrier-protein] synthase II,Inner membrane,I,4.37E-08,2.61E-10,-7.384189167
MIT9312,Q317S5,Q317S5_PROM9 Threonine synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1808 PE=3 SV=1,threonine synthase,Cytoplasm,E,4.40E-08,2.61E-10,-7.393904321
MIT9312,Q31CL6,Q31CL6_PROM9 SSU ribosomal protein S1P OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0318 PE=4 SV=1,30S ribosomal protein S1,Cytoplasm,J,8.88E-08,5.23E-10,-7.408355478
MIT9312,Q31AP1,"Q31AP1_PROM9 Helix-hairpin-helix DNA-binding, class 1 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0994 PE=4 SV=1",DNA-binding protein,Unknown,S,7.05E-08,3.92E-10,-7.490640109
MIT9312,Q31AJ2,Q31AJ2_PROM9 Cobalamin synthesis protein/P47K OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1044 PE=4 SV=1,cobalamin biosynthesis protein CobW,Cytoplasm,S,2.36E-08,1.31E-10,-7.496663896
MIT9312,Q318N5,EFTU_PROM9 Elongation factor Tu OS=Prochlorococcus marinus (strain MIT 9312) GN=tuf PE=3 SV=1,elongation factor Tu,Cytoplasm,J,4.74E-07,2.61E-09,-7.50296192
MIT9312,Q31AU1,Q31AU1_PROM9 Thioredoxin peroxidase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0944 PE=4 SV=1,peroxiredoxin,Cytoplasm,O,2.19E-07,1.18E-09,-7.5420292
MIT9312,Q319J6,Q319J6_PROM9 Peptidyl-prolyl cis-trans isomerase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1389 PE=3 SV=1,peptidyl-prolyl cis-trans isomerase,Periplasm,O,1.29E-07,6.54E-10,-7.627594766
MIT9312,Q31C65,Q31C65_PROM9 Photosystem I PsaF protein (Subunit III) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0469 PE=4 SV=1,photosystem I PsaF protein (subunit III),Thylakoid membrane,M,1.09E-07,5.23E-10,-7.706117262
MIT9312,Q318N4,EFG_PROM9 Elongation factor G OS=Prochlorococcus marinus (strain MIT 9312) GN=fusA PE=3 SV=1,elongation factor G,Cytoplasm,J,1.67E-07,7.84E-10,-7.734431543
MIT9312,Q31DA5,Q31DA5_PROM9 Phosphoglucomutase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0079 PE=3 SV=1,alpha-D-glucose phosphate-specific phosphoglucomutase,Extracellular,G,2.83E-08,1.31E-10,-7.759698301
MIT9312,Q317T7,Q317T7_PROM9 Chaperone protein DnaK OS=Prochlorococcus marinus (strain MIT 9312) GN=dnaK PE=2 SV=1,chaperone protein dnaK2,Cytoplasm,O,2.56E-07,1.18E-09,-7.764698983
MIT9312,Q31CD5,Q31CD5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0399 PE=4 SV=1,hypothetical protein,Unknown,S,2.86E-08,1.31E-10,-7.774648643
MIT9312,Q319Y0,Q319Y0_PROM9 Photosystem II D2 protein OS=Prochlorococcus marinus (strain MIT 9312) GN=psbD PE=3 SV=1,photosystem II D2 protein (photosystem q(a) protein),Thylakoid membrane,C,5.79E-08,2.61E-10,-7.789445645
MIT9312,Q31BY0,Q31BY0_PROM9 Putative carboxysome peptide A OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0554 PE=4 SV=1,carboxysome peptide A,Unknown,S,3.01E-08,1.31E-10,-7.847161143
MIT9312,Q31DG1,Q31DG1_PROM9 Glyceraldehyde-3-phosphate dehydrogenase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0023 PE=3 SV=1,type I glyceraldehyde-3-phosphate dehydrogenase,Cytoplasm,G,1.22E-07,5.23E-10,-7.871703328
MIT9312,Q319U9,Q319U9_PROM9 Putative inner membrane protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1287 PE=3 SV=1,protein translocase component YidC,Inner membrane,U,6.20E-08,2.61E-10,-7.888981319
MIT9312,Q31AL4,Q31AL4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1021 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,3.31E-08,1.31E-10,-7.982090723
MIT9312,Q318D4,PSAC_PROM9 Photosystem I iron-sulfur center OS=Prochlorococcus marinus (strain MIT 9312) GN=psaC PE=3 SV=1,photosystem I iron-sulfur center,Thylakoid membrane,C,1.35E-07,5.23E-10,-8.013939589
MIT9312,Q319D3,Q319D3_PROM9 D-3-phosphoglycerate dehydrogenase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1452 PE=3 SV=1,phosphoglycerate dehydrogenase,Cytoplasm,E,4.13E-08,1.31E-10,-8.304018818
MIT9312,Q318V5,CH10_PROM9 10 kDa chaperonin OS=Prochlorococcus marinus (strain MIT 9312) GN=groS PE=3 SV=1,co-chaperone GroES,Cytoplasm,O,2.96E-07,6.54E-10,-8.822913597
MIT9312,Q31AF0,Q31AF0_PROM9 Ferredoxin-NADP oxidoreductase (FNR) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1086 PE=4 SV=1,ferredoxin--NADP(+) reductase,Inner membrane,C,1.25E-07,2.61E-10,-8.899249655
MIT9312,Q31CY0,RL7_PROM9 50S ribosomal protein L7/L12 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplL PE=3 SV=1,50S ribosomal protein L7/L12,Unknown,J,1.91E-07,3.92E-10,-8.929623304
MIT9312,Q318U1,ATPA_PROM9 ATP synthase subunit alpha OS=Prochlorococcus marinus (strain MIT 9312) GN=atpA PE=3 SV=1,ATP synthase subunit alpha,Thylakoid membrane,C,2.27E-07,3.92E-10,-9.178487936
MIT9312,Q31BB0,"FBSB_PROM9 D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0775 PE=3 SV=2",fructose 1%2C6-bisphosphatase,Cytoplasm,G,2.43E-07,3.92E-10,-9.272767884
MIT9312,Q318Q7,RPOB_PROM9 DNA-directed RNA polymerase subunit beta OS=Prochlorococcus marinus (strain MIT 9312) GN=rpoB PE=3 SV=1,DNA-directed RNA polymerase subunit beta,Cytoplasm,K,1.69E-07,2.61E-10,-9.337127129
MIT9312,Q319I0,Q319I0_PROM9 Cell division protein FtsZ OS=Prochlorococcus marinus (strain MIT 9312) GN=ftsZ PE=3 SV=1,cell division protein FtsZ,Cytoplasm,D,1.77E-07,2.61E-10,-9.403554491
MIT9312,Q318G4,Q318G4_PROM9 Photosystem I protein PsaD OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1670 PE=4 SV=1,photosystem I protein PsaD,Inner membrane,H,2.18E-07,2.61E-10,-9.702212807
MIT9312,Q31CV5,Q31CV5_PROM9 ATP-dependent zinc metalloprotease FtsH OS=Prochlorococcus marinus (strain MIT 9312) GN=ftsH PE=3 SV=1,cell division protein FtsH,Inner membrane,O,1.13E-07,1.31E-10,-9.755936383
MIT9312,Q31AG4,Q31AG4_PROM9 Thioredoxin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1072 PE=3 SV=1,thiol reductase thioredoxin,Cytoplasm,O,1.20E-07,1.31E-10,-9.847161143
MIT9312,Q318D1,Q318D1_PROM9 Transketolase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1703 PE=3 SV=1,transketolase,Cytoplasm,G,3.82E-07,3.92E-10,-9.92627986
MIT9312,Q319G6,Q319G6_PROM9 Bacterial nucleoid protein Hbs OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1419 PE=3 SV=1,DNA-binding protein,Cytoplasm,L,1.67E-07,1.31E-10,-10.31939404
