Supplementary Table S4. Relative enrichment of proteins in vesicles vs. parent cells. Ratios are based on biovolume-normalized protein spectral counts from Trypsin/Lys-C based proteomes only (data from Supplementary Table S2).,,,,,,,,
,,,,,,,,
Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts)
MIT9313,Q7V744,Q7V744_PROMM Bacterial outer membrane protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0915 PE=3 SV=1,hypothetical protein,Inner membrane,M,5.24E-09,1.32E-09,-1.985488525
MIT9312,Q31C98,Q31C98_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0436 PE=4 SV=1,hypothetical protein,Cytoplasm,S,2.66E-09,6.54E-10,-2.022732708
MIT9312,Q318W8,Q318W8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1517 PE=4 SV=1,putative protein family PM-24,Unknown,S,2.66E-09,6.54E-10,-2.022732708
MIT9313,Q7V5F0,Q7V5F0_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1612 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,2.24E-08,5.51E-09,-2.026130509
MIT9313,Q7V628,Q7V628_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1352 PE=4 SV=1,hypothetical protein,Unknown,S,8.98E-09,2.20E-09,-2.026130509
MIT9312,Q318J0,RS3_PROM9 30S ribosomal protein S3 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsC PE=3 SV=1,30S ribosomal protein S3,Cytoplasm,J,3.57E-08,8.76E-09,-2.027509848
MIT9313,Q7V486,Q7V486_PROMM Proline-rich region OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2080 PE=4 SV=1,hypothetical protein,Unknown,S,1.27E-08,3.09E-09,-2.043204023
MIT9313,Q7V6P8,Q7V6P8_PROMM Possible cAMP phosphodiesterases class-II OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1098 PE=4 SV=1,cAMP phosphodiesterase,Outside cytoplasm,S,3.74E-08,9.04E-09,-2.049400288
MIT9313,Q7V3R8,Q7V3R8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2273 PE=4 SV=1,putative membrane protein,Outside cytoplasm,S,8.23E-09,1.98E-09,-2.05260272
MIT9312,Q31BY1,Q31BY1_PROM9 Carboxysome shell protein CsoS3 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0553 PE=4 SV=1,carboxysome shell protein,Cytoplasm,S,1.09E-08,2.48E-09,-2.136261653
MIT9313,Q7V6N0,Q7V6N0_PROMM Putative lycopene beta cyclase OS=Prochlorococcus marinus (strain MIT 9313) GN=crtL1 PE=4 SV=1,lycopene cyclase,Inner membrane,I,2.99E-09,6.61E-10,-2.178133602
MIT9313,Q7V696,Q7V696_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1274 PE=4 SV=1,hypothetical protein,Inner membrane,S,2.84E-08,6.17E-09,-2.203668695
MIT9313,Q7V487,Q7V487_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2079 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,1.12E-08,2.42E-09,-2.21055508
MIT9313,Q7V8R1,Q7V8R1_PROMM Putative penicillin binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0271 PE=4 SV=1,carboxypeptidase,Inner membrane,M,2.77E-08,5.95E-09,-2.217661966
MIT9313,Q7V794,Q7V794_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0860 PE=4 SV=1,putative protein family PM-24,Unknown,S,8.23E-09,1.76E-09,-2.222527722
MIT9313,Q7V5Z0,Q7V5Z0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1393 PE=4 SV=1,hypothetical protein,Cytoplasm,S,3.82E-08,8.16E-09,-2.22606808
MIT9312,Q318K5,RS13_PROM9 30S ribosomal protein S13 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsM PE=3 SV=1,30S ribosomal protein S13,Cytoplasm,J,3.01E-08,6.41E-09,-2.232451299
MIT9312,Q318L0,RL13_PROM9 50S ribosomal protein L13 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplM PE=3 SV=1,50S ribosomal protein L13,Cytoplasm,J,3.54E-08,7.32E-09,-2.274271475
MIT9313,Q7V6Z5,Q7V6Z5_PROMM Outer membrane efflux protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0980 PE=4 SV=1,transporter,Outer membrane,S,7.48E-09,1.54E-09,-2.277669276
MIT9312,Q31BY4,RBL_PROM9 Ribulose bisphosphate carboxylase large chain OS=Prochlorococcus marinus (strain MIT 9312) GN=cbbL PE=3 SV=1,ribulose bisphosphate carboxylase large chain,Cytoplasm,G,1.96E-07,3.82E-08,-2.362121772
MIT9312,Q31CR7,Q31CR7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0267 PE=4 SV=1,DoxX subfamily protein,Inner membrane,S,4.13E-09,7.84E-10,-2.397128223
MIT9312,Q318J7,RS8_PROM9 30S ribosomal protein S8 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsH PE=3 SV=1,30S ribosomal protein S8,Cytoplasm,J,3.04E-08,5.75E-09,-2.40180471
MIT9313,Q7V4Q9,Q7V4Q9_PROMM Possible ABC transporter OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1888 PE=4 SV=1,mammalian cell entry protein,Unknown,Q,5.99E-09,1.10E-09,-2.441168008
MIT9312,Q318H4,Q318H4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1660 PE=4 SV=1,putative membrane protein,Unknown,S,5.02E-09,9.15E-10,-2.45484372
MIT9313,Q7TUQ8,Q7TUQ8_PROMM Acid phosphatase OS=Prochlorococcus marinus (strain MIT 9313) GN=phoN PE=3 SV=1,acid phosphatase,Periplasm,I,1.50E-08,2.65E-09,-2.500061698
MIT9312,Q319U5,RS14_PROM9 30S ribosomal protein S14 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsN PE=3 SV=1,30S ribosomal protein S14,Cytoplasm,J,1.71E-08,3.01E-09,-2.50915484
MIT9312,Q318N6,RS10_PROM9 30S ribosomal protein S10 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsJ PE=3 SV=1,30S ribosomal protein S10,Cytoplasm,J,4.99E-08,8.63E-09,-2.531221118
MIT9312,Q31BC8,Q31BC8_PROM9 DevC protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0757 PE=3 SV=1,ABC transporter,Inner membrane,V,5.31E-09,9.15E-10,-2.53730588
MIT9312,Q319X5,"Q319X5_PROM9 Putative iron ABC transporter, substrate binding protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1261 PE=4 SV=1",iron ABC transporter substrate-binding protein,Periplasm,P,9.15E-09,1.57E-09,-2.543969611
MIT9313,Q7V5M9,Q7V5M9_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1523 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,1.11E-07,1.87E-08,-2.572873687
MIT9312,Q31D90,Q31D90_PROM9 PDZ/DHR/GLGF protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0094 PE=4 SV=1,serine protease,Unknown,O,7.97E-09,1.31E-09,-2.607695208
MIT9312,Q31CC9,RS4_PROM9 30S ribosomal protein S4 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsD PE=3 SV=1,30S ribosomal protein S4,Cytoplasm,J,5.99E-08,9.68E-09,-2.630618353
MIT9312,Q31D79,Q31D79_PROM9 Thioredoxin domain 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0105 PE=4 SV=1,thioredoxin,Inner membrane,S,1.06E-08,1.70E-09,-2.644221084
MIT9313,Q7V7K0,Q7V7K0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0744 PE=4 SV=1,LPS export ABC transporter periplasmic protein LptC,Cytoplasm,S,2.77E-08,4.41E-09,-2.650621374
MIT9312,Q31C20,Q31C20_PROM9 Signal peptidase I OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0514 PE=3 SV=1,S26 family signal peptidase,Inner membrane,U,5.02E-09,7.84E-10,-2.677236142
MIT9312,Q319K4,RS16_PROM9 30S ribosomal protein S16 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsP PE=3 SV=1,30S ribosomal protein S16,Cytoplasm,J,4.25E-08,6.54E-09,-2.700804613
MIT9312,Q31D83,Q31D83_PROM9 RND family outer membrane efflux protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0101 PE=4 SV=1,RND transporter,Outer membrane,M,2.30E-08,3.40E-09,-2.759698301
MIT9312,Q31B70,Q31B70_PROM9 Zn-ribbon protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0815 PE=4 SV=1,Zn-ribbon protein,Inner membrane,S,2.66E-09,3.92E-10,-2.759698302
MIT9312,Q31AN3,Q31AN3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1002 PE=4 SV=1,hypothetical protein,Inner membrane,S,2.66E-09,3.92E-10,-2.759698302
MIT9313,Q7V4Y0,Q7V4Y0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1804 PE=4 SV=1,putative protein family PM-1,Unknown,S,7.48E-09,1.10E-09,-2.763096103
MIT9313,Q7V761,"Q7V761_PROMM ABC transporter for amino acids, substrate binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0897 PE=4 SV=1",amino acid ABC transporter substrate-binding protein,Periplasm,E,1.65E-08,2.42E-09,-2.763096103
MIT9312,Q31BY3,"Q31BY3_PROM9 Ribulose 1,5-bisphosphate carboxylase small subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0551 PE=4 SV=1",ribulose bisphosphate carboxylase small chain,Unknown,C,2.28E-07,3.20E-08,-2.832422466
MIT9312,Q31BY7,Q31BY7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0547 PE=4 SV=1,BMC domain-containing protein,Unknown,E,4.72E-09,6.54E-10,-2.852807706
MIT9313,Q7V6I2,Q7V6I2_PROMM Peptidyl-prolyl cis-trans isomerase OS=Prochlorococcus marinus (strain MIT 9313) GN=ppiB PE=3 SV=1,peptidyl-prolyl cis-trans isomerase,Periplasm,O,6.73E-09,8.82E-10,-2.933021105
MIT9313,Q7V8Y2,Q7V8Y2_PROMM Possible LysM domain OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0190 PE=4 SV=1,peptidoglycan-binding protein LysM,Outside cytoplasm,M,7.18E-08,9.26E-09,-2.955741181
MIT9312,Q31DB8,Q31DB8_PROM9 High light inducible protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0066 PE=4 SV=1,high light inducible protein,Unknown,S,1.53E-08,1.96E-09,-2.968284924
MIT9312,Q31AZ8,Q31AZ8_PROM9 ABC transporter-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0887 PE=3 SV=1,ABC transporter permease,Inner membrane,V,1.59E-08,1.96E-09,-3.022732707
MIT9312,Q318L1,RS9_PROM9 30S ribosomal protein S9 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsI PE=3 SV=1,30S ribosomal protein S9,Cytoplasm,J,1.42E-08,1.70E-09,-3.059258584
MIT9312,Q318K0,RS5_PROM9 30S ribosomal protein S5 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsE PE=3 SV=1,30S ribosomal protein S5,Cytoplasm,J,4.72E-08,5.62E-09,-3.070399141
MIT9312,Q318I8,RS19_PROM9 30S ribosomal protein S19 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsS PE=3 SV=1,30S ribosomal protein S19,Cytoplasm,J,1.74E-08,1.96E-09,-3.150488255
MIT9312,Q31AE6,Q31AE6_PROM9 Villin headpiece domain protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1090 PE=4 SV=1,Villin headpiece domain-containing protein,Unknown,S,5.90E-09,6.54E-10,-3.174735801
MIT9312,Q318N3,RS7_PROM9 30S ribosomal protein S7 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsG PE=3 SV=1,30S ribosomal protein S7,Cytoplasm,J,9.24E-08,1.02E-08,-3.179352429
MIT9312,Q31B78,Q31B78_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0807 PE=4 SV=1,glutaredoxin,Cytoplasm,S,1.42E-08,1.44E-09,-3.300266683
MIT9313,Q7V7V0,Q7V7V0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0633 PE=4 SV=1,hypothetical protein,Unknown,S,6.73E-09,6.61E-10,-3.348058604
MIT9313,Q7V8U4,Q7V8U4_PROMM Putative L-cysteine/cystine lyase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0233 PE=4 SV=1,L-cysteine/cystine lyase,Cytoplasm,E,2.24E-09,2.20E-10,-3.348058604
MIT9312,Q31BY6,Q31BY6_PROM9 HAM1 family protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0548 PE=4 SV=1,non-canonical purine NTP pyrophosphatase,Cytoplasm,F,1.48E-08,1.44E-09,-3.359160372
MIT9312,Q318B1,Q318B1_PROM9 Magnesium transporter MgtE OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1723 PE=3 SV=1,magnesium transporter,Inner membrane,P,2.42E-08,2.35E-09,-3.362362804
MIT9312,Q31CP2,Q31CP2_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0292 PE=4 SV=1,peptidase S16,Inner membrane,Q,5.61E-09,5.23E-10,-3.422663315
MIT9312,Q319L0,Q319L0_PROM9 Polysaccharide export-related periplasmic protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1375 PE=4 SV=1,polysaccharide export-related periplasmic protein,Unknown,M,3.39E-08,3.14E-09,-3.435263351
MIT9313,Q7V4U1,Q7V4U1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1849 PE=4 SV=1,hypothetical protein,Unknown,S,2.39E-08,2.20E-09,-3.441168008
MIT9312,Q31A01,Q31A01_PROM9 Secretion protein HlyD OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1235 PE=3 SV=1,hemolysin D,Cytoplasm,V,4.63E-08,4.18E-09,-3.46935655
MIT9312,Q31CU3,Q31CU3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0241 PE=4 SV=1,putative membrane protein,Inner membrane,S,2.95E-09,2.61E-10,-3.496663896
MIT9313,Q7U3A1,"Q7U3A1_PROMM Serine proteases, trypsin family:PDZ domain OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1188 PE=4 SV=1",serine protease,Periplasm,O,8.15E-08,7.05E-09,-3.531280428
MIT9312,Q31BZ2,Q31BZ2_PROM9 NADPH-protochlorophyllide oxidoreductase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0542 PE=4 SV=1,protochlorophyllide oxidoreductase,Cytoplasm,H,1.68E-08,1.44E-09,-3.548194197
MIT9313,Q7TV53,Q7TV53_PROMM Possible Peptidase family M20/M25/M40 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0285 PE=4 SV=1,hypothetical protein,Unknown,S,7.03E-08,5.73E-09,-3.617245237
MIT9312,Q318J2,RL29_PROM9 50S ribosomal protein L29 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmC PE=3 SV=1,50S ribosomal protein L29,Unknown,J,1.80E-08,1.44E-09,-3.64604152
MIT9313,Q7V923,Q7V923_PROMM Single-stranded DNA-binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=ssb PE=3 SV=1,single-stranded DNA-binding protein,Cytoplasm,L,1.42E-08,1.10E-09,-3.689095521
MIT9312,Q319N0,Q319N0_PROM9 Uncharacterized protein involved in exopolysaccharide biosynthesis-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1355 PE=4 SV=1,hypothetical protein,Inner membrane,M,1.06E-08,7.84E-10,-3.759698301
MIT9313,Q7V5D0,Q7V5D0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1634 PE=4 SV=1,putative membrane protein,Unknown,S,8.98E-09,6.61E-10,-3.763096103
MIT9313,Q7V7H8,Q7V7H8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0768 PE=4 SV=1,hypothetical protein,Unknown,S,2.99E-09,2.20E-10,-3.763096103
MIT9313,Q7TUM0,Q7TUM0_PROMM Possible Pectate lyase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1985 PE=4 SV=1,pectate lyase,Inner membrane,S,2.99E-09,2.20E-10,-3.763096103
MIT9312,Q31A37,Q31A37_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1199 PE=4 SV=1,pilin,Extracellular,U,1.42E-07,1.03E-08,-3.777845649
MIT9312,Q318X9,Q318X9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1506 PE=4 SV=1,cupin,Outside cytoplasm,S,7.38E-09,5.23E-10,-3.818591991
MIT9312,Q31A71,"Q31A71_PROM9 Amino acid ABC transporter ATP-binding protein, PAAT family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1165 PE=4 SV=1",polar amino acid ABC transporter ATP-binding protein,Inner membrane,E,5.61E-09,3.92E-10,-3.837700814
MIT9312,Q319V0,Q319V0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1286 PE=4 SV=1,ribonuclease P,Unknown,S,1.74E-08,1.18E-09,-3.887453849
MIT9312,Q31D89,Q31D89_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0095 PE=4 SV=1,putative membrane protein,Unknown,S,9.74E-09,6.54E-10,-3.897201826
MIT9312,Q31BU5,Q31BU5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0589 PE=4 SV=1,hypothetical protein,Outer membrane,S,9.74E-09,6.54E-10,-3.897201826
MIT9312,Q31A55,Q31A55_PROM9 Outer membrane protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1181 PE=4 SV=1,transporter,Outer membrane,M,3.36E-08,2.22E-09,-3.920162974
MIT9312,Q31BH5,Q31BH5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0710 PE=4 SV=1,hypothetical protein,Unknown,S,2.07E-09,1.31E-10,-3.982090723
MIT9312,Q317T5,RS6_PROM9 30S ribosomal protein S6 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsF PE=3 SV=1,30S ribosomal protein S6,Cytoplasm,J,3.10E-08,1.96E-09,-3.982090723
MIT9313,Q7TV85,"Q7TV85_PROMM Acetyl-CoA carboxylase, biotin carboxyl carrier protein OS=Prochlorococcus marinus (strain MIT 9313) GN=accB PE=4 SV=1",acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,Unknown,I,3.14E-08,1.98E-09,-3.985488524
MIT9313,Q7V743,Q7V743_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0916 PE=4 SV=1,hypothetical protein,Unknown,S,2.09E-08,1.32E-09,-3.985488525
MIT9312,Q319I8,Q319I8_PROM9 Acetylornithine aminotransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=argD PE=3 SV=1,NA,Cytoplasm,E,6.49E-09,3.92E-10,-4.049204919
MIT9312,Q319V5,"Q319V5_PROM9 Signal peptide peptidase A, Serine peptidase, MEROPS family S49 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1281 PE=4 SV=1",protease,Inner membrane,O,4.34E-08,2.61E-09,-4.052480051
MIT9313,Q7V8R8,Q7V8R8_PROMM Possible pilin OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0263 PE=4 SV=1,pilin,Unknown,U,2.62E-08,1.54E-09,-4.085024198
MIT9313,Q7V713,Q7V713_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0951 PE=4 SV=1,hypothetical protein,Unknown,S,3.74E-09,2.20E-10,-4.085024199
MIT9312,Q31BA2,Q31BA2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0783 PE=4 SV=1,membrane protein,Unknown,S,2.27E-08,1.31E-09,-4.119594247
MIT9313,Q7V6M7,Q7V6M7_PROMM Putative IMP dehydrogenase OS=Prochlorococcus marinus (strain MIT 9313) GN=guaB PE=4 SV=1,guanosine monophosphate reductase,Cytoplasm,F,1.17E-07,6.61E-09,-4.141607726
MIT9312,Q31CP3,Q31CP3_PROM9 Putative ABC transporter OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0291 PE=4 SV=1,mammalian cell entry protein,Cytoplasm,Q,2.13E-08,1.18E-09,-4.174735801
MIT9313,Q7V536,RL16_PROMM 50S ribosomal protein L16 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplP PE=3 SV=1,50S ribosomal protein L16,Cytoplasm,J,1.20E-08,6.61E-10,-4.178133602
MIT9312,Q31BB7,Q31BB7_PROM9 Geranylgeranyl reductase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0768 PE=4 SV=1,geranylgeranyl reductase,Cytoplasm,H,9.33E-08,4.97E-09,-4.230589036
MIT9312,Q319K6,Q319K6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1379 PE=3 SV=1,membrane protein,Inner membrane,S,7.38E-09,3.92E-10,-4.23362949
MIT9313,Q7V4J6,ACP_PROMM Acyl carrier protein OS=Prochlorococcus marinus (strain MIT 9313) GN=acpP PE=3 SV=1,acyl carrier protein,Cytoplasm,S,2.17E-08,1.10E-09,-4.299149003
MIT9312,Q31CC2,Q31CC2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0412 PE=4 SV=1,NA,Unknown,S,1.83E-08,9.15E-10,-4.321577189
MIT9312,Q31B05,Q31B05_PROM9 Glutamine synthetase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0880 PE=3 SV=1,type I glutamate--ammonia ligase,Cytoplasm,E,1.13E-07,5.62E-09,-4.329671629
MIT9312,Q31BT3,"Q31BT3_PROM9 ABC transporter, substrate binding protein, possibly Mn OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0601 PE=3 SV=1",metal ABC transporter substrate-binding protein,Periplasm,P,1.06E-08,5.23E-10,-4.344660802
MIT9313,Q7V6B2,Q7V6B2_PROMM Signal peptidase I OS=Prochlorococcus marinus (strain MIT 9313) GN=lepB PE=3 SV=1,signal peptidase I,Inner membrane,U,1.35E-08,6.61E-10,-4.348058604
MIT9312,Q31A68,"Q31A68_PROM9 Amino acid ABC transporter substrate-binding protein, PAAT family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1168 PE=4 SV=1",amino acid ABC transporter substrate-binding protein,Periplasm,E,2.69E-08,1.31E-09,-4.360602346
MIT9312,Q31BV4,Q31BV4_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0580 PE=3 SV=1,chaperone protein ClpB,Cytoplasm,O,1.45E-08,6.54E-10,-4.46751755
MIT9312,Q31CL2,Q31CL2_PROM9 Ferredoxin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0322 PE=4 SV=1,ferredoxin,Unknown,C,5.90E-09,2.61E-10,-4.496663896
MIT9312,Q31BC4,RS2_PROM9 30S ribosomal protein S2 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsB PE=3 SV=1,30S ribosomal protein S2,Cytoplasm,J,3.34E-08,1.44E-09,-4.535483145
MIT9312,Q31B56,Q31B56_PROM9 Urea-binding protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0829 PE=4 SV=1,urea ABC transporter substrate-binding protein,Outside cytoplasm,E,1.83E-08,7.84E-10,-4.543969611
MIT9312,Q31A51,Q31A51_PROM9 Subtilisin-like protein serine proteases-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1185 PE=3 SV=1,Subtilisin BL,Unknown,O,6.20E-09,2.61E-10,-4.567053224
MIT9313,Q7V8T7,Q7V8T7_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0241 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,5.24E-09,2.20E-10,-4.570451025
MIT9312,Q31BM0,Q31BM0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0664 PE=4 SV=1,molecular chaperone DnaJ,Inner membrane,S,6.49E-09,2.61E-10,-4.634167419
MIT9312,Q31B73,Q31B73_PROM9 Ferritin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0812 PE=3 SV=1,ferritin,Cytoplasm,P,6.20E-08,2.48E-09,-4.641053805
MIT9312,Q31CW7,Q31CW7_PROM9 Putative sulfate transporter OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0216 PE=3 SV=1,sodium-independent anion transporter,Inner membrane,P,7.67E-08,3.01E-09,-4.673541658
MIT9313,Q7V651,Q7V651_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1326 PE=4 SV=1,transcriptional regulator,Unknown,S,3.44E-08,1.32E-09,-4.701695559
MIT9313,Q7V4B7,Q7V4B7_PROMM Two-component response regulator OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2043 PE=4 SV=1,DNA-binding response regulator,Cytoplasm,T,8.15E-08,3.09E-09,-4.723925506
MIT9312,Q31B74,Q31B74_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0811 PE=4 SV=1,ABC transporter ATP-binding protein,Inner membrane,P,3.54E-09,1.31E-10,-4.759698302
MIT9313,Q7TV08,Q7TV08_PROMM Possible Gonadotropin-releasing hormone OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0630 PE=4 SV=1,gonadotropin-releasing hormone,Cytoplasm,S,5.99E-09,2.20E-10,-4.763096104
MIT9313,Q7V7M0,Q7V7M0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0721 PE=4 SV=1,hypothetical protein,Cytoplasm,D,3.07E-08,1.10E-09,-4.798720013
MIT9313,Q7V8V7,Q7V8V7_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0216 PE=4 SV=1,hypothetical protein,Cytoplasm,S,1.68E-07,5.95E-09,-4.821989792
MIT9313,Q7V5Y9,Q7V5Y9_PROMM Bacterial DNA-binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1395 PE=3 SV=1,DNA-binding protein,Cytoplasm,L,1.50E-07,5.29E-09,-4.829185294
