Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts),resolved_locus_tag,resolution_method
MIT9312,Q31A01,Q31A01_PROM9 Secretion protein HlyD OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1235 PE=3 SV=1,hemolysin D,Cytoplasm,V,4.63e-08,4.18e-09,-3.46935655,PMT9312_1235,tier1:Protein ID
MIT9312,Q31CU3,Q31CU3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0241 PE=4 SV=1,putative membrane protein,Inner membrane,S,2.95e-09,2.61e-10,-3.496663896,PMT9312_0241,tier1:Protein ID
MIT9312,Q31BZ2,Q31BZ2_PROM9 NADPH-protochlorophyllide oxidoreductase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0542 PE=4 SV=1,protochlorophyllide oxidoreductase,Cytoplasm,H,1.68e-08,1.44e-09,-3.548194197,PMT9312_0542,tier1:Protein ID
MIT9312,Q318J2,RL29_PROM9 50S ribosomal protein L29 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmC PE=3 SV=1,50S ribosomal protein L29,Unknown,J,1.8e-08,1.44e-09,-3.64604152,PMT9312_1642,tier1:UniProt Annotation
MIT9312,Q319N0,Q319N0_PROM9 Uncharacterized protein involved in exopolysaccharide biosynthesis-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1355 PE=4 SV=1,hypothetical protein,Inner membrane,M,1.06e-08,7.84e-10,-3.759698301,PMT9312_1355,tier1:Protein ID
MIT9312,Q31A37,Q31A37_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1199 PE=4 SV=1,pilin,Extracellular,U,1.42e-07,1.03e-08,-3.777845649,PMT9312_1199,tier1:Protein ID
MIT9312,Q318X9,Q318X9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1506 PE=4 SV=1,cupin,Outside cytoplasm,S,7.38e-09,5.23e-10,-3.818591991,PMT9312_1506,tier1:Protein ID
MIT9312,Q31A71,"Q31A71_PROM9 Amino acid ABC transporter ATP-binding protein, PAAT family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1165 PE=4 SV=1",polar amino acid ABC transporter ATP-binding protein,Inner membrane,E,5.61e-09,3.92e-10,-3.837700814,PMT9312_1165,tier1:Protein ID
MIT9312,Q319V0,Q319V0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1286 PE=4 SV=1,ribonuclease P,Unknown,S,1.74e-08,1.18e-09,-3.887453849,PMT9312_1286,tier1:Protein ID
MIT9312,Q31D89,Q31D89_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0095 PE=4 SV=1,putative membrane protein,Unknown,S,9.74e-09,6.54e-10,-3.897201826,PMT9312_0095,tier1:Protein ID
MIT9312,Q31BU5,Q31BU5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0589 PE=4 SV=1,hypothetical protein,Outer membrane,S,9.74e-09,6.54e-10,-3.897201826,PMT9312_0589,tier1:Protein ID
MIT9312,Q31A55,Q31A55_PROM9 Outer membrane protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1181 PE=4 SV=1,transporter,Outer membrane,M,3.36e-08,2.22e-09,-3.920162974,PMT9312_1181,tier1:Protein ID
MIT9312,Q31BH5,Q31BH5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0710 PE=4 SV=1,hypothetical protein,Unknown,S,2.07e-09,1.31e-10,-3.982090723,PMT9312_0710,tier1:Protein ID
MIT9312,Q317T5,RS6_PROM9 30S ribosomal protein S6 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsF PE=3 SV=1,30S ribosomal protein S6,Cytoplasm,J,3.1e-08,1.96e-09,-3.982090723,PMT9312_1799,tier1:UniProt Annotation
MIT9312,Q319I8,Q319I8_PROM9 Acetylornithine aminotransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=argD PE=3 SV=1,,Cytoplasm,E,6.49e-09,3.92e-10,-4.049204919,PMT9312_1397,tier1:Protein ID
MIT9312,Q319V5,"Q319V5_PROM9 Signal peptide peptidase A, Serine peptidase, MEROPS family S49 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1281 PE=4 SV=1",protease,Inner membrane,O,4.34e-08,2.61e-09,-4.052480051,PMT9312_1281,tier1:Protein ID
MIT9312,Q31BA2,Q31BA2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0783 PE=4 SV=1,membrane protein,Unknown,S,2.27e-08,1.31e-09,-4.119594247,PMT9312_0783,tier1:Protein ID
MIT9312,Q31CP3,Q31CP3_PROM9 Putative ABC transporter OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0291 PE=4 SV=1,mammalian cell entry protein,Cytoplasm,Q,2.13e-08,1.18e-09,-4.174735801,PMT9312_0291,tier1:Protein ID
MIT9312,Q31BB7,Q31BB7_PROM9 Geranylgeranyl reductase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0768 PE=4 SV=1,geranylgeranyl reductase,Cytoplasm,H,9.33e-08,4.97e-09,-4.230589036,PMT9312_0768,tier1:Protein ID
MIT9312,Q319K6,Q319K6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1379 PE=3 SV=1,membrane protein,Inner membrane,S,7.38e-09,3.92e-10,-4.23362949,PMT9312_1379,tier1:Protein ID
MIT9312,Q31CC2,Q31CC2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0412 PE=4 SV=1,,Unknown,S,1.83e-08,9.15e-10,-4.321577189,PMT9312_0412,tier1:Protein ID
MIT9312,Q31B05,Q31B05_PROM9 Glutamine synthetase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0880 PE=3 SV=1,type I glutamate--ammonia ligase,Cytoplasm,E,1.13e-07,5.62e-09,-4.329671629,PMT9312_0880,tier1:Protein ID
MIT9312,Q31BT3,"Q31BT3_PROM9 ABC transporter, substrate binding protein, possibly Mn OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0601 PE=3 SV=1",metal ABC transporter substrate-binding protein,Periplasm,P,1.06e-08,5.23e-10,-4.344660802,PMT9312_0601,tier1:Protein ID
MIT9312,Q31A68,"Q31A68_PROM9 Amino acid ABC transporter substrate-binding protein, PAAT family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1168 PE=4 SV=1",amino acid ABC transporter substrate-binding protein,Periplasm,E,2.69e-08,1.31e-09,-4.360602346,PMT9312_1168,tier1:Protein ID
MIT9312,Q31BV4,Q31BV4_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0580 PE=3 SV=1,chaperone protein ClpB,Cytoplasm,O,1.45e-08,6.54e-10,-4.46751755,PMT9312_0580,tier1:Protein ID
MIT9312,Q31CL2,Q31CL2_PROM9 Ferredoxin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0322 PE=4 SV=1,ferredoxin,Unknown,C,5.9e-09,2.61e-10,-4.496663896,PMT9312_0322,tier1:Protein ID
MIT9312,Q31BC4,RS2_PROM9 30S ribosomal protein S2 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsB PE=3 SV=1,30S ribosomal protein S2,Cytoplasm,J,3.34e-08,1.44e-09,-4.535483145,PMT9312_0761,tier1:UniProt Annotation
MIT9312,Q31B56,Q31B56_PROM9 Urea-binding protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0829 PE=4 SV=1,urea ABC transporter substrate-binding protein,Outside cytoplasm,E,1.83e-08,7.84e-10,-4.543969611,PMT9312_0829,tier1:Protein ID
MIT9312,Q31A51,Q31A51_PROM9 Subtilisin-like protein serine proteases-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1185 PE=3 SV=1,Subtilisin BL,Unknown,O,6.2e-09,2.61e-10,-4.567053224,PMT9312_1185,tier1:Protein ID
MIT9312,Q31BM0,Q31BM0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0664 PE=4 SV=1,molecular chaperone DnaJ,Inner membrane,S,6.49e-09,2.61e-10,-4.634167419,PMT9312_0664,tier1:Protein ID
MIT9312,Q31B73,Q31B73_PROM9 Ferritin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0812 PE=3 SV=1,ferritin,Cytoplasm,P,6.2e-08,2.48e-09,-4.641053805,PMT9312_0812,tier1:Protein ID
MIT9312,Q31CW7,Q31CW7_PROM9 Putative sulfate transporter OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0216 PE=3 SV=1,sodium-independent anion transporter,Inner membrane,P,7.67e-08,3.01e-09,-4.673541658,PMT9312_0216,tier1:Protein ID
MIT9312,Q31B74,Q31B74_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0811 PE=4 SV=1,ABC transporter ATP-binding protein,Inner membrane,P,3.54e-09,1.31e-10,-4.759698302,PMT9312_0811,tier1:Protein ID
MIT9312,Q31DB7,Q31DB7_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0067 PE=4 SV=1,ABC transporter ATP-binding protein,Inner membrane,S,1.95e-08,6.54e-10,-4.897201826,PMT9312_0067,tier1:Protein ID
MIT9312,Q318D3,ACP_PROM9 Acyl carrier protein OS=Prochlorococcus marinus (strain MIT 9312) GN=acpP PE=3 SV=1,acyl carrier protein,Cytoplasm,S,3.29e-07,1.09e-08,-4.922524365,PMT9312_1701,tier1:UniProt Annotation
MIT9312,Q318J3,RS17_PROM9 30S ribosomal protein S17 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsQ PE=3 SV=1,30S ribosomal protein S17,Cytoplasm,J,5.19e-08,1.7e-09,-4.933727702,PMT9312_1641,tier1:UniProt Annotation
MIT9312,Q31BA0,Q31BA0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0785 PE=4 SV=1,Secreted pentapeptide repeats protein,Unknown,S,3.01e-08,7.84e-10,-5.262198642,PMT9312_0785,tier1:Protein ID
MIT9312,Q31CM2,Q31CM2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0312 PE=4 SV=1,hypothetical protein,Unknown,S,1.56e-08,3.92e-10,-5.317693755,PMT9312_0312,tier1:Protein ID
MIT9312,Q31BF6,PSTB_PROM9 Phosphate import ATP-binding protein PstB OS=Prochlorococcus marinus (strain MIT 9312) GN=pstB PE=3 SV=1,phosphate ABC transporter ATP-binding protein,Inner membrane,P,1.56e-08,3.92e-10,-5.317693755,PMT9312_0729,tier1:UniProt Annotation
MIT9312,Q31AV0,Q31AV0_PROM9 SMC domain N terminal domain-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0935 PE=4 SV=1,LPS export ABC transporter periplasmic protein LptC,Unknown,S,5.31e-09,1.31e-10,-5.344660802,PMT9312_0935,tier1:Protein ID
MIT9312,Q31CX8,RL1_PROM9 50S ribosomal protein L1 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplA PE=3 SV=1,50S ribosomal protein L1,Cytoplasm,J,1.24e-07,3.01e-09,-5.361980278,PMT9312_0205,tier1:UniProt Annotation
MIT9312,Q31DG7,Q31DG7_PROM9 Chaperone protein DnaJ OS=Prochlorococcus marinus (strain MIT 9312) GN=dnaJ PE=3 SV=1,molecular chaperone DnaJ,Cytoplasm,O,2.72e-08,6.54e-10,-5.376369663,PMT9312_0017,tier1:Protein ID
MIT9312,Q31CI4,Q31CI4_PROM9 Sec-independent protein translocase protein TatA OS=Prochlorococcus marinus (strain MIT 9312) GN=tatA PE=3 SV=1,protein translocase TatA,Inner membrane,U,1.65e-08,3.92e-10,-5.397128222,PMT9312_0350,tier1:Protein ID
MIT9312,Q31C54,Q31C54_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0480 PE=4 SV=1,DNA recombination-mediator protein A,Cytoplasm,S,1.71e-08,3.92e-10,-5.447754296,PMT9312_0480,tier1:Protein ID
MIT9312,Q31D37,Q31D37_PROM9 Three-step phytoene desaturase / zeta-carotene desaturase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0146 PE=4 SV=1,phytoene desaturase,Cytoplasm,H,1.95e-08,3.92e-10,-5.63416742,PMT9312_0146,tier1:Protein ID
MIT9312,Q319T2,Q319T2_PROM9 Pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1304 PE=3 SV=1,aminotransferase DegT,Cytoplasm,E,1.98e-08,3.92e-10,-5.655862491,PMT9312_1304,tier1:Protein ID
MIT9312,Q31B83,Q31B83_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0802 PE=4 SV=1,thioredoxin,Unknown,S,6.79e-09,1.31e-10,-5.698297757,PMT9312_0802,tier1:Protein ID
MIT9312,Q31CY6,PGK_PROM9 Phosphoglycerate kinase OS=Prochlorococcus marinus (strain MIT 9312) GN=pgk PE=3 SV=1,phosphoglycerate kinase,Cytoplasm,G,1.18e-07,2.22e-09,-5.734731386,PMT9312_0197,tier1:UniProt Annotation
MIT9312,Q31BC9,Q31BC9_PROM9 ABC transporter component-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0756 PE=4 SV=1,lipid ABC transporter permease,Cytoplasm,M,7.08e-09,1.31e-10,-5.759698302,PMT9312_0756,tier1:Protein ID
MIT9312,Q31CK4,"Q31CK4_PROM9 C-terminal processing peptidase-2, Serine peptidase, MEROPS family S41A OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0330 PE=3 SV=1",peptidase S41,Inner membrane,M,2.86e-08,5.23e-10,-5.774648643,PMT9312_0330,tier1:Protein ID
MIT9312,Q317W3,Q317W3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1771 PE=4 SV=1,membrane protein,Unknown,S,1.45e-08,2.61e-10,-5.789445645,PMT9312_1771,locus_tag:UniProt Annotation
MIT9312,Q31BV3,Q31BV3_PROM9 Plastocyanin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0581 PE=4 SV=1,plastocyanin,Periplasm,C,1.21e-07,2.09e-09,-5.857730384,PMT9312_0581,tier1:Protein ID
MIT9312,Q31AL8,Q31AL8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1017 PE=4 SV=1,cell surface protein,Unknown,S,3.13e-08,5.23e-10,-5.902656256,PMT9312_1017,tier1:Protein ID
MIT9312,Q31D70,Q31D70_PROM9 Putative glutathione S-transferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0113 PE=4 SV=1,glutathione S-transferase,Cytoplasm,O,1.62e-08,2.61e-10,-5.956095515,PMT9312_0113,tier1:Protein ID
MIT9312,Q31AA6,Q31AA6_PROM9 Porin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1130 PE=4 SV=1,porin,Extracellular,S,9.15e-09,1.31e-10,-6.128932111,PMT9312_1130,tier1:Protein ID
MIT9312,Q319P6,Q319P6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1339 PE=4 SV=1,hypothetical protein,Cytoplasm,S,9.15e-09,1.31e-10,-6.128932111,PMT9312_1339,tier1:Protein ID
MIT9312,Q31C51,"Q31C51_PROM9 SPFH domain, Band 7 family protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0483 PE=4 SV=1",membrane protease subunit%2C stomatin/prohibitin,Unknown,S,1.12e-07,1.44e-09,-6.277546607,PMT9312_0483,tier1:Protein ID
MIT9312,Q31AB2,"Q31AB2_PROM9 Two component transcriptional regulator, winged helix family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1124 PE=4 SV=1",DNA-binding response regulator,Cytoplasm,T,3.69e-08,3.92e-10,-6.555557585,PMT9312_1124,tier1:Protein ID
MIT9312,Q31DA7,Q31DA7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0077 PE=4 SV=1,hypothetical protein,Outer membrane,S,8.68e-08,9.15e-10,-6.567053224,PMT9312_0077,tier1:Protein ID
MIT9312,Q31CR9,Q31CR9_PROM9 Ammonium transporter OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0265 PE=3 SV=1,ammonium transporter,Inner membrane,P,1.27e-08,1.31e-10,-6.601000555,PMT9312_0265,tier1:Protein ID
MIT9312,Q318V6,CH602_PROM9 60 kDa chaperonin 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=groL2 PE=3 SV=1,Chaperonin GroEL,Cytoplasm,O,7.84e-07,7.98e-09,-6.619037895,PMT9312_1529,tier1:UniProt Annotation
MIT9312,Q319K1,Q319K1_PROM9 Pyruvate dehydrogenase E1 component subunit alpha OS=Prochlorococcus marinus (strain MIT 9312) GN=pdhA PE=4 SV=1,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,Cytoplasm,C,2.63e-08,2.61e-10,-6.650469232,PMT9312_1384,tier1:Protein ID
MIT9312,Q319M7,Q319M7_PROM9 ATP-dependent zinc metalloprotease FtsH OS=Prochlorococcus marinus (strain MIT 9312) GN=ftsH PE=3 SV=1,cell division protein FtsH,Inner membrane,O,1.19e-07,1.18e-09,-6.663022282,PMT9312_0228,tier1:UniProt Annotation
MIT9312,Q31D47,"Q31D47_PROM9 Two component transcriptional regulator, winged helix family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0136 PE=4 SV=1",DNA-binding response regulator,Cytoplasm,T,2.72e-08,2.61e-10,-6.698297757,PMT9312_0136,tier1:Protein ID
MIT9312,Q31C50,"GSA_PROM9 Glutamate-1-semialdehyde 2,1-aminomutase OS=Prochlorococcus marinus (strain MIT 9312) GN=hemL PE=3 SV=1",glutamate-1-semialdehyde 2%2C1-aminomutase,Cytoplasm,H,8.15e-08,7.84e-10,-6.698297757,PMT9312_0484,tier1:UniProt Annotation
MIT9312,Q31CC0,Q31CC0_PROM9 NifU-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0414 PE=4 SV=1,Thioredoxin family protein,Unknown,S,2.83e-08,2.61e-10,-6.759698301,PMT9312_0414,tier1:Protein ID
MIT9312,Q31CK7,Q31CK7_PROM9 Site-determining protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0327 PE=3 SV=1,septum site-determining protein MinD,Inner membrane,D,1.45e-08,1.31e-10,-6.789445645,PMT9312_0327,tier1:Protein ID
MIT9312,Q319D5,Q319D5_PROM9 Ferredoxin (2Fe-2S) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1450 PE=4 SV=1,ferredoxin,Unknown,C,2.27e-07,1.96e-09,-6.852807706,PMT9312_1450,tier1:Protein ID
MIT9312,Q31DF7,Q31DF7_PROM9 Biotin carboxyl carrier protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0027 PE=4 SV=1,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,Unknown,I,6.35e-08,5.23e-10,-6.922928651,PMT9312_0027,tier1:Protein ID
MIT9312,Q319D7,Q319D7_PROM9 Pentapeptide repeat-containing protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1448 PE=4 SV=1,Secreted pentapeptide repeats protein,Extracellular,S,5.35e-07,4.31e-09,-6.954504892,PMT9312_1448,tier1:Protein ID
MIT9312,Q31DH1,Q31DH1_PROM9 RNA-binding region RNP-1 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0013 PE=4 SV=1,RNA-binding protein,Unknown,S,1e-07,7.84e-10,-6.999164236,PMT9312_0013,tier1:Protein ID
MIT9312,Q31CG1,Q31CG1_PROM9 Endonuclease OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0373 PE=4 SV=1,DNA helicase,Unknown,S,3.63e-08,2.61e-10,-7.117250306,PMT9312_0373,tier1:Protein ID
MIT9312,Q31C83,CH601_PROM9 60 kDa chaperonin 1 OS=Prochlorococcus marinus (strain MIT 9312) GN=groL1 PE=3 SV=1,molecular chaperone GroEL,Cytoplasm,O,2.06e-07,1.44e-09,-7.164452828,PMT9312_0451,tier1:UniProt Annotation
MIT9312,Q31B11,PSB28_PROM9 Photosystem II reaction center Psb28 protein OS=Prochlorococcus marinus (strain MIT 9312) GN=psb28 PE=3 SV=1,photosystem II reaction center Psb28 protein,Thylakoid membrane,H,1.92e-08,1.31e-10,-7.197103614,PMT9312_0874,tier1:UniProt Annotation
MIT9312,Q31DB9,Q31DB9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0065 PE=4 SV=1,hypothetical protein,Outer membrane,S,2.01e-08,1.31e-10,-7.262198642,PMT9312_0065,tier1:Protein ID
MIT9312,Q31CV3,Q31CV3_PROM9 Photosystem II manganese-stabilizing protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0230 PE=4 SV=1,photosystem II manganese-stabilizing protein,Cytoplasm,M,8.02e-07,4.97e-09,-7.334076052,PMT9312_0230,tier1:Protein ID
MIT9312,Q319K2,Q319K2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1383 PE=4 SV=1,molecular chaperone DnaJ,Unknown,S,6.52e-08,3.92e-10,-7.37767586,PMT9312_1383,tier1:Protein ID
MIT9312,Q318D2,Q318D2_PROM9 3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1702 PE=3 SV=1,beta-ketoacyl-[acyl-carrier-protein] synthase II,Inner membrane,I,4.37e-08,2.61e-10,-7.384189167,PMT9312_1702,locus_tag:UniProt Annotation
MIT9312,Q317S5,Q317S5_PROM9 Threonine synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1808 PE=3 SV=1,threonine synthase,Cytoplasm,E,4.4e-08,2.61e-10,-7.393904321,PMT9312_1808,tier1:Protein ID
MIT9312,Q31CL6,Q31CL6_PROM9 SSU ribosomal protein S1P OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0318 PE=4 SV=1,30S ribosomal protein S1,Cytoplasm,J,8.88e-08,5.23e-10,-7.408355478,PMT9312_0318,tier1:Protein ID
MIT9312,Q31AP1,"Q31AP1_PROM9 Helix-hairpin-helix DNA-binding, class 1 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0994 PE=4 SV=1",DNA-binding protein,Unknown,S,7.05e-08,3.92e-10,-7.490640109,PMT9312_0994,tier1:Protein ID
MIT9312,Q31AJ2,Q31AJ2_PROM9 Cobalamin synthesis protein/P47K OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1044 PE=4 SV=1,cobalamin biosynthesis protein CobW,Cytoplasm,S,2.36e-08,1.31e-10,-7.496663896,PMT9312_1044,tier1:Protein ID
MIT9312,Q318N5,EFTU_PROM9 Elongation factor Tu OS=Prochlorococcus marinus (strain MIT 9312) GN=tuf PE=3 SV=1,elongation factor Tu,Cytoplasm,J,4.74e-07,2.61e-09,-7.50296192,PMT9312_1600,tier1:UniProt Annotation
MIT9312,Q31AU1,Q31AU1_PROM9 Thioredoxin peroxidase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0944 PE=4 SV=1,peroxiredoxin,Cytoplasm,O,2.19e-07,1.18e-09,-7.5420292,PMT9312_0944,tier1:Protein ID
MIT9312,Q319J6,Q319J6_PROM9 Peptidyl-prolyl cis-trans isomerase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1389 PE=3 SV=1,peptidyl-prolyl cis-trans isomerase,Periplasm,O,1.29e-07,6.54e-10,-7.627594766,PMT9312_1389,tier1:Protein ID
MIT9312,Q31C65,Q31C65_PROM9 Photosystem I PsaF protein (Subunit III) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0469 PE=4 SV=1,photosystem I PsaF protein (subunit III),Thylakoid membrane,M,1.09e-07,5.23e-10,-7.706117262,PMT9312_0469,tier1:Protein ID
MIT9312,Q318N4,EFG_PROM9 Elongation factor G OS=Prochlorococcus marinus (strain MIT 9312) GN=fusA PE=3 SV=1,elongation factor G,Cytoplasm,J,1.67e-07,7.84e-10,-7.734431543,PMT9312_1601,tier1:UniProt Annotation
MIT9312,Q31DA5,Q31DA5_PROM9 Phosphoglucomutase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0079 PE=3 SV=1,alpha-D-glucose phosphate-specific phosphoglucomutase,Extracellular,G,2.83e-08,1.31e-10,-7.759698301,PMT9312_0079,tier1:Protein ID
MIT9312,Q317T7,Q317T7_PROM9 Chaperone protein DnaK OS=Prochlorococcus marinus (strain MIT 9312) GN=dnaK PE=2 SV=1,chaperone protein dnaK2,Cytoplasm,O,2.56e-07,1.18e-09,-7.764698983,PMT9312_0903,tier1:UniProt Annotation
MIT9312,Q31CD5,Q31CD5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0399 PE=4 SV=1,hypothetical protein,Unknown,S,2.86e-08,1.31e-10,-7.774648643,PMT9312_0399,tier1:Protein ID
MIT9312,Q319Y0,Q319Y0_PROM9 Photosystem II D2 protein OS=Prochlorococcus marinus (strain MIT 9312) GN=psbD PE=3 SV=1,photosystem II D2 protein (photosystem q(a) protein),Thylakoid membrane,C,5.79e-08,2.61e-10,-7.789445645,PMT9312_1256,tier1:Protein ID
MIT9312,Q31BY0,Q31BY0_PROM9 Putative carboxysome peptide A OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0554 PE=4 SV=1,carboxysome peptide A,Unknown,S,3.01e-08,1.31e-10,-7.847161143,PMT9312_0554,tier1:Protein ID
MIT9312,Q31DG1,Q31DG1_PROM9 Glyceraldehyde-3-phosphate dehydrogenase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0023 PE=3 SV=1,type I glyceraldehyde-3-phosphate dehydrogenase,Cytoplasm,G,1.22e-07,5.23e-10,-7.871703328,PMT9312_0023,tier1:Protein ID
MIT9312,Q319U9,Q319U9_PROM9 Putative inner membrane protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1287 PE=3 SV=1,protein translocase component YidC,Inner membrane,U,6.2e-08,2.61e-10,-7.888981319,PMT9312_1287,tier1:Protein ID
MIT9312,Q31AL4,Q31AL4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1021 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,3.31e-08,1.31e-10,-7.982090723,PMT9312_1021,tier1:Protein ID
MIT9312,Q318D4,PSAC_PROM9 Photosystem I iron-sulfur center OS=Prochlorococcus marinus (strain MIT 9312) GN=psaC PE=3 SV=1,photosystem I iron-sulfur center,Thylakoid membrane,C,1.35e-07,5.23e-10,-8.013939589,PMT9312_1700,tier1:UniProt Annotation
